time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.027851,0.0,0.0,0.0,0.0128,0.0527,-0.0176,0.0,0.0,0.0,,0.0,0.0,0.003793218245192889,non_fall
0.045991,0.0,0.0,0.0,0.0128,0.0527,-0.0176,0.0,0.0,0.0,,0.018139999999999996,0.0,0.0037357872690703376,non_fall
0.046678,0.0,0.0,0.0,0.0128,0.0527,-0.0176,-9.66,38.04,-7.92,,0.0006870000000000001,0.0,0.0038667815283230152,non_fall
0.047059,0.0,0.0,0.0,0.0128,0.0527,-0.0176,-9.66,38.04,-7.92,,0.0003809999999999994,0.0,0.004425350959272156,non_fall
0.066059,0.0,0.0,0.0,0.0128,0.0527,-0.0176,-9.66,38.04,-7.92,,0.01900000000000001,0.0,0.005591474023030153,non_fall
0.086497,0.0,0.0,0.0,0.0405,0.0607,-0.0101,-9.66,38.04,-7.92,,0.020437999999999998,0.0,0.007480561796184832,non_fall
0.107726,0.0,0.0,0.0,0.0405,0.0607,-0.0101,-9.66,38.04,-7.92,,0.021228999999999998,0.0,0.010146188361297683,non_fall
0.108421,0.0,0.0,0.0,0.0405,0.0607,-0.0101,7.5,20.28,18.36,,0.0006950000000000012,0.0,0.013590864305902246,non_fall
0.109048,0.0,0.0,0.0,0.0543,0.0501,-0.0043,7.5,20.28,18.36,,0.0006270000000000026,0.0,0.017783983956585054,non_fall
0.109468,-0.0191,-0.0292,0.0034,0.0543,0.0501,-0.0043,7.5,20.28,18.36,,0.0004199999999999898,0.035057238910102435,0.022685064662012852,non_fall
0.127411,-0.0191,-0.0292,0.0034,0.0181,-0.0208,-0.0123,7.5,20.28,18.36,,0.017943,0.035057238910102435,0.028269186796697914,non_fall
0.147385,-0.0191,-0.0292,0.0034,0.0218,-0.0852,-0.016,7.5,20.28,18.36,,0.019973999999999992,0.035057238910102435,0.03455038497065371,non_fall
0.169174,-0.0191,-0.0292,0.0034,0.0218,-0.0852,-0.016,7.5,20.28,18.36,,0.021789000000000003,0.035057238910102435,0.0415980209409569,non_fall
0.16951,-0.0429,-0.0819,-0.061,0.0218,-0.0852,-0.016,7.5,20.28,18.36,,0.00033600000000000296,0.11076560838094106,0.04954107313885425,non_fall
0.169905,-0.0429,-0.0819,-0.061,0.0218,-0.0852,-0.016,16.68,11.34,31.68,,0.00039500000000000646,0.11076560838094106,0.05855573577628511,non_fall
0.170183,-0.0429,-0.0819,-0.061,0.0325,-0.008,0.0186,16.68,11.34,31.68,,0.00027800000000000047,0.11076560838094106,0.0688328986715505,non_fall
0.189028,-0.0429,-0.0819,-0.061,0.0128,0.0154,0.0064,16.68,11.34,31.68,,0.018845,0.11076560838094106,0.08052456725584778,non_fall
0.209635,-0.0429,-0.0819,-0.061,0.0021,-0.0059,-0.0032,16.68,11.34,31.68,,0.020606999999999986,0.11076560838094106,0.09367236139583139,non_fall
0.23069,-0.0429,-0.0819,-0.061,0.0021,-0.0059,-0.0032,16.68,11.34,31.68,,0.021055000000000018,0.11076560838094106,0.10812623244811656,non_fall
0.231364,-0.0725,-0.0035,0.0297,0.0021,-0.0059,-0.0032,16.68,11.34,31.68,,0.0006739999999999802,0.07842569731918231,0.12346625777133606,non_fall
0.232141,-0.0725,-0.0035,0.0297,0.0021,-0.0059,-0.0032,25.62,2.22,44.82,,0.0007769999999999999,0.07842569731918231,0.1389437986596993,non_fall
0.232964,-0.0725,-0.0035,0.0297,0.0138,-0.0186,-0.0154,25.62,2.22,44.82,,0.0008230000000000182,0.07842569731918231,0.15345970877993326,non_fall
0.250109,-0.0725,-0.0035,0.0297,-0.0128,-0.0059,-0.0048,25.62,2.22,44.82,,0.01714500000000002,0.07842569731918231,0.16559604635525166,non_fall
0.270881,-0.0725,-0.0035,0.0297,-0.0368,-0.0405,-0.0059,25.62,2.22,44.82,,0.020771999999999957,0.07842569731918231,0.17371358217183316,non_fall
0.292821,-0.0725,-0.0035,0.0297,-0.0368,-0.0405,-0.0059,25.62,2.22,44.82,,0.021940000000000015,0.07842569731918231,0.1761205521178516,non_fall
0.293554,-0.0725,-0.0035,0.0297,-0.0368,-0.0405,-0.0059,25.38,1.74,45.78,,0.0007329999999999837,0.07842569731918231,0.17130917635355394,non_fall
0.294156,-0.0725,-0.0035,0.0297,-0.0447,-0.0634,-0.0378,25.38,1.74,45.78,,0.0006019999999999914,0.07842569731918231,0.15824609477764773,non_fall
0.294597,0.0975,-0.1701,0.0082,-0.0447,-0.0634,-0.0378,25.38,1.74,45.78,,0.0004410000000000247,0.1962332795424874,0.13669172383605155,non_fall
