time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.015297,0.0,0.0,0.0,-0.0474,-0.2583,0.074,0.0,0.0,0.0,,0.0,0.0,0.00545892484410343,non_fall
0.035438,0.0,0.0,0.0,-0.0474,-0.2583,0.074,0.0,0.0,0.0,,0.020141,0.0,0.005878715191675079,non_fall
0.056638,0.0,0.0,0.0,-0.0474,-0.2583,0.074,0.0,0.0,0.0,,0.021200000000000004,0.0,0.006571238189177896,non_fall
0.061062,0.0,0.0,0.0,-0.0474,-0.2583,0.074,0.0,0.0,0.0,,0.004423999999999997,0.0,0.007824444331711772,non_fall
0.064727,0.0,0.0,0.0,-0.0474,-0.2583,0.074,10.98,35.64,-14.1,,0.0036650000000000085,0.0,0.009879097847704472,non_fall
0.077606,0.0,0.0,0.0,0.0027,-0.1135,0.0458,10.98,35.64,-14.1,,0.012878999999999988,0.0,0.01291942396318671,non_fall
0.097075,0.0,0.0,0.0,-0.0756,-0.1294,0.0005,10.98,35.64,-14.1,,0.019469,0.0,0.017067888917960374,non_fall
0.118344,0.0,0.0,0.0,-0.1284,-0.074,0.0053,10.98,35.64,-14.1,,0.02126900000000001,0.0,0.02238455530755724,non_fall
0.122262,0.0,0.0,0.0,-0.1284,-0.074,0.0053,10.98,35.64,-14.1,,0.003917999999999991,0.0,0.028871262467126627,non_fall
0.123217,0.0287,0.0166,-0.0053,-0.1284,-0.074,0.0053,10.98,35.64,-14.1,,0.0009549999999999975,0.03357588420280246,0.036480634832316054,non_fall
0.126828,0.0287,0.0166,-0.0053,-0.1284,-0.074,0.0053,18.36,15.06,14.88,,0.003611000000000003,0.03357588420280246,0.0451296182053409,non_fall
0.138537,0.0287,0.0166,-0.0053,-0.0948,-0.0506,-0.0005,18.36,15.06,14.88,,0.011708999999999997,0.03357588420280246,0.05471691150589613,non_fall
