
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.015297,0.0000,0.0000,0.0000,-0.0474,-0.2583,0.0740,0.0000,0.0000,0.0000,
0.035438,0.0000,0.0000,0.0000,-0.0474,-0.2583,0.0740,0.0000,0.0000,0.0000,
0.056638,0.0000,0.0000,0.0000,-0.0474,-0.2583,0.0740,0.0000,0.0000,0.0000,
0.061062,0.0000,0.0000,0.0000,-0.0474,-0.2583,0.0740,0.0000,0.0000,0.0000,
0.064727,0.0000,0.0000,0.0000,-0.0474,-0.2583,0.0740,10.9800,35.6400,-14.1000,
0.077606,0.0000,0.0000,0.0000,0.0027,-0.1135,0.0458,10.9800,35.6400,-14.1000,
0.097075,0.0000,0.0000,0.0000,-0.0756,-0.1294,0.0005,10.9800,35.6400,-14.1000,
0.118344,0.0000,0.0000,0.0000,-0.1284,-0.0740,0.0053,10.9800,35.6400,-14.1000,
0.122262,0.0000,0.0000,0.0000,-0.1284,-0.0740,0.0053,10.9800,35.6400,-14.1000,
0.123217,0.0287,0.0166,-0.0053,-0.1284,-0.0740,0.0053,10.9800,35.6400,-14.1000,
0.126828,0.0287,0.0166,-0.0053,-0.1284,-0.0740,0.0053,18.3600,15.0600,14.8800,
0.138537,0.0287,0.0166,-0.0053,-0.0948,-0.0506,-0.0005,18.3600,15.0600,14.8800,
0.159075,0.0287,0.0166,-0.0053,-0.0767,0.0197,0.0463,18.3600,15.0600,14.8800,
0.179334,0.0287,0.0166,-0.0053,-0.0341,0.0575,0.0591,18.3600,15.0600,14.8800,
0.183476,0.0287,0.0166,-0.0053,-0.0341,0.0575,0.0591,18.3600,15.0600,14.8800,
0.183800,0.1985,0.0769,0.0382,-0.0341,0.0575,0.0591,18.3600,15.0600,14.8800,
0.188293,0.1985,0.0769,0.0382,-0.0341,0.0575,0.0591,22.1400,4.6200,29.4600,
0.199694,0.1985,0.0769,0.0382,-0.1012,0.0080,0.0602,22.1400,4.6200,29.4600,
0.220622,0.1985,0.0769,0.0382,-0.0820,-0.0570,0.0037,22.1400,4.6200,29.4600,
0.241028,0.1985,0.0769,0.0382,-0.2365,-0.2802,0.0597,22.1400,4.6200,29.4600,
0.245975,0.1985,0.0769,0.0382,-0.2365,-0.2802,0.0597,22.1400,4.6200,29.4600,
0.246517,-0.1391,-0.0046,0.1995,-0.2365,-0.2802,0.0597,22.1400,4.6200,29.4600,
0.249736,-0.1391,-0.0046,0.1995,-0.2365,-0.2802,0.0597,25.9800,-6.4200,43.8000,
0.261621,-0.1391,-0.0046,0.1995,-0.3840,-0.1502,0.0767,25.9800,-6.4200,43.8000,
0.282181,-0.1391,-0.0046,0.1995,-0.1875,-0.3111,0.1395,25.9800,-6.4200,43.8000,
0.302474,-0.1391,-0.0046,0.1995,-0.0719,-0.1449,0.1273,25.9800,-6.4200,43.8000,
0.306915,-0.1391,-0.0046,0.1995,-0.0719,-0.1449,0.1273,25.9800,-6.4200,43.8000,
0.307547,-0.3001,-0.2896,0.0979,-0.0719,-0.1449,0.1273,25.9800,-6.4200,43.8000,
0.311318,-0.3001,-0.2896,0.0979,-0.0719,-0.1449,0.1273,26.1000,-6.9000,44.0400,
0.323170,-0.3001,-0.2896,0.0979,-0.0895,-0.2578,0.2381,26.1000,-6.9000,44.0400,
0.344316,-0.3001,-0.2896,0.0979,-0.0522,-0.2035,0.3915,26.1000,-6.9000,44.0400,
0.364523,-0.3001,-0.2896,0.0979,-0.0692,-0.2653,0.5539,26.1000,-6.9000,44.0400,
0.369816,-0.3001,-0.2896,0.0979,-0.0692,-0.2653,0.5539,26.1000,-6.9000,44.0400,
0.370491,-0.1365,-0.9058,0.2451,-0.0692,-0.2653,0.5539,26.1000,-6.9000,44.0400,
0.374467,-0.1365,-0.9058,0.2451,-0.0692,-0.2653,0.5539,26.0400,-7.4400,43.3800,
0.384525,-0.1365,-0.9058,0.2451,-0.1124,-0.2381,0.7164,26.0400,-7.4400,43.3800,
0.405176,-0.1365,-0.9058,0.2451,-0.0916,-0.3036,0.5444,26.0400,-7.4400,43.3800,
0.425543,-0.1365,-0.9058,0.2451,-0.0602,-0.2988,-0.0799,26.0400,-7.4400,43.3800,
0.430037,-0.1365,-0.9058,0.2451,-0.0602,-0.2988,-0.0799,26.0400,-7.4400,43.3800,
0.430611,-0.4713,1.1404,-0.4799,-0.0602,-0.2988,-0.0799,26.0400,-7.4400,43.3800,
0.434539,-0.4713,1.1404,-0.4799,-0.0602,-0.2988,-0.0799,26.3400,-7.8000,43.0200,
0.446303,-0.4713,1.1404,-0.4799,0.0064,-0.0708,-0.4027,26.3400,-7.8000,43.0200,
0.466942,-0.4713,1.1404,-0.4799,0.1529,0.1097,-0.3968,26.3400,-7.8000,43.0200,
0.487118,-0.4713,1.1404,-0.4799,0.2413,0.1017,-0.1635,26.3400,-7.8000,43.0200,
0.491122,-0.4713,1.1404,-0.4799,0.2413,0.1017,-0.1635,26.3400,-7.8000,43.0200,
0.491424,-0.4405,-0.0342,0.2273,0.2413,0.1017,-0.1635,26.3400,-7.8000,43.0200,
0.495793,-0.4405,-0.0342,0.2273,0.2413,0.1017,-0.1635,26.7000,-8.4000,43.2600,
0.507991,-0.4405,-0.0342,0.2273,0.2178,0.0037,0.1566,26.7000,-8.4000,43.2600,
0.528554,-0.4405,-0.0342,0.2273,0.1273,-0.0075,0.2498,26.7000,-8.4000,43.2600,
0.549742,-0.4405,-0.0342,0.2273,-0.0682,-0.0826,0.1316,26.7000,-8.4000,43.2600,
0.553299,-0.4405,-0.0342,0.2273,-0.0682,-0.0826,0.1316,26.7000,-8.4000,43.2600,
0.553888,0.4988,-1.9079,-0.0090,-0.0682,-0.0826,0.1316,26.7000,-8.4000,43.2600,
0.557887,0.4988,-1.9079,-0.0090,-0.0682,-0.0826,0.1316,27.1200,-8.7600,42.4200,
0.569623,0.4988,-1.9079,-0.0090,-0.3153,-0.2194,-0.0996,27.1200,-8.7600,42.4200,
0.589571,0.4988,-1.9079,-0.0090,-0.5278,-0.4133,-0.2578,27.1200,-8.7600,42.4200,
0.610685,0.4988,-1.9079,-0.0090,-0.5289,-0.4432,-0.3760,27.1200,-8.7600,42.4200,
0.614506,0.4988,-1.9079,-0.0090,-0.5289,-0.4432,-0.3760,27.1200,-8.7600,42.4200,
0.615022,0.2583,0.9517,-0.2430,-0.5289,-0.4432,-0.3760,27.1200,-8.7600,42.4200,
0.619074,0.2583,0.9517,-0.2430,-0.5289,-0.4432,-0.3760,27.2400,-8.9400,42.3000,
0.631250,0.2583,0.9517,-0.2430,-0.5097,-0.3840,-0.5465,27.2400,-8.9400,42.3000,
0.652081,0.2583,0.9517,-0.2430,-0.4011,-0.4879,-0.6088,27.2400,-8.9400,42.3000,
0.672236,0.2583,0.9517,-0.2430,-0.3435,-0.5561,-0.5103,27.2400,-8.9400,42.3000,
0.676611,0.2583,0.9517,-0.2430,-0.3435,-0.5561,-0.5103,27.2400,-8.9400,42.3000,
0.677043,-0.3633,-0.0450,0.0344,-0.3435,-0.5561,-0.5103,27.2400,-8.9400,42.3000,
0.680705,-0.3633,-0.0450,0.0344,-0.3435,-0.5561,-0.5103,27.9600,-9.0600,41.5200,
0.692486,-0.3633,-0.0450,0.0344,-0.2999,-0.3292,-0.3979,27.9600,-9.0600,41.5200,
0.713611,-0.3633,-0.0450,0.0344,-0.2248,-0.3164,-0.2253,27.9600,-9.0600,41.5200,
