
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.024280,0.0000,0.0000,0.0000,-0.0021,0.2583,-0.0288,0.0000,0.0000,0.0000,
0.040359,0.0000,0.0000,0.0000,-0.0021,0.2583,-0.0288,0.0000,0.0000,0.0000,
0.045159,0.0000,0.0000,0.0000,-0.0021,0.2583,-0.0288,0.0000,0.0000,0.0000,
0.049256,0.0000,0.0000,0.0000,-0.0021,0.2583,-0.0288,-8.7600,-39.4200,7.2000,
0.061275,0.0000,0.0000,0.0000,-0.0021,0.2583,-0.0288,-8.7600,-39.4200,7.2000,
0.081703,0.0000,0.0000,0.0000,0.1742,0.2083,0.0735,-8.7600,-39.4200,7.2000,
0.102015,0.0000,0.0000,0.0000,0.1486,0.1800,0.1204,-8.7600,-39.4200,7.2000,
0.106443,0.0000,0.0000,0.0000,0.1486,0.1800,0.1204,-8.7600,-39.4200,7.2000,
0.106834,-0.1900,-0.2343,0.0332,0.1486,0.1800,0.1204,-8.7600,-39.4200,7.2000,
0.110798,-0.1900,-0.2343,0.0332,0.1486,0.1800,0.1204,6.2400,-17.1000,21.2400,
0.122706,-0.1900,-0.2343,0.0332,0.0591,0.1113,0.1859,6.2400,-17.1000,21.2400,
0.143049,-0.1900,-0.2343,0.0332,0.1023,0.1241,0.1566,6.2400,-17.1000,21.2400,
0.163813,-0.1900,-0.2343,0.0332,0.0980,0.1406,0.1246,6.2400,-17.1000,21.2400,
0.167741,-0.1900,-0.2343,0.0332,0.0980,0.1406,0.1246,6.2400,-17.1000,21.2400,
0.168096,-0.0244,0.0163,0.0159,0.0980,0.1406,0.1246,6.2400,-17.1000,21.2400,
0.173417,-0.0244,0.0163,0.0159,0.0980,0.1406,0.1246,12.9600,-6.0000,28.9800,
0.184397,-0.0244,0.0163,0.0159,0.0676,0.2322,0.1310,12.9600,-6.0000,28.9800,
0.205458,-0.0244,0.0163,0.0159,0.0831,0.1566,0.1193,12.9600,-6.0000,28.9800,
0.225470,-0.0244,0.0163,0.0159,0.0879,0.0687,0.1097,12.9600,-6.0000,28.9800,
0.230401,-0.0244,0.0163,0.0159,0.0879,0.0687,0.1097,12.9600,-6.0000,28.9800,
0.230824,-0.1347,-0.1274,0.0162,0.0879,0.0687,0.1097,12.9600,-6.0000,28.9800,
0.234152,-0.1347,-0.1274,0.0162,0.0879,0.0687,0.1097,20.7000,5.4600,36.1800,
0.245953,-0.1347,-0.1274,0.0162,0.1087,0.0618,0.0469,20.7000,5.4600,36.1800,
0.266189,-0.1347,-0.1274,0.0162,0.1305,0.1071,0.0458,20.7000,5.4600,36.1800,
0.286952,-0.1347,-0.1274,0.0162,0.0565,0.0320,0.0165,20.7000,5.4600,36.1800,
0.291061,-0.1347,-0.1274,0.0162,0.0565,0.0320,0.0165,20.7000,5.4600,36.1800,
0.291453,-0.0989,-0.2751,0.1130,0.0565,0.0320,0.0165,20.7000,5.4600,36.1800,
0.295762,-0.0989,-0.2751,0.1130,0.0565,0.0320,0.0165,20.5200,5.8800,36.6000,
0.307107,-0.0989,-0.2751,0.1130,0.0091,-0.1374,-0.0378,20.5200,5.8800,36.6000,
0.327868,-0.0989,-0.2751,0.1130,-0.0091,-0.2157,-0.0117,20.5200,5.8800,36.6000,
0.348474,-0.0989,-0.2751,0.1130,0.0575,-0.1843,0.0037,20.5200,5.8800,36.6000,
