
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.015229,0.0000,0.0000,0.0000,-0.0921,0.1838,-0.0357,0.0000,0.0000,0.0000,
0.020989,0.0000,0.0000,0.0000,-0.0921,0.1838,-0.0357,0.0000,0.0000,0.0000,
0.025327,0.0000,0.0000,0.0000,-0.0921,0.1838,-0.0357,42.0600,-24.3000,7.2600,
0.029133,0.0000,0.0000,0.0000,-0.0921,0.1838,-0.0357,42.0600,-24.3000,7.2600,
0.049250,0.0000,0.0000,0.0000,-0.0921,0.1838,-0.0357,42.0600,-24.3000,7.2600,
0.070230,0.0000,0.0000,0.0000,-0.2658,-0.0016,-0.2988,42.0600,-24.3000,7.2600,
0.082646,0.0000,0.0000,0.0000,-0.2658,-0.0016,-0.2988,42.0600,-24.3000,7.2600,
0.082997,-0.0480,-0.0496,0.0117,-0.2658,-0.0016,-0.2988,42.0600,-24.3000,7.2600,
0.086968,-0.0480,-0.0496,0.0117,-0.2658,-0.0016,-0.2988,36.6000,-13.5600,22.5000,
0.090380,-0.0480,-0.0496,0.0117,-0.2248,-0.0346,-0.2626,36.6000,-13.5600,22.5000,
0.111334,-0.0480,-0.0496,0.0117,-0.2471,0.1055,-0.3744,36.6000,-13.5600,22.5000,
0.131419,-0.0480,-0.0496,0.0117,-0.3148,0.1433,-0.5028,36.6000,-13.5600,22.5000,
0.144281,-0.0480,-0.0496,0.0117,-0.3148,0.1433,-0.5028,36.6000,-13.5600,22.5000,
0.144694,1.2707,1.2927,-0.4458,-0.3148,0.1433,-0.5028,36.6000,-13.5600,22.5000,
0.148740,1.2707,1.2927,-0.4458,-0.3148,0.1433,-0.5028,34.0200,-8.4000,29.5800,
0.152098,1.2707,1.2927,-0.4458,-0.4330,0.4522,-0.9859,34.0200,-8.4000,29.5800,
0.172317,1.2707,1.2927,-0.4458,-0.1321,0.2248,-1.4450,34.0200,-8.4000,29.5800,
