
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.070604,0.0000,0.0000,0.0000,0.1045,0.6041,0.0803,0.0000,0.0000,0.0000,
0.091238,0.0000,0.0000,0.0000,0.1045,0.6041,0.0803,0.0000,0.0000,0.0000,
0.114072,0.0000,0.0000,0.0000,0.1045,0.6041,0.0803,-35.7750,-10.2750,-19.5375,
0.133126,0.0000,0.0000,0.0000,0.1045,0.6041,0.0803,-35.7750,-10.2750,-19.5375,
0.152965,0.0000,0.0000,0.0000,-0.2238,-0.0451,0.7746,-35.7750,-10.2750,-19.5375,
0.175259,0.0000,0.0000,0.0000,-0.2238,-0.0451,0.7746,-35.9438,-9.2438,-19.0500,
0.193665,0.0000,0.0000,0.0000,-0.2238,-0.0451,0.7746,-35.9438,-9.2438,-19.0500,
0.194365,0.0000,0.0000,0.0000,-0.2238,-0.0451,0.7746,-35.9438,-9.2438,-19.0500,
0.214347,0.0000,0.0000,0.0000,-0.1103,-1.2333,0.7441,-35.9438,-9.2438,-19.0500,
0.236621,0.0000,0.0000,0.0000,-0.1103,-1.2333,0.7441,-36.7313,-8.6438,-18.0000,
0.255050,0.0000,0.0000,0.0000,-0.1103,-1.2333,0.7441,-36.7313,-8.6438,-18.0000,
0.255606,-0.1993,0.3198,-0.0439,-0.1103,-1.2333,0.7441,-36.7313,-8.6438,-18.0000,
0.274869,-0.1993,0.3198,-0.0439,-0.1209,-1.5171,0.9457,-36.7313,-8.6438,-18.0000,
0.295649,-0.1993,0.3198,-0.0439,-0.1209,-1.5171,0.9457,-37.5375,-7.5938,-16.5188,
0.314993,-0.1993,0.3198,-0.0439,-0.1209,-1.5171,0.9457,-37.5375,-7.5938,-16.5188,
0.315699,-0.2348,-1.1477,0.1481,-0.1209,-1.5171,0.9457,-37.5375,-7.5938,-16.5188,
0.336336,-0.2348,-1.1477,0.1481,-0.1611,-0.1559,0.1999,-37.5375,-7.5938,-16.5188,
0.355620,-0.2348,-1.1477,0.1481,-0.1611,-0.1559,0.1999,-38.0063,-6.7688,-15.5250,
0.377422,-0.2348,-1.1477,0.1481,-0.1611,-0.1559,0.1999,-38.0063,-6.7688,-15.5250,
0.378762,1.7464,-1.5263,-1.0996,-0.1611,-0.1559,0.1999,-38.0063,-6.7688,-15.5250,
0.396456,1.7464,-1.5263,-1.0996,0.1101,0.2828,0.0767,-38.0063,-6.7688,-15.5250,
0.415071,1.7464,-1.5263,-1.0996,0.1101,0.2828,0.0767,-38.5312,-6.2250,-15.0750,
0.437152,1.7464,-1.5263,-1.0996,0.1101,0.2828,0.0767,-38.5312,-6.2250,-15.0750,
0.457842,1.7464,-1.5263,-1.0996,-0.2036,0.4972,1.5400,-38.5312,-6.2250,-15.0750,
0.459239,-0.1208,-0.2348,-0.2054,-0.2036,0.4972,1.5400,-38.5312,-6.2250,-15.0750,
0.476028,-0.1208,-0.2348,-0.2054,-0.2036,0.4972,1.5400,-38.6438,-5.4188,-14.8500,
0.497608,-0.1208,-0.2348,-0.2054,-0.2036,0.4972,1.5400,-38.6438,-5.4188,-14.8500,
0.519439,-0.1208,-0.2348,-0.2054,-1.3312,-0.1459,3.4492,-38.6438,-5.4188,-14.8500,
0.520978,-0.7075,2.1344,-0.5241,-1.3312,-0.1459,3.4492,-38.6438,-5.4188,-14.8500,
0.536234,-0.7075,2.1344,-0.5241,-1.3312,-0.1459,3.4492,-38.7188,-3.6375,-14.6250,
0.561990,-0.7075,2.1344,-0.5241,-1.3312,-0.1459,3.4492,-38.7188,-3.6375,-14.6250,
0.580047,-1.1779,3.1041,-0.8050,-1.3312,-0.1459,3.4492,-38.7188,-3.6375,-14.6250,
0.581006,-1.1779,3.1041,-0.8050,-0.8213,1.7959,4.0215,-38.7188,-3.6375,-14.6250,
0.594940,-1.1779,3.1041,-0.8050,-0.8213,1.7959,4.0215,-38.4938,0.1313,-14.4375,
0.619847,-1.1779,3.1041,-0.8050,-0.8213,1.7959,4.0215,-38.4938,0.1313,-14.4375,
0.639030,-1.1779,3.1041,-0.8050,0.7836,0.5775,0.2851,-38.4938,0.1313,-14.4375,
0.655379,-1.1779,3.1041,-0.8050,0.7836,0.5775,0.2851,-36.3750,5.4938,-15.6375,
0.661399,2.3532,-2.2766,1.8423,0.7836,0.5775,0.2851,-36.3750,5.4938,-15.6375,
0.681745,2.3532,-2.2766,1.8423,0.7836,0.5775,0.2851,-36.3750,5.4938,-15.6375,
0.702038,2.3532,-2.2766,1.8423,1.2256,-0.1996,-0.5570,-36.3750,5.4938,-15.6375,
0.714459,2.3532,-2.2766,1.8423,1.2256,-0.1996,-0.5570,-35.6625,8.9438,-16.2938,
0.720410,0.6025,-8.5653,1.2165,1.2256,-0.1996,-0.5570,-35.6625,8.9438,-16.2938,
0.741144,0.6025,-8.5653,1.2165,1.2256,-0.1996,-0.5570,-35.6625,8.9438,-16.2938,
0.760860,0.6025,-8.5653,1.2165,-0.3598,-0.5305,-0.0373,-35.6625,8.9438,-16.2938,
0.774076,0.6025,-8.5653,1.2165,-0.3598,-0.5305,-0.0373,-34.9313,12.0188,-17.3625,
0.781625,-1.7420,2.3569,-3.6245,-0.3598,-0.5305,-0.0373,-34.9313,12.0188,-17.3625,
0.802443,-1.7420,2.3569,-3.6245,-0.3598,-0.5305,-0.0373,-34.9313,12.0188,-17.3625,
0.822650,-1.7420,2.3569,-3.6245,-0.3099,-0.2298,0.2124,-34.9313,12.0188,-17.3625,
0.835905,-1.7420,2.3569,-3.6245,-0.3099,-0.2298,0.2124,-34.2000,15.1500,-18.1875,
0.844843,-1.7250,0.0409,-0.2615,-0.3099,-0.2298,0.2124,-34.2000,15.1500,-18.1875,
0.862984,-1.7250,0.0409,-0.2615,-0.3099,-0.2298,0.2124,-34.2000,15.1500,-18.1875,
0.883045,-1.7250,0.0409,-0.2615,-0.0581,-0.3661,0.1495,-34.2000,15.1500,-18.1875,
0.894079,-1.7250,0.0409,-0.2615,-0.0581,-0.3661,0.1495,-33.4500,18.2625,-18.9750,
0.924640,-1.7250,0.0409,-0.2615,-0.0581,-0.3661,0.1495,-33.4500,18.2625,-18.9750,
0.925830,0.0133,-0.0043,1.1627,-0.0581,-0.3661,0.1495,-33.4500,18.2625,-18.9750,
0.944456,0.0133,-0.0043,1.1627,0.3270,-0.3196,0.0085,-33.4500,18.2625,-18.9750,
0.954439,0.0133,-0.0043,1.1627,0.3270,-0.3196,0.0085,-32.9813,20.9250,-19.4813,
0.985789,0.0133,-0.0043,1.1627,0.3270,-0.3196,0.0085,-32.9813,20.9250,-19.4813,
0.986843,1.2059,0.0169,0.5802,0.3270,-0.3196,0.0085,-32.9813,20.9250,-19.4813,
1.005186,1.2059,0.0169,0.5802,0.5056,1.9875,-0.0344,-32.9813,20.9250,-19.4813,
1.013988,1.2059,0.0169,0.5802,0.5056,1.9875,-0.0344,-32.3250,22.3688,-20.5688,
1.045624,1.2059,0.0169,0.5802,0.5056,1.9875,-0.0344,-32.3250,22.3688,-20.5688,
1.046990,2.9370,-0.4219,-0.1898,0.5056,1.9875,-0.0344,-32.3250,22.3688,-20.5688,
1.065922,2.9370,-0.4219,-0.1898,-0.3755,-0.0764,-0.0607,-32.3250,22.3688,-20.5688,
1.074640,2.9370,-0.4219,-0.1898,-0.3755,-0.0764,-0.0607,-32.1750,22.4625,-21.0938,
1.106665,2.9370,-0.4219,-0.1898,-0.3755,-0.0764,-0.0607,-32.1750,22.4625,-21.0938,
1.127812,2.9370,-0.4219,-0.1898,-0.2483,1.2562,0.0189,-32.1750,22.4625,-21.0938,
1.129604,-1.6463,-0.4229,-1.8916,-0.2483,1.2562,0.0189,-32.1750,22.4625,-21.0938,
1.136362,-1.6463,-0.4229,-1.8916,-0.2483,1.2562,0.0189,-32.2313,22.0312,-21.8063,
1.170002,-1.6463,-0.4229,-1.8916,-0.2483,1.2562,0.0189,-32.2313,22.0312,-21.8063,
1.188424,-1.6463,-0.4229,-1.8916,-0.1430,0.7273,0.2137,-32.2313,22.0312,-21.8063,
1.189649,-2.1065,0.9995,1.1524,-0.1430,0.7273,0.2137,-32.2313,22.0312,-21.8063,
1.195406,-2.1065,0.9995,1.1524,-0.1430,0.7273,0.2137,-31.8375,22.0875,-22.2938,
1.229978,-2.1065,0.9995,1.1524,-0.1430,0.7273,0.2137,-31.8375,22.0875,-22.2938,
1.250890,-0.2623,0.2343,0.5798,-0.1430,0.7273,0.2137,-31.8375,22.0875,-22.2938,
1.252925,-0.2623,0.2343,0.5798,0.1843,-0.4059,0.1623,-31.8375,22.0875,-22.2938,
1.257093,-0.2623,0.2343,0.5798,0.1843,-0.4059,0.1623,-31.2750,22.2188,-22.6500,
1.290248,-0.2623,0.2343,0.5798,0.1843,-0.4059,0.1623,-31.2750,22.2188,-22.6500,
1.310828,-0.2623,0.2343,0.5798,-0.0208,-1.0910,0.2226,-31.2750,22.2188,-22.6500,
1.312695,-0.6629,0.1565,-0.0744,-0.0208,-1.0910,0.2226,-31.2750,22.2188,-22.6500,
1.313755,-0.6629,0.1565,-0.0744,-0.0208,-1.0910,0.2226,-30.9000,22.1438,-23.1375,
1.351334,-0.6629,0.1565,-0.0744,-0.0208,-1.0910,0.2226,-30.9000,22.1438,-23.1375,
1.371588,-0.6629,0.1565,-0.0744,-0.2920,-2.0343,0.1336,-30.9000,22.1438,-23.1375,
1.374900,-0.6629,0.1565,-0.0744,-0.2920,-2.0343,0.1336,-30.6000,22.0500,-23.0625,
1.391235,-0.5928,-0.0749,-0.1143,-0.2920,-2.0343,0.1336,-30.6000,22.0500,-23.0625,
1.412210,-0.5928,-0.0749,-0.1143,-0.2920,-2.0343,0.1336,-30.6000,22.0500,-23.0625,
1.431919,-0.5928,-0.0749,-0.1143,0.3360,-0.3679,0.1704,-30.6000,22.0500,-23.0625,
1.433622,-0.5928,-0.0749,-0.1143,0.3360,-0.3679,0.1704,-30.4875,22.1250,-22.7625,
1.452109,0.9935,-0.8363,0.3953,0.3360,-0.3679,0.1704,-30.4875,22.1250,-22.7625,
1.472979,0.9935,-0.8363,0.3953,0.3360,-0.3679,0.1704,-30.4875,22.1250,-22.7625,
1.494045,0.9935,-0.8363,0.3953,-0.1887,1.6677,-0.3947,-30.4875,22.1250,-22.7625,
1.495021,0.9935,-0.8363,0.3953,-0.1887,1.6677,-0.3947,-30.3000,22.2563,-22.3500,
1.513903,2.4031,-0.3813,-1.1779,-0.1887,1.6677,-0.3947,-30.3000,22.2563,-22.3500,
1.534232,2.4031,-0.3813,-1.1779,-0.1887,1.6677,-0.3947,-30.3000,22.2563,-22.3500,
1.553962,2.4031,-0.3813,-1.1779,-0.4533,0.9709,-0.4121,-30.3000,22.2563,-22.3500,
1.555151,2.4031,-0.3813,-1.1779,-0.4533,0.9709,-0.4121,-30.1500,22.3313,-22.2563,
