
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.016628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.019620,0.0000,0.0000,0.0000,-0.0458,0.0107,-0.0911,0.0000,0.0000,0.0000,
0.036140,0.0000,0.0000,0.0000,-0.0458,0.0107,-0.0911,0.0000,0.0000,0.0000,
0.036929,-0.0800,-0.0749,0.0092,-0.0458,0.0107,-0.0911,0.0000,0.0000,0.0000,
0.040211,-0.0800,-0.0749,0.0092,-0.0458,0.0107,-0.0911,0.0000,0.0000,0.0000,
0.056432,-0.0800,-0.0749,0.0092,-0.0458,0.0107,-0.0911,0.0000,0.0000,0.0000,
0.056859,2.2211,1.7915,-0.3435,-0.0458,0.0107,-0.0911,0.0000,0.0000,0.0000,
0.061039,2.2211,1.7915,-0.3435,-0.0458,0.0107,-0.0911,-0.0600,-47.1000,-9.0600,
0.061549,2.2211,1.7915,-0.3435,-0.0458,0.0107,-0.0911,-0.0600,-47.1000,-9.0600,
0.076978,2.2211,1.7915,-0.3435,-0.0458,0.0107,-0.0911,-0.0600,-47.1000,-9.0600,
0.077485,2.8947,1.0470,-0.5626,-0.0458,0.0107,-0.0911,-0.0600,-47.1000,-9.0600,
0.080773,2.8947,1.0470,-0.5626,-0.5795,1.6884,-1.4914,-0.0600,-47.1000,-9.0600,
0.097403,2.8947,1.0470,-0.5626,-0.5795,1.6884,-1.4914,-0.0600,-47.1000,-9.0600,
0.097826,3.5794,2.8039,-0.0742,-0.5795,1.6884,-1.4914,-0.0600,-47.1000,-9.0600,
0.102229,3.5794,2.8039,-0.0742,-0.5486,1.9484,-2.3026,-0.0600,-47.1000,-9.0600,
0.118099,3.5794,2.8039,-0.0742,-0.5486,1.9484,-2.3026,-0.0600,-47.1000,-9.0600,
0.118688,1.0555,3.6844,4.8554,-0.5486,1.9484,-2.3026,-0.0600,-47.1000,-9.0600,
0.122989,1.0555,3.6844,4.8554,-0.5486,1.9484,-2.3026,12.8400,-23.5200,14.6400,
0.123502,1.0555,3.6844,4.8554,0.3111,1.1180,-2.3356,12.8400,-23.5200,14.6400,
0.138633,1.0555,3.6844,4.8554,0.3111,1.1180,-2.3356,12.8400,-23.5200,14.6400,
0.139191,0.2652,1.6513,3.8305,0.3111,1.1180,-2.3356,12.8400,-23.5200,14.6400,
0.143434,0.2652,1.6513,3.8305,0.9705,0.3910,-1.7939,12.8400,-23.5200,14.6400,
0.159375,0.2652,1.6513,3.8305,0.9705,0.3910,-1.7939,12.8400,-23.5200,14.6400,
0.159847,0.6472,-0.4877,0.0525,0.9705,0.3910,-1.7939,12.8400,-23.5200,14.6400,
0.162864,0.6472,-0.4877,0.0525,0.5838,0.2626,-1.5723,12.8400,-23.5200,14.6400,
0.180114,0.6472,-0.4877,0.0525,0.5838,0.2626,-1.5723,12.8400,-23.5200,14.6400,
0.180637,0.9284,-1.0310,0.0557,0.5838,0.2626,-1.5723,12.8400,-23.5200,14.6400,
0.184059,0.9284,-1.0310,0.0557,0.5838,0.2626,-1.5723,17.2800,-11.2200,27.5400,
0.184706,0.9284,-1.0310,0.0557,0.3292,0.1204,-1.8882,17.2800,-11.2200,27.5400,
0.200118,0.9284,-1.0310,0.0557,0.3292,0.1204,-1.8882,17.2800,-11.2200,27.5400,
0.200530,1.2867,-0.2547,-0.3221,0.3292,0.1204,-1.8882,17.2800,-11.2200,27.5400,
0.204437,1.2867,-0.2547,-0.3221,0.1262,0.2637,-2.0267,17.2800,-11.2200,27.5400,
0.222780,1.2867,-0.2547,-0.3221,0.1262,0.2637,-2.0267,17.2800,-11.2200,27.5400,
0.223278,0.7072,0.5453,0.3579,0.1262,0.2637,-2.0267,17.2800,-11.2200,27.5400,
0.224676,0.7072,0.5453,0.3579,0.0629,0.4964,-2.0224,17.2800,-11.2200,27.5400,
0.241168,0.7072,0.5453,0.3579,0.0629,0.4964,-2.0224,17.2800,-11.2200,27.5400,
0.241752,1.1530,1.6921,0.7942,0.0629,0.4964,-2.0224,17.2800,-11.2200,27.5400,
0.245789,1.1530,1.6921,0.7942,0.0629,0.4964,-2.0224,21.9000,2.3400,39.5400,
0.246441,1.1530,1.6921,0.7942,0.1944,0.5667,-2.0123,21.9000,2.3400,39.5400,
0.261807,1.1530,1.6921,0.7942,0.1944,0.5667,-2.0123,21.9000,2.3400,39.5400,
0.262351,-0.3043,2.6780,-0.0036,0.1944,0.5667,-2.0123,21.9000,2.3400,39.5400,
0.265587,-0.3043,2.6780,-0.0036,0.1529,0.7095,-1.9191,21.9000,2.3400,39.5400,
0.282395,-0.3043,2.6780,-0.0036,0.1529,0.7095,-1.9191,21.9000,2.3400,39.5400,
0.282866,-2.6496,2.5968,0.2701,0.1529,0.7095,-1.9191,21.9000,2.3400,39.5400,
0.286418,-2.6496,2.5968,0.2701,0.0581,0.8384,-1.3779,21.9000,2.3400,39.5400,
0.302810,-2.6496,2.5968,0.2701,0.0581,0.8384,-1.3779,21.9000,2.3400,39.5400,
0.303254,-8.5417,-7.5461,-0.3083,0.0581,0.8384,-1.3779,21.9000,2.3400,39.5400,
0.307214,-8.5417,-7.5461,-0.3083,0.0581,0.8384,-1.3779,19.8000,4.7400,40.7400,
0.307746,-8.5417,-7.5461,-0.3083,-0.6195,-0.4192,-0.1587,19.8000,4.7400,40.7400,
0.323109,-8.5417,-7.5461,-0.3083,-0.6195,-0.4192,-0.1587,19.8000,4.7400,40.7400,
