
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.032399,0.0000,0.0000,0.0000,-0.0501,0.0921,-0.0048,0.0000,0.0000,0.0000,
0.049394,0.0000,0.0000,0.0000,-0.0501,0.0921,-0.0048,23.4600,-36.5400,5.7000,
0.052261,0.0000,0.0000,0.0000,-0.0501,0.0921,-0.0048,23.4600,-36.5400,5.7000,
0.061562,0.0000,0.0000,0.0000,-0.0501,0.0921,-0.0048,23.4600,-36.5400,5.7000,
0.075316,0.0000,0.0000,0.0000,-0.0383,-0.0101,0.0117,23.4600,-36.5400,5.7000,
0.094282,0.0000,0.0000,0.0000,-0.0192,-0.0549,0.0415,23.4600,-36.5400,5.7000,
0.110936,0.0000,0.0000,0.0000,-0.0192,-0.0549,0.0415,20.2800,-15.3000,26.8200,
0.114802,0.0000,0.0000,0.0000,-0.0128,-0.0517,0.0197,20.2800,-15.3000,26.8200,
0.123134,0.0000,0.0000,0.0000,-0.0128,-0.0517,0.0197,20.2800,-15.3000,26.8200,
0.123804,-0.0552,-0.0381,0.0092,-0.0128,-0.0517,0.0197,20.2800,-15.3000,26.8200,
0.135000,-0.0552,-0.0381,0.0092,-0.0208,0.0080,-0.0085,20.2800,-15.3000,26.8200,
0.155566,-0.0552,-0.0381,0.0092,-0.0463,-0.0634,-0.0043,20.2800,-15.3000,26.8200,
0.172270,-0.0552,-0.0381,0.0092,-0.0463,-0.0634,-0.0043,18.6000,-5.1600,37.5000,
0.176709,-0.0552,-0.0381,0.0092,-0.0149,-0.0905,0.0075,18.6000,-5.1600,37.5000,
0.184589,-0.0552,-0.0381,0.0092,-0.0149,-0.0905,0.0075,18.6000,-5.1600,37.5000,
0.185304,-0.0178,-0.0513,-0.0196,-0.0149,-0.0905,0.0075,18.6000,-5.1600,37.5000,
0.197264,-0.0178,-0.0513,-0.0196,-0.0032,-0.0080,0.0123,18.6000,-5.1600,37.5000,
0.217070,-0.0178,-0.0513,-0.0196,0.0218,0.0842,0.0250,18.6000,-5.1600,37.5000,
0.236167,-0.0178,-0.0513,-0.0196,0.0218,0.0842,0.0250,16.7400,5.2800,48.1800,
0.237046,-0.0178,-0.0513,-0.0196,0.0053,0.1795,0.0208,16.7400,5.2800,48.1800,
0.246114,-0.0178,-0.0513,-0.0196,0.0053,0.1795,0.0208,16.7400,5.2800,48.1800,
0.246831,-0.2300,0.3514,-0.0339,0.0053,0.1795,0.0208,16.7400,5.2800,48.1800,
0.258200,-0.2300,0.3514,-0.0339,-0.1087,0.1076,0.0847,16.7400,5.2800,48.1800,
0.278570,-0.2300,0.3514,-0.0339,-0.1177,0.1662,0.1119,16.7400,5.2800,48.1800,
0.295252,-0.2300,0.3514,-0.0339,-0.1177,0.1662,0.1119,16.1400,4.8000,48.1800,
0.298720,-0.2300,0.3514,-0.0339,-0.1534,0.3931,0.0320,16.1400,4.8000,48.1800,
0.307521,-0.2300,0.3514,-0.0339,-0.1534,0.3931,0.0320,16.1400,4.8000,48.1800,
0.308191,-0.0228,0.8241,-0.3995,-0.1534,0.3931,0.0320,16.1400,4.8000,48.1800,
0.319789,-0.0228,0.8241,-0.3995,-0.2658,0.8160,0.2338,16.1400,4.8000,48.1800,
0.340162,-0.0228,0.8241,-0.3995,-0.1076,1.7492,0.5529,16.1400,4.8000,48.1800,
0.357475,-0.0228,0.8241,-0.3995,-0.1076,1.7492,0.5529,15.7200,4.5000,48.4800,
0.360702,-0.0228,0.8241,-0.3995,0.1230,1.9271,0.5193,15.7200,4.5000,48.4800,
0.369150,-0.0228,0.8241,-0.3995,0.1230,1.9271,0.5193,15.7200,4.5000,48.4800,
0.369827,-0.0141,0.1409,2.4048,0.1230,1.9271,0.5193,15.7200,4.5000,48.4800,
0.380874,-0.0141,0.1409,2.4048,-0.1390,0.6855,0.6674,15.7200,4.5000,48.4800,
0.401931,-0.0141,0.1409,2.4048,-0.1145,0.6376,0.9747,15.7200,4.5000,48.4800,
0.418504,-0.0141,0.1409,2.4048,-0.1145,0.6376,0.9747,14.8800,4.2000,48.6600,
0.422490,-0.0141,0.1409,2.4048,-0.5838,0.0266,0.8538,14.8800,4.2000,48.6600,
0.431260,-0.0141,0.1409,2.4048,-0.5838,0.0266,0.8538,14.8800,4.2000,48.6600,
0.431855,0.7537,1.4963,-0.4947,-0.5838,0.0266,0.8538,14.8800,4.2000,48.6600,
0.442882,0.7537,1.4963,-0.4947,-1.1824,-0.1033,1.0738,14.8800,4.2000,48.6600,
0.463476,0.7537,1.4963,-0.4947,-0.4357,-0.5417,1.5942,14.8800,4.2000,48.6600,
0.480504,0.7537,1.4963,-0.4947,-0.4357,-0.5417,1.5942,13.2600,2.6400,49.3200,
0.483760,0.7537,1.4963,-0.4947,0.9044,1.3108,1.0786,13.2600,2.6400,49.3200,
0.492139,0.7537,1.4963,-0.4947,0.9044,1.3108,1.0786,13.2600,2.6400,49.3200,
0.492730,-2.8463,-10.9138,-4.1079,0.9044,1.3108,1.0786,13.2600,2.6400,49.3200,
0.504936,-2.8463,-10.9138,-4.1079,0.4037,-0.2429,1.4642,13.2600,2.6400,49.3200,
0.525140,-2.8463,-10.9138,-4.1079,-0.2631,-0.0847,0.3020,13.2600,2.6400,49.3200,
0.541570,-2.8463,-10.9138,-4.1079,-0.2631,-0.0847,0.3020,12.8400,0.8400,49.8600,
0.544866,-2.8463,-10.9138,-4.1079,0.4852,-0.2402,-0.2807,12.8400,0.8400,49.8600,
0.553898,-2.8463,-10.9138,-4.1079,0.4852,-0.2402,-0.2807,12.8400,0.8400,49.8600,
0.554644,-0.1791,-0.7760,1.9186,0.4852,-0.2402,-0.2807,12.8400,0.8400,49.8600,
0.566219,-0.1791,-0.7760,1.9186,0.8384,0.5140,-0.0985,12.8400,0.8400,49.8600,
0.586400,-0.1791,-0.7760,1.9186,0.6493,0.1172,-0.0048,12.8400,0.8400,49.8600,
0.603286,-0.1791,-0.7760,1.9186,0.6493,0.1172,-0.0048,12.4200,-1.4400,50.7000,
0.608103,-0.1791,-0.7760,1.9186,0.4298,-0.0378,0.2945,12.4200,-1.4400,50.7000,
0.614983,-0.1791,-0.7760,1.9186,0.4298,-0.0378,0.2945,12.4200,-1.4400,50.7000,
