
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.032675,0.0000,0.0000,0.0000,-0.0043,-0.0144,-0.0128,0.0000,0.0000,0.0000,
0.053154,0.0000,0.0000,0.0000,-0.0043,-0.0144,-0.0128,0.0000,0.0000,0.0000,
0.074064,0.0000,0.0000,0.0000,-0.0043,-0.0144,-0.0128,0.0000,0.0000,0.0000,
0.074677,0.0000,0.0000,0.0000,-0.0043,-0.0144,-0.0128,20.9400,-39.3000,2.5200,
0.075030,0.0000,0.0000,0.0000,0.0399,0.0469,0.0378,20.9400,-39.3000,2.5200,
0.099868,0.0000,0.0000,0.0000,0.0277,0.0447,0.0234,20.9400,-39.3000,2.5200,
0.114103,0.0000,0.0000,0.0000,0.0043,0.0165,0.0000,20.9400,-39.3000,2.5200,
0.136012,0.0000,0.0000,0.0000,0.0043,0.0165,0.0000,20.9400,-39.3000,2.5200,
0.136839,0.0000,0.0000,0.0000,0.0043,0.0165,0.0000,21.4800,-20.1000,21.6000,
0.137705,0.0000,0.0000,0.0000,0.0138,-0.0170,-0.0293,21.4800,-20.1000,21.6000,
0.138326,-0.0911,-0.1856,-0.0067,0.0138,-0.0170,-0.0293,21.4800,-20.1000,21.6000,
0.154804,-0.0911,-0.1856,-0.0067,0.0272,0.0107,-0.0218,21.4800,-20.1000,21.6000,
0.175238,-0.0911,-0.1856,-0.0067,0.0607,0.0431,-0.0133,21.4800,-20.1000,21.6000,
0.196597,-0.0911,-0.1856,-0.0067,0.0607,0.0431,-0.0133,21.4800,-20.1000,21.6000,
0.197063,-0.0911,-0.1856,-0.0067,0.0607,0.0431,-0.0133,21.4200,-11.0400,31.0200,
0.197490,-0.0965,-0.0885,-0.1533,0.0607,0.0431,-0.0133,21.4200,-11.0400,31.0200,
0.197861,-0.0965,-0.0885,-0.1533,0.0362,0.0357,0.0000,21.4200,-11.0400,31.0200,
0.217737,-0.0965,-0.0885,-0.1533,0.0053,0.0527,0.0117,21.4200,-11.0400,31.0200,
0.237085,-0.0965,-0.0885,-0.1533,0.0138,0.0362,-0.0288,21.4200,-11.0400,31.0200,
