
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.026157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.026565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.7200,-36.0600,-1.0200,
0.027030,0.0000,0.0000,0.0000,0.1017,-0.1113,0.0623,21.7200,-36.0600,-1.0200,
0.046233,0.0000,0.0000,0.0000,0.1017,-0.1113,0.0623,21.7200,-36.0600,-1.0200,
0.066491,0.0000,0.0000,0.0000,0.1017,-0.1113,0.0623,21.7200,-36.0600,-1.0200,
0.089359,0.0000,0.0000,0.0000,0.1017,-0.1113,0.0623,21.7200,-36.0600,-1.0200,
0.089875,-0.1176,-0.1591,0.0197,0.1017,-0.1113,0.0623,21.7200,-36.0600,-1.0200,
0.090277,-0.1176,-0.1591,0.0197,0.1017,-0.1113,0.0623,23.1000,-16.6200,21.0000,
0.090691,-0.1176,-0.1591,0.0197,0.0101,-0.3696,-0.0634,23.1000,-16.6200,21.0000,
0.107906,-0.1176,-0.1591,0.0197,-0.0128,-0.1438,-0.1188,23.1000,-16.6200,21.0000,
0.128391,-0.1176,-0.1591,0.0197,-0.0900,0.0442,-0.1135,23.1000,-16.6200,21.0000,
0.149637,-0.1176,-0.1591,0.0197,-0.0900,0.0442,-0.1135,23.1000,-16.6200,21.0000,
0.150269,-0.1176,-0.1591,0.0197,-0.0900,0.0442,-0.1135,24.2400,-6.9600,31.7400,
0.151050,-0.1176,-0.1591,0.0197,-0.0969,0.1156,-0.0426,24.2400,-6.9600,31.7400,
0.151492,-0.4019,0.2994,-0.0396,-0.0969,0.1156,-0.0426,24.2400,-6.9600,31.7400,
0.169661,-0.4019,0.2994,-0.0396,-0.0234,0.0921,0.0005,24.2400,-6.9600,31.7400,
0.189954,-0.4019,0.2994,-0.0396,0.0916,0.0975,0.0703,24.2400,-6.9600,31.7400,
0.210772,-0.4019,0.2994,-0.0396,0.0916,0.0975,0.0703,24.2400,-6.9600,31.7400,
0.211113,-0.4019,0.2994,-0.0396,0.0916,0.0975,0.0703,24.9600,2.8200,42.3600,
0.211448,-0.4019,0.2994,-0.0396,0.0948,0.1033,0.0756,24.9600,2.8200,42.3600,
0.211688,-0.2125,0.3315,0.0060,0.0948,0.1033,0.0756,24.9600,2.8200,42.3600,
0.230746,-0.2125,0.3315,0.0060,0.0969,0.0458,0.0437,24.9600,2.8200,42.3600,
0.251607,-0.2125,0.3315,0.0060,0.2008,0.3159,0.0250,24.9600,2.8200,42.3600,
0.272820,-0.2125,0.3315,0.0060,0.2008,0.3159,0.0250,24.9600,2.8200,42.3600,
0.273569,-0.2125,0.3315,0.0060,0.2008,0.3159,0.0250,25.2000,3.0600,42.0000,
0.274277,-0.2125,0.3315,0.0060,0.1779,0.5598,0.1598,25.2000,3.0600,42.0000,
0.274962,0.0489,0.2139,-0.3591,0.1779,0.5598,0.1598,25.2000,3.0600,42.0000,
0.292568,0.0489,0.2139,-0.3591,0.1278,0.7744,0.1545,25.2000,3.0600,42.0000,
0.312752,0.0489,0.2139,-0.3591,0.1103,0.8655,0.1348,25.2000,3.0600,42.0000,
0.334317,0.0489,0.2139,-0.3591,0.1103,0.8655,0.1348,25.2000,3.0600,42.0000,
0.334884,0.0489,0.2139,-0.3591,0.1103,0.8655,0.1348,24.8400,3.1800,41.8200,
0.335320,0.0489,0.2139,-0.3591,0.1049,0.6663,0.1822,24.8400,3.1800,41.8200,
0.335685,-0.3361,0.2355,0.9982,0.1049,0.6663,0.1822,24.8400,3.1800,41.8200,
0.354415,-0.3361,0.2355,0.9982,0.1965,0.4916,0.2168,24.8400,3.1800,41.8200,
