
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.018553,0.0000,0.0000,0.0000,-0.0847,0.0442,-0.0826,0.0000,0.0000,0.0000,
0.024161,0.0000,0.0000,0.0000,-0.0847,0.0442,-0.0826,0.0000,0.0000,0.0000,
0.044631,0.0000,0.0000,0.0000,-0.0847,0.0442,-0.0826,0.0000,0.0000,0.0000,
0.056647,0.0000,0.0000,0.0000,-0.0847,0.0442,-0.0826,0.0000,0.0000,0.0000,
0.062150,0.0000,0.0000,0.0000,-0.0847,0.0442,-0.0826,16.0800,-45.1800,-0.0600,
0.065106,0.0000,0.0000,0.0000,-0.0847,0.0442,-0.0826,16.0800,-45.1800,-0.0600,
0.085508,0.0000,0.0000,0.0000,-0.0985,-0.0762,-2.2674,16.0800,-45.1800,-0.0600,
0.106215,0.0000,0.0000,0.0000,-0.2045,0.2503,-1.9217,16.0800,-45.1800,-0.0600,
0.118540,0.0000,0.0000,0.0000,-0.2045,0.2503,-1.9217,16.0800,-45.1800,-0.0600,
0.118870,0.3139,0.3542,-0.0716,-0.2045,0.2503,-1.9217,16.0800,-45.1800,-0.0600,
0.123162,0.3139,0.3542,-0.0716,-0.2045,0.2503,-1.9217,22.2000,-24.4800,18.9600,
0.126648,0.3139,0.3542,-0.0716,-0.1816,0.2232,-1.6474,22.2000,-24.4800,18.9600,
0.147426,0.3139,0.3542,-0.0716,-0.1390,0.1278,-1.4759,22.2000,-24.4800,18.9600,
0.167867,0.3139,0.3542,-0.0716,-0.1715,0.0421,-1.4653,22.2000,-24.4800,18.9600,
0.180181,0.3139,0.3542,-0.0716,-0.1715,0.0421,-1.4653,22.2000,-24.4800,18.9600,
0.180704,1.7242,0.2966,-0.2949,-0.1715,0.0421,-1.4653,22.2000,-24.4800,18.9600,
0.184853,1.7242,0.2966,-0.2949,-0.1715,0.0421,-1.4653,25.2000,-12.7800,29.5200,
0.188373,1.7242,0.2966,-0.2949,-0.2716,-0.1497,-1.7476,25.2000,-12.7800,29.5200,
0.208924,1.7242,0.2966,-0.2949,-0.2993,-0.0884,-2.2269,25.2000,-12.7800,29.5200,
0.229506,1.7242,0.2966,-0.2949,-0.5172,0.0810,-2.5231,25.2000,-12.7800,29.5200,
0.241899,1.7242,0.2966,-0.2949,-0.5172,0.0810,-2.5231,25.2000,-12.7800,29.5200,
0.242351,2.1568,1.7704,-0.4876,-0.5172,0.0810,-2.5231,25.2000,-12.7800,29.5200,
0.247212,2.1568,1.7704,-0.4876,-0.5172,0.0810,-2.5231,27.9000,-0.8400,39.9600,
0.250067,2.1568,1.7704,-0.4876,-0.5907,0.1593,-2.8096,27.9000,-0.8400,39.9600,
0.270511,2.1568,1.7704,-0.4876,-0.4186,0.1683,-3.0957,27.9000,-0.8400,39.9600,
0.291034,2.1568,1.7704,-0.4876,-0.3707,0.3249,-3.3279,27.9000,-0.8400,39.9600,
0.303523,2.1568,1.7704,-0.4876,-0.3707,0.3249,-3.3279,27.9000,-0.8400,39.9600,
0.303935,2.0987,3.8440,-0.4716,-0.3707,0.3249,-3.3279,27.9000,-0.8400,39.9600,
0.308377,2.0987,3.8440,-0.4716,-0.3707,0.3249,-3.3279,27.9600,0.7800,39.7800,
0.311737,2.0987,3.8440,-0.4716,-0.3020,0.4985,-3.5042,27.9600,0.7800,39.7800,
0.332242,2.0987,3.8440,-0.4716,-0.5465,-0.6631,-3.5814,27.9600,0.7800,39.7800,
0.352853,2.0987,3.8440,-0.4716,-0.2668,-3.2054,-3.7971,27.9600,0.7800,39.7800,
0.365289,2.0987,3.8440,-0.4716,-0.2668,-3.2054,-3.7971,27.9600,0.7800,39.7800,
0.365740,-7.1701,-11.4774,3.3784,-0.2668,-3.2054,-3.7971,27.9600,0.7800,39.7800,
0.371794,-7.1701,-11.4774,3.3784,-0.2668,-3.2054,-3.7971,26.7600,3.8400,39.6000,
0.373272,-7.1701,-11.4774,3.3784,0.0048,-3.0797,-1.4472,26.7600,3.8400,39.6000,
0.393916,-7.1701,-11.4774,3.3784,0.5934,-0.4250,-0.0107,26.7600,3.8400,39.6000,
