
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.033285,0.0000,0.0000,0.0000,0.0815,-0.0144,0.0889,0.0000,0.0000,0.0000,
0.046492,0.0000,0.0000,0.0000,0.0815,-0.0144,0.0889,43.9800,16.9200,-25.6200,
0.053828,0.0000,0.0000,0.0000,0.0815,-0.0144,0.0889,43.9800,16.9200,-25.6200,
0.058445,0.0000,0.0000,0.0000,0.0815,-0.0144,0.0889,43.9800,16.9200,-25.6200,
0.074896,0.0000,0.0000,0.0000,-0.0197,0.0410,0.0447,43.9800,16.9200,-25.6200,
0.095252,0.0000,0.0000,0.0000,0.1007,-0.2035,0.0250,43.9800,16.9200,-25.6200,
0.107915,0.0000,0.0000,0.0000,0.1007,-0.2035,0.0250,36.8400,7.8000,2.3400,
0.116072,0.0000,0.0000,0.0000,0.0810,-0.1103,0.0080,36.8400,7.8000,2.3400,
0.120158,0.0000,0.0000,0.0000,0.0810,-0.1103,0.0080,36.8400,7.8000,2.3400,
0.120722,0.0111,0.0114,-0.0028,0.0810,-0.1103,0.0080,36.8400,7.8000,2.3400,
0.137154,0.0111,0.0114,-0.0028,0.0075,-0.0064,-0.0170,36.8400,7.8000,2.3400,
0.157123,0.0111,0.0114,-0.0028,-0.0037,-0.0032,-0.0288,36.8400,7.8000,2.3400,
0.170037,0.0111,0.0114,-0.0028,-0.0037,-0.0032,-0.0288,33.2400,3.0000,16.7400,
0.177328,0.0111,0.0114,-0.0028,0.0692,-0.0751,-0.0272,33.2400,3.0000,16.7400,
0.182014,0.0111,0.0114,-0.0028,0.0692,-0.0751,-0.0272,33.2400,3.0000,16.7400,
0.182739,-0.1322,-0.0274,0.3305,0.0692,-0.0751,-0.0272,33.2400,3.0000,16.7400,
0.198859,-0.1322,-0.0274,0.3305,0.0959,-0.1811,-0.0394,33.2400,3.0000,16.7400,
0.217864,-0.1322,-0.0274,0.3305,0.0698,-0.0836,-0.0218,33.2400,3.0000,16.7400,
0.231373,-0.1322,-0.0274,0.3305,0.0698,-0.0836,-0.0218,29.0400,-1.8600,30.7200,
0.239008,-0.1322,-0.0274,0.3305,0.0410,0.0485,-0.0394,29.0400,-1.8600,30.7200,
0.243190,-0.1322,-0.0274,0.3305,0.0410,0.0485,-0.0394,29.0400,-1.8600,30.7200,
0.243859,0.1582,-0.1350,-0.1570,0.0410,0.0485,-0.0394,29.0400,-1.8600,30.7200,
0.259553,0.1582,-0.1350,-0.1570,0.0016,0.1603,-0.0197,29.0400,-1.8600,30.7200,
0.279966,0.1582,-0.1350,-0.1570,-0.0202,0.0250,-0.0128,29.0400,-1.8600,30.7200,
0.293019,0.1582,-0.1350,-0.1570,-0.0202,0.0250,-0.0128,28.8600,-1.6200,30.9600,
0.299878,0.1582,-0.1350,-0.1570,0.0602,-0.0176,-0.0112,28.8600,-1.6200,30.9600,
0.304579,0.1582,-0.1350,-0.1570,0.0602,-0.0176,-0.0112,28.8600,-1.6200,30.9600,
0.305086,-0.0407,0.1006,0.2794,0.0602,-0.0176,-0.0112,28.8600,-1.6200,30.9600,
0.321007,-0.0407,0.1006,0.2794,0.0527,-0.0522,-0.0037,28.8600,-1.6200,30.9600,
0.341601,-0.0407,0.1006,0.2794,0.0357,0.0644,0.0181,28.8600,-1.6200,30.9600,
0.354308,-0.0407,0.1006,0.2794,0.0357,0.0644,0.0181,28.5000,-1.6200,30.8400,
0.362202,-0.0407,0.1006,0.2794,-0.0724,0.0927,0.0431,28.5000,-1.6200,30.8400,
0.366271,-0.0407,0.1006,0.2794,-0.0724,0.0927,0.0431,28.5000,-1.6200,30.8400,
0.366800,-0.0647,-0.1443,0.0587,-0.0724,0.0927,0.0431,28.5000,-1.6200,30.8400,
0.382531,-0.0647,-0.1443,0.0587,-0.0399,0.0394,0.0080,28.5000,-1.6200,30.8400,
0.403538,-0.0647,-0.1443,0.0587,0.0458,-0.0123,-0.0021,28.5000,-1.6200,30.8400,
0.416367,-0.0647,-0.1443,0.0587,0.0458,-0.0123,-0.0021,28.3800,-1.9200,30.3000,
0.423895,-0.0647,-0.1443,0.0587,0.0692,0.0815,-0.0261,28.3800,-1.9200,30.3000,
0.428607,-0.0647,-0.1443,0.0587,0.0692,0.0815,-0.0261,28.3800,-1.9200,30.3000,
0.429291,-0.1055,0.1465,-0.4187,0.0692,0.0815,-0.0261,28.3800,-1.9200,30.3000,
0.445145,-0.1055,0.1465,-0.4187,-0.0208,0.1971,-0.0352,28.3800,-1.9200,30.3000,
0.464618,-0.1055,0.1465,-0.4187,-0.1380,0.4522,-0.1875,28.3800,-1.9200,30.3000,
0.478283,-0.1055,0.1465,-0.4187,-0.1380,0.4522,-0.1875,28.6200,-1.7400,30.1800,
0.485356,-0.1055,0.1465,-0.4187,-0.0943,0.6013,-0.4591,28.6200,-1.7400,30.1800,
0.489810,-0.1055,0.1465,-0.4187,-0.0943,0.6013,-0.4591,28.6200,-1.7400,30.1800,
0.490462,1.0259,-0.1098,-0.5531,-0.0943,0.6013,-0.4591,28.6200,-1.7400,30.1800,
0.506010,1.0259,-0.1098,-0.5531,-0.4309,1.5617,-0.6567,28.6200,-1.7400,30.1800,
0.526047,1.0259,-0.1098,-0.5531,-0.5300,2.4458,-1.6405,28.6200,-1.7400,30.1800,
0.540259,1.0259,-0.1098,-0.5531,-0.5300,2.4458,-1.6405,28.4400,-1.5600,30.2400,
0.546438,1.0259,-0.1098,-0.5531,-0.2562,2.3723,-2.5620,28.4400,-1.5600,30.2400,
0.551194,1.0259,-0.1098,-0.5531,-0.2562,2.3723,-2.5620,28.4400,-1.5600,30.2400,
0.552068,2.1482,4.6222,0.3661,-0.2562,2.3723,-2.5620,28.4400,-1.5600,30.2400,
