
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.024201,0.0000,0.0000,0.0000,0.0362,-0.0208,0.0181,0.0000,0.0000,0.0000,
0.044671,0.0000,0.0000,0.0000,0.0362,-0.0208,0.0181,0.0000,0.0000,0.0000,
0.056955,0.0000,0.0000,0.0000,0.0362,-0.0208,0.0181,0.0000,0.0000,0.0000,
0.061576,0.0000,0.0000,0.0000,0.0362,-0.0208,0.0181,43.4400,-13.3800,1.3200,
0.065433,0.0000,0.0000,0.0000,0.0362,-0.0208,0.0181,43.4400,-13.3800,1.3200,
0.085500,0.0000,0.0000,0.0000,-0.0501,-0.1795,-0.0277,43.4400,-13.3800,1.3200,
0.106190,0.0000,0.0000,0.0000,-0.0240,0.0644,-0.0085,43.4400,-13.3800,1.3200,
0.119077,0.0000,0.0000,0.0000,-0.0240,0.0644,-0.0085,43.4400,-13.3800,1.3200,
0.119646,-0.1165,-0.1130,0.0203,-0.0240,0.0644,-0.0085,43.4400,-13.3800,1.3200,
0.123618,-0.1165,-0.1130,0.0203,-0.0240,0.0644,-0.0085,32.6400,-5.1000,22.5600,
0.126953,-0.1165,-0.1130,0.0203,0.0069,0.0682,-0.0293,32.6400,-5.1000,22.5600,
0.147240,-0.1165,-0.1130,0.0203,0.0320,0.1321,-0.0288,32.6400,-5.1000,22.5600,
0.168149,-0.1165,-0.1130,0.0203,0.0794,0.1310,-0.0234,32.6400,-5.1000,22.5600,
0.180902,-0.1165,-0.1130,0.0203,0.0794,0.1310,-0.0234,32.6400,-5.1000,22.5600,
0.181349,-0.1309,0.0512,0.0951,0.0794,0.1310,-0.0234,32.6400,-5.1000,22.5600,
0.184942,-0.1309,0.0512,0.0951,0.0794,0.1310,-0.0234,27.8400,-1.5000,32.4000,
0.187923,-0.1309,0.0512,0.0951,0.1166,0.1656,-0.0096,27.8400,-1.5000,32.4000,
0.208965,-0.1309,0.0512,0.0951,0.0756,0.2503,0.0123,27.8400,-1.5000,32.4000,
0.228817,-0.1309,0.0512,0.0951,0.0373,0.1539,0.0107,27.8400,-1.5000,32.4000,
0.241905,-0.1309,0.0512,0.0951,0.0373,0.1539,0.0107,27.8400,-1.5000,32.4000,
0.242274,-0.1545,-0.0725,0.1650,0.0373,0.1539,0.0107,27.8400,-1.5000,32.4000,
0.246007,-0.1545,-0.0725,0.1650,0.0373,0.1539,0.0107,22.6200,2.2200,41.5800,
0.249689,-0.1545,-0.0725,0.1650,0.0506,0.0378,0.0096,22.6200,2.2200,41.5800,
0.270041,-0.1545,-0.0725,0.1650,0.0224,-0.0165,0.0346,22.6200,2.2200,41.5800,
0.290851,-0.1545,-0.0725,0.1650,-0.0181,-0.0309,0.0660,22.6200,2.2200,41.5800,
0.302957,-0.1545,-0.0725,0.1650,-0.0181,-0.0309,0.0660,22.6200,2.2200,41.5800,
0.303269,-0.0406,0.1550,0.0852,-0.0181,-0.0309,0.0660,22.6200,2.2200,41.5800,
0.307616,-0.0406,0.1550,0.0852,-0.0181,-0.0309,0.0660,23.1000,1.9800,40.2600,
0.312069,-0.0406,0.1550,0.0852,-0.0506,-0.1214,0.0581,23.1000,1.9800,40.2600,
0.332886,-0.0406,0.1550,0.0852,-0.0655,-0.0591,0.0389,23.1000,1.9800,40.2600,
0.352152,-0.0406,0.1550,0.0852,-0.0245,-0.0666,0.0453,23.1000,1.9800,40.2600,
0.364705,-0.0406,0.1550,0.0852,-0.0245,-0.0666,0.0453,23.1000,1.9800,40.2600,
0.365087,-0.0101,0.0035,-0.1227,-0.0245,-0.0666,0.0453,23.1000,1.9800,40.2600,
0.369137,-0.0101,0.0035,-0.1227,-0.0245,-0.0666,0.0453,23.9400,2.2200,40.2600,
0.376042,-0.0101,0.0035,-0.1227,0.0389,0.0218,0.0458,23.9400,2.2200,40.2600,
0.393293,-0.0101,0.0035,-0.1227,0.0261,0.2264,0.0916,23.9400,2.2200,40.2600,
0.413766,-0.0101,0.0035,-0.1227,0.0107,0.1337,0.0463,23.9400,2.2200,40.2600,
0.426802,-0.0101,0.0035,-0.1227,0.0107,0.1337,0.0463,23.9400,2.2200,40.2600,
0.427196,0.0108,-0.2773,0.1680,0.0107,0.1337,0.0463,23.9400,2.2200,40.2600,
0.431749,0.0108,-0.2773,0.1680,0.0107,0.1337,0.0463,24.0000,1.8000,39.9600,
0.434644,0.0108,-0.2773,0.1680,0.0085,0.0410,0.0298,24.0000,1.8000,39.9600,
0.454678,0.0108,-0.2773,0.1680,0.0261,0.0522,0.0437,24.0000,1.8000,39.9600,
0.476415,0.0108,-0.2773,0.1680,0.0730,0.1497,0.0298,24.0000,1.8000,39.9600,
0.487923,0.0108,-0.2773,0.1680,0.0730,0.1497,0.0298,24.0000,1.8000,39.9600,
0.488287,0.0378,-0.0376,-0.3777,0.0730,0.1497,0.0298,24.0000,1.8000,39.9600,
0.492433,0.0378,-0.0376,-0.3777,0.0730,0.1497,0.0298,24.1200,1.5600,39.4200,
0.495927,0.0378,-0.0376,-0.3777,0.1161,0.4906,-0.0607,24.1200,1.5600,39.4200,
0.516855,0.0378,-0.0376,-0.3777,0.1438,0.7989,-0.1172,24.1200,1.5600,39.4200,
0.536817,0.0378,-0.0376,-0.3777,0.4634,0.7878,-0.6701,24.1200,1.5600,39.4200,
0.549345,0.0378,-0.0376,-0.3777,0.4634,0.7878,-0.6701,24.1200,1.5600,39.4200,
0.549774,-0.3848,3.3834,0.1789,0.4634,0.7878,-0.6701,24.1200,1.5600,39.4200,
0.553895,-0.3848,3.3834,0.1789,0.4634,0.7878,-0.6701,23.9400,1.3800,40.3200,
0.558088,-0.3848,3.3834,0.1789,0.1316,0.2141,-0.7121,23.9400,1.3800,40.3200,
0.577985,-0.3848,3.3834,0.1789,0.1816,-0.0602,-0.5603,23.9400,1.3800,40.3200,
0.598388,-0.3848,3.3834,0.1789,-0.0149,-0.2349,-0.5816,23.9400,1.3800,40.3200,
0.611048,-0.3848,3.3834,0.1789,-0.0149,-0.2349,-0.5816,23.9400,1.3800,40.3200,
0.611402,1.2774,3.7864,-0.2543,-0.0149,-0.2349,-0.5816,23.9400,1.3800,40.3200,
0.615499,1.2774,3.7864,-0.2543,-0.0149,-0.2349,-0.5816,23.3400,1.8600,40.6200,
0.618982,1.2774,3.7864,-0.2543,-0.4469,-0.4730,-0.8591,23.3400,1.8600,40.6200,
0.639612,1.2774,3.7864,-0.2543,-0.7846,-0.4469,-1.3694,23.3400,1.8600,40.6200,
0.660032,1.2774,3.7864,-0.2543,-1.0109,-0.8634,-1.9505,23.3400,1.8600,40.6200,
0.673215,1.2774,3.7864,-0.2543,-1.0109,-0.8634,-1.9505,23.3400,1.8600,40.6200,
0.673598,2.0639,1.0193,-0.3577,-1.0109,-0.8634,-1.9505,23.3400,1.8600,40.6200,
0.677469,2.0639,1.0193,-0.3577,-1.0109,-0.8634,-1.9505,22.9200,2.9400,41.0400,
0.681610,2.0639,1.0193,-0.3577,-1.2991,-1.2820,-2.3393,22.9200,2.9400,41.0400,
0.701578,2.0639,1.0193,-0.3577,-1.1686,-1.1239,-2.3974,22.9200,2.9400,41.0400,
0.722484,2.0639,1.0193,-0.3577,-0.7808,-0.7302,-2.1417,22.9200,2.9400,41.0400,
0.734227,2.0639,1.0193,-0.3577,-0.7808,-0.7302,-2.1417,22.9200,2.9400,41.0400,
0.734568,-1.8291,-4.0456,0.5039,-0.7808,-0.7302,-2.1417,22.9200,2.9400,41.0400,
