
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.017754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1400,37.9800,-13.9800,
0.029387,0.0000,0.0000,0.0000,-0.1827,0.2088,0.2248,13.1400,37.9800,-13.9800,
0.049692,0.0000,0.0000,0.0000,-0.1827,0.2088,0.2248,13.1400,37.9800,-13.9800,
0.073611,0.0000,0.0000,0.0000,-0.0847,-0.1060,0.0554,13.1400,37.9800,-13.9800,
0.074448,0.0000,0.0000,0.0000,-0.0847,-0.1060,0.0554,13.1400,37.9800,-13.9800,
0.079359,0.0000,0.0000,0.0000,-0.0847,-0.1060,0.0554,2.8800,34.1400,-21.1200,
0.090580,0.0000,0.0000,0.0000,0.0314,-0.0431,-0.0277,2.8800,34.1400,-21.1200,
0.111683,0.0000,0.0000,0.0000,0.0229,-0.0378,-0.0005,2.8800,34.1400,-21.1200,
0.131750,0.0000,0.0000,0.0000,-0.0165,-0.0016,0.0091,2.8800,34.1400,-21.1200,
0.135950,0.0000,0.0000,0.0000,-0.0165,-0.0016,0.0091,2.8800,34.1400,-21.1200,
0.136451,0.0636,0.0463,-0.0120,-0.0165,-0.0016,0.0091,2.8800,34.1400,-21.1200,
0.140703,0.0636,0.0463,-0.0120,-0.0165,-0.0016,0.0091,-2.5800,32.1600,-24.9000,
0.152812,0.0636,0.0463,-0.0120,-0.0394,-0.0213,-0.0037,-2.5800,32.1600,-24.9000,
0.173272,0.0636,0.0463,-0.0120,0.0085,0.0282,-0.0075,-2.5800,32.1600,-24.9000,
0.194208,0.0636,0.0463,-0.0120,0.0554,0.1017,0.0170,-2.5800,32.1600,-24.9000,
0.198852,0.0636,0.0463,-0.0120,0.0554,0.1017,0.0170,-2.5800,32.1600,-24.9000,
0.199726,-0.0931,0.1515,-0.0924,0.0554,0.1017,0.0170,-2.5800,32.1600,-24.9000,
0.202696,-0.0931,0.1515,-0.0924,0.0554,0.1017,0.0170,-8.2200,30.4200,-28.5600,
0.214403,-0.0931,0.1515,-0.0924,0.0969,0.1177,0.0272,-8.2200,30.4200,-28.5600,
0.234631,-0.0931,0.1515,-0.0924,0.0442,0.0895,0.0240,-8.2200,30.4200,-28.5600,
