
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.016405,0.0000,0.0000,0.0000,-0.1662,0.2019,-0.0043,0.0000,0.0000,0.0000,
0.036284,0.0000,0.0000,0.0000,-0.1662,0.2019,-0.0043,0.0000,0.0000,0.0000,
0.048505,0.0000,0.0000,0.0000,-0.1662,0.2019,-0.0043,0.0000,0.0000,0.0000,
0.053098,0.0000,0.0000,0.0000,-0.1662,0.2019,-0.0043,-17.6400,35.5800,-15.7200,
0.056920,0.0000,0.0000,0.0000,-0.1662,0.2019,-0.0043,-17.6400,35.5800,-15.7200,
0.077810,0.0000,0.0000,0.0000,0.0293,-0.2418,0.0107,-17.6400,35.5800,-15.7200,
0.097849,0.0000,0.0000,0.0000,-0.0245,-0.0485,0.0059,-17.6400,35.5800,-15.7200,
0.110483,0.0000,0.0000,0.0000,-0.0245,-0.0485,0.0059,-17.6400,35.5800,-15.7200,
0.111050,0.2735,0.1355,-0.0851,-0.0245,-0.0485,0.0059,-17.6400,35.5800,-15.7200,
0.114836,0.2735,0.1355,-0.0851,-0.0245,-0.0485,0.0059,-11.0400,20.9400,-29.5800,
0.118443,0.2735,0.1355,-0.0851,-0.0676,0.1076,0.0394,-11.0400,20.9400,-29.5800,
0.138875,0.2735,0.1355,-0.0851,-0.0410,0.0128,0.0314,-11.0400,20.9400,-29.5800,
0.159600,0.2735,0.1355,-0.0851,-0.0442,-0.0937,0.0138,-11.0400,20.9400,-29.5800,
0.171555,0.2735,0.1355,-0.0851,-0.0442,-0.0937,0.0138,-11.0400,20.9400,-29.5800,
0.171987,-0.1681,-0.1373,0.3133,-0.0442,-0.0937,0.0138,-11.0400,20.9400,-29.5800,
0.176345,-0.1681,-0.1373,0.3133,-0.0442,-0.0937,0.0138,-6.9600,13.2600,-37.4400,
0.179973,-0.1681,-0.1373,0.3133,-0.0421,-0.1055,-0.0208,-6.9600,13.2600,-37.4400,
0.200511,-0.1681,-0.1373,0.3133,-0.0543,0.0874,-0.0559,-6.9600,13.2600,-37.4400,
0.221078,-0.1681,-0.1373,0.3133,-0.0937,0.2253,-0.0831,-6.9600,13.2600,-37.4400,
0.233506,-0.1681,-0.1373,0.3133,-0.0937,0.2253,-0.0831,-6.9600,13.2600,-37.4400,
0.233911,0.1559,-0.0085,-0.0069,-0.0937,0.2253,-0.0831,-6.9600,13.2600,-37.4400,
0.238240,0.1559,-0.0085,-0.0069,-0.0937,0.2253,-0.0831,-3.3600,5.1600,-45.4200,
0.241743,0.1559,-0.0085,-0.0069,-0.1177,0.2839,-0.0868,-3.3600,5.1600,-45.4200,
0.262137,0.1559,-0.0085,-0.0069,-0.1401,0.3190,-0.0240,-3.3600,5.1600,-45.4200,
0.282677,0.1559,-0.0085,-0.0069,-0.1289,0.3728,0.1188,-3.3600,5.1600,-45.4200,
0.294847,0.1559,-0.0085,-0.0069,-0.1289,0.3728,0.1188,-3.3600,5.1600,-45.4200,
0.295362,-0.2212,0.1529,-0.1395,-0.1289,0.3728,0.1188,-3.3600,5.1600,-45.4200,
0.299389,-0.2212,0.1529,-0.1395,-0.1289,0.3728,0.1188,-2.7000,5.2800,-45.9000,
0.303284,-0.2212,0.1529,-0.1395,-0.0708,0.5124,0.2125,-2.7000,5.2800,-45.9000,
0.323702,-0.2212,0.1529,-0.1395,-0.1284,1.0056,-0.1465,-2.7000,5.2800,-45.9000,
0.344328,-0.2212,0.1529,-0.1395,-1.1420,1.0013,-0.8687,-2.7000,5.2800,-45.9000,
0.356703,-0.2212,0.1529,-0.1395,-1.1420,1.0013,-0.8687,-2.7000,5.2800,-45.9000,
0.357098,2.1154,-0.0710,1.3464,-1.1420,1.0013,-0.8687,-2.7000,5.2800,-45.9000,
0.361621,2.1154,-0.0710,1.3464,-1.1420,1.0013,-0.8687,-2.2800,5.3400,-45.4800,
0.364794,2.1154,-0.0710,1.3464,-1.2251,0.5651,-1.6602,-2.2800,5.3400,-45.4800,
0.385468,2.1154,-0.0710,1.3464,-1.2197,0.0176,-1.5361,-2.2800,5.3400,-45.4800,
0.405758,2.1154,-0.0710,1.3464,-1.2091,-0.3531,-1.3103,-2.2800,5.3400,-45.4800,
0.417859,2.1154,-0.0710,1.3464,-1.2091,-0.3531,-1.3103,-2.2800,5.3400,-45.4800,
0.418223,-0.7813,2.2469,-0.5552,-1.2091,-0.3531,-1.3103,-2.2800,5.3400,-45.4800,
0.422597,-0.7813,2.2469,-0.5552,-1.2091,-0.3531,-1.3103,-1.8000,5.7000,-45.3600,
0.426272,-0.7813,2.2469,-0.5552,-0.9992,-0.0256,-1.0392,-1.8000,5.7000,-45.3600,
0.446942,-0.7813,2.2469,-0.5552,-0.6445,-0.0021,-0.8256,-1.8000,5.7000,-45.3600,
0.467267,-0.7813,2.2469,-0.5552,-0.4096,-0.2695,-0.9358,-1.8000,5.7000,-45.3600,
0.479758,-0.7813,2.2469,-0.5552,-0.4096,-0.2695,-0.9358,-1.8000,5.7000,-45.3600,
0.480180,1.7368,-1.0569,-0.1184,-0.4096,-0.2695,-0.9358,-1.8000,5.7000,-45.3600,
0.484157,1.7368,-1.0569,-0.1184,-0.4096,-0.2695,-0.9358,-0.7800,7.2000,-45.0600,
0.488374,1.7368,-1.0569,-0.1184,-0.5044,-0.0469,-1.4578,-0.7800,7.2000,-45.0600,
0.508351,1.7368,-1.0569,-0.1184,-0.9087,-0.0964,-2.0805,-0.7800,7.2000,-45.0600,
0.528934,1.7368,-1.0569,-0.1184,-1.0179,-0.3483,-2.5220,-0.7800,7.2000,-45.0600,
0.541317,1.7368,-1.0569,-0.1184,-1.0179,-0.3483,-2.5220,-0.7800,7.2000,-45.0600,
0.541769,3.7321,0.5321,-0.0329,-1.0179,-0.3483,-2.5220,-0.7800,7.2000,-45.0600,
0.545636,3.7321,0.5321,-0.0329,-1.0179,-0.3483,-2.5220,-0.7200,8.8200,-44.4000,
0.549448,3.7321,0.5321,-0.0329,-0.9348,-0.4000,-3.2325,-0.7200,8.8200,-44.4000,
0.569972,3.7321,0.5321,-0.0329,-0.9699,-0.4858,-3.9543,-0.7200,8.8200,-44.4000,
0.590424,3.7321,0.5321,-0.0329,-0.8634,-0.3031,-4.4762,-0.7200,8.8200,-44.4000,
0.603052,3.7321,0.5321,-0.0329,-0.8634,-0.3031,-4.4762,-0.7200,8.8200,-44.4000,
0.603535,3.8406,2.8855,-0.8834,-0.8634,-0.3031,-4.4762,-0.7200,8.8200,-44.4000,
0.607602,3.8406,2.8855,-0.8834,-0.8634,-0.3031,-4.4762,-1.0800,10.9800,-44.0400,
0.611081,3.8406,2.8855,-0.8834,-0.8629,0.1587,-4.9109,-1.0800,10.9800,-44.0400,
0.631533,3.8406,2.8855,-0.8834,-1.0312,-0.1369,-5.2725,-1.0800,10.9800,-44.0400,
0.652707,3.8406,2.8855,-0.8834,-1.1313,-0.4527,-5.3716,-1.0800,10.9800,-44.0400,
0.664265,3.8406,2.8855,-0.8834,-1.1313,-0.4527,-5.3716,-1.0800,10.9800,-44.0400,
0.664641,-0.9203,-3.6107,-0.9548,-1.1313,-0.4527,-5.3716,-1.0800,10.9800,-44.0400,
0.669654,-0.9203,-3.6107,-0.9548,-1.1313,-0.4527,-5.3716,-3.0000,12.6000,-43.5600,
0.672580,-0.9203,-3.6107,-0.9548,-1.1281,-1.2091,-5.8329,-3.0000,12.6000,-43.5600,
0.693137,-0.9203,-3.6107,-0.9548,0.4762,-6.1130,-6.5615,-3.0000,12.6000,-43.5600,
0.713688,-0.9203,-3.6107,-0.9548,-0.6157,-7.6635,-4.5002,-3.0000,12.6000,-43.5600,
0.726187,-0.9203,-3.6107,-0.9548,-0.6157,-7.6635,-4.5002,-3.0000,12.6000,-43.5600,
0.726560,-4.5723,4.4398,0.4984,-0.6157,-7.6635,-4.5002,-3.0000,12.6000,-43.5600,
0.730639,-4.5723,4.4398,0.4984,-0.6157,-7.6635,-4.5002,-6.3600,12.7200,-43.4400,
0.734226,-4.5723,4.4398,0.4984,-1.7103,-5.9128,-2.2685,-6.3600,12.7200,-43.4400,
0.754630,-4.5723,4.4398,0.4984,-0.5028,-2.1710,-0.3292,-6.3600,12.7200,-43.4400,
0.775211,-4.5723,4.4398,0.4984,1.2773,0.5577,0.7776,-6.3600,12.7200,-43.4400,
0.787387,-4.5723,4.4398,0.4984,1.2773,0.5577,0.7776,-6.3600,12.7200,-43.4400,
0.787903,3.4551,0.0539,-2.5175,1.2773,0.5577,0.7776,-6.3600,12.7200,-43.4400,
0.791860,3.4551,0.0539,-2.5175,1.2773,0.5577,0.7776,-13.3200,11.4600,-41.4000,
0.795831,3.4551,0.0539,-2.5175,1.3172,2.3697,0.4069,-13.3200,11.4600,-41.4000,
0.816253,3.4551,0.0539,-2.5175,0.6525,2.6770,-0.0810,-13.3200,11.4600,-41.4000,
0.836847,3.4551,0.0539,-2.5175,0.1422,1.7662,-0.1001,-13.3200,11.4600,-41.4000,
