
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.058865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.079835,0.0000,0.0000,0.0000,-0.0463,-0.1044,-0.0029,0.0000,0.0000,0.0000,
0.109455,0.0000,0.0000,0.0000,-0.0463,-0.1044,-0.0029,13.0875,27.4500,33.5250,
0.120326,0.0000,0.0000,0.0000,-0.0463,-0.1044,-0.0029,13.0875,27.4500,33.5250,
0.140369,0.0000,0.0000,0.0000,-0.0069,0.0537,-0.0154,13.0875,27.4500,33.5250,
0.169229,0.0000,0.0000,0.0000,-0.0069,0.0537,-0.0154,13.2750,27.4875,33.1500,
0.181221,0.0000,0.0000,0.0000,-0.0069,0.0537,-0.0154,13.2750,27.4875,33.1500,
0.182338,0.0000,0.0000,0.0000,-0.0069,0.0537,-0.0154,13.2750,27.4875,33.1500,
0.203004,0.0000,0.0000,0.0000,0.0453,0.0696,-0.0240,13.2750,27.4875,33.1500,
0.227770,0.0000,0.0000,0.0000,0.0453,0.0696,-0.0240,13.4625,27.6000,32.8313,
0.242942,-0.0553,0.0278,-0.0161,0.0453,0.0696,-0.0240,13.4625,27.6000,32.8313,
0.244450,-0.0553,0.0278,-0.0161,0.0453,0.0696,-0.0240,13.4625,27.6000,32.8313,
0.262283,-0.0553,0.0278,-0.0161,0.0581,0.1441,-0.0381,13.4625,27.6000,32.8313,
0.289526,-0.0553,0.0278,-0.0161,0.0581,0.1441,-0.0381,13.4063,27.7500,32.5500,
0.302829,-0.0553,0.0278,-0.0161,0.0581,0.1441,-0.0381,13.4063,27.7500,32.5500,
0.303841,0.0573,0.0534,-0.0726,0.0581,0.1441,-0.0381,13.4063,27.7500,32.5500,
0.324010,0.0573,0.0534,-0.0726,0.0521,0.1091,0.0282,13.4063,27.7500,32.5500,
0.348139,0.0573,0.0534,-0.0726,0.0521,0.1091,0.0282,13.2563,27.8625,32.3250,
0.364327,0.0573,0.0534,-0.0726,0.0521,0.1091,0.0282,13.2563,27.8625,32.3250,
0.365464,-0.0743,0.0791,-0.0075,0.0521,0.1091,0.0282,13.2563,27.8625,32.3250,
0.383930,-0.0743,0.0791,-0.0075,-0.0289,-0.1055,0.0904,13.2563,27.8625,32.3250,
0.408600,-0.0743,0.0791,-0.0075,-0.0289,-0.1055,0.0904,13.2375,28.1063,32.0813,
0.424689,-0.0743,0.0791,-0.0075,-0.0289,-0.1055,0.0904,13.2375,28.1063,32.0813,
0.444622,-0.0743,0.0791,-0.0075,-0.0985,-0.2459,0.2598,13.2375,28.1063,32.0813,
