
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.032196,0.0000,0.0000,0.0000,-0.1310,-0.4250,-0.2093,0.0000,0.0000,0.0000,
0.053026,0.0000,0.0000,0.0000,-0.1310,-0.4250,-0.2093,0.0000,0.0000,0.0000,
0.053439,0.0000,0.0000,0.0000,-0.1310,-0.4250,-0.2093,-40.4400,-14.9400,-4.2600,
0.053805,0.0000,0.0000,0.0000,-0.1310,-0.4250,-0.2093,-40.4400,-14.9400,-4.2600,
0.073050,0.0000,0.0000,0.0000,-0.2285,-0.2498,-0.4282,-40.4400,-14.9400,-4.2600,
0.093611,0.0000,0.0000,0.0000,-0.2743,0.0495,-0.4224,-40.4400,-14.9400,-4.2600,
0.114976,0.0000,0.0000,0.0000,-0.2743,0.0495,-0.4224,-40.4400,-14.9400,-4.2600,
0.115721,0.2927,0.2007,-0.0764,-0.2743,0.0495,-0.4224,-40.4400,-14.9400,-4.2600,
0.116560,0.2927,0.2007,-0.0764,-0.2743,0.0495,-0.4224,-23.5800,1.6800,-19.3200,
0.117216,0.2927,0.2007,-0.0764,-0.2301,0.1140,-0.5124,-23.5800,1.6800,-19.3200,
0.134951,0.2927,0.2007,-0.0764,-0.1401,0.1470,-0.4218,-23.5800,1.6800,-19.3200,
0.155415,0.2927,0.2007,-0.0764,0.0218,0.1204,-0.2035,-23.5800,1.6800,-19.3200,
0.176316,0.2927,0.2007,-0.0764,0.0218,0.1204,-0.2035,-23.5800,1.6800,-19.3200,
0.176895,0.2927,0.2007,-0.0764,0.0218,0.1204,-0.2035,-16.0200,9.5400,-26.1600,
0.177474,0.2927,0.2007,-0.0764,0.2455,0.1411,-0.0660,-16.0200,9.5400,-26.1600,
0.177989,-0.6342,-0.1224,0.3041,0.2455,0.1411,-0.0660,-16.0200,9.5400,-26.1600,
0.196086,-0.6342,-0.1224,0.3041,0.2599,0.0959,-0.0085,-16.0200,9.5400,-26.1600,
0.216930,-0.6342,-0.1224,0.3041,0.1177,0.0485,-0.0602,-16.0200,9.5400,-26.1600,
0.237624,-0.6342,-0.1224,0.3041,0.1177,0.0485,-0.0602,-16.0200,9.5400,-26.1600,
0.238051,-0.6342,-0.1224,0.3041,0.1177,0.0485,-0.0602,-7.8000,17.2200,-33.4200,
0.238534,-0.6342,-0.1224,0.3041,-0.0431,0.0655,-0.1204,-7.8000,17.2200,-33.4200,
0.238754,0.0353,-0.0315,-0.1587,-0.0431,0.0655,-0.1204,-7.8000,17.2200,-33.4200,
0.257436,0.0353,-0.0315,-0.1587,-0.1768,0.1071,-0.1071,-7.8000,17.2200,-33.4200,
0.278343,0.0353,-0.0315,-0.1587,-0.2754,0.0618,-0.0991,-7.8000,17.2200,-33.4200,
0.299433,0.0353,-0.0315,-0.1587,-0.2754,0.0618,-0.0991,-7.8000,17.2200,-33.4200,
0.300042,0.0353,-0.0315,-0.1587,-0.2754,0.0618,-0.0991,-8.1000,17.4000,-33.7200,
0.300645,0.0353,-0.0315,-0.1587,-0.3015,0.0107,-0.4661,-8.1000,17.4000,-33.7200,
0.301048,2.8247,2.0359,-0.5052,-0.3015,0.0107,-0.4661,-8.1000,17.4000,-33.7200,
0.319807,2.8247,2.0359,-0.5052,-0.4900,0.4059,-1.5574,-8.1000,17.4000,-33.7200,
0.339692,2.8247,2.0359,-0.5052,-0.7744,0.2445,-2.8091,-8.1000,17.4000,-33.7200,
0.361033,2.8247,2.0359,-0.5052,-0.7744,0.2445,-2.8091,-8.1000,17.4000,-33.7200,
0.361685,2.8247,2.0359,-0.5052,-0.7744,0.2445,-2.8091,-8.5200,17.4000,-33.7800,
0.362112,2.8247,2.0359,-0.5052,-0.6823,0.6780,-4.1151,-8.5200,17.4000,-33.7800,
0.362680,5.2723,1.0910,-1.4712,-0.6823,0.6780,-4.1151,-8.5200,17.4000,-33.7800,
0.380835,5.2723,1.0910,-1.4712,-0.1656,1.1553,-4.7559,-8.5200,17.4000,-33.7800,
0.401351,5.2723,1.0910,-1.4712,0.0075,1.4365,-4.4933,-8.5200,17.4000,-33.7800,
0.422693,5.2723,1.0910,-1.4712,0.0075,1.4365,-4.4933,-8.5200,17.4000,-33.7800,
0.423391,5.2723,1.0910,-1.4712,0.0075,1.4365,-4.4933,-8.6400,17.5200,-33.6600,
0.424069,5.2723,1.0910,-1.4712,-0.3585,1.8733,-3.4770,-8.6400,17.5200,-33.6600,
0.424799,-2.3910,0.7917,-2.4062,-0.3585,1.8733,-3.4770,-8.6400,17.5200,-33.6600,
0.443643,-2.3910,0.7917,-2.4062,-0.4655,1.6565,-2.4245,-8.6400,17.5200,-33.6600,
