
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.013444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.013625,0.0000,0.0000,0.0000,0.1135,-0.1896,0.0884,0.0000,0.0000,0.0000,
0.034648,0.0000,0.0000,0.0000,0.1135,-0.1896,0.0884,0.0000,0.0000,0.0000,
0.055017,0.0000,0.0000,0.0000,0.1135,-0.1896,0.0884,0.0000,0.0000,0.0000,
0.067530,0.0000,0.0000,0.0000,0.1135,-0.1896,0.0884,0.0000,0.0000,0.0000,
0.068151,0.4205,0.7178,-0.0360,0.1135,-0.1896,0.0884,0.0000,0.0000,0.0000,
0.072135,0.4205,0.7178,-0.0360,0.1135,-0.1896,0.0884,-23.1600,30.6600,-11.4000,
0.075660,0.4205,0.7178,-0.0360,0.0650,0.2040,-0.4155,-23.1600,30.6600,-11.4000,
0.096131,0.4205,0.7178,-0.0360,-0.0533,0.3404,-0.4826,-23.1600,30.6600,-11.4000,
0.116721,0.4205,0.7178,-0.0360,0.0256,0.5113,-0.6264,-23.1600,30.6600,-11.4000,
0.129092,0.4205,0.7178,-0.0360,0.0256,0.5113,-0.6264,-23.1600,30.6600,-11.4000,
0.129444,0.1882,0.7071,-0.0027,0.0256,0.5113,-0.6264,-23.1600,30.6600,-11.4000,
0.133363,0.1882,0.7071,-0.0027,0.0256,0.5113,-0.6264,-23.0400,29.0400,-18.4800,
0.137326,0.1882,0.7071,-0.0027,0.0325,0.6972,-0.7313,-23.0400,29.0400,-18.4800,
0.157604,0.1882,0.7071,-0.0027,-0.1060,1.0743,-0.9502,-23.0400,29.0400,-18.4800,
0.178081,0.1882,0.7071,-0.0027,-0.2748,1.4030,-1.0914,-23.0400,29.0400,-18.4800,
0.191199,0.1882,0.7071,-0.0027,-0.2748,1.4030,-1.0914,-23.0400,29.0400,-18.4800,
0.191691,0.9374,1.5046,-0.1021,-0.2748,1.4030,-1.0914,-23.0400,29.0400,-18.4800,
0.195769,0.9374,1.5046,-0.1021,-0.2748,1.4030,-1.0914,-23.7600,27.3000,-21.5400,
0.198879,0.9374,1.5046,-0.1021,-0.3451,1.4562,-1.2016,-23.7600,27.3000,-21.5400,
0.219305,0.9374,1.5046,-0.1021,-0.1768,1.2991,-1.3609,-23.7600,27.3000,-21.5400,
0.240034,0.9374,1.5046,-0.1021,0.0144,1.2437,-1.3843,-23.7600,27.3000,-21.5400,
0.252629,0.9374,1.5046,-0.1021,0.0144,1.2437,-1.3843,-23.7600,27.3000,-21.5400,
0.253167,-0.0266,0.3399,-0.1469,0.0144,1.2437,-1.3843,-23.7600,27.3000,-21.5400,
0.257331,-0.0266,0.3399,-0.1469,0.0144,1.2437,-1.3843,-24.5400,25.3800,-25.3200,
0.260901,-0.0266,0.3399,-0.1469,0.0458,1.1318,-1.0663,-24.5400,25.3800,-25.3200,
0.281776,-0.0266,0.3399,-0.1469,0.0352,1.0983,-0.5928,-24.5400,25.3800,-25.3200,
0.302239,-0.0266,0.3399,-0.1469,0.0783,1.1851,-0.1971,-24.5400,25.3800,-25.3200,
0.314375,-0.0266,0.3399,-0.1469,0.0783,1.1851,-0.1971,-24.5400,25.3800,-25.3200,
0.314958,-0.7558,-3.6801,0.4654,0.0783,1.1851,-0.1971,-24.5400,25.3800,-25.3200,
0.319470,-0.7558,-3.6801,0.4654,0.0783,1.1851,-0.1971,-24.4800,24.4800,-26.5200,
0.322596,-0.7558,-3.6801,0.4654,0.0373,0.9113,0.1150,-24.4800,24.4800,-26.5200,
0.342661,-0.7558,-3.6801,0.4654,-0.0485,0.2770,0.3052,-24.4800,24.4800,-26.5200,
0.363577,-0.7558,-3.6801,0.4654,-0.0362,-0.2796,0.0985,-24.4800,24.4800,-26.5200,
0.377052,-0.7558,-3.6801,0.4654,-0.0362,-0.2796,0.0985,-24.4800,24.4800,-26.5200,
0.377648,3.6073,-0.6723,0.5559,-0.0362,-0.2796,0.0985,-24.4800,24.4800,-26.5200,
0.380717,3.6073,-0.6723,0.5559,-0.0362,-0.2796,0.0985,-24.1800,23.2200,-27.1800,
0.383942,3.6073,-0.6723,0.5559,0.0304,-0.4213,-0.1491,-24.1800,23.2200,-27.1800,
0.404882,3.6073,-0.6723,0.5559,0.1294,-0.3894,-0.0479,-24.1800,23.2200,-27.1800,
0.425132,3.6073,-0.6723,0.5559,0.2104,-0.0900,0.0314,-24.1800,23.2200,-27.1800,
0.437766,3.6073,-0.6723,0.5559,0.2104,-0.0900,0.0314,-24.1800,23.2200,-27.1800,
0.438300,0.4642,-0.4286,-0.8559,0.2104,-0.0900,0.0314,-24.1800,23.2200,-27.1800,
0.441946,0.4642,-0.4286,-0.8559,0.2104,-0.0900,0.0314,-23.3400,22.8600,-28.4400,
0.445891,0.4642,-0.4286,-0.8559,0.1667,0.3941,0.0937,-23.3400,22.8600,-28.4400,
0.466117,0.4642,-0.4286,-0.8559,0.1252,0.6440,0.1225,-23.3400,22.8600,-28.4400,
0.487193,0.4642,-0.4286,-0.8559,0.1715,0.5806,0.1342,-23.3400,22.8600,-28.4400,
