
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.011426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.025793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.026415,0.0000,0.0000,0.0000,0.2642,0.2455,-0.1406,0.0000,0.0000,0.0000,
0.026813,0.1480,0.1763,-0.0722,0.2642,0.2455,-0.1406,0.0000,0.0000,0.0000,
0.046904,0.1480,0.1763,-0.0722,0.2642,0.2455,-0.1406,0.0000,0.0000,0.0000,
0.047454,0.1148,0.0442,-0.1568,0.2642,0.2455,-0.1406,0.0000,0.0000,0.0000,
0.048019,0.1148,0.0442,-0.1568,0.2642,0.2455,-0.1406,0.1200,33.4800,-24.1200,
0.048432,0.1148,0.0442,-0.1568,0.2642,0.2455,-0.1406,0.1200,33.4800,-24.1200,
0.067218,0.1148,0.0442,-0.1568,0.2642,0.2455,-0.1406,0.1200,33.4800,-24.1200,
0.067750,0.1148,0.0442,-0.1568,0.2642,0.2455,-0.1406,0.1200,33.4800,-24.1200,
0.068122,-0.1136,-0.1873,-0.1294,0.2642,0.2455,-0.1406,0.1200,33.4800,-24.1200,
0.087333,-0.1136,-0.1873,-0.1294,0.2642,0.2455,-0.1406,0.1200,33.4800,-24.1200,
0.087921,-0.1136,-0.1873,-0.1294,0.0165,0.1907,-0.1933,0.1200,33.4800,-24.1200,
0.088373,-0.4960,-0.4410,-0.3594,0.0165,0.1907,-0.1933,0.1200,33.4800,-24.1200,
0.108447,-0.4960,-0.4410,-0.3594,0.0165,0.1907,-0.1933,0.1200,33.4800,-24.1200,
0.108840,-0.4960,-0.4410,-0.3594,0.0165,0.1907,-0.1933,-9.5400,26.7600,-29.8200,
0.109224,-0.4960,-0.4410,-0.3594,-0.0261,0.1656,-0.1630,-9.5400,26.7600,-29.8200,
0.109527,-0.2355,0.0084,-0.5504,-0.0261,0.1656,-0.1630,-9.5400,26.7600,-29.8200,
0.128672,-0.2355,0.0084,-0.5504,-0.0261,0.1656,-0.1630,-9.5400,26.7600,-29.8200,
0.129214,-0.2355,0.0084,-0.5504,-0.0682,0.1395,-0.1305,-9.5400,26.7600,-29.8200,
0.129706,0.2272,0.0931,-0.6028,-0.0682,0.1395,-0.1305,-9.5400,26.7600,-29.8200,
0.149271,0.2272,0.0931,-0.6028,-0.0682,0.1395,-0.1305,-9.5400,26.7600,-29.8200,
0.150187,0.2272,0.0931,-0.6028,-0.1017,0.1236,-0.1374,-9.5400,26.7600,-29.8200,
0.150736,0.3954,-0.1536,-0.5204,-0.1017,0.1236,-0.1374,-9.5400,26.7600,-29.8200,
0.170580,0.3954,-0.1536,-0.5204,-0.1017,0.1236,-0.1374,-9.5400,26.7600,-29.8200,
0.171335,0.3947,-0.3403,-0.3075,-0.1017,0.1236,-0.1374,-9.5400,26.7600,-29.8200,
0.172067,0.3947,-0.3403,-0.3075,-0.1017,0.1236,-0.1374,-13.4400,23.5200,-32.4600,
0.172678,0.3947,-0.3403,-0.3075,-0.0948,0.2727,-0.1981,-13.4400,23.5200,-32.4600,
0.190572,0.3947,-0.3403,-0.3075,-0.0948,0.2727,-0.1981,-13.4400,23.5200,-32.4600,
0.191492,0.1011,-0.0196,-0.2883,-0.0948,0.2727,-0.1981,-13.4400,23.5200,-32.4600,
0.192454,0.1011,-0.0196,-0.2883,-0.1087,0.4613,-0.1800,-13.4400,23.5200,-32.4600,
0.210940,0.1011,-0.0196,-0.2883,-0.1087,0.4613,-0.1800,-13.4400,23.5200,-32.4600,
0.211611,0.1011,-0.0196,-0.2883,-0.0783,0.7814,-0.1859,-13.4400,23.5200,-32.4600,
0.212317,0.0301,-0.2793,-0.3332,-0.0783,0.7814,-0.1859,-13.4400,23.5200,-32.4600,
0.232108,0.0301,-0.2793,-0.3332,-0.0783,0.7814,-0.1859,-13.4400,23.5200,-32.4600,
