
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.015321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.034676,0.0000,0.0000,0.0000,-0.1204,0.1502,-0.2812,0.0000,0.0000,0.0000,
0.053647,0.0000,0.0000,0.0000,-0.1204,0.1502,-0.2812,0.0000,0.0000,0.0000,
0.074563,0.0000,0.0000,0.0000,-0.1204,0.1502,-0.2812,0.0000,0.0000,0.0000,
0.075103,0.0000,0.0000,0.0000,-0.5167,0.6200,-0.9731,0.0000,0.0000,0.0000,
0.075635,-0.0885,0.8172,0.0573,-0.5167,0.6200,-0.9731,0.0000,0.0000,0.0000,
0.079203,-0.0885,0.8172,0.0573,-0.5167,0.6200,-0.9731,-46.4400,-1.0200,1.2600,
0.094524,-0.0885,0.8172,0.0573,-0.7425,1.0061,-1.3065,-46.4400,-1.0200,1.2600,
0.115802,-0.0885,0.8172,0.0573,-1.1787,0.7723,-0.9827,-46.4400,-1.0200,1.2600,
0.136169,-0.0885,0.8172,0.0573,-1.1787,0.7723,-0.9827,-46.4400,-1.0200,1.2600,
0.136681,-0.0885,0.8172,0.0573,-1.1420,1.1185,-0.6306,-46.4400,-1.0200,1.2600,
0.137138,-0.8526,7.2298,0.5048,-1.1420,1.1185,-0.6306,-46.4400,-1.0200,1.2600,
0.140313,-0.8526,7.2298,0.5048,-1.1420,1.1185,-0.6306,-43.8600,7.1400,-8.1000,
0.156469,-0.8526,7.2298,0.5048,-1.0551,1.1180,-0.0410,-43.8600,7.1400,-8.1000,
0.176975,-0.8526,7.2298,0.5048,-0.7579,0.9790,0.3244,-43.8600,7.1400,-8.1000,
0.197738,-0.8526,7.2298,0.5048,-0.7579,0.9790,0.3244,-43.8600,7.1400,-8.1000,
0.198305,-0.8526,7.2298,0.5048,-0.3435,0.9955,0.5087,-43.8600,7.1400,-8.1000,
0.198983,1.0600,8.2598,0.6794,-0.3435,0.9955,0.5087,-43.8600,7.1400,-8.1000,
0.202091,1.0600,8.2598,0.6794,-0.3435,0.9955,0.5087,-42.3600,11.0400,-12.8400,
0.217948,1.0600,8.2598,0.6794,-0.3308,1.4466,0.5646,-42.3600,11.0400,-12.8400,
0.238807,1.0600,8.2598,0.6794,-0.6887,2.5247,-0.2977,-42.3600,11.0400,-12.8400,
0.259318,1.0600,8.2598,0.6794,-0.6887,2.5247,-0.2977,-42.3600,11.0400,-12.8400,
0.259905,1.0600,8.2598,0.6794,-0.7095,5.2784,-2.2312,-42.3600,11.0400,-12.8400,
