
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.023485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7000,33.7200,-22.8000,
0.035698,0.0000,0.0000,0.0000,0.0021,0.0096,0.0064,8.7000,33.7200,-22.8000,
0.039880,0.0000,0.0000,0.0000,0.0021,0.0096,0.0064,8.7000,33.7200,-22.8000,
0.055010,0.0000,0.0000,0.0000,0.0021,0.0096,0.0064,8.7000,33.7200,-22.8000,
0.076294,0.0000,0.0000,0.0000,0.0469,0.0442,-0.0186,8.7000,33.7200,-22.8000,
0.085158,0.0000,0.0000,0.0000,0.0469,0.0442,-0.0186,-4.8600,27.3600,-30.3600,
0.095944,0.0000,0.0000,0.0000,0.0506,0.0591,-0.0368,-4.8600,27.3600,-30.3600,
0.101444,0.0000,0.0000,0.0000,0.0506,0.0591,-0.0368,-4.8600,27.3600,-30.3600,
0.102207,0.0191,0.0369,0.0015,0.0506,0.0591,-0.0368,-4.8600,27.3600,-30.3600,
0.117728,0.0191,0.0369,0.0015,0.0266,0.0921,-0.0570,-4.8600,27.3600,-30.3600,
0.137094,0.0191,0.0369,0.0015,-0.0192,0.1278,-0.0357,-4.8600,27.3600,-30.3600,
0.146557,0.0191,0.0369,0.0015,-0.0192,0.1278,-0.0357,-11.3400,24.0000,-33.7200,
0.159880,0.0191,0.0369,0.0015,-0.0426,0.0746,0.0117,-11.3400,24.0000,-33.7200,
0.161593,0.0191,0.0369,0.0015,-0.0426,0.0746,0.0117,-11.3400,24.0000,-33.7200,
0.162150,0.0749,-0.0586,0.1088,-0.0426,0.0746,0.0117,-11.3400,24.0000,-33.7200,
0.178126,0.0749,-0.0586,0.1088,-0.0362,0.0415,-0.0059,-11.3400,24.0000,-33.7200,
0.199161,0.0749,-0.0586,0.1088,0.0176,0.0037,-0.0218,-11.3400,24.0000,-33.7200,
0.207774,0.0749,-0.0586,0.1088,0.0176,0.0037,-0.0218,-17.3400,20.5200,-37.8000,
0.219602,0.0749,-0.0586,0.1088,0.0426,0.0085,-0.0202,-17.3400,20.5200,-37.8000,
0.225048,0.0749,-0.0586,0.1088,0.0426,0.0085,-0.0202,-17.3400,20.5200,-37.8000,
0.225782,-0.1540,0.0330,-0.0022,0.0426,0.0085,-0.0202,-17.3400,20.5200,-37.8000,
0.240160,-0.1540,0.0330,-0.0022,0.0341,0.0101,-0.0059,-17.3400,20.5200,-37.8000,
0.259803,-0.1540,0.0330,-0.0022,0.0320,0.0048,-0.0037,-17.3400,20.5200,-37.8000,
0.269398,-0.1540,0.0330,-0.0022,0.0320,0.0048,-0.0037,-16.9800,20.5800,-37.6800,
0.281087,-0.1540,0.0330,-0.0022,0.0991,-0.0160,-0.0112,-16.9800,20.5800,-37.6800,
0.285061,-0.1540,0.0330,-0.0022,0.0991,-0.0160,-0.0112,-16.9800,20.5800,-37.6800,
0.285636,-0.0485,-0.0718,0.0302,0.0991,-0.0160,-0.0112,-16.9800,20.5800,-37.6800,
0.301124,-0.0485,-0.0718,0.0302,0.1694,0.0405,-0.0421,-16.9800,20.5800,-37.6800,
0.322518,-0.0485,-0.0718,0.0302,0.0767,0.2972,-0.2589,-16.9800,20.5800,-37.6800,
0.331262,-0.0485,-0.0718,0.0302,0.0767,0.2972,-0.2589,-16.8600,20.7000,-37.8600,
0.342470,-0.0485,-0.0718,0.0302,-0.6456,1.4594,-0.9742,-16.8600,20.7000,-37.8600,
0.346737,-0.0485,-0.0718,0.0302,-0.6456,1.4594,-0.9742,-16.8600,20.7000,-37.8600,
0.347192,2.3581,2.7952,-3.4442,-0.6456,1.4594,-0.9742,-16.8600,20.7000,-37.8600,
0.362956,2.3581,2.7952,-3.4442,-1.6666,3.0461,-2.5007,-16.8600,20.7000,-37.8600,
0.383921,2.3581,2.7952,-3.4442,-0.6163,3.2309,-2.7894,-16.8600,20.7000,-37.8600,
0.393928,2.3581,2.7952,-3.4442,-0.6163,3.2309,-2.7894,-17.1000,20.2200,-38.4000,
0.404161,2.3581,2.7952,-3.4442,0.8490,1.5068,-1.8594,-17.1000,20.2200,-38.4000,
0.408492,2.3581,2.7952,-3.4442,0.8490,1.5068,-1.8594,-17.1000,20.2200,-38.4000,
0.409131,-0.9049,6.7123,1.7406,0.8490,1.5068,-1.8594,-17.1000,20.2200,-38.4000,
0.424278,-0.9049,6.7123,1.7406,1.2181,-0.1342,-1.0589,-17.1000,20.2200,-38.4000,
0.445193,-0.9049,6.7123,1.7406,0.6093,0.8756,-0.6908,-17.1000,20.2200,-38.4000,
