
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.019805,0.0000,0.0000,0.0000,-0.0336,0.0581,0.0069,0.0000,0.0000,0.0000,
0.040800,0.0000,0.0000,0.0000,-0.0336,0.0581,0.0069,6.4200,-50.5200,2.7000,
0.041586,0.0000,0.0000,0.0000,-0.0336,0.0581,0.0069,6.4200,-50.5200,2.7000,
0.051965,0.0000,0.0000,0.0000,-0.0336,0.0581,0.0069,6.4200,-50.5200,2.7000,
0.060469,0.0000,0.0000,0.0000,-0.0336,0.0581,0.0069,6.4200,-50.5200,2.7000,
0.080648,0.0000,0.0000,0.0000,0.0138,0.0687,0.0144,6.4200,-50.5200,2.7000,
0.101713,0.0000,0.0000,0.0000,0.0138,0.0687,0.0144,11.1000,-22.5600,-18.1800,
0.102352,0.0000,0.0000,0.0000,-0.0186,0.0032,0.0490,11.1000,-22.5600,-18.1800,
0.113580,0.0000,0.0000,0.0000,-0.0186,0.0032,0.0490,11.1000,-22.5600,-18.1800,
0.114331,-0.0288,-0.1217,0.0124,-0.0186,0.0032,0.0490,11.1000,-22.5600,-18.1800,
0.121589,-0.0288,-0.1217,0.0124,-0.0314,-0.0053,0.0288,11.1000,-22.5600,-18.1800,
0.142233,-0.0288,-0.1217,0.0124,-0.0245,0.0064,0.0032,11.1000,-22.5600,-18.1800,
0.163437,-0.0288,-0.1217,0.0124,-0.0245,0.0064,0.0032,13.3200,-8.6400,-28.2000,
0.164310,-0.0288,-0.1217,0.0124,0.0069,0.0501,0.0064,13.3200,-8.6400,-28.2000,
0.174783,-0.0288,-0.1217,0.0124,0.0069,0.0501,0.0064,13.3200,-8.6400,-28.2000,
0.175537,0.0554,-0.0935,0.0145,0.0069,0.0501,0.0064,13.3200,-8.6400,-28.2000,
0.183649,0.0554,-0.0935,0.0145,0.0043,0.0682,-0.0059,13.3200,-8.6400,-28.2000,
0.204823,0.0554,-0.0935,0.0145,-0.0309,0.0889,-0.0154,13.3200,-8.6400,-28.2000,
0.225094,0.0554,-0.0935,0.0145,-0.0309,0.0889,-0.0154,16.3800,5.3400,-38.1600,
0.225842,0.0554,-0.0935,0.0145,-0.0682,0.0820,0.0165,16.3800,5.3400,-38.1600,
0.237021,0.0554,-0.0935,0.0145,-0.0682,0.0820,0.0165,16.3800,5.3400,-38.1600,
0.237602,-0.2485,0.0524,0.0072,-0.0682,0.0820,0.0165,16.3800,5.3400,-38.1600,
0.245423,-0.2485,0.0524,0.0072,-0.0911,0.1427,0.0623,16.3800,5.3400,-38.1600,
0.265737,-0.2485,0.0524,0.0072,-0.0852,0.3526,0.0490,16.3800,5.3400,-38.1600,
0.287266,-0.2485,0.0524,0.0072,-0.0852,0.3526,0.0490,16.8000,5.4000,-37.7400,
0.288256,-0.2485,0.0524,0.0072,-0.0320,0.3867,0.0107,16.8000,5.4000,-37.7400,
0.298267,-0.2485,0.0524,0.0072,-0.0320,0.3867,0.0107,16.8000,5.4000,-37.7400,
0.298925,-0.1680,-0.2529,-0.0496,-0.0320,0.3867,0.0107,16.8000,5.4000,-37.7400,
0.307103,-0.1680,-0.2529,-0.0496,-0.1113,0.3595,0.0559,16.8000,5.4000,-37.7400,
0.326678,-0.1680,-0.2529,-0.0496,-0.0831,0.2791,0.1539,16.8000,5.4000,-37.7400,
0.348215,-0.1680,-0.2529,-0.0496,-0.0831,0.2791,0.1539,16.5000,5.1000,-37.6800,
0.349023,-0.1680,-0.2529,-0.0496,-0.2210,0.2354,0.1023,16.5000,5.1000,-37.6800,
0.359860,-0.1680,-0.2529,-0.0496,-0.2210,0.2354,0.1023,16.5000,5.1000,-37.6800,
0.360467,-0.2125,0.5088,0.0491,-0.2210,0.2354,0.1023,16.5000,5.1000,-37.6800,
0.368023,-0.2125,0.5088,0.0491,-0.1129,-0.1198,0.0101,16.5000,5.1000,-37.6800,
0.388490,-0.2125,0.5088,0.0491,-0.0224,-0.7089,-0.4144,16.5000,5.1000,-37.6800,
0.409465,-0.2125,0.5088,0.0491,-0.0224,-0.7089,-0.4144,17.3400,5.4000,-37.6800,
0.410069,-0.2125,0.5088,0.0491,0.0362,-2.3745,-1.4828,17.3400,5.4000,-37.6800,
0.420882,-0.2125,0.5088,0.0491,0.0362,-2.3745,-1.4828,17.3400,5.4000,-37.6800,
0.421575,0.1837,-0.0575,-2.1297,0.0362,-2.3745,-1.4828,17.3400,5.4000,-37.6800,
0.429288,0.1837,-0.0575,-2.1297,-0.6562,-2.3537,-1.6687,17.3400,5.4000,-37.6800,
0.450140,0.1837,-0.0575,-2.1297,-0.7462,-1.6682,-1.1302,17.3400,5.4000,-37.6800,
0.471195,0.1837,-0.0575,-2.1297,-0.7462,-1.6682,-1.1302,17.0400,6.1200,-37.4400,
0.472068,0.1837,-0.0575,-2.1297,-0.0895,-1.0392,-0.2647,17.0400,6.1200,-37.4400,
0.482974,0.1837,-0.0575,-2.1297,-0.0895,-1.0392,-0.2647,17.0400,6.1200,-37.4400,
0.483955,-0.3631,-0.0450,-0.0040,-0.0895,-1.0392,-0.2647,17.0400,6.1200,-37.4400,
0.491439,-0.3631,-0.0450,-0.0040,0.2493,-0.1246,0.3542,17.0400,6.1200,-37.4400,
0.511630,-0.3631,-0.0450,-0.0040,0.1257,0.2610,0.2823,17.0400,6.1200,-37.4400,
0.532680,-0.3631,-0.0450,-0.0040,0.1257,0.2610,0.2823,15.4800,6.7200,-38.2800,
0.533274,-0.3631,-0.0450,-0.0040,0.0309,-0.1561,0.1374,15.4800,6.7200,-38.2800,
0.544989,-0.3631,-0.0450,-0.0040,0.0309,-0.1561,0.1374,15.4800,6.7200,-38.2800,
0.545591,1.7655,-0.1808,-0.1019,0.0309,-0.1561,0.1374,15.4800,6.7200,-38.2800,
0.552739,1.7655,-0.1808,-0.1019,-0.1774,-0.8858,-0.0101,15.4800,6.7200,-38.2800,
0.573232,1.7655,-0.1808,-0.1019,-0.3654,-1.3385,-0.2871,15.4800,6.7200,-38.2800,
0.596336,1.7655,-0.1808,-0.1019,-0.3654,-1.3385,-0.2871,14.1600,7.2000,-38.9400,
0.597624,1.7655,-0.1808,-0.1019,-0.4075,-1.1601,-0.4320,14.1600,7.2000,-38.9400,
0.606310,1.7655,-0.1808,-0.1019,-0.4075,-1.1601,-0.4320,14.1600,7.2000,-38.9400,
0.607286,1.1832,-0.8824,-0.0715,-0.4075,-1.1601,-0.4320,14.1600,7.2000,-38.9400,
0.614256,1.1832,-0.8824,-0.0715,-0.3031,-0.5955,-0.4479,14.1600,7.2000,-38.9400,
0.634880,1.1832,-0.8824,-0.0715,-0.0746,-0.2844,-0.4155,14.1600,7.2000,-38.9400,
0.656063,1.1832,-0.8824,-0.0715,-0.0746,-0.2844,-0.4155,11.5800,7.5000,-39.6600,
0.657295,1.1832,-0.8824,-0.0715,0.0836,-0.3696,-0.2775,11.5800,7.5000,-39.6600,
0.667805,1.1832,-0.8824,-0.0715,0.0836,-0.3696,-0.2775,11.5800,7.5000,-39.6600,
0.668829,-1.2769,-0.0336,-0.5397,0.0836,-0.3696,-0.2775,11.5800,7.5000,-39.6600,
0.675951,-1.2769,-0.0336,-0.5397,0.0836,-0.3116,-0.2658,11.5800,7.5000,-39.6600,
0.696373,-1.2769,-0.0336,-0.5397,0.1625,-0.1337,-0.1822,11.5800,7.5000,-39.6600,
0.718020,-1.2769,-0.0336,-0.5397,0.1625,-0.1337,-0.1822,9.0000,8.1000,-40.0200,
0.719072,-1.2769,-0.0336,-0.5397,0.1774,-0.0820,0.1257,9.0000,8.1000,-40.0200,
0.729475,-1.2769,-0.0336,-0.5397,0.1774,-0.0820,0.1257,9.0000,8.1000,-40.0200,
0.730604,0.4222,1.0717,-0.3103,0.1774,-0.0820,0.1257,9.0000,8.1000,-40.0200,
0.738641,0.4222,1.0717,-0.3103,-0.0314,-0.2088,0.2392,9.0000,8.1000,-40.0200,
0.758358,0.4222,1.0717,-0.3103,-0.1827,0.2844,0.0810,9.0000,8.1000,-40.0200,
0.779208,0.4222,1.0717,-0.3103,-0.1827,0.2844,0.0810,7.4400,8.2200,-40.3200,
0.780448,0.4222,1.0717,-0.3103,-0.1635,0.2743,0.0783,7.4400,8.2200,-40.3200,
0.790997,0.4222,1.0717,-0.3103,-0.1635,0.2743,0.0783,7.4400,8.2200,-40.3200,
0.792219,-2.4092,1.1340,0.7154,-0.1635,0.2743,0.0783,7.4400,8.2200,-40.3200,
0.799159,-2.4092,1.1340,0.7154,0.0597,-0.3446,0.2439,7.4400,8.2200,-40.3200,
0.820632,-2.4092,1.1340,0.7154,0.0826,-0.6807,0.5294,7.4400,8.2200,-40.3200,
0.841104,-2.4092,1.1340,0.7154,0.0826,-0.6807,0.5294,5.8800,8.4600,-39.9600,
0.842390,-2.4092,1.1340,0.7154,-0.0309,-0.7468,0.8602,5.8800,8.4600,-39.9600,
0.854387,-2.4092,1.1340,0.7154,-0.0309,-0.7468,0.8602,5.8800,8.4600,-39.9600,
0.855555,1.5991,-1.9975,-0.8273,-0.0309,-0.7468,0.8602,5.8800,8.4600,-39.9600,
0.860814,1.5991,-1.9975,-0.8273,-0.2407,-0.9167,0.9683,5.8800,8.4600,-39.9600,
0.881699,1.5991,-1.9975,-0.8273,-0.2834,-0.7148,0.7031,5.8800,8.4600,-39.9600,
0.901870,1.5991,-1.9975,-0.8273,-0.2834,-0.7148,0.7031,4.9200,8.4000,-39.6600,
0.902461,1.5991,-1.9975,-0.8273,-0.1065,-0.4176,0.2775,4.9200,8.4000,-39.6600,
0.913884,1.5991,-1.9975,-0.8273,-0.1065,-0.4176,0.2775,4.9200,8.4000,-39.6600,
0.914992,1.6161,-0.3435,-0.2387,-0.1065,-0.4176,0.2775,4.9200,8.4000,-39.6600,
0.922108,1.6161,-0.3435,-0.2387,-0.1475,-0.5561,-0.0069,4.9200,8.4000,-39.6600,
0.942436,1.6161,-0.3435,-0.2387,-0.2546,-0.8240,-0.0740,4.9200,8.4000,-39.6600,
0.963808,1.6161,-0.3435,-0.2387,-0.2546,-0.8240,-0.0740,4.3200,8.1600,-39.4200,
0.965146,1.6161,-0.3435,-0.2387,-0.2162,-0.8256,-0.0043,4.3200,8.1600,-39.4200,
0.975712,1.6161,-0.3435,-0.2387,-0.2162,-0.8256,-0.0043,4.3200,8.1600,-39.4200,
0.976685,3.5785,-3.3969,0.2704,-0.2162,-0.8256,-0.0043,4.3200,8.1600,-39.4200,
0.983800,3.5785,-3.3969,0.2704,-0.0522,-0.3132,0.0629,4.3200,8.1600,-39.4200,
1.004299,3.5785,-3.3969,0.2704,0.0692,-0.0213,-0.1140,4.3200,8.1600,-39.4200,
1.025552,3.5785,-3.3969,0.2704,0.0692,-0.0213,-0.1140,3.6600,8.7000,-38.7600,
1.026837,3.5785,-3.3969,0.2704,-0.2498,-0.5630,-0.6354,3.6600,8.7000,-38.7600,
1.037507,3.5785,-3.3969,0.2704,-0.2498,-0.5630,-0.6354,3.6600,8.7000,-38.7600,
1.038405,2.6730,1.2074,-0.7574,-0.2498,-0.5630,-0.6354,3.6600,8.7000,-38.7600,
1.045532,2.6730,1.2074,-0.7574,-0.3622,-0.4810,-0.9523,3.6600,8.7000,-38.7600,
1.065754,2.6730,1.2074,-0.7574,-0.2850,-0.3723,-0.8570,3.6600,8.7000,-38.7600,
1.086997,2.6730,1.2074,-0.7574,-0.2850,-0.3723,-0.8570,2.6400,8.9400,-38.7600,
1.088207,2.6730,1.2074,-0.7574,-0.1614,-0.5198,-0.5752,2.6400,8.9400,-38.7600,
1.098912,2.6730,1.2074,-0.7574,-0.1614,-0.5198,-0.5752,2.6400,8.9400,-38.7600,
1.100090,-2.6382,-0.1255,-0.6068,-0.1614,-0.5198,-0.5752,2.6400,8.9400,-38.7600,
1.107102,-2.6382,-0.1255,-0.6068,-0.2029,-0.2503,-0.2977,2.6400,8.9400,-38.7600,
1.127460,-2.6382,-0.1255,-0.6068,-0.2013,0.0362,0.1252,2.6400,8.9400,-38.7600,
1.148811,-2.6382,-0.1255,-0.6068,-0.2013,0.0362,0.1252,1.2000,9.3000,-38.9400,
1.149939,-2.6382,-0.1255,-0.6068,0.0357,0.0772,0.0911,1.2000,9.3000,-38.9400,
1.160423,-2.6382,-0.1255,-0.6068,0.0357,0.0772,0.0911,1.2000,9.3000,-38.9400,
1.161458,-1.3898,0.9801,0.0434,0.0357,0.0772,0.0911,1.2000,9.3000,-38.9400,
1.168868,-1.3898,0.9801,0.0434,0.1065,-0.0863,-0.0288,1.2000,9.3000,-38.9400,
1.189091,-1.3898,0.9801,0.0434,0.0341,0.0192,-0.0208,1.2000,9.3000,-38.9400,
1.210770,-1.3898,0.9801,0.0434,0.0341,0.0192,-0.0208,-0.3000,9.6000,-39.4200,
1.212107,-1.3898,0.9801,0.0434,0.0469,0.3904,0.0240,-0.3000,9.6000,-39.4200,
1.222095,-1.3898,0.9801,0.0434,0.0469,0.3904,0.0240,-0.3000,9.6000,-39.4200,
1.223260,1.0961,0.0167,-0.3166,0.0469,0.3904,0.0240,-0.3000,9.6000,-39.4200,
1.230175,1.0961,0.0167,-0.3166,0.0320,0.2365,0.1917,-0.3000,9.6000,-39.4200,
1.250659,1.0961,0.0167,-0.3166,0.0943,0.0714,0.1278,-0.3000,9.6000,-39.4200,
1.272332,1.0961,0.0167,-0.3166,0.0943,0.0714,0.1278,-1.5600,9.2400,-39.3000,
1.273504,1.0961,0.0167,-0.3166,0.4517,0.5470,0.7009,-1.5600,9.2400,-39.3000,
1.284129,1.0961,0.0167,-0.3166,0.4517,0.5470,0.7009,-1.5600,9.2400,-39.3000,
1.285192,-0.1273,-1.0756,-0.7087,0.4517,0.5470,0.7009,-1.5600,9.2400,-39.3000,
1.292916,-0.1273,-1.0756,-0.7087,0.1044,0.4900,0.3292,-1.5600,9.2400,-39.3000,
