
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.020635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.022228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.0200,40.1400,-2.6400,
0.025889,0.0000,0.0000,0.0000,-0.0810,-0.0048,0.0485,-19.0200,40.1400,-2.6400,
0.045935,0.0000,0.0000,0.0000,-0.0810,-0.0048,0.0485,-19.0200,40.1400,-2.6400,
0.067252,0.0000,0.0000,0.0000,0.0133,0.1001,-0.0021,-19.0200,40.1400,-2.6400,
0.079129,0.0000,0.0000,0.0000,0.0133,0.1001,-0.0021,-19.0200,40.1400,-2.6400,
0.079676,0.0245,0.0292,-0.0063,0.0133,0.1001,-0.0021,-19.0200,40.1400,-2.6400,
0.083993,0.0245,0.0292,-0.0063,0.0133,0.1001,-0.0021,-18.6000,32.7000,-16.6200,
0.086937,0.0245,0.0292,-0.0063,0.0538,0.1007,0.0202,-18.6000,32.7000,-16.6200,
0.108076,0.0245,0.0292,-0.0063,0.0282,0.1332,0.0144,-18.6000,32.7000,-16.6200,
0.128039,0.0245,0.0292,-0.0063,0.0549,0.0815,-0.0021,-18.6000,32.7000,-16.6200,
0.140731,0.0245,0.0292,-0.0063,0.0549,0.0815,-0.0021,-18.6000,32.7000,-16.6200,
0.141301,0.2115,-0.0360,0.3939,0.0549,0.0815,-0.0021,-18.6000,32.7000,-16.6200,
0.145375,0.2115,-0.0360,0.3939,0.0549,0.0815,-0.0021,-19.0200,28.2000,-23.6400,
0.148676,0.2115,-0.0360,0.3939,0.1001,0.0756,-0.0352,-19.0200,28.2000,-23.6400,
0.169428,0.2115,-0.0360,0.3939,0.1513,0.0756,-0.0623,-19.0200,28.2000,-23.6400,
0.190347,0.2115,-0.0360,0.3939,0.1656,0.0687,-0.0735,-19.0200,28.2000,-23.6400,
0.202994,0.2115,-0.0360,0.3939,0.1656,0.0687,-0.0735,-19.0200,28.2000,-23.6400,
0.203591,-0.0513,0.1398,-0.0284,0.1656,0.0687,-0.0735,-19.0200,28.2000,-23.6400,
0.206964,-0.0513,0.1398,-0.0284,0.1656,0.0687,-0.0735,-19.0800,23.8200,-30.9600,
0.210595,-0.0513,0.1398,-0.0284,0.1758,0.0570,-0.1049,-19.0800,23.8200,-30.9600,
0.231501,-0.0513,0.1398,-0.0284,0.1566,0.1001,-0.1332,-19.0800,23.8200,-30.9600,
