time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.023159,0.0,0.0,0.0,0.0506,0.1933,-0.1369,0.0,0.0,0.0,,0.0,0.0,-0.0012983752710845797,non_fall
0.039902,0.0,0.0,0.0,0.0506,0.1933,-0.1369,-11.52,-25.5,-9.9,,0.016743,0.0,-0.0017521911900252461,non_fall
0.043565,0.0,0.0,0.0,0.0506,0.1933,-0.1369,-11.52,-25.5,-9.9,,0.0036629999999999996,0.0,-0.0014146979254764849,non_fall
0.052014,0.0,0.0,0.0,0.0506,0.1933,-0.1369,-11.52,-25.5,-9.9,,0.008448999999999998,0.0,0.0006816351671787244,non_fall
0.064783,0.0,0.0,0.0,0.0506,0.1933,-0.1369,-11.52,-25.5,-9.9,,0.012768999999999996,0.0,0.005395794118200354,non_fall
0.084667,0.0,0.0,0.0,-0.1332,0.1758,-0.0533,-11.52,-25.5,-9.9,,0.019884000000000013,0.0,0.01340802977286854,non_fall
0.101954,0.0,0.0,0.0,-0.1332,0.1758,-0.0533,-8.28,-3.54,-22.44,,0.017286999999999997,0.0,0.025160908431350593,non_fall
0.105456,0.0,0.0,0.0,-0.0639,0.0581,-0.0463,-8.28,-3.54,-22.44,,0.0035019999999999912,0.0,0.04081647297812631,non_fall
0.113741,0.0,0.0,0.0,-0.0639,0.0581,-0.0463,-8.28,-3.54,-22.44,,0.008285,0.0,0.06023333339020716,non_fall
0.114696,-0.126,-0.0883,0.0186,-0.0639,0.0581,-0.0463,-8.28,-3.54,-22.44,,0.0009550000000000114,0.15498016002056522,0.08296549898124721,non_fall
0.125745,-0.126,-0.0883,0.0186,0.0325,-0.0048,-0.0218,-8.28,-3.54,-22.44,,0.01104899999999999,0.15498016002056522,0.10828189608102169,non_fall
0.146915,-0.126,-0.0883,0.0186,0.0554,-0.024,0.0048,-8.28,-3.54,-22.44,,0.021169999999999994,0.15498016002056522,0.13520282162246464,non_fall
0.163405,-0.126,-0.0883,0.0186,0.0554,-0.024,0.0048,-6.78,7.2,-28.2,,0.016490000000000005,0.15498016002056522,0.16254871145144364,non_fall
0.166717,-0.126,-0.0883,0.0186,0.0181,-0.0383,0.0037,-6.78,7.2,-28.2,,0.0033120000000000094,0.15498016002056522,0.18899821594962415,non_fall
0.175229,-0.126,-0.0883,0.0186,0.0181,-0.0383,0.0037,-6.78,7.2,-28.2,,0.008511999999999992,0.15498016002056522,0.2131553546263685,non_fall
0.176183,0.0406,0.0221,-0.2475,0.0181,-0.0383,0.0037,-6.78,7.2,-28.2,,0.0009540000000000104,0.2517797052981038,0.23362727096837896,non_fall
0.187191,0.0406,0.0221,-0.2475,-0.0586,-0.074,0.0043,-6.78,7.2,-28.2,,0.01100799999999999,0.2517797052981038,0.2491136392681104,non_fall
0.208166,0.0406,0.0221,-0.2475,-0.0932,-0.1353,0.0208,-6.78,7.2,-28.2,,0.020974999999999994,0.2517797052981038,0.2585066102267612,non_fall
0.225248,0.0406,0.0221,-0.2475,-0.0932,-0.1353,0.0208,-4.44,17.88,-34.38,,0.017082000000000014,0.2517797052981038,0.26099781912382114,non_fall
0.22867,0.0406,0.0221,-0.2475,-0.0842,-0.1049,0.0011,-4.44,17.88,-34.38,,0.0034220000000000084,0.2517797052981038,0.2561875034459579,non_fall
0.237097,0.0406,0.0221,-0.2475,-0.0842,-0.1049,0.0011,-4.44,17.88,-34.38,,0.00842699999999999,0.2517797052981038,0.2441901246532994,non_fall
0.237817,-0.1569,0.0517,-0.0964,-0.0842,-0.1049,0.0011,-4.44,17.88,-34.38,,0.0007199999999999984,0.19126803182968136,0.2257304472044627,non_fall
0.249122,-0.1569,0.0517,-0.0964,-0.0708,0.0655,-0.0474,-4.44,17.88,-34.38,,0.01130500000000001,0.19126803182968136,0.20222346475332842,non_fall
0.270532,-0.1569,0.0517,-0.0964,-0.0565,0.081,0.0245,-4.44,17.88,-34.38,,0.021409999999999985,0.19126803182968136,0.17583080735984274,non_fall
0.286713,-0.1569,0.0517,-0.0964,-0.0565,0.081,0.0245,-3.78,17.88,-34.5,,0.016181,0.19126803182968136,0.14948526412637012,non_fall
0.289981,-0.1569,0.0517,-0.0964,-0.0053,-0.0453,0.0032,-3.78,17.88,-34.5,,0.003267999999999993,0.19126803182968136,0.1268741145704783,non_fall
0.298408,-0.1569,0.0517,-0.0964,-0.0053,-0.0453,0.0032,-3.78,17.88,-34.5,,0.008427000000000018,0.19126803182968136,0.1123720095812351,non_fall
0.298971,0.0654,0.0625,-0.1363,-0.0053,-0.0453,0.0032,-3.78,17.88,-34.5,,0.0005629999999999802,0.16358820250861614,0.11091623358646491,non_fall
0.310589,0.0654,0.0625,-0.1363,-0.0581,0.1193,-0.0085,-3.78,17.88,-34.5,,0.011618000000000017,0.16358820250861614,0.12782170267413898,non_fall
0.331401,0.0654,0.0625,-0.1363,-0.0629,0.1875,0.0261,-3.78,17.88,-34.5,,0.020811999999999997,0.16358820250861614,0.1685394097693768,non_fall
0.348384,0.0654,0.0625,-0.1363,-0.0629,0.1875,0.0261,-4.44,17.52,-34.5,,0.016983000000000026,0.16358820250861614,0.23836882116833571,non_fall
0.351669,0.0654,0.0625,-0.1363,0.2099,-0.3222,0.1103,-4.44,17.52,-34.5,,0.0032849999999999824,0.16358820250861614,0.3421401380601948,non_fall
0.360083,0.0654,0.0625,-0.1363,0.2099,-0.3222,0.1103,-4.44,17.52,-34.5,,0.008413999999999977,0.16358820250861614,0.48388429123333854,non_fall
0.360922,0.1249,0.8356,0.9841,0.2099,-0.3222,0.1103,-4.44,17.52,-34.5,,0.0008390000000000342,1.2970274399564568,0.6665050603061832,non_fall
0.372166,0.1249,0.8356,0.9841,0.3537,-0.172,0.1257,-4.44,17.52,-34.5,,0.011243999999999976,1.2970274399564568,0.8914593519194247,non_fall
0.392903,0.1249,0.8356,0.9841,0.3238,0.1417,0.1369,-4.44,17.52,-34.5,,0.020737000000000005,1.2970274399564568,1.1584452895609614,non_fall
0.409805,0.1249,0.8356,0.9841,0.3238,0.1417,0.1369,-4.26,17.22,-34.68,,0.016901999999999973,1.2970274399564568,1.465104008044917,non_fall
0.413274,0.1249,0.8356,0.9841,0.2637,0.5374,0.114,-4.26,17.22,-34.68,,0.003469,1.2970274399564568,1.8067626607443594,non_fall
0.422268,0.1249,0.8356,0.9841,0.2637,0.5374,0.114,-4.26,17.22,-34.68,,0.008994000000000002,1.2970274399564568,2.176270618582645,non_fall
0.423034,-1.1248,2.7609,-1.2906,0.2637,0.5374,0.114,-4.26,17.22,-34.68,,0.0007660000000000444,3.2485984993532213,2.56398908437609,non_fall
0.434135,-1.1248,2.7609,-1.2906,0.3649,1.7827,0.2823,-4.26,17.22,-34.68,,0.011100999999999972,3.2485984993532213,2.9579775053946245,non_fall
0.454432,-1.1248,2.7609,-1.2906,0.4554,2.5146,0.669,-4.26,17.22,-34.68,,0.02029700000000001,3.2485984993532213,3.3443890912529133,non_fall
0.471394,-1.1248,2.7609,-1.2906,0.4554,2.5146,0.669,-4.74,16.68,-34.56,,0.016961999999999977,3.2485984993532213,3.7080648421868934,non_fall
0.47525,-1.1248,2.7609,-1.2906,0.2099,0.4671,0.7601,-4.74,16.68,-34.56,,0.003856000000000026,3.2485984993532213,4.033311839942361,non_fall
0.483576,-1.1248,2.7609,-1.2906,0.2099,0.4671,0.7601,-4.74,16.68,-34.56,,0.008326,3.2485984993532213,4.304853581523189,non_fall
0.484536,1.2622,-1.6774,4.7968,0.2099,0.4671,0.7601,-4.74,16.68,-34.56,,0.0009600000000000164,5.236039518567445,4.508923815615932,non_fall
0.495166,1.2622,-1.6774,4.7968,-0.0043,-0.1625,0.1071,-4.74,16.68,-34.56,,0.010629999999999973,5.236039518567445,4.634431528600484,non_fall
0.516179,1.2622,-1.6774,4.7968,-0.2237,-0.09,-0.5204,-4.74,16.68,-34.56,,0.02101300000000006,5.236039518567445,4.6740704933698,non_fall
0.53311,1.2622,-1.6774,4.7968,-0.2237,-0.09,-0.5204,-4.14,15.36,-34.14,,0.01693099999999992,5.236039518567445,4.625214109412812,non_fall
0.538073,1.2622,-1.6774,4.7968,-0.3547,-0.1715,-0.9326,-4.14,15.36,-34.14,,0.004963000000000051,5.236039518567445,4.49044630450726,non_fall
