
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.023154,0.0000,0.0000,0.0000,0.0559,0.0011,-0.0314,0.0000,0.0000,0.0000,
0.042872,0.0000,0.0000,0.0000,0.0559,0.0011,-0.0314,0.0000,0.0000,0.0000,
0.048873,0.0000,0.0000,0.0000,0.0559,0.0011,-0.0314,0.0000,0.0000,0.0000,
0.049828,0.0000,0.0000,0.0000,0.0559,0.0011,-0.0314,-34.9200,-36.2400,-1.0200,
0.062892,0.0000,0.0000,0.0000,0.0559,0.0011,-0.0314,-34.9200,-36.2400,-1.0200,
0.083338,0.0000,0.0000,0.0000,0.0474,0.0075,0.0378,-34.9200,-36.2400,-1.0200,
0.104003,0.0000,0.0000,0.0000,0.0288,-0.0069,0.0043,-34.9200,-36.2400,-1.0200,
0.108849,0.0000,0.0000,0.0000,0.0288,-0.0069,0.0043,-34.9200,-36.2400,-1.0200,
0.109431,0.0000,0.0000,0.0000,0.0288,-0.0069,0.0043,-1.4400,-31.5000,-9.9000,
0.109940,0.0570,0.0553,-0.0003,0.0288,-0.0069,0.0043,-1.4400,-31.5000,-9.9000,
0.124515,0.0570,0.0553,-0.0003,-0.0101,-0.0421,-0.0277,-1.4400,-31.5000,-9.9000,
0.145050,0.0570,0.0553,-0.0003,-0.0218,-0.0937,-0.0415,-1.4400,-31.5000,-9.9000,
0.165473,0.0570,0.0553,-0.0003,0.0336,-0.1198,-0.0373,-1.4400,-31.5000,-9.9000,
0.170474,0.0570,0.0553,-0.0003,0.0336,-0.1198,-0.0373,-1.4400,-31.5000,-9.9000,
0.171353,0.0570,0.0553,-0.0003,0.0336,-0.1198,-0.0373,15.8400,-29.1600,-14.6400,
0.172060,-0.1509,-0.0364,0.0268,0.0336,-0.1198,-0.0373,15.8400,-29.1600,-14.6400,
0.186051,-0.1509,-0.0364,0.0268,0.0591,-0.0650,-0.0165,15.8400,-29.1600,-14.6400,
0.206802,-0.1509,-0.0364,0.0268,0.0746,-0.0533,-0.0469,15.8400,-29.1600,-14.6400,
0.227385,-0.1509,-0.0364,0.0268,0.1071,-0.1188,-0.1912,15.8400,-29.1600,-14.6400,
0.232614,-0.1509,-0.0364,0.0268,0.1071,-0.1188,-0.1912,15.8400,-29.1600,-14.6400,
0.233200,-0.1509,-0.0364,0.0268,0.1071,-0.1188,-0.1912,32.7000,-26.5200,-19.3800,
0.233875,0.5582,0.4016,0.1025,0.1071,-0.1188,-0.1912,32.7000,-26.5200,-19.3800,
0.248268,0.5582,0.4016,0.1025,0.1593,-0.3100,-0.6301,32.7000,-26.5200,-19.3800,
0.268752,0.5582,0.4016,0.1025,0.3111,-0.3590,-0.9555,32.7000,-26.5200,-19.3800,
0.288723,0.5582,0.4016,0.1025,0.3505,-0.3601,-1.2394,32.7000,-26.5200,-19.3800,
