
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.065187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.108561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.6438,12.0375,14.8688,
0.112553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.6438,12.0375,14.8688,
0.134077,0.0000,0.0000,0.0000,-0.0401,-0.0244,0.0057,-11.6438,12.0375,14.8688,
0.168831,0.0000,0.0000,0.0000,-0.0401,-0.0244,0.0057,-21.3938,7.6688,24.9750,
0.173953,0.0000,0.0000,0.0000,-0.0401,-0.0244,0.0057,-21.3938,7.6688,24.9750,
0.193700,0.0000,0.0000,0.0000,-0.0401,-0.0244,0.0057,-21.3938,7.6688,24.9750,
0.194598,0.0000,0.0000,0.0000,0.0039,0.0882,-0.0398,-21.3938,7.6688,24.9750,
0.228968,0.0000,0.0000,0.0000,0.0039,0.0882,-0.0398,-24.3188,6.2063,28.5750,
0.234290,0.0000,0.0000,0.0000,0.0039,0.0882,-0.0398,-24.3188,6.2063,28.5750,
0.254713,0.0000,0.0000,0.0000,-0.1051,0.3481,-0.0426,-24.3188,6.2063,28.5750,
0.255648,0.0254,0.0625,0.1504,-0.1051,0.3481,-0.0426,-24.3188,6.2063,28.5750,
0.288633,0.0254,0.0625,0.1504,-0.1051,0.3481,-0.0426,-26.1563,5.1750,30.2250,
0.295366,0.0254,0.0625,0.1504,-0.1051,0.3481,-0.0426,-26.1563,5.1750,30.2250,
0.316226,0.0254,0.0625,0.1504,-0.0462,0.5940,-0.1104,-26.1563,5.1750,30.2250,
0.317510,0.1585,0.0860,-0.0479,-0.0462,0.5940,-0.1104,-26.1563,5.1750,30.2250,
0.348482,0.1585,0.0860,-0.0479,-0.0462,0.5940,-0.1104,-27.2625,4.7250,30.9000,
0.357576,0.1585,0.0860,-0.0479,-0.0462,0.5940,-0.1104,-27.2625,4.7250,30.9000,
0.376789,0.1585,0.0860,-0.0479,-0.5329,-0.5089,0.1750,-27.2625,4.7250,30.9000,
0.396636,-0.3415,0.3272,0.1074,-0.5329,-0.5089,0.1750,-27.2625,4.7250,30.9000,
0.407459,-0.3415,0.3272,0.1074,-0.5329,-0.5089,0.1750,-27.7875,4.2563,31.5563,
0.417096,-0.3415,0.3272,0.1074,-0.5329,-0.5089,0.1750,-27.7875,4.2563,31.5563,
0.438264,-0.3415,0.3272,0.1074,-0.2261,-1.3400,0.4573,-27.7875,4.2563,31.5563,
0.457918,-0.2935,0.7157,0.8445,-0.2261,-1.3400,0.4573,-27.7875,4.2563,31.5563,
0.469624,-0.2935,0.7157,0.8445,-0.2261,-1.3400,0.4573,-27.9188,4.1250,32.2500,
0.478827,-0.2935,0.7157,0.8445,-0.2261,-1.3400,0.4573,-27.9188,4.1250,32.2500,
0.499024,-0.2935,0.7157,0.8445,-0.5726,-1.3691,1.6291,-27.9188,4.1250,32.2500,
0.519515,-0.2652,0.4413,1.1633,-0.5726,-1.3691,1.6291,-27.9188,4.1250,32.2500,
0.528965,-0.2652,0.4413,1.1633,-0.5726,-1.3691,1.6291,-27.6188,4.0688,33.2250,
0.540639,-0.2652,0.4413,1.1633,-0.5726,-1.3691,1.6291,-27.6188,4.0688,33.2250,
0.559812,-0.2652,0.4413,1.1633,-0.7999,1.7265,1.4611,-27.6188,4.0688,33.2250,
0.579793,-0.1157,-0.7306,-1.9611,-0.7999,1.7265,1.4611,-27.6188,4.0688,33.2250,
0.587829,-0.1157,-0.7306,-1.9611,-0.7999,1.7265,1.4611,-29.5875,3.1313,36.2063,
0.599789,-0.1157,-0.7306,-1.9611,-0.7999,1.7265,1.4611,-29.5875,3.1313,36.2063,
0.620310,-0.1157,-0.7306,-1.9611,-0.0260,0.5004,-0.6192,-29.5875,3.1313,36.2063,
0.649649,-0.1157,-0.7306,-1.9611,-0.0260,0.5004,-0.6192,-29.3438,3.0750,36.3750,
0.661448,-0.1157,-0.7306,-1.9611,-0.0260,0.5004,-0.6192,-29.3438,3.0750,36.3750,
0.663031,2.3500,-1.0829,0.7701,-0.0260,0.5004,-0.6192,-29.3438,3.0750,36.3750,
0.681849,2.3500,-1.0829,0.7701,-0.7884,0.6428,-0.0784,-29.3438,3.0750,36.3750,
0.708157,2.3500,-1.0829,0.7701,-0.7884,0.6428,-0.0784,-29.5500,2.8875,36.2438,
0.722264,2.3500,-1.0829,0.7701,-0.7884,0.6428,-0.0784,-29.5500,2.8875,36.2438,
0.722990,-0.6139,-0.2892,-1.1389,-0.7884,0.6428,-0.0784,-29.5500,2.8875,36.2438,
0.742628,-0.6139,-0.2892,-1.1389,-0.2233,1.8802,0.5510,-29.5500,2.8875,36.2438,
0.769591,-0.6139,-0.2892,-1.1389,-0.2233,1.8802,0.5510,-29.8500,2.9250,35.9438,
0.782961,-0.5634,1.0985,0.4129,-0.2233,1.8802,0.5510,-29.8500,2.9250,35.9438,
0.784117,-0.5634,1.0985,0.4129,-0.2233,1.8802,0.5510,-29.8500,2.9250,35.9438,
0.803106,-0.5634,1.0985,0.4129,-0.3418,0.2075,1.1856,-29.8500,2.9250,35.9438,
0.829130,-0.5634,1.0985,0.4129,-0.3418,0.2075,1.1856,-30.1125,3.0375,35.7938,
0.843866,-0.5634,1.0985,0.4129,-0.3418,0.2075,1.1856,-30.1125,3.0375,35.7938,
0.864088,-0.5634,1.0985,0.4129,0.3309,-0.4120,1.3642,-30.1125,3.0375,35.7938,
0.865286,-1.0367,0.0363,-0.2249,0.3309,-0.4120,1.3642,-30.1125,3.0375,35.7938,
0.888071,-1.0367,0.0363,-0.2249,0.3309,-0.4120,1.3642,-30.4875,3.6750,35.3625,
0.904725,-1.0367,0.0363,-0.2249,0.3309,-0.4120,1.3642,-30.4875,3.6750,35.3625,
0.924770,-1.0367,0.0363,-0.2249,-0.1047,0.4471,0.4349,-30.4875,3.6750,35.3625,
0.925845,0.8214,0.2754,1.0937,-0.1047,0.4471,0.4349,-30.4875,3.6750,35.3625,
0.949451,0.8214,0.2754,1.0937,-0.1047,0.4471,0.4349,-31.0125,4.3875,34.8000,
0.966004,0.8214,0.2754,1.0937,-0.1047,0.4471,0.4349,-31.0125,4.3875,34.8000,
0.984888,0.8214,0.2754,1.0937,-0.2184,-0.2053,-0.0671,-31.0125,4.3875,34.8000,
0.985517,0.9935,-4.6793,-1.4241,-0.2184,-0.2053,-0.0671,-31.0125,4.3875,34.8000,
1.007801,0.9935,-4.6793,-1.4241,-0.2184,-0.2053,-0.0671,-32.0250,4.9688,33.7313,
1.026245,0.9935,-4.6793,-1.4241,-0.2184,-0.2053,-0.0671,-32.0250,4.9688,33.7313,
1.046822,0.9935,-4.6793,-1.4241,0.3412,-0.1940,0.4178,-32.0250,4.9688,33.7313,
1.047863,-0.9330,0.9814,0.5108,0.3412,-0.1940,0.4178,-32.0250,4.9688,33.7313,
1.068318,-0.9330,0.9814,0.5108,0.3412,-0.1940,0.4178,-32.5688,5.6438,32.9813,
1.088577,-0.9330,0.9814,0.5108,0.3412,-0.1940,0.4178,-32.5688,5.6438,32.9813,
1.109056,-0.9330,0.9814,0.5108,0.0750,-0.4908,0.3948,-32.5688,5.6438,32.9813,
1.130094,-0.9330,0.9814,0.5108,0.0750,-0.4908,0.3948,-32.9062,6.6750,32.5312,
1.131267,-0.5396,0.2632,0.5545,0.0750,-0.4908,0.3948,-32.9062,6.6750,32.5312,
