
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.016327,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,0.0000,0.0000,0.0000,
0.023133,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,0.0000,0.0000,0.0000,
0.023607,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,8.7600,38.2800,-17.7600,
0.023882,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,8.7600,38.2800,-17.7600,
0.043117,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,8.7600,38.2800,-17.7600,
0.063700,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,8.7600,38.2800,-17.7600,
0.084953,0.0000,0.0000,0.0000,-0.2541,-0.0250,-0.0570,8.7600,38.2800,-17.7600,
0.085421,0.0318,0.0207,-0.0158,-0.2541,-0.0250,-0.0570,8.7600,38.2800,-17.7600,
0.085917,0.0318,0.0207,-0.0158,-0.2541,-0.0250,-0.0570,-0.3000,39.7200,-7.0800,
0.086263,0.0318,0.0207,-0.0158,0.1417,-0.2743,-0.2360,-0.3000,39.7200,-7.0800,
0.105014,0.0318,0.0207,-0.0158,0.1587,-0.0453,-0.2221,-0.3000,39.7200,-7.0800,
0.125107,0.0318,0.0207,-0.0158,0.0991,0.0911,-0.1625,-0.3000,39.7200,-7.0800,
0.146777,0.0318,0.0207,-0.0158,0.0991,0.0911,-0.1625,-0.3000,39.7200,-7.0800,
0.147464,0.0318,0.0207,-0.0158,0.0991,0.0911,-0.1625,-5.4000,40.0200,-1.6200,
0.148094,0.0318,0.0207,-0.0158,-0.0559,0.1369,-0.1475,-5.4000,40.0200,-1.6200,
0.148626,0.1839,-0.1775,-0.2057,-0.0559,0.1369,-0.1475,-5.4000,40.0200,-1.6200,
0.166059,0.1839,-0.1775,-0.2057,-0.1204,0.0613,-0.0405,-5.4000,40.0200,-1.6200,
0.187723,0.1839,-0.1775,-0.2057,-0.0666,0.0618,0.0570,-5.4000,40.0200,-1.6200,
0.208305,0.1839,-0.1775,-0.2057,-0.0666,0.0618,0.0570,-5.4000,40.0200,-1.6200,
0.209130,-0.0965,-0.2255,0.1603,-0.0666,0.0618,0.0570,-5.4000,40.0200,-1.6200,
0.209771,-0.0965,-0.2255,0.1603,-0.0666,0.0618,0.0570,-10.3200,40.5000,3.9600,
0.210292,-0.0965,-0.2255,0.1603,-0.0618,0.1076,0.0170,-10.3200,40.5000,3.9600,
0.227483,-0.0965,-0.2255,0.1603,-0.1236,0.1939,-0.0660,-10.3200,40.5000,3.9600,
0.248490,-0.0965,-0.2255,0.1603,-0.4890,0.4666,-0.7308,-10.3200,40.5000,3.9600,
0.269259,-0.0965,-0.2255,0.1603,-0.4890,0.4666,-0.7308,-10.3200,40.5000,3.9600,
0.269678,-0.0965,-0.2255,0.1603,-0.4890,0.4666,-0.7308,-10.8000,40.2600,4.3200,
0.270062,-0.0965,-0.2255,0.1603,-0.9758,0.7159,-1.3774,-10.8000,40.2600,4.3200,
0.270455,2.3745,1.6734,-1.1820,-0.9758,0.7159,-1.3774,-10.8000,40.2600,4.3200,
0.289265,2.3745,1.6734,-1.1820,-1.2022,0.1433,-1.3300,-10.8000,40.2600,4.3200,
0.309644,2.3745,1.6734,-1.1820,-1.6725,-0.6242,-1.2011,-10.8000,40.2600,4.3200,
0.330644,2.3745,1.6734,-1.1820,-1.6725,-0.6242,-1.2011,-10.8000,40.2600,4.3200,
0.331175,2.3745,1.6734,-1.1820,-1.6725,-0.6242,-1.2011,-11.6400,40.2000,4.7400,
0.331688,-0.2114,1.1889,-2.3287,-1.6725,-0.6242,-1.2011,-11.6400,40.2000,4.7400,
0.332119,-0.2114,1.1889,-2.3287,-2.0347,-0.0591,-1.4418,-11.6400,40.2000,4.7400,
0.350623,-0.2114,1.1889,-2.3287,-2.2568,0.2668,-1.9063,-11.6400,40.2000,4.7400,
0.371182,-0.2114,1.1889,-2.3287,-2.4139,0.0101,-2.5737,-11.6400,40.2000,4.7400,
0.392115,-0.2114,1.1889,-2.3287,-2.4139,0.0101,-2.5737,-11.6400,40.2000,4.7400,
0.392421,-0.2114,1.1889,-2.3287,-2.4139,0.0101,-2.5737,-12.6000,39.7800,5.8800,
0.392696,-0.2114,1.1889,-2.3287,-2.5018,-0.3286,-3.1404,-12.6000,39.7800,5.8800,
0.393008,3.3063,3.1680,-1.5754,-2.5018,-0.3286,-3.1404,-12.6000,39.7800,5.8800,
0.412567,3.3063,3.1680,-1.5754,-2.5231,-0.0154,-3.2959,-12.6000,39.7800,5.8800,
0.432651,3.3063,3.1680,-1.5754,-2.0959,0.6445,-3.5260,-12.6000,39.7800,5.8800,
0.454488,3.3063,3.1680,-1.5754,-2.0959,0.6445,-3.5260,-12.6000,39.7800,5.8800,
0.454997,3.3063,3.1680,-1.5754,-2.0959,0.6445,-3.5260,-14.9400,37.5600,8.1000,
0.455292,3.3063,3.1680,-1.5754,-1.8163,1.2597,-3.6890,-14.9400,37.5600,8.1000,
0.455748,3.0172,5.9224,-2.4318,-1.8163,1.2597,-3.6890,-14.9400,37.5600,8.1000,
0.473833,3.0172,5.9224,-2.4318,-2.0133,1.4248,-3.5218,-14.9400,37.5600,8.1000,
0.495077,3.0172,5.9224,-2.4318,-1.3598,-0.5795,-2.9226,-14.9400,37.5600,8.1000,
0.515778,3.0172,5.9224,-2.4318,-1.3598,-0.5795,-2.9226,-14.9400,37.5600,8.1000,
0.516354,3.0172,5.9224,-2.4318,-1.3598,-0.5795,-2.9226,-19.3200,33.3600,11.4600,
0.517149,3.0172,5.9224,-2.4318,-0.5577,-2.4858,-3.5745,-19.3200,33.3600,11.4600,
0.517844,1.9912,-39.6688,-8.3624,-0.5577,-2.4858,-3.5745,-19.3200,33.3600,11.4600,
0.535503,1.9912,-39.6688,-8.3624,-0.3398,-3.8733,-4.5013,-19.3200,33.3600,11.4600,
0.555678,1.9912,-39.6688,-8.3624,-0.9715,-2.2988,-4.1535,-19.3200,33.3600,11.4600,
0.577108,1.9912,-39.6688,-8.3624,-0.9715,-2.2988,-4.1535,-19.3200,33.3600,11.4600,
0.577709,1.9912,-39.6688,-8.3624,-0.9715,-2.2988,-4.1535,-24.1200,27.4800,15.2400,
0.578304,1.9912,-39.6688,-8.3624,-1.2016,-0.7910,-3.5377,-24.1200,27.4800,15.2400,
0.578772,1.0125,6.8176,2.5098,-1.2016,-0.7910,-3.5377,-24.1200,27.4800,15.2400,
0.597344,1.0125,6.8176,2.5098,-0.6653,-0.7217,-2.6403,-24.1200,27.4800,15.2400,
0.617597,1.0125,6.8176,2.5098,0.7356,-1.6272,-0.4953,-24.1200,27.4800,15.2400,
0.639271,1.0125,6.8176,2.5098,0.7356,-1.6272,-0.4953,-24.1200,27.4800,15.2400,
0.639954,1.0125,6.8176,2.5098,0.7356,-1.6272,-0.4953,-28.6200,20.1000,20.0400,
0.640588,1.0125,6.8176,2.5098,1.6639,-1.8333,0.7878,-28.6200,20.1000,20.0400,
0.641413,4.3552,-2.4464,-1.0042,1.6639,-1.8333,0.7878,-28.6200,20.1000,20.0400,
0.659212,4.3552,-2.4464,-1.0042,1.0253,-0.3068,-0.2381,-28.6200,20.1000,20.0400,
0.679261,4.3552,-2.4464,-1.0042,0.2487,0.7590,-0.5864,-28.6200,20.1000,20.0400,
0.700036,4.3552,-2.4464,-1.0042,0.2487,0.7590,-0.5864,-28.6200,20.1000,20.0400,
0.700589,4.3552,-2.4464,-1.0042,0.2487,0.7590,-0.5864,-31.1400,13.3200,23.5800,
0.701350,4.3552,-2.4464,-1.0042,-0.0181,0.6914,-0.1534,-31.1400,13.3200,23.5800,
0.701826,-0.3429,0.2238,-0.7007,-0.0181,0.6914,-0.1534,-31.1400,13.3200,23.5800,
