
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.017823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2400,38.1000,-16.5000,
0.023752,0.0000,0.0000,0.0000,-0.0144,-0.1939,-0.0170,6.2400,38.1000,-16.5000,
0.028021,0.0000,0.0000,0.0000,-0.0144,-0.1939,-0.0170,6.2400,38.1000,-16.5000,
0.040556,0.0000,0.0000,0.0000,-0.0144,-0.1939,-0.0170,6.2400,38.1000,-16.5000,
0.061025,0.0000,0.0000,0.0000,-0.0144,-0.1939,-0.0170,6.2400,38.1000,-16.5000,
0.077691,0.0000,0.0000,0.0000,-0.0144,-0.1939,-0.0170,0.7200,38.7000,-1.2600,
0.081352,0.0000,0.0000,0.0000,-0.1358,-0.0852,0.0064,0.7200,38.7000,-1.2600,
0.089588,0.0000,0.0000,0.0000,-0.1358,-0.0852,0.0064,0.7200,38.7000,-1.2600,
0.090192,0.0017,0.0010,-0.0006,-0.1358,-0.0852,0.0064,0.7200,38.7000,-1.2600,
0.102633,0.0017,0.0010,-0.0006,-0.1017,-0.0719,-0.0123,0.7200,38.7000,-1.2600,
0.122792,0.0017,0.0010,-0.0006,-0.0868,-0.0586,-0.0229,0.7200,38.7000,-1.2600,
0.139656,0.0017,0.0010,-0.0006,-0.0868,-0.0586,-0.0229,-2.2800,39.0600,6.9600,
0.142690,0.0017,0.0010,-0.0006,-0.0794,0.0085,-0.0442,-2.2800,39.0600,6.9600,
0.151433,0.0017,0.0010,-0.0006,-0.0794,0.0085,-0.0442,-2.2800,39.0600,6.9600,
0.152053,-0.2359,-0.0036,-0.1548,-0.0794,0.0085,-0.0442,-2.2800,39.0600,6.9600,
0.163840,-0.2359,-0.0036,-0.1548,-0.1518,-0.0277,-0.0256,-2.2800,39.0600,6.9600,
0.184105,-0.2359,-0.0036,-0.1548,-0.3750,0.2067,-0.1688,-2.2800,39.0600,6.9600,
0.200862,-0.2359,-0.0036,-0.1548,-0.3750,0.2067,-0.1688,-4.8000,39.9000,14.8800,
0.204441,-0.2359,-0.0036,-0.1548,-0.5459,0.4623,-0.4325,-4.8000,39.9000,14.8800,
0.212636,-0.2359,-0.0036,-0.1548,-0.5459,0.4623,-0.4325,-4.8000,39.9000,14.8800,
0.213314,0.9738,1.0327,-0.9590,-0.5459,0.4623,-0.4325,-4.8000,39.9000,14.8800,
0.225064,0.9738,1.0327,-0.9590,-0.5838,1.4046,-0.7904,-4.8000,39.9000,14.8800,
0.245483,0.9738,1.0327,-0.9590,-0.4107,1.6506,-0.4240,-4.8000,39.9000,14.8800,
0.262661,0.9738,1.0327,-0.9590,-0.4107,1.6506,-0.4240,-4.7400,39.9600,14.7600,
0.266351,0.9738,1.0327,-0.9590,-0.1949,1.6043,0.0724,-4.7400,39.9600,14.7600,
0.274745,0.9738,1.0327,-0.9590,-0.1949,1.6043,0.0724,-4.7400,39.9600,14.7600,
0.275374,-1.4882,0.7522,0.3708,-0.1949,1.6043,0.0724,-4.7400,39.9600,14.7600,
