
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.017958,0.0000,0.0000,0.0000,-0.0485,-0.4245,0.0032,0.0000,0.0000,0.0000,
0.038419,0.0000,0.0000,0.0000,-0.0485,-0.4245,0.0032,0.0000,0.0000,0.0000,
0.039234,0.0000,0.0000,0.0000,-0.0485,-0.4245,0.0032,-8.4000,40.1400,-17.2200,
0.039683,0.0000,0.0000,0.0000,-0.0485,-0.4245,0.0032,-8.4000,40.1400,-17.2200,
0.057871,0.0000,0.0000,0.0000,-0.0485,-0.4245,0.0032,-8.4000,40.1400,-17.2200,
0.078588,0.0000,0.0000,0.0000,0.0107,0.0405,0.0000,-8.4000,40.1400,-17.2200,
0.099561,0.0000,0.0000,0.0000,0.0107,0.0405,0.0000,-8.4000,40.1400,-17.2200,
0.099934,0.0000,0.0000,0.0000,0.0107,0.0405,0.0000,-25.0800,27.3600,-3.3600,
0.100238,0.0000,0.0000,0.0000,0.1156,0.0921,0.0176,-25.0800,27.3600,-3.3600,
0.100593,0.0418,0.4327,0.0402,0.1156,0.0921,0.0176,-25.0800,27.3600,-3.3600,
0.119606,0.0418,0.4327,0.0402,0.1449,0.1662,0.0160,-25.0800,27.3600,-3.3600,
0.140506,0.0418,0.4327,0.0402,0.0575,0.1811,0.0889,-25.0800,27.3600,-3.3600,
0.161296,0.0418,0.4327,0.0402,0.0575,0.1811,0.0889,-25.0800,27.3600,-3.3600,
0.161856,0.0418,0.4327,0.0402,0.0575,0.1811,0.0889,-33.4200,21.2400,3.1800,
0.162485,0.0418,0.4327,0.0402,0.0751,0.0080,0.0889,-33.4200,21.2400,3.1800,
0.162930,-0.1492,0.5657,0.3513,0.0751,0.0080,0.0889,-33.4200,21.2400,3.1800,
0.181625,-0.1492,0.5657,0.3513,0.1438,-0.1055,0.0336,-33.4200,21.2400,3.1800,
0.201767,-0.1492,0.5657,0.3513,0.2578,-0.2557,-0.0330,-33.4200,21.2400,3.1800,
0.223181,-0.1492,0.5657,0.3513,0.2578,-0.2557,-0.0330,-33.4200,21.2400,3.1800,
0.223831,-0.1492,0.5657,0.3513,0.2578,-0.2557,-0.0330,-41.5200,15.0600,9.4800,
0.224434,-0.1492,0.5657,0.3513,0.5864,-0.1614,-0.3366,-41.5200,15.0600,9.4800,
0.224950,0.9584,7.6988,0.4024,0.5864,-0.1614,-0.3366,-41.5200,15.0600,9.4800,
0.242535,0.9584,7.6988,0.4024,0.9497,0.0123,-0.7713,-41.5200,15.0600,9.4800,
0.263205,0.9584,7.6988,0.4024,1.0892,0.0405,-1.0173,-41.5200,15.0600,9.4800,
0.284541,0.9584,7.6988,0.4024,1.0892,0.0405,-1.0173,-41.5200,15.0600,9.4800,
0.285152,0.9584,7.6988,0.4024,1.0892,0.0405,-1.0173,-41.4600,15.2400,9.7200,
0.285699,0.9584,7.6988,0.4024,0.9641,0.0501,-1.2661,-41.4600,15.2400,9.7200,
0.286267,0.5386,7.2646,0.3415,0.9641,0.0501,-1.2661,-41.4600,15.2400,9.7200,
0.304271,0.5386,7.2646,0.3415,0.1854,-0.0676,-1.6581,-41.4600,15.2400,9.7200,
0.324841,0.5386,7.2646,0.3415,-0.7292,-0.6871,-2.7692,-41.4600,15.2400,9.7200,
0.346246,0.5386,7.2646,0.3415,-0.7292,-0.6871,-2.7692,-41.4600,15.2400,9.7200,
0.346844,0.5386,7.2646,0.3415,-0.7292,-0.6871,-2.7692,-41.6400,15.0000,9.4200,
0.347351,0.5386,7.2646,0.3415,-1.2858,-0.6440,-4.0933,-41.6400,15.0000,9.4200,
0.348046,1.7893,-18.0442,-4.4632,-1.2858,-0.6440,-4.0933,-41.6400,15.0000,9.4200,
0.366452,1.7893,-18.0442,-4.4632,0.3547,0.4703,-4.5492,-41.6400,15.0000,9.4200,
0.386531,1.7893,-18.0442,-4.4632,0.9779,-1.1132,-3.1708,-41.6400,15.0000,9.4200,
0.407565,1.7893,-18.0442,-4.4632,0.9779,-1.1132,-3.1708,-41.6400,15.0000,9.4200,
0.408265,1.7893,-18.0442,-4.4632,0.9779,-1.1132,-3.1708,-41.8800,13.3200,10.1400,
0.408883,1.7893,-18.0442,-4.4632,0.9571,-3.2714,-1.6080,-41.8800,13.3200,10.1400,
0.409619,-1.9837,-3.1413,1.9571,0.9571,-3.2714,-1.6080,-41.8800,13.3200,10.1400,
0.427531,-1.9837,-3.1413,1.9571,1.0093,-3.7716,-0.6019,-41.8800,13.3200,10.1400,
0.447821,-1.9837,-3.1413,1.9571,0.9758,-3.2922,-0.1001,-41.8800,13.3200,10.1400,
0.469642,-1.9837,-3.1413,1.9571,0.9758,-3.2922,-0.1001,-41.8800,13.3200,10.1400,
0.470254,-1.9837,-3.1413,1.9571,0.9758,-3.2922,-0.1001,-42.4200,9.4200,11.2800,
0.470667,-1.9837,-3.1413,1.9571,0.9241,-2.1918,0.1848,-42.4200,9.4200,11.2800,
0.471270,-2.6513,5.8445,-2.1155,0.9241,-2.1918,0.1848,-42.4200,9.4200,11.2800,
0.489401,-2.6513,5.8445,-2.1155,0.5736,-0.4469,0.2700,-42.4200,9.4200,11.2800,
0.509512,-2.6513,5.8445,-2.1155,0.1252,1.2661,0.1752,-42.4200,9.4200,11.2800,
0.530775,-2.6513,5.8445,-2.1155,0.1252,1.2661,0.1752,-42.4200,9.4200,11.2800,
0.531387,-2.6513,5.8445,-2.1155,0.1252,1.2661,0.1752,-41.8800,5.1600,14.1600,
0.531979,-2.6513,5.8445,-2.1155,-0.2770,2.0773,0.1651,-41.8800,5.1600,14.1600,
0.532494,0.6691,1.8931,-2.2160,-0.2770,2.0773,0.1651,-41.8800,5.1600,14.1600,
0.550443,0.6691,1.8931,-2.2160,-1.0802,0.9534,0.1252,-41.8800,5.1600,14.1600,
0.571013,0.6691,1.8931,-2.2160,-1.0296,-0.2253,-0.0740,-41.8800,5.1600,14.1600,
0.592508,0.6691,1.8931,-2.2160,-1.0296,-0.2253,-0.0740,-41.8800,5.1600,14.1600,
0.593143,0.6691,1.8931,-2.2160,-1.0296,-0.2253,-0.0740,-41.5200,1.6800,17.2200,
0.593543,0.6691,1.8931,-2.2160,0.3292,0.2115,-0.2232,-41.5200,1.6800,17.2200,
0.594099,1.5957,-3.6107,3.9174,0.3292,0.2115,-0.2232,-41.5200,1.6800,17.2200,
0.611944,1.5957,-3.6107,3.9174,0.5662,-0.2791,-0.3803,-41.5200,1.6800,17.2200,
0.632683,1.5957,-3.6107,3.9174,0.1049,-0.7734,-0.4378,-41.5200,1.6800,17.2200,
0.654430,1.5957,-3.6107,3.9174,0.1049,-0.7734,-0.4378,-41.5200,1.6800,17.2200,
0.655238,-1.4991,1.0736,-0.6168,0.1049,-0.7734,-0.4378,-41.5200,1.6800,17.2200,
0.656047,-1.4991,1.0736,-0.6168,0.1049,-0.7734,-0.4378,-41.0400,-0.5400,19.2000,
0.656889,-1.4991,1.0736,-0.6168,-0.0474,-0.4005,-0.2663,-41.0400,-0.5400,19.2000,
0.673783,-1.4991,1.0736,-0.6168,0.0149,0.1704,-0.0293,-41.0400,-0.5400,19.2000,
0.694241,-1.4991,1.0736,-0.6168,-0.0943,0.2919,0.0368,-41.0400,-0.5400,19.2000,
