
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.028086,0.0000,0.0000,0.0000,-0.0069,-0.0314,0.0011,0.0000,0.0000,0.0000,
0.031670,0.0000,0.0000,0.0000,-0.0069,-0.0314,0.0011,0.0000,0.0000,0.0000,
0.047445,0.0000,0.0000,0.0000,-0.0069,-0.0314,0.0011,0.0000,0.0000,0.0000,
0.052031,0.0000,0.0000,0.0000,-0.0069,-0.0314,0.0011,0.0000,0.0000,0.0000,
0.052568,-0.1348,-0.1166,0.0370,-0.0069,-0.0314,0.0011,0.0000,0.0000,0.0000,
0.056630,-0.1348,-0.1166,0.0370,-0.0069,-0.0314,0.0011,-3.0600,38.5200,-22.4400,
0.068872,-0.1348,-0.1166,0.0370,0.0048,-0.0080,0.0043,-3.0600,38.5200,-22.4400,
0.073005,-0.1348,-0.1166,0.0370,0.0048,-0.0080,0.0043,-3.0600,38.5200,-22.4400,
0.073506,-0.0279,0.0127,-0.1144,0.0048,-0.0080,0.0043,-3.0600,38.5200,-22.4400,
0.088949,-0.0279,0.0127,-0.1144,-0.0325,-0.0032,0.0128,-3.0600,38.5200,-22.4400,
0.093748,-0.0279,0.0127,-0.1144,-0.0325,-0.0032,0.0128,-3.0600,38.5200,-22.4400,
0.094595,-0.0455,-0.0405,-0.0077,-0.0325,-0.0032,0.0128,-3.0600,38.5200,-22.4400,
0.110154,-0.0455,-0.0405,-0.0077,-0.1545,-0.1656,0.0549,-3.0600,38.5200,-22.4400,
0.114359,-0.0455,-0.0405,-0.0077,-0.1545,-0.1656,0.0549,-3.0600,38.5200,-22.4400,
0.114909,0.0532,0.0431,0.1276,-0.1545,-0.1656,0.0549,-3.0600,38.5200,-22.4400,
0.118602,0.0532,0.0431,0.1276,-0.1545,-0.1656,0.0549,-9.4200,38.5800,-6.3600,
0.130239,0.0532,0.0431,0.1276,-0.0415,-0.1497,0.0607,-9.4200,38.5800,-6.3600,
0.134978,0.0532,0.0431,0.1276,-0.0415,-0.1497,0.0607,-9.4200,38.5800,-6.3600,
0.135693,-0.1568,-0.1376,0.0240,-0.0415,-0.1497,0.0607,-9.4200,38.5800,-6.3600,
0.150698,-0.1568,-0.1376,0.0240,0.0096,-0.0719,0.0250,-9.4200,38.5800,-6.3600,
