
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.031246,0.0000,0.0000,0.0000,0.0783,-0.0309,0.0288,0.0000,0.0000,0.0000,
0.049484,0.0000,0.0000,0.0000,0.0783,-0.0309,0.0288,0.0000,0.0000,0.0000,
0.069799,0.0000,0.0000,0.0000,0.0783,-0.0309,0.0288,0.0000,0.0000,0.0000,
0.070227,0.0000,0.0000,0.0000,0.1305,0.0075,-0.1907,0.0000,0.0000,0.0000,
0.074371,0.0000,0.0000,0.0000,0.1305,0.0075,-0.1907,-25.6800,-28.9800,-22.9200,
0.090214,0.0000,0.0000,0.0000,-0.0527,0.2333,-0.2253,-25.6800,-28.9800,-22.9200,
0.111572,0.0000,0.0000,0.0000,-0.2338,0.3659,-0.2354,-25.6800,-28.9800,-22.9200,
0.131909,0.0000,0.0000,0.0000,-0.2338,0.3659,-0.2354,-25.6800,-28.9800,-22.9200,
0.132524,0.0000,0.0000,0.0000,-0.2796,0.5646,-0.2003,-25.6800,-28.9800,-22.9200,
0.133095,0.0097,0.0096,-0.0024,-0.2796,0.5646,-0.2003,-25.6800,-28.9800,-22.9200,
0.136744,0.0097,0.0096,-0.0024,-0.2796,0.5646,-0.2003,1.1400,-25.3200,-23.1600,
0.152653,0.0097,0.0096,-0.0024,-0.1928,0.9737,-0.1353,1.1400,-25.3200,-23.1600,
0.172807,0.0097,0.0096,-0.0024,-0.0783,1.4030,-0.2333,1.1400,-25.3200,-23.1600,
0.193140,0.0097,0.0096,-0.0024,-0.0783,1.4030,-0.2333,1.1400,-25.3200,-23.1600,
0.193682,0.0097,0.0096,-0.0024,-0.0719,1.7721,-0.5475,1.1400,-25.3200,-23.1600,
0.194235,0.0928,-0.4552,-0.3469,-0.0719,1.7721,-0.5475,1.1400,-25.3200,-23.1600,
0.197841,0.0928,-0.4552,-0.3469,-0.0719,1.7721,-0.5475,14.6400,-22.7400,-23.3400,
0.213665,0.0928,-0.4552,-0.3469,-0.1667,2.1529,-0.8927,14.6400,-22.7400,-23.3400,
0.234186,0.0928,-0.4552,-0.3469,-0.2876,2.0331,-0.9140,14.6400,-22.7400,-23.3400,
0.254411,0.0928,-0.4552,-0.3469,-0.2876,2.0331,-0.9140,14.6400,-22.7400,-23.3400,
0.254749,0.0928,-0.4552,-0.3469,-0.3867,1.3268,-0.5321,14.6400,-22.7400,-23.3400,
0.255128,-0.5333,-0.0371,0.5754,-0.3867,1.3268,-0.5321,14.6400,-22.7400,-23.3400,
0.258824,-0.5333,-0.0371,0.5754,-0.3867,1.3268,-0.5321,28.8000,-19.6800,-22.8600,
0.275340,-0.5333,-0.0371,0.5754,0.6019,1.4227,0.0011,28.8000,-19.6800,-22.8600,
0.295285,-0.5333,-0.0371,0.5754,1.4056,0.9225,-0.3409,28.8000,-19.6800,-22.8600,
0.316827,-0.5333,-0.0371,0.5754,1.4056,0.9225,-0.3409,28.8000,-19.6800,-22.8600,
0.317441,-0.5333,-0.0371,0.5754,0.9864,1.2298,-0.3201,28.8000,-19.6800,-22.8600,
0.318005,-0.5225,0.9121,-0.8011,0.9864,1.2298,-0.3201,28.8000,-19.6800,-22.8600,
0.320852,-0.5225,0.9121,-0.8011,0.9864,1.2298,-0.3201,30.8400,-18.4200,-21.3600,
0.336989,-0.5225,0.9121,-0.8011,0.5310,2.0032,-0.2706,30.8400,-18.4200,-21.3600,
0.357380,-0.5225,0.9121,-0.8011,0.1539,1.7460,-0.4639,30.8400,-18.4200,-21.3600,
0.378357,-0.5225,0.9121,-0.8011,0.1539,1.7460,-0.4639,30.8400,-18.4200,-21.3600,
0.378955,-0.5225,0.9121,-0.8011,-0.1230,0.5001,0.1262,30.8400,-18.4200,-21.3600,
0.379662,0.0455,-0.3870,0.7423,-0.1230,0.5001,0.1262,30.8400,-18.4200,-21.3600,
0.382316,0.0455,-0.3870,0.7423,-0.1230,0.5001,0.1262,33.2400,-17.5200,-18.4200,
0.398506,0.0455,-0.3870,0.7423,-0.2594,0.3430,0.6695,33.2400,-17.5200,-18.4200,
0.418796,0.0455,-0.3870,0.7423,0.1252,0.4597,0.5481,33.2400,-17.5200,-18.4200,
0.439877,0.0455,-0.3870,0.7423,0.1252,0.4597,0.5481,33.2400,-17.5200,-18.4200,
0.440546,1.9540,-3.2622,1.4173,0.1252,0.4597,0.5481,33.2400,-17.5200,-18.4200,
0.441243,1.9540,-3.2622,1.4173,0.7116,1.1729,0.2887,33.2400,-17.5200,-18.4200,
0.445241,1.9540,-3.2622,1.4173,0.7116,1.1729,0.2887,36.0600,-16.6800,-15.0600,
0.459714,1.9540,-3.2622,1.4173,0.7862,0.8740,-0.1491,36.0600,-16.6800,-15.0600,
0.480384,1.9540,-3.2622,1.4173,0.3989,0.3462,-0.0325,36.0600,-16.6800,-15.0600,
0.500894,1.9540,-3.2622,1.4173,0.3989,0.3462,-0.0325,36.0600,-16.6800,-15.0600,
0.501463,1.9540,-3.2622,1.4173,-0.2754,-0.2200,0.1806,36.0600,-16.6800,-15.0600,
0.501856,1.7679,-1.6142,-1.6940,-0.2754,-0.2200,0.1806,36.0600,-16.6800,-15.0600,
0.505408,1.7679,-1.6142,-1.6940,-0.2754,-0.2200,0.1806,37.4400,-16.5600,-11.4000,
0.522104,1.7679,-1.6142,-1.6940,-1.0088,-0.8613,0.2067,37.4400,-16.5600,-11.4000,
0.541910,1.7679,-1.6142,-1.6940,-1.8083,-1.6581,0.1619,37.4400,-16.5600,-11.4000,
0.562791,1.7679,-1.6142,-1.6940,-1.8083,-1.6581,0.1619,37.4400,-16.5600,-11.4000,
0.563770,1.7679,-1.6142,-1.6940,-2.6978,-3.1953,-0.2274,37.4400,-16.5600,-11.4000,
0.564470,-0.3225,1.6657,-1.5741,-2.6978,-3.1953,-0.2274,37.4400,-16.5600,-11.4000,
0.567048,-0.3225,1.6657,-1.5741,-2.6978,-3.1953,-0.2274,38.1600,-17.2800,-8.4000,
0.583142,-0.3225,1.6657,-1.5741,-3.4195,-5.2741,-0.3297,38.1600,-17.2800,-8.4000,
0.603789,-0.3225,1.6657,-1.5741,-3.4951,-6.4576,-0.1475,38.1600,-17.2800,-8.4000,
0.624277,-0.3225,1.6657,-1.5741,-3.4951,-6.4576,-0.1475,38.1600,-17.2800,-8.4000,
0.625106,-0.3225,1.6657,-1.5741,-2.9359,-4.7905,-0.4064,38.1600,-17.2800,-8.4000,
0.626030,2.0079,-5.9171,-2.8367,-2.9359,-4.7905,-0.4064,38.1600,-17.2800,-8.4000,
0.628828,2.0079,-5.9171,-2.8367,-2.9359,-4.7905,-0.4064,37.3800,-17.1600,-8.7000,
0.645216,2.0079,-5.9171,-2.8367,-2.1039,-0.2402,-0.8511,37.3800,-17.1600,-8.7000,
0.664772,2.0079,-5.9171,-2.8367,-1.6661,0.6855,-2.4885,37.3800,-17.1600,-8.7000,
0.686204,2.0079,-5.9171,-2.8367,-1.6661,0.6855,-2.4885,37.3800,-17.1600,-8.7000,
0.686619,2.0079,-5.9171,-2.8367,-1.1675,-1.5063,-3.7891,37.3800,-17.1600,-8.7000,
0.687053,3.1768,-7.3308,4.3462,-1.1675,-1.5063,-3.7891,37.3800,-17.1600,-8.7000,
0.690764,3.1768,-7.3308,4.3462,-1.1675,-1.5063,-3.7891,34.3800,-16.0800,-13.2000,
0.706567,3.1768,-7.3308,4.3462,-0.8698,-3.0323,-4.1993,34.3800,-16.0800,-13.2000,
0.727760,3.1768,-7.3308,4.3462,0.2519,-2.0485,-5.4414,34.3800,-16.0800,-13.2000,
0.748073,3.1768,-7.3308,4.3462,0.2519,-2.0485,-5.4414,34.3800,-16.0800,-13.2000,
0.748765,3.1768,-7.3308,4.3462,0.9683,-0.6301,-4.4224,34.3800,-16.0800,-13.2000,
0.749346,-5.2195,1.1996,1.0648,0.9683,-0.6301,-4.4224,34.3800,-16.0800,-13.2000,
0.751259,-5.2195,1.1996,1.0648,0.9683,-0.6301,-4.4224,32.5800,-12.1800,-19.6800,
0.767730,-5.2195,1.1996,1.0648,1.2261,-1.0312,-1.7928,32.5800,-12.1800,-19.6800,
0.788220,-5.2195,1.1996,1.0648,1.4962,-1.0701,0.3127,32.5800,-12.1800,-19.6800,
0.808818,-5.2195,1.1996,1.0648,1.4962,-1.0701,0.3127,32.5800,-12.1800,-19.6800,
0.809477,-0.1867,2.0527,-4.8164,1.4962,-1.0701,0.3127,32.5800,-12.1800,-19.6800,
0.810121,-0.1867,2.0527,-4.8164,1.4243,1.1148,1.2698,32.5800,-12.1800,-19.6800,
0.813303,-0.1867,2.0527,-4.8164,1.4243,1.1148,1.2698,29.5200,-6.4200,-26.3400,
0.829251,-0.1867,2.0527,-4.8164,1.4562,5.7306,1.5366,29.5200,-6.4200,-26.3400,
0.850399,-0.1867,2.0527,-4.8164,0.6147,6.9146,1.4653,29.5200,-6.4200,-26.3400,
0.871346,-0.1867,2.0527,-4.8164,0.6147,6.9146,1.4653,29.5200,-6.4200,-26.3400,
0.872143,-0.1867,2.0527,-4.8164,0.0852,6.4518,0.9577,29.5200,-6.4200,-26.3400,
0.873023,7.8271,-1.6562,5.7990,0.0852,6.4518,0.9577,29.5200,-6.4200,-26.3400,
0.875121,7.8271,-1.6562,5.7990,0.0852,6.4518,0.9577,27.0600,-2.0400,-31.6200,
0.890882,7.8271,-1.6562,5.7990,1.4109,3.0126,-0.7558,27.0600,-2.0400,-31.6200,
0.911596,7.8271,-1.6562,5.7990,1.9942,1.8562,-1.2437,27.0600,-2.0400,-31.6200,
0.933082,7.8271,-1.6562,5.7990,1.9942,1.8562,-1.2437,27.0600,-2.0400,-31.6200,
0.933952,7.8271,-1.6562,5.7990,1.2410,1.8845,-0.9513,27.0600,-2.0400,-31.6200,
0.934958,-1.4830,-0.1556,-3.4928,1.2410,1.8845,-0.9513,27.0600,-2.0400,-31.6200,
0.937489,-1.4830,-0.1556,-3.4928,1.2410,1.8845,-0.9513,29.1600,0.6000,-29.3400,
0.953413,-1.4830,-0.1556,-3.4928,0.3137,1.8562,-0.4586,29.1600,0.6000,-29.3400,
0.973997,-1.4830,-0.1556,-3.4928,-0.2248,0.6131,0.0213,29.1600,0.6000,-29.3400,
0.993039,-1.4830,-0.1556,-3.4928,-0.2248,0.6131,0.0213,29.1600,0.6000,-29.3400,
0.993408,-1.4830,-0.1556,-3.4928,-0.5806,-1.1862,0.9156,29.1600,0.6000,-29.3400,
0.993738,-0.3448,-0.0974,-3.5644,-0.5806,-1.1862,0.9156,29.1600,0.6000,-29.3400,
0.997865,-0.3448,-0.0974,-3.5644,-0.5806,-1.1862,0.9156,31.2600,0.6000,-25.0200,
1.015075,-0.3448,-0.0974,-3.5644,-1.0195,-2.8885,2.7532,31.2600,0.6000,-25.0200,
1.034520,-0.3448,-0.0974,-3.5644,-0.6962,-3.1830,3.4909,31.2600,0.6000,-25.0200,
1.055396,-0.3448,-0.0974,-3.5644,-0.6962,-3.1830,3.4909,31.2600,0.6000,-25.0200,
1.056123,5.1030,-0.6794,-1.4320,-0.6962,-3.1830,3.4909,31.2600,0.6000,-25.0200,
1.057005,5.1030,-0.6794,-1.4320,-0.2131,-2.6951,3.3146,31.2600,0.6000,-25.0200,
1.059768,5.1030,-0.6794,-1.4320,-0.2131,-2.6951,3.3146,34.8000,-0.9000,-20.4000,
1.075724,5.1030,-0.6794,-1.4320,-0.7324,1.8802,2.4821,34.8000,-0.9000,-20.4000,
1.096834,5.1030,-0.6794,-1.4320,-0.5619,4.1045,2.2972,34.8000,-0.9000,-20.4000,
1.116865,5.1030,-0.6794,-1.4320,-0.5619,4.1045,2.2972,34.8000,-0.9000,-20.4000,
1.117632,5.1030,-0.6794,-1.4320,0.7697,1.0509,2.5316,34.8000,-0.9000,-20.4000,
1.118379,-3.1053,-4.1291,9.2588,0.7697,1.0509,2.5316,34.8000,-0.9000,-20.4000,
1.121031,-3.1053,-4.1291,9.2588,0.7697,1.0509,2.5316,37.4400,-3.3600,-16.8600,
1.137605,-3.1053,-4.1291,9.2588,1.9446,-0.0426,2.4847,37.4400,-3.3600,-16.8600,
1.157522,-3.1053,-4.1291,9.2588,2.4581,0.9055,1.4999,37.4400,-3.3600,-16.8600,
1.178386,-3.1053,-4.1291,9.2588,2.4581,0.9055,1.4999,37.4400,-3.3600,-16.8600,
1.179038,-3.1053,-4.1291,9.2588,2.1982,1.3689,0.3292,37.4400,-3.3600,-16.8600,
1.179873,2.9982,0.0777,-2.0831,2.1982,1.3689,0.3292,37.4400,-3.3600,-16.8600,
1.182928,2.9982,0.0777,-2.0831,2.1982,1.3689,0.3292,36.3600,-6.6000,-15.9600,
1.198442,2.9982,0.0777,-2.0831,1.5324,0.7814,-0.1715,36.3600,-6.6000,-15.9600,
1.220133,2.9982,0.0777,-2.0831,0.6951,-0.0724,-0.1603,36.3600,-6.6000,-15.9600,
1.239827,2.9982,0.0777,-2.0831,0.6951,-0.0724,-0.1603,36.3600,-6.6000,-15.9600,
1.240654,-0.7893,-0.4595,-1.4269,0.6951,-0.0724,-0.1603,36.3600,-6.6000,-15.9600,
1.241452,-0.7893,-0.4595,-1.4269,-0.1886,-0.6312,-0.1039,36.3600,-6.6000,-15.9600,
1.243811,-0.7893,-0.4595,-1.4269,-0.1886,-0.6312,-0.1039,34.9800,-11.2200,-15.7200,
1.260433,-0.7893,-0.4595,-1.4269,-0.4618,-0.9832,-0.1395,34.9800,-11.2200,-15.7200,
1.280104,-0.7893,-0.4595,-1.4269,-0.1731,-1.0109,-0.0895,34.9800,-11.2200,-15.7200,
1.301474,-0.7893,-0.4595,-1.4269,-0.1731,-1.0109,-0.0895,34.9800,-11.2200,-15.7200,
1.302026,-0.7893,-0.4595,-1.4269,0.3691,-0.3894,0.0985,34.9800,-11.2200,-15.7200,
1.302482,-0.4569,-0.5447,1.2641,0.3691,-0.3894,0.0985,34.9800,-11.2200,-15.7200,
1.305873,-0.4569,-0.5447,1.2641,0.3691,-0.3894,0.0985,33.4200,-15.9000,-14.6400,
1.321451,-0.4569,-0.5447,1.2641,0.8565,0.2301,0.2679,33.4200,-15.9000,-14.6400,
1.342898,-0.4569,-0.5447,1.2641,1.0743,0.4890,0.3382,33.4200,-15.9000,-14.6400,
1.362591,-0.4569,-0.5447,1.2641,1.0743,0.4890,0.3382,33.4200,-15.9000,-14.6400,
1.363266,-0.4569,-0.5447,1.2641,0.8948,0.3659,0.2519,33.4200,-15.9000,-14.6400,
1.363800,1.7487,-0.9838,-0.9289,0.8948,0.3659,0.2519,33.4200,-15.9000,-14.6400,
1.367986,1.7487,-0.9838,-0.9289,0.8948,0.3659,0.2519,33.2400,-18.8400,-12.9000,
1.383660,1.7487,-0.9838,-0.9289,0.5151,0.2519,0.1422,33.2400,-18.8400,-12.9000,
1.403822,1.7487,-0.9838,-0.9289,0.1550,0.0293,0.0085,33.2400,-18.8400,-12.9000,
1.424851,1.7487,-0.9838,-0.9289,0.1550,0.0293,0.0085,33.2400,-18.8400,-12.9000,
1.425463,1.3458,-2.0294,0.5432,0.1550,0.0293,0.0085,33.2400,-18.8400,-12.9000,
1.426149,1.3458,-2.0294,0.5432,0.0186,-0.2796,-0.1001,33.2400,-18.8400,-12.9000,
1.428978,1.3458,-2.0294,0.5432,0.0186,-0.2796,-0.1001,33.2400,-20.4600,-11.3400,
1.444727,1.3458,-2.0294,0.5432,0.0820,-0.3180,-0.1688,33.2400,-20.4600,-11.3400,
1.466626,1.3458,-2.0294,0.5432,0.1369,-0.1257,-0.1497,33.2400,-20.4600,-11.3400,
1.486795,1.3458,-2.0294,0.5432,0.1369,-0.1257,-0.1497,33.2400,-20.4600,-11.3400,
1.487582,1.3458,-2.0294,0.5432,0.1529,0.0522,-0.0655,33.2400,-20.4600,-11.3400,
1.488104,-0.7479,-0.1503,0.6682,0.1529,0.0522,-0.0655,33.2400,-20.4600,-11.3400,
1.492132,-0.7479,-0.1503,0.6682,0.1529,0.0522,-0.0655,33.2400,-21.3000,-10.9800,
1.506288,-0.7479,-0.1503,0.6682,0.1891,0.0964,0.0170,33.2400,-21.3000,-10.9800,
1.526890,-0.7479,-0.1503,0.6682,0.2099,-0.0282,0.0373,33.2400,-21.3000,-10.9800,
1.547732,-0.7479,-0.1503,0.6682,0.2099,-0.0282,0.0373,33.2400,-21.3000,-10.9800,
1.548294,-0.7479,-0.1503,0.6682,0.1774,-0.1800,-0.0032,33.2400,-21.3000,-10.9800,
1.548854,0.8746,0.6685,-0.6640,0.1774,-0.1800,-0.0032,33.2400,-21.3000,-10.9800,
1.552160,0.8746,0.6685,-0.6640,0.1774,-0.1800,-0.0032,33.2400,-21.6600,-10.9200,
1.568151,0.8746,0.6685,-0.6640,-0.0069,-0.2727,-0.1300,33.2400,-21.6600,-10.9200,
1.588814,0.8746,0.6685,-0.6640,-0.2796,-0.5667,-0.2988,33.2400,-21.6600,-10.9200,
1.609451,0.8746,0.6685,-0.6640,-0.2796,-0.5667,-0.2988,33.2400,-21.6600,-10.9200,
1.610030,0.8746,0.6685,-0.6640,-0.6077,-0.8655,-0.4842,33.2400,-21.6600,-10.9200,
1.610599,3.8559,1.5525,-2.6888,-0.6077,-0.8655,-0.4842,33.2400,-21.6600,-10.9200,
1.614624,3.8559,1.5525,-2.6888,-0.6077,-0.8655,-0.4842,33.2400,-22.0200,-9.6000,
