
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.025328,0.0000,0.0000,0.0000,-0.2381,0.3169,0.0389,0.0000,0.0000,0.0000,
0.030753,0.0000,0.0000,0.0000,-0.2381,0.3169,0.0389,0.0000,0.0000,0.0000,
0.037345,0.0000,0.0000,0.0000,-0.2381,0.3169,0.0389,0.0000,0.0000,0.0000,
0.050188,0.0000,0.0000,0.0000,-0.2381,0.3169,0.0389,0.0000,0.0000,0.0000,
0.070395,0.0000,0.0000,0.0000,-0.2381,0.3169,0.0389,0.0000,0.0000,0.0000,
0.087363,0.0000,0.0000,0.0000,-0.2381,0.3169,0.0389,-25.5600,31.9800,-15.3600,
0.090758,0.0000,0.0000,0.0000,-0.1177,0.0746,-0.0453,-25.5600,31.9800,-15.3600,
0.099040,0.0000,0.0000,0.0000,-0.1177,0.0746,-0.0453,-25.5600,31.9800,-15.3600,
0.099658,-0.1550,-0.0995,0.0445,-0.1177,0.0746,-0.0453,-25.5600,31.9800,-15.3600,
0.111342,-0.1550,-0.0995,0.0445,-0.0394,0.1156,-0.0149,-25.5600,31.9800,-15.3600,
0.132688,-0.1550,-0.0995,0.0445,-0.0533,0.2615,0.0085,-25.5600,31.9800,-15.3600,
0.148267,-0.1550,-0.0995,0.0445,-0.0533,0.2615,0.0085,-17.3400,36.9000,-3.0600,
0.152289,-0.1550,-0.0995,0.0445,-0.2157,0.2541,0.0591,-17.3400,36.9000,-3.0600,
0.160451,-0.1550,-0.0995,0.0445,-0.2157,0.2541,0.0591,-17.3400,36.9000,-3.0600,
0.161028,0.2461,0.3481,-0.5967,-0.2157,0.2541,0.0591,-17.3400,36.9000,-3.0600,
0.172774,0.2461,0.3481,-0.5967,-0.3819,0.3883,0.0533,-17.3400,36.9000,-3.0600,
0.193525,0.2461,0.3481,-0.5967,-0.3217,0.2913,-0.0389,-17.3400,36.9000,-3.0600,
0.210696,0.2461,0.3481,-0.5967,-0.3217,0.2913,-0.0389,-13.9200,39.0000,3.3000,
0.214080,0.2461,0.3481,-0.5967,-0.2285,0.4581,-0.1790,-13.9200,39.0000,3.3000,
0.222428,0.2461,0.3481,-0.5967,-0.2285,0.4581,-0.1790,-13.9200,39.0000,3.3000,
0.223052,-0.2117,-0.1234,0.0807,-0.2285,0.4581,-0.1790,-13.9200,39.0000,3.3000,
0.236410,-0.2117,-0.1234,0.0807,-0.1683,0.3025,-0.1635,-13.9200,39.0000,3.3000,
0.255362,-0.2117,-0.1234,0.0807,-0.1326,0.3334,-0.1236,-13.9200,39.0000,3.3000,
0.272153,-0.2117,-0.1234,0.0807,-0.1326,0.3334,-0.1236,-10.3800,41.3400,9.4200,
0.275570,-0.2117,-0.1234,0.0807,-0.3377,0.8160,-0.0858,-10.3800,41.3400,9.4200,
0.283941,-0.2117,-0.1234,0.0807,-0.3377,0.8160,-0.0858,-10.3800,41.3400,9.4200,
0.284613,-0.5345,1.1988,-0.6363,-0.3377,0.8160,-0.0858,-10.3800,41.3400,9.4200,
0.296407,-0.5345,1.1988,-0.6363,-0.5752,0.8661,0.0927,-10.3800,41.3400,9.4200,
0.316733,-0.5345,1.1988,-0.6363,-0.9838,1.3726,0.3617,-10.3800,41.3400,9.4200,
0.333788,-0.5345,1.1988,-0.6363,-0.9838,1.3726,0.3617,-10.9200,40.6200,9.2400,
0.336864,-0.5345,1.1988,-0.6363,-1.6576,1.9196,0.5923,-10.9200,40.6200,9.2400,
0.345494,-0.5345,1.1988,-0.6363,-1.6576,1.9196,0.5923,-10.9200,40.6200,9.2400,
0.346171,-0.9239,-0.2066,-2.2784,-1.6576,1.9196,0.5923,-10.9200,40.6200,9.2400,
0.357542,-0.9239,-0.2066,-2.2784,-1.9169,1.8967,0.8011,-10.9200,40.6200,9.2400,
0.378135,-0.9239,-0.2066,-2.2784,-1.7923,0.3728,1.1718,-10.9200,40.6200,9.2400,
0.394614,-0.9239,-0.2066,-2.2784,-1.7923,0.3728,1.1718,-11.8200,40.4400,10.0800,
