
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.045057,0.0000,0.0000,0.0000,0.0025,0.1233,-0.0142,0.0000,0.0000,0.0000,
0.078247,0.0000,0.0000,0.0000,0.0025,0.1233,-0.0142,0.0000,0.0000,0.0000,
0.107841,0.0000,0.0000,0.0000,0.0025,0.1233,-0.0142,-29.5125,6.0750,36.9375,
0.139392,0.0000,0.0000,0.0000,0.0025,0.1233,-0.0142,-29.5125,6.0750,36.9375,
0.140735,0.0000,0.0000,0.0000,-0.6574,-0.1489,0.0714,-29.5125,6.0750,36.9375,
0.167956,0.0000,0.0000,0.0000,-0.6574,-0.1489,0.0714,-29.1563,5.6063,37.2750,
0.180939,-0.3765,-0.5012,0.2412,-0.6574,-0.1489,0.0714,-29.1563,5.6063,37.2750,
0.201260,-0.3765,-0.5012,0.2412,-0.4445,-0.4553,-0.0806,-29.1563,5.6063,37.2750,
0.202600,-0.3765,-0.5012,0.2412,-0.4445,-0.4553,-0.0806,-29.1563,5.6063,37.2750,
0.226411,-0.3765,-0.5012,0.2412,-0.4445,-0.4553,-0.0806,-28.4250,5.2688,37.7812,
0.240453,0.1582,-0.3682,-0.7123,-0.4445,-0.4553,-0.0806,-28.4250,5.2688,37.7812,
0.259746,0.1582,-0.3682,-0.7123,-0.3780,0.3346,0.4437,-28.4250,5.2688,37.7812,
0.260234,0.1582,-0.3682,-0.7123,-0.3780,0.3346,0.4437,-28.4250,5.2688,37.7812,
0.285885,0.1582,-0.3682,-0.7123,-0.3780,0.3346,0.4437,-28.0500,5.3813,37.5938,
0.300714,0.4203,-0.0882,0.2877,-0.3780,0.3346,0.4437,-28.0500,5.3813,37.5938,
0.320780,0.4203,-0.0882,0.2877,-0.0586,-0.0949,0.3024,-28.0500,5.3813,37.5938,
0.321422,0.4203,-0.0882,0.2877,-0.0586,-0.0949,0.3024,-28.0500,5.3813,37.5938,
0.345181,0.4203,-0.0882,0.2877,-0.0586,-0.0949,0.3024,-28.1250,5.3625,37.2375,
0.381681,0.4203,-0.0882,0.2877,-0.0586,-0.0949,0.3024,-28.1250,5.3625,37.2375,
0.382467,-1.0418,1.6497,-0.1626,-0.0586,-0.0949,0.3024,-28.1250,5.3625,37.2375,
0.383187,-1.0418,1.6497,-0.1626,-0.0735,-0.3796,0.8246,-28.1250,5.3625,37.2375,
0.405721,-1.0418,1.6497,-0.1626,-0.0735,-0.3796,0.8246,-27.9000,5.4563,37.1250,
0.443059,-1.0418,1.6497,-0.1626,-0.8278,-1.0417,2.7441,-27.9000,5.4563,37.1250,
0.444051,-2.1085,2.8383,-0.5481,-0.8278,-1.0417,2.7441,-27.9000,5.4563,37.1250,
0.444736,-2.1085,2.8383,-0.5481,-0.8278,-1.0417,2.7441,-27.9000,5.4563,37.1250,
0.467290,-2.1085,2.8383,-0.5481,-0.8278,-1.0417,2.7441,-27.2813,5.7563,37.7063,
0.504744,-2.1085,2.8383,-0.5481,-0.8278,-1.0417,2.7441,-27.2813,5.7563,37.7063,
0.505653,1.8263,-5.7268,1.6063,-0.8278,-1.0417,2.7441,-27.2813,5.7563,37.7063,
0.506414,1.8263,-5.7268,1.6063,-0.4178,2.5032,3.1315,-27.2813,5.7563,37.7063,
0.526236,1.8263,-5.7268,1.6063,-0.4178,2.5032,3.1315,-27.1688,6.4500,37.6500,
0.565486,1.2545,-2.5087,-1.4626,-0.4178,2.5032,3.1315,-27.1688,6.4500,37.6500,
0.566475,1.2545,-2.5087,-1.4626,-0.4178,2.5032,3.1315,-27.1688,6.4500,37.6500,
0.567081,1.2545,-2.5087,-1.4626,0.1658,0.0495,0.2989,-27.1688,6.4500,37.6500,
0.586586,1.2545,-2.5087,-1.4626,0.1658,0.0495,0.2989,-26.8875,7.3125,37.4813,
0.626696,1.2545,-2.5087,-1.4626,0.1658,0.0495,0.2989,-26.8875,7.3125,37.4813,
0.627427,1.2545,-2.5087,-1.4626,-0.1523,0.5752,-0.1019,-26.8875,7.3125,37.4813,
0.646767,1.2545,-2.5087,-1.4626,-0.1523,0.5752,-0.1019,-26.7188,8.3438,37.3500,
0.647695,-0.3851,-0.2983,0.5479,-0.1523,0.5752,-0.1019,-26.7188,8.3438,37.3500,
0.686516,-0.3851,-0.2983,0.5479,-0.1523,0.5752,-0.1019,-26.7188,8.3438,37.3500,
0.687306,-0.3851,-0.2983,0.5479,0.0245,0.2441,0.3529,-26.7188,8.3438,37.3500,
0.707429,-0.3851,-0.2983,0.5479,0.0245,0.2441,0.3529,-26.9438,9.4688,36.9188,
0.708493,-0.1035,0.2218,0.0682,0.0245,0.2441,0.3529,-26.9438,9.4688,36.9188,
0.748424,-0.1035,0.2218,0.0682,0.0419,-0.2426,0.1722,-26.9438,9.4688,36.9188,
0.749358,-0.1035,0.2218,0.0682,0.0419,-0.2426,0.1722,-26.9438,9.4688,36.9188,
0.765414,-0.1035,0.2218,0.0682,0.0419,-0.2426,0.1722,-26.9813,10.4250,36.7688,
0.767514,0.4225,-0.1492,-0.0220,0.0419,-0.2426,0.1722,-26.9813,10.4250,36.7688,
0.809132,0.4225,-0.1492,-0.0220,-0.0256,0.2192,0.0373,-26.9813,10.4250,36.7688,
0.810799,0.4225,-0.1492,-0.0220,-0.0256,0.2192,0.0373,-26.9813,10.4250,36.7688,
0.825810,0.4225,-0.1492,-0.0220,-0.0256,0.2192,0.0373,-26.8875,11.4750,36.7500,
0.849039,0.2993,0.0766,-0.0689,-0.0256,0.2192,0.0373,-26.8875,11.4750,36.7500,
0.870377,0.2993,0.0766,-0.0689,-0.0256,0.2192,0.0373,-26.8875,11.4750,36.7500,
0.871533,0.2993,0.0766,-0.0689,0.1274,-0.2309,-0.1150,-26.8875,11.4750,36.7500,
0.886165,0.2993,0.0766,-0.0689,0.1274,-0.2309,-0.1150,-27.0000,12.4125,36.5438,
0.910208,-0.6640,-0.2703,-0.0682,0.1274,-0.2309,-0.1150,-27.0000,12.4125,36.5438,
0.930922,-0.6640,-0.2703,-0.0682,-0.0810,-0.2980,0.1342,-27.0000,12.4125,36.5438,
0.931743,-0.6640,-0.2703,-0.0682,-0.0810,-0.2980,0.1342,-27.0000,12.4125,36.5438,
0.946263,-0.6640,-0.2703,-0.0682,-0.0810,-0.2980,0.1342,-27.3750,13.2750,35.8875,
0.970875,-0.6055,-0.2111,-0.1802,-0.0810,-0.2980,0.1342,-27.3750,13.2750,35.8875,
0.993338,-0.6055,-0.2111,-0.1802,-0.3128,0.8131,-0.1146,-27.3750,13.2750,35.8875,
0.995290,-0.6055,-0.2111,-0.1802,-0.3128,0.8131,-0.1146,-27.3750,13.2750,35.8875,
1.006358,-0.6055,-0.2111,-0.1802,-0.3128,0.8131,-0.1146,-27.6000,13.5563,35.5500,
1.032550,-1.1649,-0.5036,0.1007,-0.3128,0.8131,-0.1146,-27.6000,13.5563,35.5500,
1.052546,-1.1649,-0.5036,0.1007,-0.3128,0.8131,-0.1146,-27.6000,13.5563,35.5500,
1.053245,-1.1649,-0.5036,0.1007,-0.0292,0.1284,-0.1451,-27.6000,13.5563,35.5500,
1.067550,-1.1649,-0.5036,0.1007,-0.0292,0.1284,-0.1451,-27.8438,13.5938,35.4563,
1.113930,-1.1649,-0.5036,0.1007,-0.4594,-0.0012,-0.1481,-27.8438,13.5938,35.4563,
1.115327,-1.1649,-0.5036,0.1007,-0.4594,-0.0012,-0.1481,-27.8438,13.5938,35.4563,
1.115762,0.8590,0.1619,-1.6002,-0.4594,-0.0012,-0.1481,-27.8438,13.5938,35.4563,
1.126376,0.8590,0.1619,-1.6002,-0.4594,-0.0012,-0.1481,-27.9750,13.3688,35.2875,
1.175361,0.8590,0.1619,-1.6002,-0.5811,0.1067,-0.4200,-27.9750,13.3688,35.2875,
1.178391,1.3664,0.3786,0.2173,-0.5811,0.1067,-0.4200,-27.9750,13.3688,35.2875,
1.180100,1.3664,0.3786,0.2173,-0.5811,0.1067,-0.4200,-27.9750,13.3688,35.2875,
1.186842,1.3664,0.3786,0.2173,-0.5811,0.1067,-0.4200,-28.0688,12.8813,35.3438,
1.235685,1.3664,0.3786,0.2173,-0.1097,0.1493,-0.2844,-28.0688,12.8813,35.3438,
1.236791,-1.8439,1.5697,2.7634,-0.1097,0.1493,-0.2844,-28.0688,12.8813,35.3438,
1.237570,-1.8439,1.5697,2.7634,-0.1097,0.1493,-0.2844,-28.0688,12.8813,35.3438,
1.246368,-1.8439,1.5697,2.7634,-0.1097,0.1493,-0.2844,-28.4250,12.2438,35.4188,
1.297125,-1.8439,1.5697,2.7634,0.4803,1.6466,0.2858,-28.4250,12.2438,35.4188,
1.297894,-1.8439,1.5697,2.7634,0.4803,1.6466,0.2858,-28.4250,12.2438,35.4188,
1.306919,-1.8439,1.5697,2.7634,0.4803,1.6466,0.2858,-28.9313,11.6625,35.1188,
1.316023,-2.5579,0.6448,0.2851,0.4803,1.6466,0.2858,-28.9313,11.6625,35.1188,
1.357086,-2.5579,0.6448,0.2851,0.6653,0.2852,-0.0085,-28.9313,11.6625,35.1188,
1.359204,-2.5579,0.6448,0.2851,0.6653,0.2852,-0.0085,-28.9313,11.6625,35.1188,
1.366442,-2.5579,0.6448,0.2851,0.6653,0.2852,-0.0085,-29.6250,11.3625,34.5750,
1.377639,-0.6996,-0.3153,-0.6179,0.6653,0.2852,-0.0085,-29.6250,11.3625,34.5750,
1.418157,-0.6996,-0.3153,-0.6179,0.1342,1.1870,0.2613,-29.6250,11.3625,34.5750,
1.419123,-0.6996,-0.3153,-0.6179,0.1342,1.1870,0.2613,-29.6250,11.3625,34.5750,
1.426831,-0.6996,-0.3153,-0.6179,0.1342,1.1870,0.2613,-30.6188,10.9875,33.9938,
1.437489,-1.4383,-0.6337,1.6958,0.1342,1.1870,0.2613,-30.6188,10.9875,33.9938,
1.478806,-1.4383,-0.6337,1.6958,0.1342,1.1870,0.2613,-30.6188,10.9875,33.9938,
1.479908,-1.4383,-0.6337,1.6958,0.9710,1.0187,0.6137,-30.6188,10.9875,33.9938,
1.485762,-1.4383,-0.6337,1.6958,0.9710,1.0187,0.6137,-31.6688,11.0438,32.8500,
1.498704,2.4378,-1.9321,-3.0208,0.9710,1.0187,0.6137,-31.6688,11.0438,32.8500,
1.540538,2.4378,-1.9321,-3.0208,0.2762,-1.3532,0.2655,-31.6688,11.0438,32.8500,
1.541668,2.4378,-1.9321,-3.0208,0.2762,-1.3532,0.2655,-31.6688,11.0438,32.8500,
1.545899,2.4378,-1.9321,-3.0208,0.2762,-1.3532,0.2655,-32.3438,11.2875,31.8938,
1.581100,4.5726,0.7216,0.2354,0.2762,-1.3532,0.2655,-32.3438,11.2875,31.8938,
1.601720,4.5726,0.7216,0.2354,0.2762,-1.3532,0.2655,-32.3438,11.2875,31.8938,
1.602653,4.5726,0.7216,0.2354,-0.0714,-0.2903,-0.0160,-32.3438,11.2875,31.8938,
1.606014,4.5726,0.7216,0.2354,-0.0714,-0.2903,-0.0160,-33.0000,11.8500,31.0313,
1.641007,1.6401,-0.7775,-0.9553,-0.0714,-0.2903,-0.0160,-33.0000,11.8500,31.0313,
1.661348,1.6401,-0.7775,-0.9553,-0.0714,-0.2903,-0.0160,-33.0000,11.8500,31.0313,
1.661887,1.6401,-0.7775,-0.9553,-0.0565,1.1482,-0.4980,-33.0000,11.8500,31.0313,
1.666440,1.6401,-0.7775,-0.9553,-0.0565,1.1482,-0.4980,-33.6188,12.5438,30.0375,
1.702393,-2.2595,-0.1339,-1.7877,-0.0565,1.1482,-0.4980,-33.6188,12.5438,30.0375,
1.722508,-2.2595,-0.1339,-1.7877,-0.4445,0.7527,-0.1427,-33.6188,12.5438,30.0375,
1.723651,-2.2595,-0.1339,-1.7877,-0.4445,0.7527,-0.1427,-33.6188,12.5438,30.0375,
1.726517,-2.2595,-0.1339,-1.7877,-0.4445,0.7527,-0.1427,-34.4438,13.2563,28.6500,
1.785086,-2.2595,-0.1339,-1.7877,-0.4445,0.7527,-0.1427,-34.4438,13.2563,28.6500,
1.785989,-2.2595,-0.1339,-1.7877,-0.4445,0.7527,-0.1427,-34.9500,13.8563,27.8063,
1.786805,-0.0011,0.4474,2.1182,-0.4445,0.7527,-0.1427,-34.9500,13.8563,27.8063,
1.787612,-0.0011,0.4474,2.1182,-0.2776,-0.9711,0.5598,-34.9500,13.8563,27.8063,
1.845062,-0.0011,0.4474,2.1182,-0.2776,-0.9711,0.5598,-34.9500,13.8563,27.8063,
1.845983,3.6049,-0.4329,0.4343,-0.2776,-0.9711,0.5598,-34.9500,13.8563,27.8063,
1.846882,3.6049,-0.4329,0.4343,-0.2776,-0.9711,0.5598,-35.3438,14.1938,27.3938,
1.847686,3.6049,-0.4329,0.4343,-0.1204,0.2345,-0.1662,-35.3438,14.1938,27.3938,
1.906332,3.6049,-0.4329,0.4343,-0.0309,0.8884,-0.1236,-35.3438,14.1938,27.3938,
1.907926,-2.1372,0.5328,0.1149,-0.0309,0.8884,-0.1236,-35.3438,14.1938,27.3938,
