
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.020423,0.0000,0.0000,0.0000,0.2008,0.5252,-0.0085,0.0000,0.0000,0.0000,
0.032902,0.0000,0.0000,0.0000,0.2008,0.5252,-0.0085,0.0000,0.0000,0.0000,
0.037379,0.0000,0.0000,0.0000,0.2008,0.5252,-0.0085,-25.8000,-36.0000,-8.8800,
0.041021,0.0000,0.0000,0.0000,0.2008,0.5252,-0.0085,-25.8000,-36.0000,-8.8800,
0.061410,0.0000,0.0000,0.0000,0.2008,0.5252,-0.0085,-25.8000,-36.0000,-8.8800,
0.081880,0.0000,0.0000,0.0000,-0.1406,-0.4080,-0.1220,-25.8000,-36.0000,-8.8800,
0.094001,0.0000,0.0000,0.0000,-0.1406,-0.4080,-0.1220,-25.8000,-36.0000,-8.8800,
0.094400,0.0377,0.0365,-0.0070,-0.1406,-0.4080,-0.1220,-25.8000,-36.0000,-8.8800,
0.098935,0.0377,0.0365,-0.0070,-0.1406,-0.4080,-0.1220,4.1400,-28.3200,-13.7400,
0.102527,0.0377,0.0365,-0.0070,-0.0607,-0.0660,-0.0618,4.1400,-28.3200,-13.7400,
0.123106,0.0377,0.0365,-0.0070,-0.0128,0.1401,-0.0346,4.1400,-28.3200,-13.7400,
0.143910,0.0377,0.0365,-0.0070,0.0176,0.0921,-0.0282,4.1400,-28.3200,-13.7400,
0.156047,0.0377,0.0365,-0.0070,0.0176,0.0921,-0.0282,4.1400,-28.3200,-13.7400,
0.156383,0.0496,-0.0180,0.4366,0.0176,0.0921,-0.0282,4.1400,-28.3200,-13.7400,
0.160518,0.0496,-0.0180,0.4366,0.0176,0.0921,-0.0282,19.6200,-24.3000,-16.5600,
0.164120,0.0496,-0.0180,0.4366,0.0730,0.1348,-0.0320,19.6200,-24.3000,-16.5600,
0.184747,0.0496,-0.0180,0.4366,0.0921,0.2557,-0.0229,19.6200,-24.3000,-16.5600,
0.205584,0.0496,-0.0180,0.4366,0.0820,0.1917,-0.0075,19.6200,-24.3000,-16.5600,
0.218257,0.0496,-0.0180,0.4366,0.0820,0.1917,-0.0075,19.6200,-24.3000,-16.5600,
0.218880,-0.0435,-0.0797,0.2162,0.0820,0.1917,-0.0075,19.6200,-24.3000,-16.5600,
0.222495,-0.0435,-0.0797,0.2162,0.0820,0.1917,-0.0075,34.6800,-19.9200,-18.9600,
0.225647,-0.0435,-0.0797,0.2162,0.0352,0.0165,-0.0064,34.6800,-19.9200,-18.9600,
0.246522,-0.0435,-0.0797,0.2162,0.0005,0.0330,0.0096,34.6800,-19.9200,-18.9600,
0.266889,-0.0435,-0.0797,0.2162,-0.0234,0.0117,0.0048,34.6800,-19.9200,-18.9600,
0.279320,-0.0435,-0.0797,0.2162,-0.0234,0.0117,0.0048,34.6800,-19.9200,-18.9600,
0.279740,-0.1462,-0.3215,-0.0645,-0.0234,0.0117,0.0048,34.6800,-19.9200,-18.9600,
