time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.020174,0.0,0.0,0.0,0.0804,-0.0192,0.0011,0.0,0.0,0.0,,0.0,0.0,0.006493464054073125,non_fall
0.039378,0.0,0.0,0.0,0.0804,-0.0192,0.0011,0.0,0.0,0.0,,0.019204000000000002,0.0,0.007677160815943674,non_fall
0.03996,0.0,0.0,0.0,0.0804,-0.0192,0.0011,0.0,0.0,0.0,,0.0005819999999999992,0.0,0.009998119399347978,non_fall
0.043789,0.0,0.0,0.0,0.0804,-0.0192,0.0011,-3.42,-44.64,-6.6,,0.003828999999999999,0.0,0.014397255756372645,non_fall
0.059881,0.0,0.0,0.0,0.0804,-0.0192,0.0011,-3.42,-44.64,-6.6,,0.016091999999999995,0.0,0.021656464489456854,non_fall
0.080215,0.0,0.0,0.0,-0.2653,-0.3957,-0.473,-3.42,-44.64,-6.6,,0.020333999999999998,0.0,0.032354215407983375,non_fall
0.100992,0.0,0.0,0.0,-0.2653,-0.3957,-0.473,-3.42,-44.64,-6.6,,0.020777000000000004,0.0,0.04683353718037081,non_fall
0.101451,0.0,0.0,0.0,-0.0953,-0.0117,-0.4314,-3.42,-44.64,-6.6,,0.0004590000000000011,0.0,0.06518463643875931,non_fall
0.102028,-0.0512,-0.0516,0.0053,-0.0953,-0.0117,-0.4314,-3.42,-44.64,-6.6,,0.0005769999999999942,0.07288408605450164,0.08724378629603739,non_fall
0.10567,-0.0512,-0.0516,0.0053,-0.0953,-0.0117,-0.4314,18.66,-33.18,-6.12,,0.0036420000000000063,0.07288408605450164,0.11260928622117333,non_fall
0.121396,-0.0512,-0.0516,0.0053,-0.024,0.2083,-0.2589,18.66,-33.18,-6.12,,0.015726000000000004,0.07288408605450164,0.14067429924933122,non_fall
0.141917,-0.0512,-0.0516,0.0053,-0.0511,0.1481,-0.0975,18.66,-33.18,-6.12,,0.020520999999999984,0.07288408605450164,0.1706753206195109,non_fall
0.162258,-0.0512,-0.0516,0.0053,-0.0511,0.1481,-0.0975,18.66,-33.18,-6.12,,0.020341000000000026,0.07288408605450164,0.20175393679640216,non_fall
0.162601,-0.0512,-0.0516,0.0053,-0.0655,-0.1017,0.0112,18.66,-33.18,-6.12,,0.0003429999999999822,0.07288408605450164,0.2330282191779813,non_fall
0.162891,0.1401,0.1249,0.4958,-0.0655,-0.1017,0.0112,18.66,-33.18,-6.12,,0.00029000000000001247,0.5301373972848926,0.26366834558212426,non_fall
0.16682,0.1401,0.1249,0.4958,-0.0655,-0.1017,0.0112,30.0,-27.24,-6.66,,0.003928999999999988,0.5301373972848926,0.2929689782147559,non_fall
0.182862,0.1401,0.1249,0.4958,-0.0991,-0.2913,-0.0181,30.0,-27.24,-6.66,,0.016042,0.5301373972848926,0.320409361252078,non_fall
0.203371,0.1401,0.1249,0.4958,-0.1965,-0.4447,-0.0794,30.0,-27.24,-6.66,,0.020509,0.5301373972848926,0.34569226408629106,non_fall
0.224073,0.1401,0.1249,0.4958,-0.1965,-0.4447,-0.0794,30.0,-27.24,-6.66,,0.020701999999999998,0.5301373972848926,0.36875542190123023,non_fall
0.224522,0.1401,0.1249,0.4958,-0.0357,-0.0826,-0.0842,30.0,-27.24,-6.66,,0.00044900000000000495,0.5301373972848926,0.3897534210226887,non_fall
0.22495,-0.1452,0.1516,-0.1662,-0.0357,-0.0826,-0.0842,30.0,-27.24,-6.66,,0.0004280000000000117,0.26774622312929086,0.40901281501441283,non_fall
0.228453,-0.1452,0.1516,-0.1662,-0.0357,-0.0826,-0.0842,40.68,-21.42,-7.38,,0.0035029999999999784,0.26774622312929086,0.4269676207459971,non_fall
0.244427,-0.1452,0.1516,-0.1662,0.1294,0.318,-0.0091,40.68,-21.42,-7.38,,0.015974000000000016,0.26774622312929086,0.44408546150900347,non_fall
0.265031,-0.1452,0.1516,-0.1662,0.1001,0.3121,-0.008,40.68,-21.42,-7.38,,0.02060400000000001,0.26774622312929086,0.46079578633195933,non_fall
0.285682,-0.1452,0.1516,-0.1662,0.1001,0.3121,-0.008,40.68,-21.42,-7.38,,0.020650999999999975,0.26774622312929086,0.47743048496040424,non_fall
0.286166,0.1245,-0.3749,0.3485,0.1001,0.3121,-0.008,40.68,-21.42,-7.38,,0.00048399999999998444,0.5267850700238191,0.4941842498435529,non_fall
0.286715,0.1245,-0.3749,0.3485,-0.0543,-0.106,-0.0794,40.68,-21.42,-7.38,,0.0005490000000000217,0.5267850700238191,0.5110981207749302,non_fall
0.290698,0.1245,-0.3749,0.3485,-0.0543,-0.106,-0.0794,40.86,-21.06,-7.98,,0.003983000000000014,0.5267850700238191,0.5280658093055738,non_fall
0.305904,0.1245,-0.3749,0.3485,-0.1076,-0.3036,-0.1156,40.86,-21.06,-7.98,,0.015205999999999997,0.5267850700238191,0.5448595261630046,non_fall
0.326567,0.1245,-0.3749,0.3485,0.0341,0.1609,-0.1395,40.86,-21.06,-7.98,,0.020662999999999987,0.5267850700238191,0.5611705038390001,non_fall
0.347023,0.1245,-0.3749,0.3485,0.0341,0.1609,-0.1395,40.86,-21.06,-7.98,,0.02045600000000003,0.5267850700238191,0.5766588657089181,non_fall
0.347405,0.1245,-0.3749,0.3485,0.2178,0.5976,0.0421,40.86,-21.06,-7.98,,0.00038199999999999346,0.5267850700238191,0.5910072399639802,non_fall
0.3477,0.3854,0.2472,-0.6784,0.2178,0.5976,0.0421,40.86,-21.06,-7.98,,0.0002949999999999897,0.8184543725828581,0.6039720829122804,non_fall
0.351823,0.3854,0.2472,-0.6784,0.2178,0.5976,0.0421,41.16,-20.76,-8.82,,0.004122999999999988,0.8184543725828581,0.6154260967432225,non_fall
0.36747,0.3854,0.2472,-0.6784,0.3382,0.4517,0.1385,41.16,-20.76,-8.82,,0.015647000000000022,0.8184543725828581,0.625384962692022,non_fall
0.38813,0.3854,0.2472,-0.6784,0.2162,0.0352,0.1715,41.16,-20.76,-8.82,,0.020659999999999956,0.8184543725828581,0.6340126810546517,non_fall
0.408566,0.3854,0.2472,-0.6784,0.2162,0.0352,0.1715,41.16,-20.76,-8.82,,0.02043600000000001,0.8184543725828581,0.6416025427224311,non_fall
0.408981,0.3854,0.2472,-0.6784,0.0298,-0.2498,0.1683,41.16,-20.76,-8.82,,0.0004149999999999987,0.8184543725828581,0.6485347906223277,non_fall
