time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.018499,0.0,0.0,0.0,0.0048,-0.2397,-0.0463,0.0,0.0,0.0,,0.0,0.0,0.008987172735187189,non_fall
0.026784,0.0,0.0,0.0,0.0048,-0.2397,-0.0463,36.9,4.08,-17.82,,0.008284999999999997,0.0,0.023362142826067973,non_fall
0.038626,0.0,0.0,0.0,0.0048,-0.2397,-0.0463,36.9,4.08,-17.82,,0.011842000000000002,0.0,0.0412355875753106,non_fall
0.039112,0.0,0.0,0.0,0.0048,-0.2397,-0.0463,36.9,4.08,-17.82,,0.0004860000000000003,0.0,0.06205466563506441,non_fall
0.05929,0.0,0.0,0.0,0.0048,-0.2397,-0.0463,36.9,4.08,-17.82,,0.020178,0.0,0.0845529491812169,non_fall
0.079656,0.0,0.0,0.0,-0.1742,0.065,0.179,36.9,4.08,-17.82,,0.020366000000000002,0.0,0.10682271148302368,non_fall
0.088115,0.0,0.0,0.0,-0.1742,0.065,0.179,17.34,20.1,-1.38,,0.008458999999999994,0.0,0.12648563987625847,non_fall
0.100526,0.0,0.0,0.0,-0.1742,0.065,0.179,17.34,20.1,-1.38,,0.012411000000000005,0.0,0.14096398306846922,non_fall
0.100942,0.0,0.0,0.0,-0.0644,-0.0394,0.0639,17.34,20.1,-1.38,,0.0004159999999999997,0.0,0.14784367060347892,non_fall
0.101235,-0.1576,-0.0715,0.0235,-0.0644,-0.0394,0.0639,17.34,20.1,-1.38,,0.0002930000000000016,0.1746489622070512,0.1453080684686299,non_fall
0.12096,-0.1576,-0.0715,0.0235,0.1225,-0.025,-0.0064,17.34,20.1,-1.38,,0.019724999999999993,0.1746489622070512,0.13260669743929723,non_fall
0.141544,-0.1576,-0.0715,0.0235,0.1587,0.0735,-0.0378,17.34,20.1,-1.38,,0.020584000000000005,0.1746489622070512,0.11050975911995593,non_fall
0.14998,-0.1576,-0.0715,0.0235,0.1587,0.0735,-0.0378,7.92,27.54,6.54,,0.008435999999999999,0.1746489622070512,0.0816899352201115,non_fall
