filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_thigh_ll_1.csv,2.278293,28.474362686699457,1030,249,781
p10_thigh_ll_2.csv,2.278293,28.474362686699457,1030,249,781
p10_thigh_ll_3.csv,1.85107,20.985208013846123,1233,195,1038
p1_thigh_lr_1.csv,3.281047,26.732255536813902,1181,195,986
p1_thigh_lr_2.csv,3.794257,14.199531316531369,1061,195,866
p1_thigh_lr_3.csv,3.143091,60.05660368499805,1090,195,895
p2_thigh_lr_1.csv,2.811501,22.067821295267272,948,195,753
p2_thigh_lr_2.csv,2.256741,30.34818059442425,870,195,675
p2_thigh_lr_3.csv,2.097741,14.023616249606922,1025,227,798
p3_thigh_lr_1.csv,2.091924,29.865162017421053,821,229,592
p3_thigh_lr_2.csv,2.228056,27.18528627139656,856,239,617
p3_thigh_lr_3.csv,2.311205,39.75895167725975,877,239,638
p4_thigh_ll_1.csv,0.387553,22.992647818803253,786,133,653
p4_thigh_ll_2.csv,2.079777,22.60771702696362,851,195,656
p4_thigh_ll_3.csv,2.587697,22.985024088914326,1036,195,841
p5_thigh_ll_1.csv,2.523396,23.558290725978896,1091,249,842
p5_thigh_ll_2.csv,2.666493,28.3327327957144,1240,237,1003
p5_thigh_ll_3.csv,2.224796,19.320050265860576,726,195,531
p6_thigh_ll_1.csv,2.91639,17.780880964940188,939,195,744
p6_thigh_ll_2.csv,3.058106,15.703745602396891,1182,241,941
p6_thigh_ll_3.csv,1.978112,23.615891492009226,773,197,576
p7_thigh_lr_1.csv,3.64223,60.14052299299873,1202,195,1007
p7_thigh_lr_2.csv,2.551469,48.29293883238986,1175,195,980
p7_thigh_lr_3.csv,3.195557,51.45505688068226,1185,223,962
p8_thigh_ll_1.csv,2.675071,14.398478129439608,568,129,439
p8_thigh_ll_2.csv,3.893784,22.349527496464503,628,129,499
p8_thigh_ll_3.csv,3.041847,13.44344301982987,608,129,479
p9_thigh_lr_1.csv,2.184083,35.222836285599776,924,203,721
p9_thigh_lr_2.csv,0.515125,21.79731871838975,1099,130,969
p9_thigh_lr_3.csv,0.577108,27.281132996467232,978,152,826
