
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.047083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.085413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28.8774,-28.6944,-12.1512,
0.089216,0.0000,0.0000,0.0000,-0.0320,0.0370,0.0105,-28.8774,-28.6944,-12.1512,
0.102294,0.0000,0.0000,0.0000,-0.0320,0.0370,0.0105,-28.8774,-28.6944,-12.1512,
0.103293,0.0000,0.0000,0.0000,-0.0320,0.0370,0.0105,-28.8774,-28.6944,-12.1512,
0.103975,0.0000,0.0000,0.0000,-0.0320,0.0370,0.0105,-28.8774,-28.6944,-12.1512,
0.145212,0.0000,0.0000,0.0000,-0.0320,0.0370,0.0105,-28.7554,-28.6944,-12.2854,
0.154289,0.0000,0.0000,0.0000,-0.0253,-0.0672,0.0176,-28.7554,-28.6944,-12.2854,
0.165446,0.0000,0.0000,0.0000,-0.0253,-0.0672,0.0176,-28.7554,-28.6944,-12.2854,
0.168434,0.0000,0.0000,0.0000,-0.0253,-0.0672,0.0176,-28.7554,-28.6944,-12.2854,
0.169806,0.0000,0.0000,0.0000,-0.0253,-0.0672,0.0176,-28.7554,-28.6944,-12.2854,
0.171335,0.0000,0.0000,0.0000,-0.0253,-0.0672,0.0176,-28.7554,-28.6944,-12.2854,
0.204813,0.0000,0.0000,0.0000,-0.0253,-0.0672,0.0176,-28.7188,-28.6578,-12.2854,
0.224220,0.0000,0.0000,0.0000,-0.0324,0.0099,0.0069,-28.7188,-28.6578,-12.2854,
0.234898,0.0466,-0.0804,-0.0143,-0.0324,0.0099,0.0069,-28.7188,-28.6578,-12.2854,
0.238369,0.0466,-0.0804,-0.0143,-0.0324,0.0099,0.0069,-28.7188,-28.6578,-12.2854,
0.239984,0.0466,-0.0804,-0.0143,-0.0324,0.0099,0.0069,-28.7188,-28.6578,-12.2854,
