
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.048662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.049023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.081885,0.0000,0.0000,0.0000,-0.0032,-0.0075,-0.0077,0.0000,0.0000,0.0000,
0.101716,0.0000,0.0000,0.0000,-0.0032,-0.0075,-0.0077,-33.2206,3.3794,29.3898,
0.106782,0.0000,0.0000,0.0000,-0.0032,-0.0075,-0.0077,-33.2206,3.3794,29.3898,
0.107790,0.0000,0.0000,0.0000,-0.0032,-0.0075,-0.0077,-33.2206,3.3794,29.3898,
0.108673,0.0000,0.0000,0.0000,-0.0032,-0.0075,-0.0077,-33.2206,3.3794,29.3898,
0.151521,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2206,3.3794,29.3898,
0.159837,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2816,3.2818,29.2068,
0.161327,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2816,3.2818,29.2068,
0.174592,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2816,3.2818,29.2068,
0.175501,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2816,3.2818,29.2068,
0.176030,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2816,3.2818,29.2068,
0.220081,0.0000,0.0000,0.0000,-0.0197,-0.0015,-0.0047,-33.2694,3.2208,29.3532,
0.221688,0.0000,0.0000,0.0000,-0.0060,-0.0017,-0.0012,-33.2694,3.2208,29.3532,
0.229296,0.0240,0.0927,0.0229,-0.0060,-0.0017,-0.0012,-33.2694,3.2208,29.3532,
0.240027,0.0240,0.0927,0.0229,-0.0060,-0.0017,-0.0012,-33.2694,3.2208,29.3532,
0.241145,0.0240,0.0927,0.0229,-0.0060,-0.0017,-0.0012,-33.2694,3.2208,29.3532,
0.242261,0.0240,0.0927,0.0229,-0.0060,-0.0017,-0.0012,-33.2694,3.2208,29.3532,
0.243154,0.0240,0.0927,0.0229,-0.0060,-0.0017,-0.0012,-33.2694,3.2208,29.3532,
