
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.048712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.085069,0.0000,0.0000,0.0000,0.0398,-0.1682,0.0245,0.0000,0.0000,0.0000,
0.086969,0.0000,0.0000,0.0000,0.0398,-0.1682,0.0245,-28.9262,-31.4028,-9.6014,
0.108205,0.0000,0.0000,0.0000,0.0398,-0.1682,0.0245,-28.9262,-31.4028,-9.6014,
0.109111,0.0000,0.0000,0.0000,0.0398,-0.1682,0.0245,-28.9262,-31.4028,-9.6014,
0.109770,0.0000,0.0000,0.0000,0.0398,-0.1682,0.0245,-28.9262,-31.4028,-9.6014,
0.145071,0.0000,0.0000,0.0000,0.0398,-0.1682,0.0245,-28.9140,-31.4394,-9.5160,
0.155784,0.0000,0.0000,0.0000,0.0218,-0.0619,-0.0015,-28.9140,-31.4394,-9.5160,
0.164511,0.0000,0.0000,0.0000,0.0218,-0.0619,-0.0015,-28.9140,-31.4394,-9.5160,
0.177501,0.0000,0.0000,0.0000,0.0218,-0.0619,-0.0015,-28.9140,-31.4394,-9.5160,
0.178708,0.0000,0.0000,0.0000,0.0218,-0.0619,-0.0015,-28.9140,-31.4394,-9.5160,
0.179541,0.0000,0.0000,0.0000,0.0218,-0.0619,-0.0015,-28.9140,-31.4394,-9.5160,
0.203106,0.0000,0.0000,0.0000,0.0218,-0.0619,-0.0015,-28.9506,-31.4272,-9.4550,
0.222686,0.0000,0.0000,0.0000,0.0352,-0.0148,-0.0072,-28.9506,-31.4272,-9.4550,
0.235208,0.0745,0.0297,-0.1109,0.0352,-0.0148,-0.0072,-28.9506,-31.4272,-9.4550,
0.240204,0.0745,0.0297,-0.1109,0.0352,-0.0148,-0.0072,-28.9506,-31.4272,-9.4550,
0.241113,0.0745,0.0297,-0.1109,0.0352,-0.0148,-0.0072,-28.9506,-31.4272,-9.4550,
0.241846,0.0745,0.0297,-0.1109,0.0352,-0.0148,-0.0072,-28.9506,-31.4272,-9.4550,
0.262742,0.0745,0.0297,-0.1109,0.0352,-0.0148,-0.0072,-28.8896,-31.4882,-9.2964,
