
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.042753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.051664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.7002,6.0756,-42.1510,
0.078911,0.0000,0.0000,0.0000,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.1510,
0.101743,0.0000,0.0000,0.0000,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.1510,
0.102689,0.0000,0.0000,0.0000,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.1510,
0.103322,0.0000,0.0000,0.0000,-0.0491,0.0434,0.0083,-12.7002,6.0756,-42.1510,
0.118947,0.0000,0.0000,0.0000,-0.0491,0.0434,0.0083,-12.8222,6.2830,-42.3706,
0.148855,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.2830,-42.3706,
0.158585,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.2830,-42.3706,
0.169178,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.2830,-42.3706,
0.170102,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.2830,-42.3706,
0.170912,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.2830,-42.3706,
0.171692,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.2830,-42.3706,
0.178362,0.0000,0.0000,0.0000,-0.0835,0.0421,-0.0218,-12.8222,6.4660,-42.5414,
0.220248,0.0000,0.0000,0.0000,-0.0711,-0.0190,-0.0202,-12.8222,6.4660,-42.5414,
0.228199,-0.1099,0.0005,0.0248,-0.0711,-0.0190,-0.0202,-12.8222,6.4660,-42.5414,
0.233890,-0.1099,0.0005,0.0248,-0.0711,-0.0190,-0.0202,-12.8222,6.4660,-42.5414,
0.234970,-0.1099,0.0005,0.0248,-0.0711,-0.0190,-0.0202,-12.8222,6.4660,-42.5414,
0.235905,-0.1099,0.0005,0.0248,-0.0711,-0.0190,-0.0202,-12.8222,6.4660,-42.5414,
