
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.048726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.086051,0.0000,0.0000,0.0000,0.0573,0.0285,0.0113,0.0000,0.0000,0.0000,
0.099127,0.0000,0.0000,0.0000,0.0573,0.0285,0.0113,-30.8660,-28.9140,-5.4046,
0.110842,0.0000,0.0000,0.0000,0.0573,0.0285,0.0113,-30.8660,-28.9140,-5.4046,
0.111426,0.0000,0.0000,0.0000,0.0573,0.0285,0.0113,-30.8660,-28.9140,-5.4046,
0.111897,0.0000,0.0000,0.0000,0.0573,0.0285,0.0113,-30.8660,-28.9140,-5.4046,
0.148781,0.0000,0.0000,0.0000,0.0573,0.0285,0.0113,-31.1466,-28.7554,-5.8804,
0.156791,0.0000,0.0000,0.0000,0.0132,0.0134,-0.0053,-31.1466,-28.7554,-5.8804,
0.165639,0.0000,0.0000,0.0000,0.0132,0.0134,-0.0053,-31.1466,-28.7554,-5.8804,
0.177156,0.0000,0.0000,0.0000,0.0132,0.0134,-0.0053,-31.1466,-28.7554,-5.8804,
0.177976,0.0000,0.0000,0.0000,0.0132,0.0134,-0.0053,-31.1466,-28.7554,-5.8804,
0.178581,0.0000,0.0000,0.0000,0.0132,0.0134,-0.0053,-31.1466,-28.7554,-5.8804,
0.197638,0.0000,0.0000,0.0000,0.0132,0.0134,-0.0053,-31.1466,-28.6700,-6.0024,
0.225295,0.0000,0.0000,0.0000,0.0148,0.0017,-0.0004,-31.1466,-28.6700,-6.0024,
0.236433,0.0280,0.0262,-0.0657,0.0148,0.0017,-0.0004,-31.1466,-28.6700,-6.0024,
0.242813,0.0280,0.0262,-0.0657,0.0148,0.0017,-0.0004,-31.1466,-28.6700,-6.0024,
0.243604,0.0280,0.0262,-0.0657,0.0148,0.0017,-0.0004,-31.1466,-28.6700,-6.0024,
