
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.035464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.080286,0.0000,0.0000,0.0000,-0.0117,0.0079,0.0009,0.0000,0.0000,0.0000,
0.098693,0.0000,0.0000,0.0000,-0.0117,0.0079,0.0009,0.0000,0.0000,0.0000,
0.101075,0.0000,0.0000,0.0000,-0.0117,0.0079,0.0009,0.0000,0.0000,0.0000,
0.102329,0.0000,0.0000,0.0000,-0.0117,0.0079,0.0009,0.0000,0.0000,0.0000,
0.103522,0.0000,0.0000,0.0000,-0.0117,0.0079,0.0009,-33.9282,-25.5834,-6.9174,
0.149971,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-33.9282,-25.5834,-6.9174,
0.153871,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-34.0624,-25.4736,-7.3322,
0.163916,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-34.0624,-25.4736,-7.3322,
0.165432,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-34.0624,-25.4736,-7.3322,
0.166627,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-34.0624,-25.4736,-7.3322,
0.167629,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-34.0624,-25.4736,-7.3322,
0.168660,0.0000,0.0000,0.0000,0.0000,0.0023,-0.0053,-34.0624,-25.4736,-7.3322,
0.219376,0.0000,0.0000,0.0000,-0.0121,0.0003,0.0017,-34.0624,-25.4736,-7.3322,
0.220637,0.0000,0.0000,0.0000,-0.0121,0.0003,0.0017,-34.0502,-25.3882,-7.4542,
0.228324,-0.0070,0.0046,-0.0289,-0.0121,0.0003,0.0017,-34.0502,-25.3882,-7.4542,
0.229103,-0.0070,0.0046,-0.0289,-0.0121,0.0003,0.0017,-34.0502,-25.3882,-7.4542,
0.229841,-0.0070,0.0046,-0.0289,-0.0121,0.0003,0.0017,-34.0502,-25.3882,-7.4542,
0.230441,-0.0070,0.0046,-0.0289,-0.0121,0.0003,0.0017,-34.0502,-25.3882,-7.4542,
0.279336,-0.0070,0.0046,-0.0289,-0.0121,0.0003,0.0017,-34.0868,-25.3882,-7.5640,
0.289020,-0.0070,0.0046,-0.0289,0.0020,0.0019,0.0023,-34.0868,-25.3882,-7.5640,
0.299186,-0.0070,0.0046,-0.0289,0.0020,0.0019,0.0023,-34.0868,-25.3882,-7.5640,
0.300437,-0.0070,0.0046,-0.0289,0.0020,0.0019,0.0023,-34.0868,-25.3882,-7.5640,
0.301359,-0.0070,0.0046,-0.0289,0.0020,0.0019,0.0023,-34.0868,-25.3882,-7.5640,
0.302412,-0.0452,0.0025,0.0136,0.0020,0.0019,0.0023,-34.0868,-25.3882,-7.5640,
0.338772,-0.0452,0.0025,0.0136,0.0020,0.0019,0.0023,-34.1112,-25.3516,-7.5762,
