time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.049432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.00011828157462987358,non_fall
0.049822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00039000000000000146,0.0,-0.0008065430956474453,non_fall
0.059706,0.0,0.0,0.0,0.0,0.0,0.0,42.2364,16.3846,11.1752,,0.009884000000000004,0.0,-0.0013521216203092438,non_fall
0.069167,0.0,0.0,0.0,0.0,0.0,0.0,42.2364,16.3846,11.1752,,0.009461000000000004,0.0,-0.0015770014049367863,non_fall
0.092672,0.0,0.0,0.0,-0.0057,0.0088,-0.0053,42.2364,16.3846,11.1752,,0.023504999999999998,0.0,-0.0013218681132474478,non_fall
0.102499,0.0,0.0,0.0,-0.0057,0.0088,-0.0053,42.2364,16.3846,11.1752,,0.009827000000000002,0.0,-0.00045879790320017133,non_fall
0.109525,0.0,0.0,0.0,-0.0057,0.0088,-0.0053,42.2364,16.3846,11.1752,,0.007025999999999991,0.0,0.001097350428975259,non_fall
0.110517,0.0,0.0,0.0,-0.0057,0.0088,-0.0053,42.2364,16.3846,11.1752,,0.0009920000000000068,0.0,0.0033797968210144487,non_fall
0.111303,0.0,0.0,0.0,-0.0057,0.0088,-0.0053,42.2364,16.3846,11.1752,,0.000785999999999995,0.0,0.006364016971217263,non_fall
0.123271,0.0,0.0,0.0,-0.0057,0.0088,-0.0053,42.1754,16.3724,11.2484,,0.011968000000000006,0.0,0.00996626605701509,non_fall
0.162811,0.0,0.0,0.0,-0.0044,0.0032,-0.0012,42.1754,16.3724,11.2484,,0.039540000000000006,0.0,0.014047219499689751,non_fall
0.172521,-0.0155,-0.0158,-0.0239,-0.0044,0.0032,-0.0012,42.1754,16.3724,11.2484,,0.009709999999999996,0.03257452992753695,0.018420932333548436,non_fall
0.176499,-0.0155,-0.0158,-0.0239,-0.0044,0.0032,-0.0012,42.1754,16.3724,11.2484,,0.0039779999999999816,0.03257452992753695,0.022868477450982635,non_fall
0.177582,-0.0155,-0.0158,-0.0239,-0.0044,0.0032,-0.0012,42.1754,16.3724,11.2484,,0.0010830000000000006,0.03257452992753695,0.027154795679648437,non_fall
0.178388,-0.0155,-0.0158,-0.0239,-0.0044,0.0032,-0.0012,42.1754,16.3724,11.2484,,0.0008060000000000012,0.03257452992753695,0.031046929896987402,non_fall
0.182868,-0.0155,-0.0158,-0.0239,-0.0044,0.0032,-0.0012,42.2242,16.4334,11.1996,,0.004480000000000012,0.03257452992753695,0.034332141122949564,non_fall
0.232726,-0.0155,-0.0158,-0.0239,-0.008,-0.0224,-0.0035,42.2242,16.4334,11.1996,,0.049857999999999986,0.03257452992753695,0.03683515066204261,non_fall
0.243587,-0.0155,-0.0158,-0.0239,-0.008,-0.0224,-0.0035,42.1632,16.409,11.2606,,0.01086100000000001,0.03257452992753695,0.03843442657021404,non_fall
0.245233,-0.0155,-0.0158,-0.0239,-0.008,-0.0224,-0.0035,42.1632,16.409,11.2606,,0.0016460000000000086,0.03257452992753695,0.0390777210357135,non_fall
0.246253,-0.0155,-0.0158,-0.0239,-0.008,-0.0224,-0.0035,42.1632,16.409,11.2606,,0.0010199999999999931,0.03257452992753695,0.03879692126937802,non_fall
0.247271,-0.0155,-0.0158,-0.0239,-0.008,-0.0224,-0.0035,42.1632,16.409,11.2606,,0.0010179999999999911,0.03257452992753695,0.03772178720100008,non_fall
0.248204,-0.0155,-0.0158,-0.0239,-0.008,-0.0224,-0.0035,42.1632,16.409,11.2606,,0.0009330000000000171,0.03257452992753695,0.036091435412704535,non_fall
0.249561,-0.0224,0.0457,0.0049,-0.008,-0.0224,-0.0035,42.1632,16.409,11.2606,,0.001356999999999997,0.05112983473472215,0.034261626963941194,non_fall
0.301017,-0.0224,0.0457,0.0049,-0.008,-0.0224,-0.0035,42.212,16.2992,11.3948,,0.051455999999999974,0.05112983473472215,0.03270522009890501,non_fall
0.302568,-0.0224,0.0457,0.0049,-0.0184,-0.0543,-0.0009,42.212,16.2992,11.3948,,0.0015510000000000246,0.05112983473472215,0.032002866264269375,non_fall
0.309798,-0.0224,0.0457,0.0049,-0.0184,-0.0543,-0.0009,42.212,16.2992,11.3948,,0.007230000000000014,0.05112983473472215,0.03282151676152171,non_fall
0.310916,-0.0224,0.0457,0.0049,-0.0184,-0.0543,-0.0009,42.212,16.2992,11.3948,,0.0011180000000000079,0.05112983473472215,0.03587972692587737,non_fall
0.311762,-0.0224,0.0457,0.0049,-0.0184,-0.0543,-0.0009,42.212,16.2992,11.3948,,0.0008459999999999579,0.05112983473472215,0.041900893699737415,non_fall
