time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.066363,0.0,0.0,0.0,0.0,0.0,0.0,42.3218,12.6026,11.529,,0.0,0.0,-0.00013353494998944804,non_fall
0.073124,0.0,0.0,0.0,0.0,0.0,0.0,42.3218,12.6026,11.529,,0.006760999999999989,0.0,-0.002382582480579736,non_fall
0.085287,0.0,0.0,0.0,0.0245,-0.0246,-0.0019,42.3218,12.6026,11.529,,0.012163000000000007,0.0,-0.004464468773296603,non_fall
0.113111,0.0,0.0,0.0,0.0245,-0.0246,-0.0019,42.5414,12.6026,11.0288,,0.027824,0.0,-0.0061533141959585775,non_fall
0.14767,0.0,0.0,0.0,0.0245,-0.0246,-0.0019,42.5414,12.6026,11.0288,,0.03455899999999999,0.0,-0.0069951814332656894,non_fall
0.157194,0.0,0.0,0.0,0.0526,-0.0387,-0.0009,42.5414,12.6026,11.0288,,0.009524000000000005,0.0,-0.006311052914848042,non_fall
0.164319,0.0,0.0,0.0,0.0526,-0.0387,-0.0009,42.5414,12.6026,11.0288,,0.0071249999999999925,0.0,-0.00331444613457389,non_fall
0.174475,0.0,0.0,0.0,0.0526,-0.0387,-0.0009,42.4804,12.6636,11.041,,0.010155999999999998,0.0,0.0026769996993928407,non_fall
0.213841,0.0,0.0,0.0,0.0526,-0.0387,-0.0009,42.4804,12.6636,11.041,,0.03936600000000001,0.0,0.011994314992934418,non_fall
0.223894,0.0,0.0,0.0,0.025,-0.0296,-0.0148,42.4804,12.6636,11.041,,0.010053000000000006,0.0,0.024420729285702967,non_fall
0.234179,0.0,0.0,0.0,0.025,-0.0296,-0.0148,42.5048,12.6514,11.102,,0.010284999999999989,0.0,0.03913540673433959,non_fall
0.236513,0.0004,0.0939,-0.0265,0.025,-0.0296,-0.0148,42.5048,12.6514,11.102,,0.0023340000000000027,0.09756854001162464,0.05484923970001178,non_fall
0.284713,0.0004,0.0939,-0.0265,0.025,-0.0296,-0.0148,42.5048,12.6514,11.102,,0.04819999999999999,0.09756854001162464,0.07010510156581744,non_fall
0.293225,0.0004,0.0939,-0.0265,0.025,-0.0296,-0.0148,42.4926,12.688,11.0288,,0.00851200000000002,0.09756854001162464,0.08362869160632118,non_fall
0.296701,0.0004,0.0939,-0.0265,0.0659,-0.0222,-0.0328,42.4926,12.688,11.0288,,0.003475999999999979,0.09756854001162464,0.09458400262933792,non_fall
0.303976,0.0719,-0.0011,-0.0584,0.0659,-0.0222,-0.0328,42.4926,12.688,11.0288,,0.0072750000000000314,0.09263573824394125,0.10264048861351215,non_fall
0.355304,0.0719,-0.0011,-0.0584,0.0659,-0.0222,-0.0328,42.517,12.6148,11.1142,,0.051327999999999985,0.09263573824394125,0.10786140576483674,non_fall
0.360028,0.0719,-0.0011,-0.0584,0.0659,-0.0222,-0.0328,42.517,12.6148,11.1142,,0.004724000000000006,0.09263573824394125,0.11050729857011925,non_fall
0.366096,0.0719,-0.0011,-0.0584,0.0462,-0.0446,0.0025,42.517,12.6148,11.1142,,0.006067999999999962,0.09263573824394125,0.11087334079548751,non_fall
0.374598,0.0884,0.0687,-0.0497,0.0462,-0.0446,0.0025,42.517,12.6148,11.1142,,0.00850200000000001,0.12249220383355017,0.10924223882213764,non_fall
0.414357,0.0884,0.0687,-0.0497,0.0462,-0.0446,0.0025,42.578,12.5904,11.1386,,0.03975899999999999,0.12249220383355017,0.10595877055343549,non_fall
0.425972,0.0884,0.0687,-0.0497,0.0462,-0.0446,0.0025,42.578,12.5904,11.1386,,0.011615000000000042,0.12249220383355017,0.10155502777550338,non_fall
0.434236,0.0884,0.0687,-0.0497,0.0541,-0.0822,-0.0137,42.578,12.5904,11.1386,,0.008263999999999994,0.12249220383355017,0.0968179788157003,non_fall
0.4418,0.0583,0.0216,-0.0334,0.0541,-0.0822,-0.0137,42.578,12.5904,11.1386,,0.007564000000000015,0.07057627079975252,0.09271722334174859,non_fall
0.474184,0.0583,0.0216,-0.0334,0.0541,-0.0822,-0.0137,42.5902,12.5904,11.1386,,0.03238399999999997,0.07057627079975252,0.09019003859175757,non_fall
