time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Gain,Unnamed: 11,time_diff,acc_mag,acc_mag_filtered,label
0.022038,0.0534,-0.2332,-0.1206,0.0,0.0,0.0,0.0,0.0,0.0,-∞,,0.0,0.26791446396191454,0.267930583742039,non_fall
0.030799,0.0534,-0.2332,-0.1206,0.0,0.0,0.0,0.0,0.0,0.0,-∞,,0.008761000000000001,0.26791446396191454,0.27248578539231394,non_fall
0.04127,0.0937,-0.189,-0.1529,0.0,0.0,0.0,0.0,0.0,0.0,-∞,,0.010471000000000001,0.2605361779100937,0.27693626765994483,non_fall
0.050356,0.0937,-0.189,-0.1529,0.0,0.0,0.0,44.1188,-0.2438,14.625,-∞,,0.009085999999999997,0.2605361779100937,0.2811641815644605,non_fall
0.060714,0.0798,-0.2073,-0.173,0.0,0.0,0.0,44.1188,-0.2438,14.625,-∞,,0.010358,0.2815498712484167,0.2850534265822589,non_fall
0.064398,0.0798,-0.2073,-0.173,0.0192,-0.006,-0.0018,44.1188,-0.2438,14.625,-∞,,0.0036839999999999998,0.2815498712484167,0.2884939724630269,non_fall
0.07951,0.0798,-0.2073,-0.173,0.0192,-0.006,-0.0018,44.1188,-0.2438,14.625,-∞,,0.015112,0.2815498712484167,0.2913884405116979,non_fall
0.081425,0.0497,-0.2596,-0.1562,0.0192,-0.006,-0.0018,44.1188,-0.2438,14.625,-∞,,0.001915,0.30701903849761497,0.29366034357811027,non_fall
0.099405,0.037,-0.2667,-0.1678,0.0192,-0.006,-0.0018,44.1188,-0.2438,14.625,-∞,,0.017979999999999996,0.31726129609519027,0.2952627824030132,non_fall
0.110376,0.037,-0.2667,-0.1678,0.0192,-0.006,-0.0018,44.5875,-0.3188,15.6375,-∞,,0.010971000000000009,0.31726129609519027,0.2961860556749263,non_fall
0.118139,0.0665,-0.2518,-0.1393,0.0192,-0.006,-0.0018,44.5875,-0.3188,15.6375,-∞,,0.007762999999999992,0.2953472193876218,0.29646268430803013,non_fall
0.127094,0.0665,-0.2518,-0.1393,0.0192,-0.006,-0.0018,44.5875,-0.3188,15.6375,-∞,,0.008955000000000019,0.2953472193876218,0.29616883370164265,non_fall
0.127605,0.0665,-0.2518,-0.1393,0.0168,-0.0353,-0.0164,44.5875,-0.3188,15.6375,-∞,,0.0005109999999999837,0.2953472193876218,0.29542188362997074,non_fall
0.14217,0.0693,-0.2671,-0.0892,0.0168,-0.0353,-0.0164,44.5875,-0.3188,15.6375,-∞,,0.014564999999999995,0.29000265516025886,0.29437461413372085,non_fall
0.156373,0.0761,-0.2407,-0.1271,0.0168,-0.0353,-0.0164,44.5875,-0.3188,15.6375,-∞,,0.014203000000000021,0.2826342335952954,0.29320690167278524,non_fall
0.171388,0.0761,-0.2407,-0.1271,0.0168,-0.0353,-0.0164,44.5875,-0.1875,15.225,-∞,,0.015015,0.2826342335952954,0.2921159283610605,non_fall
0.175258,0.0761,-0.2407,-0.1271,0.0168,-0.0353,-0.0164,44.5875,-0.1875,15.225,-∞,,0.0038699999999999846,0.2826342335952954,0.29130577913586747,non_fall
0.177798,0.125,-0.2427,-0.1324,0.0168,-0.0353,-0.0164,44.5875,-0.1875,15.225,-∞,,0.0025400000000000145,0.3034106952630378,0.2909769960381075,non_fall
0.189292,0.125,-0.2427,-0.1324,0.0363,-0.0403,-0.025,44.5875,-0.1875,15.225,-∞,,0.011493999999999976,0.3034106952630378,0.29131624886397817,non_fall
0.195298,0.1941,-0.1753,-0.1369,0.0363,-0.0403,-0.025,44.5875,-0.1875,15.225,-∞,,0.006006000000000011,0.29520587731276626,0.29248593073606466,non_fall
0.214223,0.2131,-0.1681,-0.1574,0.0363,-0.0403,-0.025,44.5875,-0.1875,15.225,-∞,,0.018924999999999997,0.31375783655551936,0.2946133898568886,non_fall
0.223365,0.2131,-0.1681,-0.1574,0.0363,-0.0403,-0.025,44.5875,-0.1875,15.225,-∞,,0.009142000000000011,0.31375783655551936,0.2977797444513063,non_fall
0.230911,0.2131,-0.1681,-0.1574,0.0363,-0.0403,-0.025,44.475,0.3188,15.0188,-∞,,0.007545999999999997,0.31375783655551936,0.3020087329919631,non_fall
0.233564,0.1527,-0.1452,-0.1929,0.0363,-0.0403,-0.025,44.475,0.3188,15.0188,-∞,,0.0026529999999999887,0.28567593528332064,0.30725672691578315,non_fall
0.251341,0.1527,-0.1452,-0.1929,0.0082,-0.05,-0.0091,44.475,0.3188,15.0188,-∞,,0.017776999999999987,0.28567593528332064,0.31340576168519396,non_fall
0.25203,0.0944,-0.1905,-0.1809,0.0082,-0.05,-0.0091,44.475,0.3188,15.0188,-∞,,0.0006889999999999952,0.2791530404634705,0.3202619780699567,non_fall
0.271115,0.0944,-0.1905,-0.1809,0.0082,-0.05,-0.0091,44.475,0.3188,15.0188,-∞,,0.01908500000000002,0.2791530404634705,0.32756184693828566,non_fall
0.271678,0.1053,-0.253,-0.1414,0.0082,-0.05,-0.0091,44.475,0.3188,15.0188,-∞,,0.0005629999999999802,0.30836836737901635,0.33498771779571745,non_fall
0.290699,0.1689,-0.2695,-0.1739,0.0082,-0.05,-0.0091,44.475,0.3188,15.0188,-∞,,0.01902100000000001,0.36248954467680855,0.3421926173202237,non_fall
0.291905,0.1689,-0.2695,-0.1739,0.0082,-0.05,-0.0091,43.9875,0.45,14.9438,-∞,,0.0012060000000000404,0.36248954467680855,0.3488321942481038,non_fall
