
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.063430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.4186,5.1118,9.0524,
0.106216,0.0000,0.0000,0.0000,0.0605,-0.0148,0.0387,40.4186,5.1118,9.0524,
0.114890,0.0000,0.0000,0.0000,0.0605,-0.0148,0.0387,40.4186,5.1118,9.0524,
0.123191,0.0000,0.0000,0.0000,0.0605,-0.0148,0.0387,40.4186,5.1118,9.0524,
0.125191,0.0000,0.0000,0.0000,0.0605,-0.0148,0.0387,40.4186,5.1118,9.0524,
0.126908,0.0000,0.0000,0.0000,0.0605,-0.0148,0.0387,40.4186,5.1118,9.0524,
0.155099,0.0000,0.0000,0.0000,0.0605,-0.0148,0.0387,40.4308,5.0996,8.8572,
0.175487,0.0000,0.0000,0.0000,0.0676,-0.1100,0.0166,40.4308,5.0996,8.8572,
0.187879,-0.1764,-0.0450,0.0458,0.0676,-0.1100,0.0166,40.4308,5.0996,8.8572,
0.189365,-0.1764,-0.0450,0.0458,0.0676,-0.1100,0.0166,40.4308,5.0996,8.8572,
0.190115,-0.1764,-0.0450,0.0458,0.0676,-0.1100,0.0166,40.4308,5.0996,8.8572,
0.190900,-0.1764,-0.0450,0.0458,0.0676,-0.1100,0.0166,40.4308,5.0996,8.8572,
0.214248,-0.1764,-0.0450,0.0458,0.0676,-0.1100,0.0166,40.3332,5.0752,8.8938,
0.245076,-0.1764,-0.0450,0.0458,0.1025,-0.0663,-0.0210,40.3332,5.0752,8.8938,
0.259162,-0.1764,-0.0450,0.0458,0.1025,-0.0663,-0.0210,40.3332,5.0752,8.8938,
0.260744,-0.1764,-0.0450,0.0458,0.1025,-0.0663,-0.0210,40.3332,5.0752,8.8938,
0.261716,-0.1764,-0.0450,0.0458,0.1025,-0.0663,-0.0210,40.3332,5.0752,8.8938,
0.262795,-0.1764,-0.0450,0.0458,0.1025,-0.0663,-0.0210,40.3332,5.0752,8.8938,
0.263686,0.2542,-0.2345,0.1677,0.1025,-0.0663,-0.0210,40.3332,5.0752,8.8938,
0.275080,0.2542,-0.2345,0.1677,0.1025,-0.0663,-0.0210,40.2844,5.1240,8.7352,
0.315883,0.2542,-0.2345,0.1677,0.1321,0.0751,-0.0160,40.2844,5.1240,8.7352,
0.323339,0.2542,-0.2345,0.1677,0.1321,0.0751,-0.0160,40.2844,5.1240,8.7352,
0.324330,0.2542,-0.2345,0.1677,0.1321,0.0751,-0.0160,40.2844,5.1240,8.7352,
0.324939,0.2542,-0.2345,0.1677,0.1321,0.0751,-0.0160,40.2844,5.1240,8.7352,
0.325573,0.0784,0.0900,0.0021,0.1321,0.0751,-0.0160,40.2844,5.1240,8.7352,
0.333771,0.0784,0.0900,0.0021,0.1321,0.0751,-0.0160,40.2356,5.2338,8.6742,
0.385921,0.0784,0.0900,0.0021,0.0969,-0.0487,0.0878,40.2356,5.2338,8.6742,
0.391754,0.0784,0.0900,0.0021,0.0969,-0.0487,0.0878,40.2356,5.2338,8.6742,
0.393650,0.0784,0.0900,0.0021,0.0969,-0.0487,0.0878,40.2356,5.2338,8.6742,
0.396093,0.0784,0.0900,0.0021,0.0969,-0.0487,0.0878,40.2356,5.2338,8.6742,
0.397884,0.0784,0.0900,0.0021,0.0969,-0.0487,0.0878,40.1502,5.2216,8.5888,
0.400145,0.0753,0.3872,-0.1550,0.0969,-0.0487,0.0878,40.1502,5.2216,8.5888,
0.456487,0.0753,0.3872,-0.1550,0.0515,0.2647,-0.1214,40.1502,5.2216,8.5888,
0.460371,0.0753,0.3872,-0.1550,0.0515,0.2647,-0.1214,40.1014,5.2460,8.5766,
0.463172,0.0753,0.3872,-0.1550,0.0515,0.2647,-0.1214,40.1014,5.2460,8.5766,
0.465499,0.0753,0.3872,-0.1550,0.0515,0.2647,-0.1214,40.1014,5.2460,8.5766,
0.468241,0.0753,0.3872,-0.1550,0.0515,0.2647,-0.1214,40.1014,5.2460,8.5766,
0.470249,0.0753,0.3872,-0.1550,0.0515,0.2647,-0.1214,40.1014,5.2460,8.5766,
0.471497,0.0010,-0.6023,0.0107,0.0515,0.2647,-0.1214,40.1014,5.2460,8.5766,
0.514905,0.0010,-0.6023,0.0107,0.0515,0.2647,-0.1214,40.0770,5.2826,8.6254,
