
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.056082,-0.2195,-0.8088,0.5906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.071614,-0.2195,-0.8088,0.5906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091671,-0.2195,-0.8088,0.5906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094300,-0.2195,-0.8088,0.5906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096542,-0.2195,-0.8088,0.5906,0.0000,0.0000,0.0000,38.9438,7.6688,19.0875,
0.099411,-0.2195,-0.8088,0.5906,-0.0104,-0.1222,-0.0212,38.9438,7.6688,19.0875,
0.110099,-0.2195,-0.8088,0.5906,-0.0104,-0.1222,-0.0212,38.9438,7.6688,19.0875,
0.135765,0.0890,-0.3464,-0.0225,-0.0104,-0.1222,-0.0212,38.9438,7.6688,19.0875,
0.147615,0.0890,-0.3464,-0.0225,-0.0104,-0.1222,-0.0212,38.9438,7.6688,19.0875,
0.150053,0.0660,-0.2610,-0.1181,-0.0104,-0.1222,-0.0212,38.9438,7.6688,19.0875,
0.152936,0.0660,-0.2610,-0.1181,-0.0104,-0.1222,-0.0212,38.9625,7.3688,18.9750,
0.157818,0.0660,-0.2610,-0.1181,0.0043,-0.1710,-0.0334,38.9625,7.3688,18.9750,
0.167258,0.0863,-0.2408,-0.0701,0.0043,-0.1710,-0.0334,38.9625,7.3688,18.9750,
0.189178,0.0613,-0.2300,0.0063,0.0043,-0.1710,-0.0334,38.9625,7.3688,18.9750,
0.206361,0.0766,-0.2573,-0.0334,0.0043,-0.1710,-0.0334,38.9625,7.3688,18.9750,
0.215070,0.0766,-0.2573,-0.0334,0.0043,-0.1710,-0.0334,38.9625,7.3688,18.9750,
0.217428,0.0766,-0.2573,-0.0334,0.0043,-0.1710,-0.0334,39.9375,7.4625,18.6375,
0.220048,0.0766,-0.2573,-0.0334,0.0103,-0.2248,-0.0481,39.9375,7.4625,18.6375,
0.225335,0.0697,-0.3421,-0.0189,0.0103,-0.2248,-0.0481,39.9375,7.4625,18.6375,
0.245890,0.0882,-0.3570,-0.0022,0.0103,-0.2248,-0.0481,39.9375,7.4625,18.6375,
0.269977,0.1772,-0.2833,-0.0916,0.0103,-0.2248,-0.0481,39.9375,7.4625,18.6375,
0.273202,0.1772,-0.2833,-0.0916,0.0103,-0.2248,-0.0481,39.6188,7.8938,18.3375,
0.275957,0.1772,-0.2833,-0.0916,0.0103,-0.2248,-0.0481,39.6188,7.8938,18.3375,
0.280896,0.1772,-0.2833,-0.0916,0.0213,-0.2553,-0.0615,39.6188,7.8938,18.3375,
0.281728,0.2590,-0.2365,-0.1543,0.0213,-0.2553,-0.0615,39.6188,7.8938,18.3375,
0.302568,0.2840,-0.2331,-0.0703,0.0213,-0.2553,-0.0615,39.6188,7.8938,18.3375,
0.325602,0.2146,-0.2149,-0.1246,0.0213,-0.2553,-0.0615,39.6188,7.8938,18.3375,
0.335515,0.2146,-0.2149,-0.1246,0.0213,-0.2553,-0.0615,39.8250,8.0438,17.1938,
0.338310,0.2146,-0.2149,-0.1246,0.0213,-0.2553,-0.0615,39.8250,8.0438,17.1938,
0.341081,0.0648,-0.2636,-0.1739,0.0213,-0.2553,-0.0615,39.8250,8.0438,17.1938,
0.347636,0.0648,-0.2636,-0.1739,0.0410,-0.3396,-0.0615,39.8250,8.0438,17.1938,
0.359337,0.0095,-0.2928,-0.1574,0.0410,-0.3396,-0.0615,39.8250,8.0438,17.1938,
0.379962,0.0533,-0.2379,-0.2336,0.0410,-0.3396,-0.0615,39.8250,8.0438,17.1938,
0.391478,0.0533,-0.2379,-0.2336,0.0410,-0.3396,-0.0615,40.4250,7.9688,16.4438,
0.401803,0.0533,-0.2379,-0.2336,0.0410,-0.3396,-0.0615,40.4250,7.9688,16.4438,
0.404337,0.1248,-0.1880,-0.2828,0.0410,-0.3396,-0.0615,40.4250,7.9688,16.4438,
0.407073,0.1248,-0.1880,-0.2828,0.0641,-0.4093,-0.0566,40.4250,7.9688,16.4438,
0.416593,0.1979,-0.1525,-0.2268,0.0641,-0.4093,-0.0566,40.4250,7.9688,16.4438,
0.438367,0.2952,-0.0952,-0.3011,0.0641,-0.4093,-0.0566,40.4250,7.9688,16.4438,
0.449877,0.2952,-0.0952,-0.3011,0.0641,-0.4093,-0.0566,41.1938,8.4563,14.4563,
0.454558,0.2676,-0.0884,-0.2767,0.0641,-0.4093,-0.0566,41.1938,8.4563,14.4563,
0.458750,0.2676,-0.0884,-0.2767,0.0641,-0.4093,-0.0566,41.1938,8.4563,14.4563,
0.468444,0.2676,-0.0884,-0.2767,0.0703,-0.4239,-0.0322,41.1938,8.4563,14.4563,
0.479429,0.1172,-0.0816,-0.3683,0.0703,-0.4239,-0.0322,41.1938,8.4563,14.4563,
0.492839,0.0001,-0.1084,-0.4663,0.0703,-0.4239,-0.0322,41.1938,8.4563,14.4563,
0.512861,0.0001,-0.1084,-0.4663,0.0703,-0.4239,-0.0322,40.8188,8.5125,13.8375,
0.514039,0.0573,-0.1257,-0.4309,0.0703,-0.4239,-0.0322,40.8188,8.5125,13.8375,
0.524266,0.0573,-0.1257,-0.4309,0.0703,-0.4239,-0.0322,40.8188,8.5125,13.8375,
0.537499,0.0573,-0.1257,-0.4309,0.0385,-0.3836,0.0546,40.8188,8.5125,13.8375,
0.541685,0.0538,-0.2005,-0.4586,0.0385,-0.3836,0.0546,40.8188,8.5125,13.8375,
0.550185,-0.0142,-0.1726,-0.5695,0.0385,-0.3836,0.0546,40.8188,8.5125,13.8375,
0.569880,0.0080,-0.1427,-0.6137,0.0385,-0.3836,0.0546,40.8188,8.5125,13.8375,
0.571325,0.0080,-0.1427,-0.6137,0.0385,-0.3836,0.0546,41.6063,8.6438,12.8813,
0.582630,0.0080,-0.1427,-0.6137,0.0385,-0.3836,0.0546,41.6063,8.6438,12.8813,
0.591575,-0.0138,-0.1661,-0.5325,0.0385,-0.3836,0.0546,41.6063,8.6438,12.8813,
0.595629,-0.0138,-0.1661,-0.5325,-0.0227,-0.2749,0.0459,41.6063,8.6438,12.8813,
0.606459,-0.2364,0.0489,-0.4568,-0.0227,-0.2749,0.0459,41.6063,8.6438,12.8813,
0.627477,-0.4609,-0.0271,-0.5578,-0.0227,-0.2749,0.0459,41.6063,8.6438,12.8813,
0.635573,-0.4609,-0.0271,-0.5578,-0.0227,-0.2749,0.0459,41.3250,8.3625,12.4688,
0.646290,-0.4609,-0.0271,-0.5578,-0.0227,-0.2749,0.0459,41.3250,8.3625,12.4688,
0.647434,-0.7466,-0.1548,-0.6944,-0.0227,-0.2749,0.0459,41.3250,8.3625,12.4688,
0.657705,-0.7466,-0.1548,-0.6944,-0.1570,-0.3678,0.0692,41.3250,8.3625,12.4688,
0.668890,-0.6495,-0.2661,-0.4406,-0.1570,-0.3678,0.0692,41.3250,8.3625,12.4688,
0.691803,-0.4573,-0.4692,-0.2038,-0.1570,-0.3678,0.0692,41.3250,8.3625,12.4688,
0.695217,-0.4573,-0.4692,-0.2038,-0.1570,-0.3678,0.0692,41.4188,8.5125,11.5312,
0.702724,-0.2325,-0.4770,-0.2368,-0.1570,-0.3678,0.0692,41.4188,8.5125,11.5312,
0.713152,-0.2325,-0.4770,-0.2368,-0.1570,-0.3678,0.0692,41.4188,8.5125,11.5312,
0.716552,-0.2325,-0.4770,-0.2368,-0.0605,-0.2883,0.0337,41.4188,8.5125,11.5312,
0.725390,-0.1725,-0.2882,-0.1241,-0.0605,-0.2883,0.0337,41.4188,8.5125,11.5312,
0.746217,-0.1671,-0.0966,-0.0517,-0.0605,-0.2883,0.0337,41.4188,8.5125,11.5312,
0.757537,-0.1671,-0.0966,-0.0517,-0.0605,-0.2883,0.0337,41.9438,8.0438,10.9875,
0.760137,-0.3591,-0.2594,-0.0539,-0.0605,-0.2883,0.0337,41.9438,8.0438,10.9875,
0.769471,-0.3591,-0.2594,-0.0539,-0.0605,-0.2883,0.0337,41.9438,8.0438,10.9875,
0.781278,-0.3591,-0.2594,-0.0539,-0.0764,-0.2028,0.0606,41.9438,8.0438,10.9875,
0.784218,-0.5077,-0.0848,-0.0929,-0.0764,-0.2028,0.0606,41.9438,8.0438,10.9875,
0.799673,-0.6152,-0.4524,-0.2572,-0.0764,-0.2028,0.0606,41.9438,8.0438,10.9875,
0.812874,-0.6152,-0.4524,-0.2572,-0.0764,-0.2028,0.0606,41.4750,7.6875,10.4813,
0.825141,-0.4828,-0.5896,-0.0690,-0.0764,-0.2028,0.0606,41.4750,7.6875,10.4813,
0.834785,-0.4828,-0.5896,-0.0690,-0.0764,-0.2028,0.0606,41.4750,7.6875,10.4813,
0.836582,-0.3713,-0.5789,-0.0917,-0.0764,-0.2028,0.0606,41.4750,7.6875,10.4813,
0.846271,-0.3713,-0.5789,-0.0917,0.0030,-0.0318,0.0362,41.4750,7.6875,10.4813,
0.856872,-0.3215,-0.3905,-0.1540,0.0030,-0.0318,0.0362,41.4750,7.6875,10.4813,
0.871309,-0.3215,-0.3905,-0.1540,0.0030,-0.0318,0.0362,42.4313,7.8563,10.4625,
0.878633,-0.3085,-0.2002,-0.2110,0.0030,-0.0318,0.0362,42.4313,7.8563,10.4625,
0.894565,-0.3085,-0.2002,-0.2110,0.0030,-0.0318,0.0362,42.4313,7.8563,10.4625,
0.896990,-0.2752,-0.1013,-0.2390,0.0030,-0.0318,0.0362,42.4313,7.8563,10.4625,
0.903055,-0.2752,-0.1013,-0.2390,-0.0007,0.0355,-0.0041,42.4313,7.8563,10.4625,
0.913293,-0.2580,-0.1768,-0.1884,-0.0007,0.0355,-0.0041,42.4313,7.8563,10.4625,
0.935125,-0.2580,-0.1768,-0.1884,-0.0007,0.0355,-0.0041,41.9438,7.7625,10.5750,
0.938215,-0.3041,-0.1606,-0.0020,-0.0007,0.0355,-0.0041,41.9438,7.7625,10.5750,
0.957680,-0.3643,-0.2007,0.1628,-0.0007,0.0355,-0.0041,41.9438,7.7625,10.5750,
0.959035,-0.3643,-0.2007,0.1628,-0.0007,0.0355,-0.0041,41.9438,7.7625,10.5750,
0.968800,-0.3643,-0.2007,0.1628,0.0715,0.1368,-0.1605,41.9438,7.7625,10.5750,
0.970416,-0.3013,-0.0891,0.2030,0.0715,0.1368,-0.1605,41.9438,7.7625,10.5750,
0.990547,-0.1895,-0.1377,0.1040,0.0715,0.1368,-0.1605,41.9438,7.7625,10.5750,
0.993632,-0.1895,-0.1377,0.1040,0.0715,0.1368,-0.1605,42.3188,8.4375,10.8750,
1.012099,-0.0461,-0.2516,-0.1895,0.0715,0.1368,-0.1605,42.3188,8.4375,10.8750,
1.024561,-0.0461,-0.2516,-0.1895,0.0715,0.1368,-0.1605,42.3188,8.4375,10.8750,
1.028621,-0.0461,-0.2516,-0.1895,0.0813,0.3616,-0.2387,42.3188,8.4375,10.8750,
1.029813,0.1992,-0.5753,-0.5740,0.0813,0.3616,-0.2387,42.3188,8.4375,10.8750,
1.048366,0.2052,-0.8910,-0.6339,0.0813,0.3616,-0.2387,42.3188,8.4375,10.8750,
1.051683,0.2052,-0.8910,-0.6339,0.0813,0.3616,-0.2387,41.9062,8.6063,11.5125,
1.065788,0.0626,-0.8100,-0.4724,0.0813,0.3616,-0.2387,41.9062,8.6063,11.5125,
1.080591,0.0626,-0.8100,-0.4724,0.0813,0.3616,-0.2387,41.9062,8.6063,11.5125,
1.090390,-0.0463,-0.3424,-0.5082,0.0813,0.3616,-0.2387,41.9062,8.6063,11.5125,
1.093280,-0.0463,-0.3424,-0.5082,0.0678,0.1246,0.0227,41.9062,8.6063,11.5125,
1.104950,-0.2948,0.0504,-0.7660,0.0678,0.1246,0.0227,41.9062,8.6063,11.5125,
1.115208,-0.2948,0.0504,-0.7660,0.0678,0.1246,0.0227,41.6813,9.2063,11.5312,
1.124529,-0.3268,0.1277,-0.7342,0.0678,0.1246,0.0227,41.6813,9.2063,11.5312,
1.148725,-0.3268,0.1277,-0.7342,0.0678,0.1246,0.0227,41.6813,9.2063,11.5312,
1.151523,-0.1382,0.1043,-0.5108,0.0678,0.1246,0.0227,41.6813,9.2063,11.5312,
1.154202,-0.1382,0.1043,-0.5108,0.0763,0.2871,0.0362,41.6813,9.2063,11.5312,
1.162306,0.0662,0.0467,-0.3767,0.0763,0.2871,0.0362,41.6813,9.2063,11.5312,
1.171410,0.0662,0.0467,-0.3767,0.0763,0.2871,0.0362,41.4750,9.2812,12.1500,
1.180989,0.1668,0.0932,-0.4072,0.0763,0.2871,0.0362,41.4750,9.2812,12.1500,
1.202691,0.0995,-0.0601,-0.3702,0.0763,0.2871,0.0362,41.4750,9.2812,12.1500,
1.205683,0.0995,-0.0601,-0.3702,0.0763,0.2871,0.0362,41.4750,9.2812,12.1500,
1.214594,0.0995,-0.0601,-0.3702,-0.0165,0.3139,-0.1312,41.4750,9.2812,12.1500,
1.221272,0.1736,-0.3768,-0.3496,-0.0165,0.3139,-0.1312,41.4750,9.2812,12.1500,
1.236351,0.1736,-0.3768,-0.3496,-0.0165,0.3139,-0.1312,41.1750,9.2063,13.4063,
1.239018,0.3846,-0.5937,-0.4632,-0.0165,0.3139,-0.1312,41.1750,9.2063,13.4063,
1.259658,0.6373,-0.6150,-0.6197,-0.0165,0.3139,-0.1312,41.1750,9.2063,13.4063,
1.268766,0.6373,-0.6150,-0.6197,-0.0165,0.3139,-0.1312,41.1750,9.2063,13.4063,
1.279749,0.6373,-0.6150,-0.6197,0.0030,0.2663,-0.2582,41.1750,9.2063,13.4063,
1.281031,0.7844,-0.5268,-0.6314,0.0030,0.2663,-0.2582,41.1750,9.2063,13.4063,
1.291852,0.7844,-0.5268,-0.6314,0.0030,0.2663,-0.2582,40.1063,9.3000,14.0625,
1.302497,0.5701,-0.3317,-0.5027,0.0030,0.2663,-0.2582,40.1063,9.3000,14.0625,
1.315658,0.2247,-0.1636,-0.4918,0.0030,0.2663,-0.2582,40.1063,9.3000,14.0625,
