
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.011026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.026915,0.0872,-0.2745,-0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.045769,0.1563,-0.2602,-0.0485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.059547,0.1563,-0.2602,-0.0485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063510,0.1563,-0.2602,-0.0485,0.0216,-0.0085,-0.0129,0.0000,0.0000,0.0000,
0.064508,0.1775,-0.2145,-0.1140,0.0216,-0.0085,-0.0129,0.0000,0.0000,0.0000,
0.067073,0.1775,-0.2145,-0.1140,0.0216,-0.0085,-0.0129,42.4313,7.5563,16.9500,
0.084079,0.1149,-0.1356,-0.1305,0.0216,-0.0085,-0.0129,42.4313,7.5563,16.9500,
0.103602,0.0425,-0.1558,-0.1563,0.0216,-0.0085,-0.0129,42.4313,7.5563,16.9500,
0.107329,0.0425,-0.1558,-0.1563,0.0216,-0.0085,-0.0129,42.4313,7.5563,16.9500,
0.121985,0.0652,-0.2053,-0.1328,0.0216,-0.0085,-0.0129,42.4313,7.5563,16.9500,
0.129157,0.0652,-0.2053,-0.1328,-0.0027,0.0037,0.0055,42.4313,7.5563,16.9500,
0.130195,0.0652,-0.2053,-0.1328,-0.0027,0.0037,0.0055,42.4313,7.3125,17.5688,
0.141821,0.0122,-0.2639,-0.1319,-0.0027,0.0037,0.0055,42.4313,7.3125,17.5688,
0.155087,0.0122,-0.2639,-0.1319,-0.0027,0.0037,0.0055,42.4313,7.3125,17.5688,
0.162482,0.0020,-0.3312,-0.0738,-0.0027,0.0037,0.0055,42.4313,7.3125,17.5688,
0.179567,0.0248,-0.2942,-0.0769,-0.0027,0.0037,0.0055,42.4313,7.3125,17.5688,
0.188193,0.0248,-0.2942,-0.0769,-0.0027,0.0037,0.0055,42.3375,7.3313,17.4563,
0.191254,0.0248,-0.2942,-0.0769,0.0412,0.0245,0.0067,42.3375,7.3313,17.4563,
0.197921,-0.0047,-0.2375,-0.1485,0.0412,0.0245,0.0067,42.3375,7.3313,17.4563,
0.202853,-0.0047,-0.2375,-0.1485,0.0412,0.0245,0.0067,42.3375,7.3313,17.4563,
0.218639,0.0249,-0.1456,-0.2038,0.0412,0.0245,0.0067,42.3375,7.3313,17.4563,
0.238643,0.0459,-0.1266,-0.1578,0.0412,0.0245,0.0067,42.3375,7.3313,17.4563,
0.251111,0.0459,-0.1266,-0.1578,0.0412,0.0245,0.0067,42.4125,7.6313,17.3625,
0.254194,0.0459,-0.1266,-0.1578,0.0412,0.0245,0.0067,42.4125,7.6313,17.3625,
0.256385,0.0459,-0.1266,-0.1578,0.0180,0.0367,0.0018,42.4125,7.6313,17.3625,
0.258648,0.0330,-0.1794,-0.0835,0.0180,0.0367,0.0018,42.4125,7.6313,17.3625,
0.274801,-0.0670,-0.2318,-0.1394,0.0180,0.0367,0.0018,42.4125,7.6313,17.3625,
0.294534,-0.1149,-0.2586,-0.2196,0.0180,0.0367,0.0018,42.4125,7.6313,17.3625,
0.298369,-0.1149,-0.2586,-0.2196,0.0180,0.0367,0.0018,42.4125,7.6313,17.3625,
0.309063,-0.1149,-0.2586,-0.2196,0.0180,0.0367,0.0018,42.7125,7.4250,17.4563,
0.311910,-0.1149,-0.2586,-0.2196,-0.0102,0.0245,-0.0043,42.7125,7.4250,17.4563,
0.312728,-0.1273,-0.2149,-0.1738,-0.0102,0.0245,-0.0043,42.7125,7.4250,17.4563,
