
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Gain,
0.022038,0.0534,-0.2332,-0.1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.030799,0.0534,-0.2332,-0.1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.041270,0.0937,-0.1890,-0.1529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,
0.050356,0.0937,-0.1890,-0.1529,0.0000,0.0000,0.0000,44.1188,-0.2438,14.6250,-∞,
0.060714,0.0798,-0.2073,-0.1730,0.0000,0.0000,0.0000,44.1188,-0.2438,14.6250,-∞,
0.064398,0.0798,-0.2073,-0.1730,0.0192,-0.0060,-0.0018,44.1188,-0.2438,14.6250,-∞,
0.079510,0.0798,-0.2073,-0.1730,0.0192,-0.0060,-0.0018,44.1188,-0.2438,14.6250,-∞,
0.081425,0.0497,-0.2596,-0.1562,0.0192,-0.0060,-0.0018,44.1188,-0.2438,14.6250,-∞,
0.099405,0.0370,-0.2667,-0.1678,0.0192,-0.0060,-0.0018,44.1188,-0.2438,14.6250,-∞,
0.110376,0.0370,-0.2667,-0.1678,0.0192,-0.0060,-0.0018,44.5875,-0.3188,15.6375,-∞,
0.118139,0.0665,-0.2518,-0.1393,0.0192,-0.0060,-0.0018,44.5875,-0.3188,15.6375,-∞,
0.127094,0.0665,-0.2518,-0.1393,0.0192,-0.0060,-0.0018,44.5875,-0.3188,15.6375,-∞,
0.127605,0.0665,-0.2518,-0.1393,0.0168,-0.0353,-0.0164,44.5875,-0.3188,15.6375,-∞,
0.142170,0.0693,-0.2671,-0.0892,0.0168,-0.0353,-0.0164,44.5875,-0.3188,15.6375,-∞,
0.156373,0.0761,-0.2407,-0.1271,0.0168,-0.0353,-0.0164,44.5875,-0.3188,15.6375,-∞,
0.171388,0.0761,-0.2407,-0.1271,0.0168,-0.0353,-0.0164,44.5875,-0.1875,15.2250,-∞,
0.175258,0.0761,-0.2407,-0.1271,0.0168,-0.0353,-0.0164,44.5875,-0.1875,15.2250,-∞,
0.177798,0.1250,-0.2427,-0.1324,0.0168,-0.0353,-0.0164,44.5875,-0.1875,15.2250,-∞,
0.189292,0.1250,-0.2427,-0.1324,0.0363,-0.0403,-0.0250,44.5875,-0.1875,15.2250,-∞,
0.195298,0.1941,-0.1753,-0.1369,0.0363,-0.0403,-0.0250,44.5875,-0.1875,15.2250,-∞,
0.214223,0.2131,-0.1681,-0.1574,0.0363,-0.0403,-0.0250,44.5875,-0.1875,15.2250,-∞,
0.223365,0.2131,-0.1681,-0.1574,0.0363,-0.0403,-0.0250,44.5875,-0.1875,15.2250,-∞,
0.230911,0.2131,-0.1681,-0.1574,0.0363,-0.0403,-0.0250,44.4750,0.3188,15.0188,-∞,
0.233564,0.1527,-0.1452,-0.1929,0.0363,-0.0403,-0.0250,44.4750,0.3188,15.0188,-∞,
0.251341,0.1527,-0.1452,-0.1929,0.0082,-0.0500,-0.0091,44.4750,0.3188,15.0188,-∞,
0.252030,0.0944,-0.1905,-0.1809,0.0082,-0.0500,-0.0091,44.4750,0.3188,15.0188,-∞,
0.271115,0.0944,-0.1905,-0.1809,0.0082,-0.0500,-0.0091,44.4750,0.3188,15.0188,-∞,
0.271678,0.1053,-0.2530,-0.1414,0.0082,-0.0500,-0.0091,44.4750,0.3188,15.0188,-∞,
0.290699,0.1689,-0.2695,-0.1739,0.0082,-0.0500,-0.0091,44.4750,0.3188,15.0188,-∞,
0.291905,0.1689,-0.2695,-0.1739,0.0082,-0.0500,-0.0091,43.9875,0.4500,14.9438,-∞,
0.310136,0.2178,-0.2181,-0.2339,0.0082,-0.0500,-0.0091,43.9875,0.4500,14.9438,-∞,
0.314292,0.2178,-0.2181,-0.2339,0.0290,-0.0183,-0.0164,43.9875,0.4500,14.9438,-∞,
0.318853,0.2178,-0.2181,-0.2339,0.0290,-0.0183,-0.0164,43.9875,0.4500,14.9438,-∞,
0.328685,0.2546,-0.1831,-0.2588,0.0290,-0.0183,-0.0164,43.9875,0.4500,14.9438,-∞,
