
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.046736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.079984,0.0000,0.0000,0.0000,0.0115,-0.0096,-0.0109,0.0000,0.0000,0.0000,
0.100348,0.0000,0.0000,0.0000,0.0115,-0.0096,-0.0109,37.9176,5.0874,14.1398,
0.102092,0.0000,0.0000,0.0000,0.0115,-0.0096,-0.0109,37.9176,5.0874,14.1398,
0.103004,0.0000,0.0000,0.0000,0.0115,-0.0096,-0.0109,37.9176,5.0874,14.1398,
0.104086,0.0000,0.0000,0.0000,0.0115,-0.0096,-0.0109,37.9176,5.0874,14.1398,
0.149611,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.9176,5.0874,14.1398,
0.161119,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.9176,5.4046,14.0056,
0.162446,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.9176,5.4046,14.0056,
0.165638,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.9176,5.4046,14.0056,
0.166442,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.9176,5.4046,14.0056,
0.167156,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.9176,5.4046,14.0056,
0.219486,0.0000,0.0000,0.0000,0.0284,0.0104,-0.0127,37.8688,5.4290,13.9934,
0.221151,0.0000,0.0000,0.0000,-0.0009,0.0218,-0.0020,37.8688,5.4290,13.9934,
0.228980,0.0248,0.0297,-0.0213,-0.0009,0.0218,-0.0020,37.8688,5.4290,13.9934,
0.232504,0.0248,0.0297,-0.0213,-0.0009,0.0218,-0.0020,37.8688,5.4290,13.9934,
0.233492,0.0248,0.0297,-0.0213,-0.0009,0.0218,-0.0020,37.8688,5.4290,13.9934,
0.234358,0.0248,0.0297,-0.0213,-0.0009,0.0218,-0.0020,37.8688,5.4290,13.9934,
0.235221,0.0248,0.0297,-0.0213,-0.0009,0.0218,-0.0020,37.8688,5.4290,13.9934,
0.280528,0.0248,0.0297,-0.0213,-0.0009,0.0218,-0.0020,37.8932,5.3680,14.0300,
0.290002,0.0248,0.0297,-0.0213,0.0185,0.0274,0.0023,37.8932,5.3680,14.0300,
0.299062,0.0084,-0.0237,-0.0204,0.0185,0.0274,0.0023,37.8932,5.3680,14.0300,
0.299934,0.0084,-0.0237,-0.0204,0.0185,0.0274,0.0023,37.8932,5.3680,14.0300,
0.300464,0.0084,-0.0237,-0.0204,0.0185,0.0274,0.0023,37.8932,5.3680,14.0300,
0.300942,0.0084,-0.0237,-0.0204,0.0185,0.0274,0.0023,37.8932,5.3680,14.0300,
0.338931,0.0084,-0.0237,-0.0204,0.0185,0.0274,0.0023,37.8688,5.3924,13.9934,
0.359390,0.0084,-0.0237,-0.0204,0.0312,0.0423,-0.0009,37.8688,5.3924,13.9934,
0.365594,0.0084,-0.0237,-0.0204,0.0312,0.0423,-0.0009,37.8688,5.3924,13.9934,
0.366699,0.0084,-0.0237,-0.0204,0.0312,0.0423,-0.0009,37.8688,5.3924,13.9934,
0.367476,0.0084,-0.0237,-0.0204,0.0312,0.0423,-0.0009,37.8688,5.3924,13.9934,
0.368381,-0.0048,0.0009,-0.0378,0.0312,0.0423,-0.0009,37.8688,5.3924,13.9934,
0.394979,-0.0048,0.0009,-0.0378,0.0312,0.0423,-0.0009,37.8444,5.3314,14.0422,
0.428446,-0.0048,0.0009,-0.0378,0.0290,0.0314,0.0087,37.8444,5.3314,14.0422,
0.429351,-0.0048,0.0009,-0.0378,0.0290,0.0314,0.0087,37.8444,5.3680,14.0422,
0.432421,-0.0048,0.0009,-0.0378,0.0290,0.0314,0.0087,37.8444,5.3680,14.0422,
0.433084,-0.0048,0.0009,-0.0378,0.0290,0.0314,0.0087,37.8444,5.3680,14.0422,
0.433576,-0.0048,0.0009,-0.0378,0.0290,0.0314,0.0087,37.8444,5.3680,14.0422,
0.434075,-0.0048,0.0009,-0.0378,0.0290,0.0314,0.0087,37.8444,5.3680,14.0422,
0.438831,0.0241,0.0063,-0.0291,0.0290,0.0314,0.0087,37.8444,5.3680,14.0422,
0.481712,0.0241,0.0063,-0.0291,0.0290,0.0314,0.0087,37.8566,5.3314,14.1032,
0.498451,0.0241,0.0063,-0.0291,0.0364,0.0153,0.0136,37.8566,5.3314,14.1032,
0.504046,0.0241,0.0063,-0.0291,0.0364,0.0153,0.0136,37.8566,5.3314,14.1032,
0.504658,0.0241,0.0063,-0.0291,0.0364,0.0153,0.0136,37.8566,5.3314,14.1032,
0.505145,0.0241,0.0063,-0.0291,0.0364,0.0153,0.0136,37.8566,5.3314,14.1032,
0.508080,-0.0251,-0.0053,-0.0247,0.0364,0.0153,0.0136,37.8566,5.3314,14.1032,
0.530133,-0.0251,-0.0053,-0.0247,0.0364,0.0153,0.0136,37.8444,5.4046,14.1276,
0.567712,-0.0251,-0.0053,-0.0247,0.0364,0.0153,0.0136,37.8444,5.4046,14.1276,
0.568563,-0.0251,-0.0053,-0.0247,0.0364,0.0153,0.0136,37.8444,5.4046,14.1276,
0.569076,-0.0251,-0.0053,-0.0247,0.0364,0.0153,0.0136,37.8444,5.4046,14.1276,
0.569583,-0.0251,-0.0053,-0.0247,0.0525,0.0360,0.0093,37.8444,5.4046,14.1276,
0.578319,0.0099,0.0299,-0.1092,0.0525,0.0360,0.0093,37.8444,5.4046,14.1276,
0.579294,0.0099,0.0299,-0.1092,0.0525,0.0360,0.0093,37.8078,5.3680,14.1886,
0.630413,0.0099,0.0299,-0.1092,0.0525,0.0360,0.0093,37.8078,5.2216,14.3716,
