
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.064512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.4560,14.2130,7.4298,
0.085154,0.0000,0.0000,0.0000,-0.0625,0.0542,-0.0003,42.4560,14.2130,7.4298,
0.094773,0.0000,0.0000,0.0000,-0.0625,0.0542,-0.0003,42.4560,14.2130,7.4298,
0.096527,0.0000,0.0000,0.0000,-0.0625,0.0542,-0.0003,42.4560,14.2130,7.4298,
0.097476,0.0000,0.0000,0.0000,-0.0625,0.0542,-0.0003,42.4560,14.2130,7.4298,
0.098322,0.0000,0.0000,0.0000,-0.0625,0.0542,-0.0003,42.4560,14.2130,7.4298,
0.124808,0.0000,0.0000,0.0000,-0.0625,0.0542,-0.0003,42.5170,14.2862,7.5152,
0.154625,0.0000,0.0000,0.0000,-0.0321,0.0306,-0.0157,42.5170,14.2862,7.5152,
0.166802,0.0000,0.0000,0.0000,-0.0321,0.0306,-0.0157,42.5170,14.2862,7.5152,
0.168227,0.0000,0.0000,0.0000,-0.0321,0.0306,-0.0157,42.5170,14.2862,7.5152,
0.169128,0.0000,0.0000,0.0000,-0.0321,0.0306,-0.0157,42.5170,14.2862,7.5152,
0.169999,0.0033,-0.0215,0.0089,-0.0321,0.0306,-0.0157,42.5170,14.2862,7.5152,
0.185093,0.0033,-0.0215,0.0089,-0.0321,0.0306,-0.0157,42.4926,14.2862,7.5762,
0.224227,0.0033,-0.0215,0.0089,-0.0113,0.0296,-0.0189,42.4926,14.2862,7.5762,
0.230243,0.0033,-0.0215,0.0089,-0.0113,0.0296,-0.0189,42.4926,14.2862,7.5762,
0.231289,0.0033,-0.0215,0.0089,-0.0113,0.0296,-0.0189,42.4926,14.2862,7.5762,
0.232240,0.0033,-0.0215,0.0089,-0.0113,0.0296,-0.0189,42.4926,14.2862,7.5762,
0.233112,0.0045,0.0015,-0.0371,-0.0113,0.0296,-0.0189,42.4926,14.2862,7.5762,
0.246384,0.0045,0.0015,-0.0371,-0.0113,0.0296,-0.0189,42.4560,14.2252,7.7104,
0.292960,0.0045,0.0015,-0.0371,0.0827,0.0125,-0.0079,42.4560,14.2252,7.7104,
0.297091,0.0045,0.0015,-0.0371,0.0827,0.0125,-0.0079,42.4560,14.2252,7.7104,
0.297974,0.0045,0.0015,-0.0371,0.0827,0.0125,-0.0079,42.4560,14.2252,7.7104,
0.298685,0.0045,0.0015,-0.0371,0.0827,0.0125,-0.0079,42.4560,14.2252,7.7104,
0.299371,0.0045,0.0015,-0.0371,0.0827,0.0125,-0.0079,42.4560,14.2252,7.7104,
0.304525,0.0045,0.0015,-0.0371,0.0827,0.0125,-0.0079,42.4560,14.1886,7.8934,
0.305528,-0.0331,-0.0102,-0.0378,0.0827,0.0125,-0.0079,42.4560,14.1886,7.8934,
0.363376,-0.0331,-0.0102,-0.0378,0.1009,-0.0206,0.0036,42.4560,14.1886,7.8934,
0.364880,-0.0331,-0.0102,-0.0378,0.1009,-0.0206,0.0036,42.4560,14.1886,7.8934,
0.365570,-0.0331,-0.0102,-0.0378,0.1009,-0.0206,0.0036,42.4560,14.1886,7.8934,
0.366226,-0.0331,-0.0102,-0.0378,0.1009,-0.0206,0.0036,42.4560,14.1886,7.8934,
0.366897,-0.0331,-0.0102,-0.0378,0.1009,-0.0206,0.0036,42.5170,14.1398,8.0276,
0.372646,-0.0426,-0.0268,0.0366,0.1009,-0.0206,0.0036,42.5170,14.1398,8.0276,
0.424455,-0.0426,-0.0268,0.0366,0.1009,-0.0206,0.0036,42.5536,14.1276,8.0276,
0.430457,-0.0426,-0.0268,0.0366,0.1009,-0.0206,0.0036,42.5536,14.1276,8.0276,
0.431512,-0.0426,-0.0268,0.0366,0.1009,-0.0206,0.0036,42.5536,14.1276,8.0276,
0.432530,-0.0426,-0.0268,0.0366,0.1009,-0.0206,0.0036,42.5536,14.1276,8.0276,
0.433300,-0.0426,-0.0268,0.0366,0.0799,-0.0445,0.0157,42.5536,14.1276,8.0276,
0.446575,0.1057,0.2092,-0.0239,0.0799,-0.0445,0.0157,42.5536,14.1276,8.0276,
0.483994,0.1057,0.2092,-0.0239,0.0799,-0.0445,0.0157,42.5292,14.1276,8.0398,
0.498041,0.1057,0.2092,-0.0239,0.0799,-0.0445,0.0157,42.5292,14.1276,8.0398,
0.499311,0.1057,0.2092,-0.0239,0.0799,-0.0445,0.0157,42.5292,14.1276,8.0398,
0.500159,0.1057,0.2092,-0.0239,0.0799,-0.0445,0.0157,42.5292,14.1276,8.0398,
0.500885,0.1057,0.2092,-0.0239,0.0799,-0.0445,0.0157,42.5292,14.1276,8.0398,
0.504328,0.1057,0.2092,-0.0239,0.0756,-0.0218,0.0530,42.5292,14.1276,8.0398,
0.514308,-0.1382,-0.3470,0.0051,0.0756,-0.0218,0.0530,42.5292,14.1276,8.0398,
0.542529,-0.1382,-0.3470,0.0051,0.0756,-0.0218,0.0530,42.5048,14.1520,8.0032,
0.564798,-0.1382,-0.3470,0.0051,0.0756,-0.0218,0.0530,42.5048,14.1520,8.0032,
0.566125,-0.1382,-0.3470,0.0051,0.0756,-0.0218,0.0530,42.5048,14.1520,8.0032,
0.566889,-0.1382,-0.3470,0.0051,0.0756,-0.0218,0.0530,42.5048,14.1520,8.0032,
0.573189,-0.1382,-0.3470,0.0051,0.0800,-0.0514,-0.0246,42.5048,14.1520,8.0032,
0.584060,0.0255,0.1193,0.0167,0.0800,-0.0514,-0.0246,42.5048,14.1520,8.0032,
0.602567,0.0255,0.1193,0.0167,0.0800,-0.0514,-0.0246,42.4804,14.1398,7.9544,
0.631361,0.0255,0.1193,0.0167,0.0800,-0.0514,-0.0246,42.4804,14.1398,7.9544,
0.632965,0.0255,0.1193,0.0167,0.0800,-0.0514,-0.0246,42.4804,14.1398,7.9544,
0.633825,0.0255,0.1193,0.0167,0.0800,-0.0514,-0.0246,42.4804,14.1398,7.9544,
0.645278,0.0255,0.1193,0.0167,0.0586,-0.0337,0.0052,42.4804,14.1398,7.9544,
