
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.028267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.055535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.7370,5.1850,11.3948,
0.085652,0.0000,0.0000,0.0000,0.0876,0.0342,-0.0290,43.7370,5.1850,11.3948,
0.089792,0.0000,0.0000,0.0000,0.0876,0.0342,-0.0290,43.7370,5.1850,11.3948,
0.090592,0.0000,0.0000,0.0000,0.0876,0.0342,-0.0290,43.7370,5.1850,11.3948,
0.091226,0.0000,0.0000,0.0000,0.0876,0.0342,-0.0290,43.7370,5.1850,11.3948,
0.099021,0.0000,0.0000,0.0000,0.0876,0.0342,-0.0290,43.7370,5.1850,11.3948,
0.116966,0.0000,0.0000,0.0000,0.0876,0.0342,-0.0290,43.2856,5.6608,10.9434,
0.155045,0.0000,0.0000,0.0000,0.0294,0.0884,-0.0518,43.2856,5.6608,10.9434,
0.156891,0.0000,0.0000,0.0000,0.0294,0.0884,-0.0518,43.2856,5.6608,10.9434,
0.157567,0.0000,0.0000,0.0000,0.0294,0.0884,-0.0518,43.2856,5.6608,10.9434,
0.158148,0.0000,0.0000,0.0000,0.0294,0.0884,-0.0518,43.2856,5.6608,10.9434,
0.164559,0.0024,0.0545,-0.0322,0.0294,0.0884,-0.0518,43.2856,5.6608,10.9434,
0.175850,0.0024,0.0545,-0.0322,0.0294,0.0884,-0.0518,43.1880,5.7706,11.1996,
0.225403,0.0024,0.0545,-0.0322,-0.0579,0.1603,-0.0407,43.1880,5.7706,11.1996,
0.227366,0.0024,0.0545,-0.0322,-0.0579,0.1603,-0.0407,43.1880,5.7706,11.1996,
0.228223,0.0024,0.0545,-0.0322,-0.0579,0.1603,-0.0407,43.1880,5.7706,11.1996,
0.229026,0.0024,0.0545,-0.0322,-0.0579,0.1603,-0.0407,43.1880,5.7706,11.1996,
0.229794,0.0024,0.0545,-0.0322,-0.0579,0.1603,-0.0407,43.1880,5.7706,11.1996,
0.235653,0.0024,0.0545,-0.0322,-0.0579,0.1603,-0.0407,43.0050,5.8316,11.3094,
0.237059,0.0957,-0.0079,0.0127,-0.0579,0.1603,-0.0407,43.0050,5.8316,11.3094,
0.291595,0.0957,-0.0079,0.0127,-0.0579,0.1603,-0.0407,43.0050,5.8316,11.3094,
0.293358,0.0957,-0.0079,0.0127,-0.0579,0.1603,-0.0407,43.0050,5.8316,11.3094,
0.294170,0.0957,-0.0079,0.0127,-0.0579,0.1603,-0.0407,43.0050,5.8316,11.3094,
0.295022,0.0957,-0.0079,0.0127,-0.0579,0.1603,-0.0407,42.8830,5.9170,11.3216,
0.296211,0.0957,-0.0079,0.0127,-0.0310,0.1293,0.0269,42.8830,5.9170,11.3216,
0.305916,-0.1869,-0.1556,0.1360,-0.0310,0.1293,0.0269,42.8830,5.9170,11.3216,
0.354758,-0.1869,-0.1556,0.1360,-0.0310,0.1293,0.0269,42.7610,6.0146,11.3948,
0.356397,-0.1869,-0.1556,0.1360,-0.0310,0.1293,0.0269,42.7610,6.0146,11.3948,
0.357164,-0.1869,-0.1556,0.1360,-0.0310,0.1293,0.0269,42.7610,6.0146,11.3948,
0.357758,-0.1869,-0.1556,0.1360,-0.0310,0.1293,0.0269,42.7610,6.0146,11.3948,
0.364711,-0.1869,-0.1556,0.1360,-0.0354,0.1044,-0.0627,42.7610,6.0146,11.3948,
0.373574,0.0852,0.0077,0.1477,-0.0354,0.1044,-0.0627,42.7610,6.0146,11.3948,
0.414424,0.0852,0.0077,0.1477,-0.0354,0.1044,-0.0627,42.6634,6.0756,11.5534,
0.425719,0.0852,0.0077,0.1477,-0.0354,0.1044,-0.0627,42.6634,6.0756,11.5534,
0.426911,0.0852,0.0077,0.1477,-0.0354,0.1044,-0.0627,42.6634,6.0756,11.5534,
0.427709,0.0852,0.0077,0.1477,-0.0354,0.1044,-0.0627,42.6634,6.0756,11.5534,
0.428565,0.0852,0.0077,0.1477,-0.0354,0.1044,-0.0627,42.6634,6.0756,11.5534,
0.435418,0.0852,0.0077,0.1477,0.0764,0.0019,0.0770,42.6634,6.0756,11.5534,
0.445065,0.0446,-0.4319,0.1088,0.0764,0.0019,0.0770,42.6634,6.0756,11.5534,
0.476634,0.0446,-0.4319,0.1088,0.0764,0.0019,0.0770,42.5414,6.1366,11.6388,
0.491854,0.0446,-0.4319,0.1088,0.0764,0.0019,0.0770,42.5414,6.1366,11.6388,
0.492730,0.0446,-0.4319,0.1088,0.0764,0.0019,0.0770,42.5414,6.1366,11.6388,
0.493131,0.0446,-0.4319,0.1088,0.0764,0.0019,0.0770,42.5414,6.1366,11.6388,
0.504880,0.0446,-0.4319,0.1088,0.2526,-0.0294,0.0040,42.5414,6.1366,11.6388,
0.513843,0.0175,-0.1202,0.1244,0.2526,-0.0294,0.0040,42.5414,6.1366,11.6388,
0.534855,0.0175,-0.1202,0.1244,0.2526,-0.0294,0.0040,42.2730,6.3318,11.6632,
0.557233,0.0175,-0.1202,0.1244,0.2526,-0.0294,0.0040,42.2730,6.3318,11.6632,
0.558455,0.0175,-0.1202,0.1244,0.2526,-0.0294,0.0040,42.2730,6.3318,11.6632,
0.559058,0.0175,-0.1202,0.1244,0.2526,-0.0294,0.0040,42.2730,6.3318,11.6632,
0.574790,0.0175,-0.1202,0.1244,0.2910,-0.1674,0.1846,42.2730,6.3318,11.6632,
0.584699,0.0121,-0.0357,0.1792,0.2910,-0.1674,0.1846,42.2730,6.3318,11.6632,
0.594775,0.0121,-0.0357,0.1792,0.2910,-0.1674,0.1846,42.1388,6.3440,11.7486,
