
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.072831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.081874,0.0000,0.0000,0.0000,-0.0493,-0.0185,-0.0217,0.0000,0.0000,0.0000,
0.092108,0.0000,0.0000,0.0000,-0.0493,-0.0185,-0.0217,42.7854,13.5908,4.4896,
0.141467,0.0000,0.0000,0.0000,-0.0493,-0.0185,-0.0217,42.7854,13.5908,4.4896,
0.154025,0.0000,0.0000,0.0000,0.0000,-0.0099,0.0236,42.7854,13.5908,4.4896,
0.155245,0.0000,0.0000,0.0000,0.0000,-0.0099,0.0236,42.6268,13.7372,4.4042,
0.161376,0.0000,0.0000,0.0000,0.0000,-0.0099,0.0236,42.6268,13.7372,4.4042,
0.211893,0.0000,0.0000,0.0000,0.0000,-0.0099,0.0236,42.6268,13.7372,4.4042,
0.213047,0.0000,0.0000,0.0000,0.0000,-0.0099,0.0236,42.5536,13.6640,4.3920,
0.220715,0.0000,0.0000,0.0000,0.0048,-0.0872,0.0136,42.5536,13.6640,4.3920,
0.233490,-0.1082,-0.0618,-0.0056,0.0048,-0.0872,0.0136,42.5536,13.6640,4.3920,
0.271292,-0.1082,-0.0618,-0.0056,0.0048,-0.0872,0.0136,42.5414,13.6884,4.2700,
0.281182,-0.1082,-0.0618,-0.0056,0.0048,-0.0872,0.0136,42.5414,13.6884,4.2700,
0.292294,-0.1082,-0.0618,-0.0056,0.0341,-0.1543,0.0328,42.5414,13.6884,4.2700,
0.301659,-0.0396,0.0138,0.0755,0.0341,-0.1543,0.0328,42.5414,13.6884,4.2700,
0.332992,-0.0396,0.0138,0.0755,0.0341,-0.1543,0.0328,42.5414,13.6884,4.1358,
0.352744,-0.0396,0.0138,0.0755,0.0341,-0.1543,0.0328,42.5414,13.6884,4.1358,
0.358584,-0.0396,0.0138,0.0755,0.0101,-0.2337,0.0077,42.5414,13.6884,4.1358,
0.371077,-0.0340,0.0222,-0.0352,0.0101,-0.2337,0.0077,42.5414,13.6884,4.1358,
0.391088,-0.0340,0.0222,-0.0352,0.0101,-0.2337,0.0077,42.5414,13.6396,3.9162,
0.422598,-0.0340,0.0222,-0.0352,0.0101,-0.2337,0.0077,42.5414,13.6396,3.9162,
0.433179,-0.0340,0.0222,-0.0352,-0.0470,-0.0980,-0.0426,42.5414,13.6396,3.9162,
0.440941,-0.0476,-0.0077,-0.1872,-0.0470,-0.0980,-0.0426,42.5414,13.6396,3.9162,
0.451229,-0.0476,-0.0077,-0.1872,-0.0470,-0.0980,-0.0426,42.5658,13.6518,3.7088,
0.492562,-0.0476,-0.0077,-0.1872,-0.0470,-0.0980,-0.0426,42.5658,13.6518,3.7088,
0.501772,-0.0476,-0.0077,-0.1872,-0.0710,0.0515,0.0032,42.5658,13.6518,3.7088,
0.511289,-0.0476,-0.0077,-0.1872,-0.0710,0.0515,0.0032,42.5536,13.6396,3.5380,
0.512562,0.3914,0.0993,-0.3399,-0.0710,0.0515,0.0032,42.5536,13.6396,3.5380,
0.560970,0.3914,0.0993,-0.3399,-0.0710,0.0515,0.0032,42.5536,13.6396,3.5380,
0.569534,0.3914,0.0993,-0.3399,-0.0710,0.0515,0.0032,42.5902,13.6030,3.4526,
0.570660,0.3914,0.0993,-0.3399,-0.1582,0.0948,0.0387,42.5902,13.6030,3.4526,
0.578938,0.3417,0.1536,-0.4668,-0.1582,0.0948,0.0387,42.5902,13.6030,3.4526,
0.629722,0.3417,0.1536,-0.4668,-0.1582,0.0948,0.0387,42.6634,13.4444,3.5258,
0.631197,0.3417,0.1536,-0.4668,-0.1582,0.0948,0.0387,42.6634,13.4444,3.5258,
0.639296,0.3417,0.1536,-0.4668,-0.2796,0.0595,0.0262,42.6634,13.4444,3.5258,
0.649201,-0.0767,0.0867,-0.5314,-0.2796,0.0595,0.0262,42.6634,13.4444,3.5258,
0.690680,-0.0767,0.0867,-0.5314,-0.2796,0.0595,0.0262,42.7122,13.3346,3.5380,
0.700972,-0.0767,0.0867,-0.5314,-0.2796,0.0595,0.0262,42.7122,13.3346,3.5380,
0.709714,-0.0767,0.0867,-0.5314,-0.3017,-0.0214,-0.0252,42.7122,13.3346,3.5380,
0.718981,-0.1631,0.3346,-0.3912,-0.3017,-0.0214,-0.0252,42.7122,13.3346,3.5380,
0.749199,-0.1631,0.3346,-0.3912,-0.3017,-0.0214,-0.0252,42.7488,13.2370,3.5136,
0.770457,-0.1631,0.3346,-0.3912,-0.3017,-0.0214,-0.0252,42.7488,13.2370,3.5136,
0.780847,-0.1631,0.3346,-0.3912,-0.1252,-0.0579,-0.0636,42.7488,13.2370,3.5136,
0.789326,-0.0025,-0.1094,-0.0040,-0.1252,-0.0579,-0.0636,42.7488,13.2370,3.5136,
0.809156,-0.0025,-0.1094,-0.0040,-0.1252,-0.0579,-0.0636,42.8098,13.1760,3.5624,
0.839231,-0.0025,-0.1094,-0.0040,-0.1252,-0.0579,-0.0636,42.8098,13.1760,3.5624,
0.850391,-0.0025,-0.1094,-0.0040,0.0044,-0.0746,-0.0441,42.8098,13.1760,3.5624,
0.863513,-0.0898,-0.2285,0.2160,0.0044,-0.0746,-0.0441,42.8098,13.1760,3.5624,
0.869074,-0.0898,-0.2285,0.2160,0.0044,-0.0746,-0.0441,42.8098,13.1394,3.6966,
0.908657,-0.0898,-0.2285,0.2160,0.0044,-0.0746,-0.0441,42.8098,13.1394,3.6966,
0.918708,-0.0898,-0.2285,0.2160,0.1064,-0.1972,-0.0273,42.8098,13.1394,3.6966,
0.922800,-0.0898,-0.2285,0.2160,0.1064,-0.1972,-0.0273,42.8098,13.0540,3.7820,
0.928957,-0.0533,-0.3457,0.3403,0.1064,-0.1972,-0.0273,42.8098,13.0540,3.7820,
0.977959,-0.0533,-0.3457,0.3403,0.1064,-0.1972,-0.0273,42.8098,13.0540,3.7820,
0.988562,-0.0533,-0.3457,0.3403,0.1064,-0.1972,-0.0273,42.8464,12.9930,3.8186,
0.992812,-0.0533,-0.3457,0.3403,0.0510,-0.5325,0.0100,42.8464,12.9930,3.8186,
0.999629,-0.1101,-0.2071,-0.0083,0.0510,-0.5325,0.0100,42.8464,12.9930,3.8186,
1.048585,-0.1101,-0.2071,-0.0083,0.0510,-0.5325,0.0100,42.8586,12.9686,3.5136,
1.049680,-0.1101,-0.2071,-0.0083,0.0510,-0.5325,0.0100,42.8586,12.9686,3.5136,
1.058230,-0.1101,-0.2071,-0.0083,-0.0390,-0.6096,-0.3234,42.8586,12.9686,3.5136,
1.067690,-0.3241,0.4306,-0.1929,-0.0390,-0.6096,-0.3234,42.8586,12.9686,3.5136,
1.106819,-0.3241,0.4306,-0.1929,-0.0390,-0.6096,-0.3234,42.9440,13.0418,3.0378,
1.117265,-0.3241,0.4306,-0.1929,-0.0390,-0.6096,-0.3234,42.9440,13.0418,3.0378,
1.127237,-0.3241,0.4306,-0.1929,-0.0952,-0.7413,-0.5895,42.9440,13.0418,3.0378,
1.138142,0.4884,0.0335,-0.3208,-0.0952,-0.7413,-0.5895,42.9440,13.0418,3.0378,
1.168258,0.4884,0.0335,-0.3208,-0.0952,-0.7413,-0.5895,42.9196,13.4444,2.1838,
1.188141,0.4884,0.0335,-0.3208,-0.0952,-0.7413,-0.5895,42.9196,13.4444,2.1838,
1.197716,0.4884,0.0335,-0.3208,-0.3980,-0.7075,-0.5549,42.9196,13.4444,2.1838,
1.207274,0.0523,1.3122,-0.3780,-0.3980,-0.7075,-0.5549,42.9196,13.4444,2.1838,
1.227135,0.0523,1.3122,-0.3780,-0.3980,-0.7075,-0.5549,42.8098,13.9568,1.2200,
1.256891,0.0523,1.3122,-0.3780,-0.3980,-0.7075,-0.5549,42.8098,13.9568,1.2200,
1.267204,0.0523,1.3122,-0.3780,-0.6491,-0.6116,-0.5815,42.8098,13.9568,1.2200,
1.277554,0.0305,1.2328,-0.3251,-0.6491,-0.6116,-0.5815,42.8098,13.9568,1.2200,
1.287183,0.0305,1.2328,-0.3251,-0.6491,-0.6116,-0.5815,42.5902,14.6278,0.1342,
1.327343,0.0305,1.2328,-0.3251,-0.6491,-0.6116,-0.5815,42.5902,14.6278,0.1342,
1.339337,0.0305,1.2328,-0.3251,-0.9490,-0.3509,-0.4368,42.5902,14.6278,0.1342,
1.348629,0.0305,1.2328,-0.3251,-0.9490,-0.3509,-0.4368,42.3218,15.4208,-1.0370,
1.351490,-0.6454,0.0195,-0.5566,-0.9490,-0.3509,-0.4368,42.3218,15.4208,-1.0370,
1.397375,-0.6454,0.0195,-0.5566,-0.9490,-0.3509,-0.4368,42.3218,15.4208,-1.0370,
1.406949,-0.6454,0.0195,-0.5566,-0.9490,-0.3509,-0.4368,41.9680,16.3236,-1.9276,
1.410037,-0.6454,0.0195,-0.5566,-1.2285,-0.0917,-0.4919,41.9680,16.3236,-1.9276,
1.418210,-1.5645,2.4284,0.7504,-1.2285,-0.0917,-0.4919,41.9680,16.3236,-1.9276,
1.467071,-1.5645,2.4284,0.7504,-1.2285,-0.0917,-0.4919,41.5410,17.3728,-2.4766,
1.471743,-1.5645,2.4284,0.7504,-1.2285,-0.0917,-0.4919,41.5410,17.3728,-2.4766,
1.476658,-1.5645,2.4284,0.7504,-1.0482,0.0402,-0.4914,41.5410,17.3728,-2.4766,
1.487707,0.0829,3.2409,1.0965,-1.0482,0.0402,-0.4914,41.5410,17.3728,-2.4766,
1.528230,0.0829,3.2409,1.0965,-1.0482,0.0402,-0.4914,41.1018,18.3854,-2.8304,
1.539103,0.0829,3.2409,1.0965,-1.0482,0.0402,-0.4914,41.1018,18.3854,-2.8304,
1.548040,0.0829,3.2409,1.0965,-0.9484,-1.0589,0.2553,41.1018,18.3854,-2.8304,
1.557428,0.0232,0.9706,1.0966,-0.9484,-1.0589,0.2553,41.1018,18.3854,-2.8304,
1.587746,0.0232,0.9706,1.0966,-0.9484,-1.0589,0.2553,40.6138,19.2638,-3.3428,
1.606082,0.0232,0.9706,1.0966,-0.9484,-1.0589,0.2553,40.6138,19.2638,-3.3428,
1.618585,0.0232,0.9706,1.0966,-1.1557,-0.7963,-0.2595,40.6138,19.2638,-3.3428,
1.634063,-2.2420,-1.0956,-1.3246,-1.1557,-0.7963,-0.2595,40.6138,19.2638,-3.3428,
1.646293,-2.2420,-1.0956,-1.3246,-1.1557,-0.7963,-0.2595,40.3454,19.7884,-3.4404,
1.676914,-2.2420,-1.0956,-1.3246,-1.1557,-0.7963,-0.2595,40.3454,19.7884,-3.4404,
1.686558,-2.2420,-1.0956,-1.3246,-1.0305,0.0164,-0.2875,40.3454,19.7884,-3.4404,
1.702302,0.8204,-0.1442,-0.4484,-1.0305,0.0164,-0.2875,40.3454,19.7884,-3.4404,
1.708443,0.8204,-0.1442,-0.4484,-1.0305,0.0164,-0.2875,40.1258,20.1300,-3.1964,
1.746764,0.8204,-0.1442,-0.4484,-1.0305,0.0164,-0.2875,40.1258,20.1300,-3.1964,
1.756740,0.8204,-0.1442,-0.4484,0.3471,0.5450,-0.4061,40.1258,20.1300,-3.1964,
1.765618,0.8204,-0.1442,-0.4484,0.3471,0.5450,-0.4061,39.9184,20.3740,-2.7450,
1.766785,-0.2796,0.3626,0.9378,0.3471,0.5450,-0.4061,39.9184,20.3740,-2.7450,
1.818398,-0.2796,0.3626,0.9378,0.3471,0.5450,-0.4061,39.9184,20.3740,-2.7450,
1.826107,-0.2796,0.3626,0.9378,0.3471,0.5450,-0.4061,39.7720,20.5936,-2.1350,
1.829912,-0.2796,0.3626,0.9378,1.7336,1.1457,-1.0344,39.7720,20.5936,-2.1350,
1.837731,-0.6473,1.3539,1.8649,1.7336,1.1457,-1.0344,39.7720,20.5936,-2.1350,
1.887283,-0.6473,1.3539,1.8649,1.7336,1.1457,-1.0344,39.4670,21.1792,-1.6836,
1.891606,-0.6473,1.3539,1.8649,1.7336,1.1457,-1.0344,39.4670,21.1792,-1.6836,
1.897877,-0.6473,1.3539,1.8649,4.5508,2.5233,-1.6147,39.4670,21.1792,-1.6836,
1.906178,-0.5396,0.4417,2.7785,4.5508,2.5233,-1.6147,39.4670,21.1792,-1.6836,
1.947772,-0.5396,0.4417,2.7785,4.5508,2.5233,-1.6147,39.1742,21.8746,-1.6714,
1.956443,-0.5396,0.4417,2.7785,4.5508,2.5233,-1.6147,39.1742,21.8746,-1.6714,
1.966933,-0.5396,0.4417,2.7785,5.7269,3.6853,0.3245,39.1742,21.8746,-1.6714,
1.978050,-2.3689,-2.5950,-3.3985,5.7269,3.6853,0.3245,39.1742,21.8746,-1.6714,
2.007067,-2.3689,-2.5950,-3.3985,5.7269,3.6853,0.3245,38.9302,22.2650,-1.7202,
2.026233,-2.3689,-2.5950,-3.3985,5.7269,3.6853,0.3245,38.9302,22.2650,-1.7202,
2.034713,-2.3689,-2.5950,-3.3985,3.3528,1.4328,-0.1814,38.9302,22.2650,-1.7202,
2.045299,23.6360,-26.3087,-1.8570,3.3528,1.4328,-0.1814,38.9302,22.2650,-1.7202,
2.064476,23.6360,-26.3087,-1.8570,3.3528,1.4328,-0.1814,38.3568,22.6432,-1.9032,
2.095139,23.6360,-26.3087,-1.8570,3.3528,1.4328,-0.1814,38.3568,22.6432,-1.9032,
2.105571,23.6360,-26.3087,-1.8570,2.7941,-0.1764,0.5205,38.3568,22.6432,-1.9032,
2.114745,-9.7332,7.0652,-6.4635,2.7941,-0.1764,0.5205,38.3568,22.6432,-1.9032,
2.124188,-9.7332,7.0652,-6.4635,2.7941,-0.1764,0.5205,38.0152,22.6798,-2.6718,
2.164659,-9.7332,7.0652,-6.4635,2.7941,-0.1764,0.5205,38.0152,22.6798,-2.6718,
2.175670,-9.7332,7.0652,-6.4635,2.1658,1.5810,0.5545,38.0152,22.6798,-2.6718,
2.192502,-9.7332,7.0652,-6.4635,2.1658,1.5810,0.5545,37.8688,22.4358,-3.5380,
2.195061,-0.7138,6.2814,-3.8844,2.1658,1.5810,0.5545,37.8688,22.4358,-3.5380,
2.235624,-0.7138,6.2814,-3.8844,2.1658,1.5810,0.5545,37.8688,22.4358,-3.5380,
2.244399,-0.7138,6.2814,-3.8844,2.1658,1.5810,0.5545,37.8078,21.9234,-4.3066,
2.247244,-0.7138,6.2814,-3.8844,2.7972,2.1454,0.4321,37.8078,21.9234,-4.3066,
2.255026,4.4894,3.7328,3.1919,2.7972,2.1454,0.4321,37.8078,21.9234,-4.3066,
2.305853,4.4894,3.7328,3.1919,2.7972,2.1454,0.4321,37.9054,20.8742,-4.8922,
2.309954,4.4894,3.7328,3.1919,2.7972,2.1454,0.4321,37.9054,20.8742,-4.8922,
2.315084,4.4894,3.7328,3.1919,2.2697,1.3876,0.9073,37.9054,20.8742,-4.8922,
2.323563,-0.3272,2.2423,3.7965,2.2697,1.3876,0.9073,37.9054,20.8742,-4.8922,
2.365813,-0.3272,2.2423,3.7965,2.2697,1.3876,0.9073,38.2470,19.1784,-5.4168,
2.376162,-0.3272,2.2423,3.7965,2.2697,1.3876,0.9073,38.2470,19.1784,-5.4168,
2.384000,-0.3272,2.2423,3.7965,1.0436,0.6313,0.0045,38.2470,19.1784,-5.4168,
2.393191,-2.0331,3.0046,1.1034,1.0436,0.6313,0.0045,38.2470,19.1784,-5.4168,
2.424951,-2.0331,3.0046,1.1034,1.0436,0.6313,0.0045,38.6130,17.1532,-5.7828,
2.443682,-2.0331,3.0046,1.1034,1.0436,0.6313,0.0045,38.6130,17.1532,-5.7828,
2.455129,-2.0331,3.0046,1.1034,0.5946,0.0048,0.5309,38.6130,17.1532,-5.7828,
2.467219,-3.7964,4.4747,-0.5046,0.5946,0.0048,0.5309,38.6130,17.1532,-5.7828,
2.482933,-3.7964,4.4747,-0.5046,0.5946,0.0048,0.5309,39.0034,15.3232,-6.1244,
2.514996,-3.7964,4.4747,-0.5046,0.5946,0.0048,0.5309,39.0034,15.3232,-6.1244,
2.524564,-3.7964,4.4747,-0.5046,0.2691,0.0491,0.0525,39.0034,15.3232,-6.1244,
2.534191,0.2075,1.3772,-0.2308,0.2691,0.0491,0.0525,39.0034,15.3232,-6.1244,
2.544170,0.2075,1.3772,-0.2308,0.2691,0.0491,0.0525,39.6744,13.6030,-6.1976,
2.585864,0.2075,1.3772,-0.2308,0.2691,0.0491,0.0525,39.6744,13.6030,-6.1976,
2.594104,0.2075,1.3772,-0.2308,0.2742,-0.2063,0.0754,39.6744,13.6030,-6.1976,
2.604781,0.2075,1.3772,-0.2308,0.2742,-0.2063,0.0754,40.0648,12.2488,-5.7096,
2.607267,-1.2458,2.0289,-0.8153,0.2742,-0.2063,0.0754,40.0648,12.2488,-5.7096,
2.652943,-1.2458,2.0289,-0.8153,0.2742,-0.2063,0.0754,40.0648,12.2488,-5.7096,
2.663229,-1.2458,2.0289,-0.8153,0.2742,-0.2063,0.0754,40.3088,11.1508,-5.3558,
2.665961,-1.2458,2.0289,-0.8153,-0.0362,-0.2719,0.0481,40.3088,11.1508,-5.3558,
2.676363,-1.2397,-0.0568,0.2237,-0.0362,-0.2719,0.0481,40.3088,11.1508,-5.3558,
2.722538,-1.2397,-0.0568,0.2237,-0.0362,-0.2719,0.0481,40.3088,11.1508,-5.3558,
2.734063,-1.2397,-0.0568,0.2237,-0.2935,-0.2198,-0.1021,40.3088,11.1508,-5.3558,
2.736700,-1.2397,-0.0568,0.2237,-0.2935,-0.2198,-0.1021,40.5284,10.2846,-5.2704,
2.742159,-0.0185,1.6299,-0.4621,-0.2935,-0.2198,-0.1021,40.5284,10.2846,-5.2704,
2.792358,-0.0185,1.6299,-0.4621,-0.2935,-0.2198,-0.1021,40.6382,9.8942,-5.3924,
2.795468,-0.0185,1.6299,-0.4621,-0.2935,-0.2198,-0.1021,40.6382,9.8942,-5.3924,
2.803239,-0.0185,1.6299,-0.4621,-0.6246,-0.1208,-0.2314,40.6382,9.8942,-5.3924,
2.813090,0.4091,-0.0348,-0.4298,-0.6246,-0.1208,-0.2314,40.6382,9.8942,-5.3924,
2.854359,0.4091,-0.0348,-0.4298,-0.6246,-0.1208,-0.2314,40.6504,9.8576,-5.6852,
2.863683,0.4091,-0.0348,-0.4298,-0.6246,-0.1208,-0.2314,40.6504,9.8576,-5.6852,
2.873938,0.4091,-0.0348,-0.4298,-0.9788,-0.1092,-0.2348,40.6504,9.8576,-5.6852,
2.882520,0.3078,0.9095,-0.1383,-0.9788,-0.1092,-0.2348,40.6504,9.8576,-5.6852,
2.914149,0.3078,0.9095,-0.1383,-0.9788,-0.1092,-0.2348,40.6870,9.9674,-5.8926,
2.931614,0.3078,0.9095,-0.1383,-0.9788,-0.1092,-0.2348,40.6870,9.9674,-5.8926,
2.941561,0.3078,0.9095,-0.1383,-1.1778,-0.1502,-0.1884,40.6870,9.9674,-5.8926,
2.951519,0.1436,0.8557,0.3436,-1.1778,-0.1502,-0.1884,40.6870,9.9674,-5.8926,
2.973302,0.1436,0.8557,0.3436,-1.1778,-0.1502,-0.1884,40.6016,10.3334,-5.9902,
