
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.066363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.3218,12.6026,11.5290,
0.073124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.3218,12.6026,11.5290,
0.085287,0.0000,0.0000,0.0000,0.0245,-0.0246,-0.0019,42.3218,12.6026,11.5290,
0.113111,0.0000,0.0000,0.0000,0.0245,-0.0246,-0.0019,42.5414,12.6026,11.0288,
0.147670,0.0000,0.0000,0.0000,0.0245,-0.0246,-0.0019,42.5414,12.6026,11.0288,
0.157194,0.0000,0.0000,0.0000,0.0526,-0.0387,-0.0009,42.5414,12.6026,11.0288,
0.164319,0.0000,0.0000,0.0000,0.0526,-0.0387,-0.0009,42.5414,12.6026,11.0288,
0.174475,0.0000,0.0000,0.0000,0.0526,-0.0387,-0.0009,42.4804,12.6636,11.0410,
0.213841,0.0000,0.0000,0.0000,0.0526,-0.0387,-0.0009,42.4804,12.6636,11.0410,
0.223894,0.0000,0.0000,0.0000,0.0250,-0.0296,-0.0148,42.4804,12.6636,11.0410,
0.234179,0.0000,0.0000,0.0000,0.0250,-0.0296,-0.0148,42.5048,12.6514,11.1020,
0.236513,0.0004,0.0939,-0.0265,0.0250,-0.0296,-0.0148,42.5048,12.6514,11.1020,
0.284713,0.0004,0.0939,-0.0265,0.0250,-0.0296,-0.0148,42.5048,12.6514,11.1020,
0.293225,0.0004,0.0939,-0.0265,0.0250,-0.0296,-0.0148,42.4926,12.6880,11.0288,
0.296701,0.0004,0.0939,-0.0265,0.0659,-0.0222,-0.0328,42.4926,12.6880,11.0288,
0.303976,0.0719,-0.0011,-0.0584,0.0659,-0.0222,-0.0328,42.4926,12.6880,11.0288,
0.355304,0.0719,-0.0011,-0.0584,0.0659,-0.0222,-0.0328,42.5170,12.6148,11.1142,
0.360028,0.0719,-0.0011,-0.0584,0.0659,-0.0222,-0.0328,42.5170,12.6148,11.1142,
0.366096,0.0719,-0.0011,-0.0584,0.0462,-0.0446,0.0025,42.5170,12.6148,11.1142,
0.374598,0.0884,0.0687,-0.0497,0.0462,-0.0446,0.0025,42.5170,12.6148,11.1142,
0.414357,0.0884,0.0687,-0.0497,0.0462,-0.0446,0.0025,42.5780,12.5904,11.1386,
0.425972,0.0884,0.0687,-0.0497,0.0462,-0.0446,0.0025,42.5780,12.5904,11.1386,
0.434236,0.0884,0.0687,-0.0497,0.0541,-0.0822,-0.0137,42.5780,12.5904,11.1386,
0.441800,0.0583,0.0216,-0.0334,0.0541,-0.0822,-0.0137,42.5780,12.5904,11.1386,
0.474184,0.0583,0.0216,-0.0334,0.0541,-0.0822,-0.0137,42.5902,12.5904,11.1386,
0.494208,0.0583,0.0216,-0.0334,0.0541,-0.0822,-0.0137,42.5902,12.5904,11.1386,
0.501844,0.0583,0.0216,-0.0334,0.0438,-0.1053,-0.0316,42.5902,12.5904,11.1386,
0.512455,0.1159,0.0246,0.0170,0.0438,-0.1053,-0.0316,42.5902,12.5904,11.1386,
0.532069,0.1159,0.0246,0.0170,0.0438,-0.1053,-0.0316,42.6146,12.6270,10.9678,
0.562956,0.1159,0.0246,0.0170,0.0438,-0.1053,-0.0316,42.6146,12.6270,10.9678,
0.572581,0.1159,0.0246,0.0170,0.0446,-0.1481,-0.0145,42.6146,12.6270,10.9678,
0.582021,0.0817,-0.0166,-0.0467,0.0446,-0.1481,-0.0145,42.6146,12.6270,10.9678,
0.593074,0.0817,-0.0166,-0.0467,0.0446,-0.1481,-0.0145,42.6390,12.7124,10.8092,
0.633928,0.0817,-0.0166,-0.0467,0.0446,-0.1481,-0.0145,42.6390,12.7124,10.8092,
0.643606,0.0817,-0.0166,-0.0467,0.0322,-0.1921,-0.0145,42.6390,12.7124,10.8092,
0.652641,0.0817,-0.0166,-0.0467,0.0322,-0.1921,-0.0145,42.7000,12.7612,10.5774,
0.654252,0.0249,0.0040,-0.0918,0.0322,-0.1921,-0.0145,42.7000,12.7612,10.5774,
0.703315,0.0249,0.0040,-0.0918,0.0322,-0.1921,-0.0145,42.7000,12.7612,10.5774,
0.714315,0.0249,0.0040,-0.0918,0.0547,-0.1314,-0.0249,42.7000,12.7612,10.5774,
0.718054,0.0249,0.0040,-0.0918,0.0547,-0.1314,-0.0249,42.7488,12.8344,10.2602,
0.723332,-0.0047,-0.0093,-0.0279,0.0547,-0.1314,-0.0249,42.7488,12.8344,10.2602,
0.767388,-0.0047,-0.0093,-0.0279,0.0547,-0.1314,-0.0249,42.8220,12.9442,9.9674,
0.772904,-0.0047,-0.0093,-0.0279,0.0547,-0.1314,-0.0249,42.8220,12.9442,9.9674,
0.781189,-0.0047,-0.0093,-0.0279,0.0651,0.0246,-0.0666,42.8220,12.9442,9.9674,
0.794458,0.2465,0.0787,-0.0334,0.0651,0.0246,-0.0666,42.8220,12.9442,9.9674,
0.833578,0.2465,0.0787,-0.0334,0.0651,0.0246,-0.0666,42.8342,13.1150,9.6136,
0.841316,0.2465,0.0787,-0.0334,0.0651,0.0246,-0.0666,42.8342,13.1150,9.6136,
0.852522,0.2465,0.0787,-0.0334,0.0738,0.0700,-0.0154,42.8342,13.1150,9.6136,
0.862211,0.2452,-0.0285,-0.1443,0.0738,0.0700,-0.0154,42.8342,13.1150,9.6136,
0.891293,0.2452,-0.0285,-0.1443,0.0738,0.0700,-0.0154,42.8220,13.2370,9.3330,
0.913089,0.2452,-0.0285,-0.1443,0.0738,0.0700,-0.0154,42.8220,13.2370,9.3330,
0.923077,0.2452,-0.0285,-0.1443,0.0780,0.0340,-0.0177,42.8220,13.2370,9.3330,
0.930802,-0.2165,0.0470,-0.2122,0.0780,0.0340,-0.0177,42.8220,13.2370,9.3330,
0.950531,-0.2165,0.0470,-0.2122,0.0780,0.0340,-0.0177,42.8464,13.3956,9.0524,
0.981957,-0.2165,0.0470,-0.2122,0.0780,0.0340,-0.0177,42.8464,13.3956,9.0524,
0.993565,-0.2165,0.0470,-0.2122,0.0951,0.0007,-0.0059,42.8464,13.3956,9.0524,
1.002885,-0.0027,0.0607,-0.1802,0.0951,0.0007,-0.0059,42.8464,13.3956,9.0524,
1.010504,-0.0027,0.0607,-0.1802,0.0951,0.0007,-0.0059,42.8952,13.4810,8.8816,
1.050822,-0.0027,0.0607,-0.1802,0.0951,0.0007,-0.0059,42.8952,13.4810,8.8816,
1.059724,-0.0027,0.0607,-0.1802,0.1011,-0.0285,-0.0229,42.8952,13.4810,8.8816,
1.071976,-0.0027,0.0607,-0.1802,0.1011,-0.0285,-0.0229,42.8464,13.5298,8.7596,
1.073867,-0.1713,0.0288,-0.1948,0.1011,-0.0285,-0.0229,42.8464,13.5298,8.7596,
1.121956,-0.1713,0.0288,-0.1948,0.1011,-0.0285,-0.0229,42.8464,13.5298,8.7596,
1.131106,-0.1713,0.0288,-0.1948,0.1011,-0.0285,-0.0229,42.8220,13.6152,8.6864,
1.135928,-0.1713,0.0288,-0.1948,0.1252,-0.0281,-0.0573,42.8220,13.6152,8.6864,
1.142658,-0.0287,0.0962,-0.3302,0.1252,-0.0281,-0.0573,42.8220,13.6152,8.6864,
1.191774,-0.0287,0.0962,-0.3302,0.1252,-0.0281,-0.0573,42.7976,13.7250,8.5888,
1.195504,-0.0287,0.0962,-0.3302,0.1252,-0.0281,-0.0573,42.7976,13.7250,8.5888,
1.200935,-0.0287,0.0962,-0.3302,0.1345,-0.0415,-0.0846,42.7976,13.7250,8.5888,
1.210759,-0.0262,0.1355,-0.5413,0.1345,-0.0415,-0.0846,42.7976,13.7250,8.5888,
1.249429,-0.0262,0.1355,-0.5413,0.1345,-0.0415,-0.0846,42.7366,13.8226,8.5156,
1.259163,-0.0262,0.1355,-0.5413,0.1345,-0.0415,-0.0846,42.7366,13.8226,8.5156,
1.270300,-0.0262,0.1355,-0.5413,0.1927,-0.2731,-0.0257,42.7366,13.8226,8.5156,
1.279469,-0.0972,0.2828,-0.3838,0.1927,-0.2731,-0.0257,42.7366,13.8226,8.5156,
1.309908,-0.0972,0.2828,-0.3838,0.1927,-0.2731,-0.0257,42.7976,13.9324,8.2716,
1.329904,-0.0972,0.2828,-0.3838,0.1927,-0.2731,-0.0257,42.7976,13.9324,8.2716,
1.340948,-0.0972,0.2828,-0.3838,0.2161,-0.6202,-0.0479,42.7976,13.9324,8.2716,
1.350730,-0.6079,0.1658,-0.2024,0.2161,-0.6202,-0.0479,42.7976,13.9324,8.2716,
1.369261,-0.6079,0.1658,-0.2024,0.2161,-0.6202,-0.0479,42.8220,14.0788,7.7836,
1.401457,-0.6079,0.1658,-0.2024,0.2161,-0.6202,-0.0479,42.8220,14.0788,7.7836,
1.409140,-0.6079,0.1658,-0.2024,0.1735,-0.6501,-0.1230,42.8220,14.0788,7.7836,
1.419537,-0.4804,-0.0289,-0.2011,0.1735,-0.6501,-0.1230,42.8220,14.0788,7.7836,
1.428529,-0.4804,-0.0289,-0.2011,0.1735,-0.6501,-0.1230,42.9074,14.2252,7.1004,
1.469258,-0.4804,-0.0289,-0.2011,0.1735,-0.6501,-0.1230,42.9074,14.2252,7.1004,
1.478550,-0.4804,-0.0289,-0.2011,-0.0029,-0.6682,-0.0711,42.9074,14.2252,7.1004,
1.488564,-0.4804,-0.0289,-0.2011,-0.0029,-0.6682,-0.0711,42.9928,14.4082,6.1732,
1.490089,-0.2942,0.0065,-0.3327,-0.0029,-0.6682,-0.0711,42.9928,14.4082,6.1732,
1.539061,-0.2942,0.0065,-0.3327,-0.0029,-0.6682,-0.0711,42.9928,14.4082,6.1732,
1.549809,-0.2942,0.0065,-0.3327,-0.0029,-0.6682,-0.0711,43.0904,14.5424,5.1606,
1.552294,-0.2942,0.0065,-0.3327,-0.2983,-0.6256,0.0281,43.0904,14.5424,5.1606,
1.558849,-0.4283,0.5272,-0.8144,-0.2983,-0.6256,0.0281,43.0904,14.5424,5.1606,
1.611127,-0.4283,0.5272,-0.8144,-0.2983,-0.6256,0.0281,43.0904,14.5424,5.1606,
1.615443,-0.4283,0.5272,-0.8144,-0.2983,-0.6256,0.0281,43.1880,14.6522,4.0260,
1.621548,-0.4283,0.5272,-0.8144,-0.3826,-0.1190,-0.1714,43.1880,14.6522,4.0260,
1.630173,0.0016,0.8414,-0.9405,-0.3826,-0.1190,-0.1714,43.1880,14.6522,4.0260,
1.670282,0.0016,0.8414,-0.9405,-0.3826,-0.1190,-0.1714,43.2246,14.7864,3.0622,
1.679483,0.0016,0.8414,-0.9405,-0.3826,-0.1190,-0.1714,43.2246,14.7864,3.0622,
1.689421,0.0016,0.8414,-0.9405,-0.5414,0.6336,-0.3771,43.2246,14.7864,3.0622,
1.698102,-0.2114,2.6283,-0.4460,-0.5414,0.6336,-0.3771,43.2246,14.7864,3.0622,
1.729509,-0.2114,2.6283,-0.4460,-0.5414,0.6336,-0.3771,43.2124,14.8840,2.4278,
1.748437,-0.2114,2.6283,-0.4460,-0.5414,0.6336,-0.3771,43.2124,14.8840,2.4278,
1.757417,-0.2114,2.6283,-0.4460,-0.5141,-0.2727,-0.3334,43.2124,14.8840,2.4278,
1.768292,-0.1287,3.4133,-1.5297,-0.5141,-0.2727,-0.3334,43.2124,14.8840,2.4278,
1.787550,-0.1287,3.4133,-1.5297,-0.5141,-0.2727,-0.3334,43.1026,15.0182,1.9764,
1.817530,-0.1287,3.4133,-1.5297,-0.5141,-0.2727,-0.3334,43.1026,15.0182,1.9764,
1.829702,-0.1287,3.4133,-1.5297,-1.0618,-0.8330,-0.1738,43.1026,15.0182,1.9764,
1.838090,-0.4271,3.9774,1.7139,-1.0618,-0.8330,-0.1738,43.1026,15.0182,1.9764,
1.849230,-0.4271,3.9774,1.7139,-1.0618,-0.8330,-0.1738,43.0050,15.2134,1.6104,
1.887827,-0.4271,3.9774,1.7139,-1.0618,-0.8330,-0.1738,43.0050,15.2134,1.6104,
1.897924,-0.4271,3.9774,1.7139,-0.8810,-0.9241,-0.3553,43.0050,15.2134,1.6104,
1.909070,0.8708,-0.1587,0.5171,-0.8810,-0.9241,-0.3553,43.0050,15.2134,1.6104,
1.918757,0.8708,-0.1587,0.5171,-0.8810,-0.9241,-0.3553,42.8464,15.2866,1.4884,
1.958369,0.8708,-0.1587,0.5171,-0.8810,-0.9241,-0.3553,42.8464,15.2866,1.4884,
1.967275,0.8708,-0.1587,0.5171,-1.0778,-1.2464,-0.7946,42.8464,15.2866,1.4884,
1.976970,0.8708,-0.1587,0.5171,-1.0778,-1.2464,-0.7946,42.7488,15.5550,1.4518,
1.979173,-0.1127,2.4407,0.6306,-1.0778,-1.2464,-0.7946,42.7488,15.5550,1.4518,
2.027959,-0.1127,2.4407,0.6306,-1.0778,-1.2464,-0.7946,42.7488,15.5550,1.4518,
2.039228,-0.1127,2.4407,0.6306,-1.0778,-1.2464,-0.7946,42.6512,16.0308,1.4152,
2.042620,-0.1127,2.4407,0.6306,-0.6807,-0.6775,-1.5733,42.6512,16.0308,1.4152,
2.049346,-0.8094,-1.7759,-2.1015,-0.6807,-0.6775,-1.5733,42.6512,16.0308,1.4152,
2.097581,-0.8094,-1.7759,-2.1015,-0.6807,-0.6775,-1.5733,42.2486,17.0922,1.3420,
2.102583,-0.8094,-1.7759,-2.1015,-0.6807,-0.6775,-1.5733,42.2486,17.0922,1.3420,
2.108704,-0.8094,-1.7759,-2.1015,2.6668,1.4105,-2.2106,42.2486,17.0922,1.3420,
2.117721,1.9587,-1.6190,3.1925,2.6668,1.4105,-2.2106,42.2486,17.0922,1.3420,
2.157218,1.9587,-1.6190,3.1925,2.6668,1.4105,-2.2106,41.5410,18.7758,1.1834,
2.166381,1.9587,-1.6190,3.1925,2.6668,1.4105,-2.2106,41.5410,18.7758,1.1834,
