
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.055678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.099161,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,0.0000,0.0000,0.0000,
0.101808,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,43.0172,12.2610,13.4566,
0.109722,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,43.0172,12.2610,13.4566,
0.117713,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,43.0172,12.2610,13.4566,
0.119185,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,43.0172,12.2610,13.4566,
0.119970,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,43.0172,12.2610,13.4566,
0.158420,0.0000,0.0000,0.0000,0.0064,-0.0064,0.0019,43.0172,12.2732,12.9320,
0.169669,0.0000,0.0000,0.0000,-0.0180,-0.0364,0.0035,43.0172,12.2732,12.9320,
0.185070,-0.0309,0.0434,-0.0189,-0.0180,-0.0364,0.0035,43.0172,12.2732,12.9320,
0.188580,-0.0309,0.0434,-0.0189,-0.0180,-0.0364,0.0035,43.0172,12.2732,12.9320,
0.190774,-0.0309,0.0434,-0.0189,-0.0180,-0.0364,0.0035,43.0172,12.2732,12.9320,
0.193280,-0.0309,0.0434,-0.0189,-0.0180,-0.0364,0.0035,43.0172,12.2732,12.9320,
0.216159,-0.0309,0.0434,-0.0189,-0.0180,-0.0364,0.0035,42.9562,12.2488,12.7246,
0.237864,-0.0309,0.0434,-0.0189,-0.0515,-0.0447,0.0016,42.9562,12.2488,12.7246,
0.248094,0.0342,-0.0170,0.0420,-0.0515,-0.0447,0.0016,42.9562,12.2488,12.7246,
0.252642,0.0342,-0.0170,0.0420,-0.0515,-0.0447,0.0016,42.9562,12.2488,12.7246,
0.255844,0.0342,-0.0170,0.0420,-0.0515,-0.0447,0.0016,42.9562,12.2488,12.7246,
0.257432,0.0342,-0.0170,0.0420,-0.0515,-0.0447,0.0016,42.9562,12.2488,12.7246,
0.259179,0.0342,-0.0170,0.0420,-0.0515,-0.0447,0.0016,42.9562,12.2488,12.7246,
0.276291,0.0342,-0.0170,0.0420,-0.0515,-0.0447,0.0016,42.9806,12.2366,12.6148,
0.307366,0.0342,-0.0170,0.0420,-0.0846,-0.0289,0.0029,42.9806,12.2366,12.6148,
0.316952,0.0342,-0.0170,0.0420,-0.0846,-0.0289,0.0029,42.9806,12.2366,12.6148,
0.318014,0.0342,-0.0170,0.0420,-0.0846,-0.0289,0.0029,42.9806,12.2366,12.6148,
0.319043,0.0342,-0.0170,0.0420,-0.0846,-0.0289,0.0029,42.9806,12.2366,12.6148,
0.319965,0.0015,0.0544,-0.0260,-0.0846,-0.0289,0.0029,42.9806,12.2366,12.6148,
0.336618,0.0015,0.0544,-0.0260,-0.0846,-0.0289,0.0029,42.9806,12.2122,12.5294,
0.378013,0.0015,0.0544,-0.0260,-0.1618,-0.0230,0.0113,42.9806,12.2122,12.5294,
0.385636,0.0015,0.0544,-0.0260,-0.1618,-0.0230,0.0113,42.9806,12.2122,12.5294,
0.388850,0.0015,0.0544,-0.0260,-0.1618,-0.0230,0.0113,42.9806,12.2122,12.5294,
0.391532,0.0015,0.0544,-0.0260,-0.1618,-0.0230,0.0113,42.9806,12.2122,12.5294,
0.394149,-0.0142,0.0435,-0.0568,-0.1618,-0.0230,0.0113,42.9806,12.2122,12.5294,
0.396935,-0.0142,0.0435,-0.0568,-0.1618,-0.0230,0.0113,43.0050,12.1878,12.5050,
0.445108,-0.0142,0.0435,-0.0568,-0.1521,-0.0415,0.0145,43.0050,12.1878,12.5050,
0.449279,-0.0142,0.0435,-0.0568,-0.1521,-0.0415,0.0145,43.0050,12.1878,12.5050,
0.451386,-0.0142,0.0435,-0.0568,-0.1521,-0.0415,0.0145,43.0050,12.1878,12.5050,
0.453206,-0.0142,0.0435,-0.0568,-0.1521,-0.0415,0.0145,43.0050,12.1878,12.5050,
0.455961,-0.0142,0.0435,-0.0568,-0.1521,-0.0415,0.0145,43.0050,12.1878,12.5050,
0.457447,-0.0142,0.0435,-0.0568,-0.1521,-0.0415,0.0145,42.9928,12.1390,12.4806,
0.459124,-0.0462,-0.0748,-0.0072,-0.1521,-0.0415,0.0145,42.9928,12.1390,12.4806,
0.515809,-0.0462,-0.0748,-0.0072,-0.1521,-0.0415,0.0145,43.0172,12.0780,12.4928,
0.518132,-0.0462,-0.0748,-0.0072,-0.1397,-0.0140,0.0250,43.0172,12.0780,12.4928,
0.519802,-0.0462,-0.0748,-0.0072,-0.1397,-0.0140,0.0250,43.0172,12.0780,12.4928,
0.521602,-0.0462,-0.0748,-0.0072,-0.1397,-0.0140,0.0250,43.0172,12.0780,12.4928,
0.523194,-0.0462,-0.0748,-0.0072,-0.1397,-0.0140,0.0250,43.0172,12.0780,12.4928,
0.525957,0.1919,-0.0091,0.0911,-0.1397,-0.0140,0.0250,43.0172,12.0780,12.4928,
0.577171,0.1919,-0.0091,0.0911,-0.1397,-0.0140,0.0250,43.0782,11.9926,12.3708,
0.584224,0.1919,-0.0091,0.0911,-0.1009,0.0507,-0.0218,43.0782,11.9926,12.3708,
0.587955,0.1919,-0.0091,0.0911,-0.1009,0.0507,-0.0218,43.0782,11.9926,12.3708,
0.591781,0.1919,-0.0091,0.0911,-0.1009,0.0507,-0.0218,43.0782,11.9926,12.3708,
0.593236,0.1919,-0.0091,0.0911,-0.1009,0.0507,-0.0218,43.0782,11.9926,12.3708,
0.600619,-0.0865,-0.1545,0.1191,-0.1009,0.0507,-0.0218,43.0782,11.9926,12.3708,
0.636356,-0.0865,-0.1545,0.1191,-0.1009,0.0507,-0.0218,43.0538,11.8950,12.4074,
0.650556,-0.0865,-0.1545,0.1191,-0.1009,0.0507,-0.0218,43.0538,11.8950,12.4074,
0.653293,-0.0865,-0.1545,0.1191,-0.1009,0.0507,-0.0218,43.0538,11.8950,12.4074,
0.659096,-0.0865,-0.1545,0.1191,-0.1009,0.0507,-0.0218,43.0538,11.8950,12.4074,
0.661691,-0.0865,-0.1545,0.1191,-0.1009,0.0507,-0.0218,43.0538,11.8950,12.4074,
0.663530,-0.0865,-0.1545,0.1191,-0.0672,0.0539,-0.0517,43.0538,11.8950,12.4074,
0.667683,-0.1164,0.1411,0.0589,-0.0672,0.0539,-0.0517,43.0538,11.8950,12.4074,
0.695943,-0.1164,0.1411,0.0589,-0.0672,0.0539,-0.0517,43.1026,11.8828,12.4196,
0.716889,-0.1164,0.1411,0.0589,-0.0672,0.0539,-0.0517,43.1026,11.8828,12.4196,
