
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.053376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.083833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.2364,8.3936,19.2028,
0.084966,0.0000,0.0000,0.0000,-0.0893,-0.1063,-0.0955,42.2364,8.3936,19.2028,
0.101717,0.0000,0.0000,0.0000,-0.0893,-0.1063,-0.0955,42.2364,8.3936,19.2028,
0.102981,0.0000,0.0000,0.0000,-0.0893,-0.1063,-0.0955,42.2364,8.3936,19.2028,
0.143231,0.0000,0.0000,0.0000,-0.0893,-0.1063,-0.0955,42.1754,8.3570,19.1906,
0.154212,0.0000,0.0000,0.0000,0.0562,-0.2144,-0.0487,42.1754,8.3570,19.1906,
0.164015,0.0000,0.0000,0.0000,0.0562,-0.2144,-0.0487,42.1754,8.3570,19.1906,
0.168193,0.0000,0.0000,0.0000,0.0562,-0.2144,-0.0487,42.1754,8.3570,19.1906,
0.169115,0.0000,0.0000,0.0000,0.0562,-0.2144,-0.0487,42.1754,8.3570,19.1906,
0.169890,0.0000,0.0000,0.0000,0.0562,-0.2144,-0.0487,42.1754,8.3570,19.1906,
0.203211,0.0000,0.0000,0.0000,0.0562,-0.2144,-0.0487,42.2486,8.3570,18.8978,
0.222983,0.0000,0.0000,0.0000,0.0241,-0.2625,-0.0617,42.2486,8.3570,18.8978,
0.231880,-0.1832,0.1293,-0.0451,0.0241,-0.2625,-0.0617,42.2486,8.3570,18.8978,
0.234631,-0.1832,0.1293,-0.0451,0.0241,-0.2625,-0.0617,42.2486,8.3570,18.8978,
0.235436,-0.1832,0.1293,-0.0451,0.0241,-0.2625,-0.0617,42.2486,8.3570,18.8978,
0.236174,-0.1832,0.1293,-0.0451,0.0241,-0.2625,-0.0617,42.2486,8.3570,18.8978,
0.236911,-0.1832,0.1293,-0.0451,0.0241,-0.2625,-0.0617,42.2486,8.3570,18.8978,
0.264309,-0.1832,0.1293,-0.0451,0.0241,-0.2625,-0.0617,42.3462,8.4668,18.5196,
0.294695,-0.1832,0.1293,-0.0451,0.0306,-0.2100,0.0125,42.3462,8.4668,18.5196,
0.302770,-0.3256,-0.1681,-0.1126,0.0306,-0.2100,0.0125,42.3462,8.4668,18.5196,
0.303828,-0.3256,-0.1681,-0.1126,0.0306,-0.2100,0.0125,42.3462,8.4668,18.5196,
0.304537,-0.3256,-0.1681,-0.1126,0.0306,-0.2100,0.0125,42.3462,8.4668,18.5196,
0.305151,-0.3256,-0.1681,-0.1126,0.0306,-0.2100,0.0125,42.3462,8.4668,18.5196,
0.322533,-0.3256,-0.1681,-0.1126,0.0306,-0.2100,0.0125,42.4438,8.5034,18.2512,
0.364721,-0.3256,-0.1681,-0.1126,0.0321,-0.1526,0.0819,42.4438,8.5034,18.2512,
0.368194,-0.3256,-0.1681,-0.1126,0.0321,-0.1526,0.0819,42.4438,8.5034,18.2512,
0.368949,-0.3256,-0.1681,-0.1126,0.0321,-0.1526,0.0819,42.4438,8.5034,18.2512,
0.369584,-0.3256,-0.1681,-0.1126,0.0321,-0.1526,0.0819,42.4438,8.5034,18.2512,
0.370874,0.0685,-0.1209,-0.0460,0.0321,-0.1526,0.0819,42.4438,8.5034,18.2512,
0.382220,0.0685,-0.1209,-0.0460,0.0321,-0.1526,0.0819,42.5780,8.5400,18.0438,
0.433237,0.0685,-0.1209,-0.0460,-0.0067,0.0487,-0.0892,42.5780,8.5400,18.0438,
0.434880,0.0685,-0.1209,-0.0460,-0.0067,0.0487,-0.0892,42.6878,8.5644,17.8364,
0.436004,0.0685,-0.1209,-0.0460,-0.0067,0.0487,-0.0892,42.6878,8.5644,17.8364,
0.436792,0.0685,-0.1209,-0.0460,-0.0067,0.0487,-0.0892,42.6878,8.5644,17.8364,
0.437583,0.0685,-0.1209,-0.0460,-0.0067,0.0487,-0.0892,42.6878,8.5644,17.8364,
0.438464,0.0685,-0.1209,-0.0460,-0.0067,0.0487,-0.0892,42.6878,8.5644,17.8364,
0.443981,0.0713,0.2272,0.0912,-0.0067,0.0487,-0.0892,42.6878,8.5644,17.8364,
0.503065,0.0713,0.2272,0.0912,-0.0067,0.0487,-0.0892,42.6878,8.6254,17.7876,
0.504717,0.0713,0.2272,0.0912,-0.0067,0.0487,-0.0892,42.6878,8.6254,17.7876,
0.505541,0.0713,0.2272,0.0912,-0.0067,0.0487,-0.0892,42.6878,8.6254,17.7876,
0.506523,0.0713,0.2272,0.0912,-0.0067,0.0487,-0.0892,42.6878,8.6254,17.7876,
0.507404,0.0713,0.2272,0.0912,-0.0158,0.3103,-0.2772,42.6878,8.6254,17.7876,
0.511598,-0.0134,0.4031,0.0490,-0.0158,0.3103,-0.2772,42.6878,8.6254,17.7876,
