
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.042422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.049844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.085009,0.0000,0.0000,0.0000,0.0165,-0.0194,0.0064,0.0000,0.0000,0.0000,
0.092573,0.0000,0.0000,0.0000,0.0165,-0.0194,0.0064,42.5902,11.9194,10.8214,
0.102932,0.0000,0.0000,0.0000,0.0165,-0.0194,0.0064,42.5902,11.9194,10.8214,
0.103791,0.0000,0.0000,0.0000,0.0165,-0.0194,0.0064,42.5902,11.9194,10.8214,
0.144089,0.0000,0.0000,0.0000,0.0165,-0.0194,0.0064,42.5536,12.0292,10.4554,
0.155547,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5536,12.0292,10.4554,
0.166253,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5536,12.0292,10.4554,
0.169062,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5536,12.0292,10.4554,
0.169784,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5536,12.0292,10.4554,
0.170387,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5536,12.0292,10.4554,
0.171038,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5536,12.0292,10.4554,
0.194532,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5658,12.0536,10.2968,
0.211511,0.0000,0.0000,0.0000,0.0330,-0.0517,0.0152,42.5780,12.0780,10.2236,
0.225206,0.0000,0.0000,0.0000,-0.0005,-0.0549,-0.0100,42.5780,12.0780,10.2236,
0.233962,-0.0379,-0.1346,0.0642,-0.0005,-0.0549,-0.0100,42.5780,12.0780,10.2236,
0.235721,-0.0379,-0.1346,0.0642,-0.0005,-0.0549,-0.0100,42.5780,12.0780,10.2236,
0.236763,-0.0379,-0.1346,0.0642,-0.0005,-0.0549,-0.0100,42.5780,12.0780,10.2236,
0.237723,-0.0379,-0.1346,0.0642,-0.0005,-0.0549,-0.0100,42.5780,12.0780,10.2236,
0.265637,-0.0379,-0.1346,0.0642,-0.0005,-0.0549,-0.0100,42.5780,12.1146,10.1260,
