
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.052405,-0.0839,-0.7429,-0.5004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.072076,-0.0839,-0.7429,-0.5004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.085806,-0.0839,-0.7429,-0.5004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091778,-0.0839,-0.7429,-0.5004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092945,-0.0839,-0.7429,-0.5004,0.0000,0.0000,0.0000,39.5438,9.9938,17.8313,
0.094486,-0.0839,-0.7429,-0.5004,-0.0154,-0.0355,-0.0078,39.5438,9.9938,17.8313,
0.109854,-0.0839,-0.7429,-0.5004,-0.0154,-0.0355,-0.0078,39.5438,9.9938,17.8313,
0.130055,0.0511,-0.2363,-0.0337,-0.0154,-0.0355,-0.0078,39.5438,9.9938,17.8313,
0.148004,0.0511,-0.2363,-0.0337,-0.0154,-0.0355,-0.0078,39.5438,9.9938,17.8313,
0.150677,0.0584,-0.2218,-0.1372,-0.0154,-0.0355,-0.0078,39.5438,9.9938,17.8313,
0.152955,0.0584,-0.2218,-0.1372,-0.0154,-0.0355,-0.0078,38.7563,10.0312,17.7563,
0.158098,0.0584,-0.2218,-0.1372,-0.0179,-0.1319,-0.0236,38.7563,10.0312,17.7563,
0.169284,0.1178,-0.2770,-0.1774,-0.0179,-0.1319,-0.0236,38.7563,10.0312,17.7563,
0.186736,0.1391,-0.3085,-0.1107,-0.0179,-0.1319,-0.0236,38.7563,10.0312,17.7563,
0.205560,0.0718,-0.3184,-0.1505,-0.0179,-0.1319,-0.0236,38.7563,10.0312,17.7563,
0.210691,0.0718,-0.3184,-0.1505,-0.0179,-0.1319,-0.0236,38.7563,10.0312,17.7563,
0.212945,0.0718,-0.3184,-0.1505,-0.0179,-0.1319,-0.0236,39.2625,9.7688,16.6875,
0.219159,0.0718,-0.3184,-0.1505,-0.0056,-0.3836,-0.0847,39.2625,9.7688,16.6875,
0.224855,-0.1048,-0.3500,-0.2716,-0.0056,-0.3836,-0.0847,39.2625,9.7688,16.6875,
0.244210,-0.3633,-0.3700,-0.4528,-0.0056,-0.3836,-0.0847,39.2625,9.7688,16.6875,
0.264217,-0.0137,-0.3789,-0.5889,-0.0056,-0.3836,-0.0847,39.2625,9.7688,16.6875,
0.270587,-0.0137,-0.3789,-0.5889,-0.0056,-0.3836,-0.0847,39.6562,9.9938,16.1625,
0.271722,-0.0137,-0.3789,-0.5889,-0.0056,-0.3836,-0.0847,39.6562,9.9938,16.1625,
0.281586,-0.0137,-0.3789,-0.5889,-0.1412,-0.6414,-0.1409,39.6562,9.9938,16.1625,
0.282855,0.1683,-0.3911,-0.6099,-0.1412,-0.6414,-0.1409,39.6562,9.9938,16.1625,
0.302684,0.5352,-0.4452,-0.4715,-0.1412,-0.6414,-0.1409,39.6562,9.9938,16.1625,
0.321114,0.8993,-0.4565,-0.1738,-0.1412,-0.6414,-0.1409,39.6562,9.9938,16.1625,
0.330497,0.8993,-0.4565,-0.1738,-0.1412,-0.6414,-0.1409,39.9375,10.6688,14.6063,
0.336136,0.8993,-0.4565,-0.1738,-0.1412,-0.6414,-0.1409,39.9375,10.6688,14.6063,
0.339581,1.2481,-0.4075,-0.0757,-0.1412,-0.6414,-0.1409,39.9375,10.6688,14.6063,
0.343620,1.2481,-0.4075,-0.0757,0.0201,-0.3444,-0.2009,39.9375,10.6688,14.6063,
0.358812,1.3870,-0.2838,-0.1205,0.0201,-0.3444,-0.2009,39.9375,10.6688,14.6063,
0.378180,1.1891,-0.1809,-0.0896,0.0201,-0.3444,-0.2009,39.9375,10.6688,14.6063,
0.391868,1.1891,-0.1809,-0.0896,0.0201,-0.3444,-0.2009,39.5250,11.1938,14.4188,
0.396882,1.1891,-0.1809,-0.0896,0.0201,-0.3444,-0.2009,39.5250,11.1938,14.4188,
0.399068,0.6786,0.1464,0.1719,0.0201,-0.3444,-0.2009,39.5250,11.1938,14.4188,
0.405336,0.6786,0.1464,0.1719,0.1519,-0.2443,0.0032,39.5250,11.1938,14.4188,
0.415569,0.4005,0.6985,-0.0757,0.1519,-0.2443,0.0032,39.5250,11.1938,14.4188,
0.435952,0.1898,1.2229,-0.4551,0.1519,-0.2443,0.0032,39.5250,11.1938,14.4188,
0.451688,0.1898,1.2229,-0.4551,0.1519,-0.2443,0.0032,40.3125,11.2125,13.4625,
0.455189,0.2727,1.4600,-0.3991,0.1519,-0.2443,0.0032,40.3125,11.2125,13.4625,
0.461148,0.2727,1.4600,-0.3991,0.1519,-0.2443,0.0032,40.3125,11.2125,13.4625,
0.468528,0.2727,1.4600,-0.3991,-0.0716,-0.2382,0.2647,40.3125,11.2125,13.4625,
0.473612,0.3188,1.0748,0.0176,-0.0716,-0.2382,0.2647,40.3125,11.2125,13.4625,
0.493162,0.2345,-0.3788,-0.3096,-0.0716,-0.2382,0.2647,40.3125,11.2125,13.4625,
0.511805,-0.4906,-1.8963,-0.8286,-0.0716,-0.2382,0.2647,40.3125,11.2125,13.4625,
0.515009,-0.4906,-1.8963,-0.8286,-0.0716,-0.2382,0.2647,40.7438,10.4438,13.0125,
0.521934,-0.4906,-1.8963,-0.8286,-0.0716,-0.2382,0.2647,40.7438,10.4438,13.0125,
0.530542,-0.4906,-1.8963,-0.8286,-0.3415,-0.3543,0.1706,40.7438,10.4438,13.0125,
0.531792,-0.6713,-2.4410,-0.7327,-0.3415,-0.3543,0.1706,40.7438,10.4438,13.0125,
0.550525,-0.7195,-1.5748,-0.1096,-0.3415,-0.3543,0.1706,40.7438,10.4438,13.0125,
0.568706,-0.6920,-0.7487,0.3167,-0.3415,-0.3543,0.1706,40.7438,10.4438,13.0125,
0.569997,-0.6920,-0.7487,0.3167,-0.3415,-0.3543,0.1706,40.5750,9.9563,12.8063,
0.582672,-0.6920,-0.7487,0.3167,-0.3415,-0.3543,0.1706,40.5750,9.9563,12.8063,
0.587830,-0.8223,0.0146,0.2829,-0.3415,-0.3543,0.1706,40.5750,9.9563,12.8063,
0.592157,-0.8223,0.0146,0.2829,0.1997,-0.3714,0.0459,40.5750,9.9563,12.8063,
0.607723,-0.8547,0.7510,0.0692,0.1997,-0.3714,0.0459,40.5750,9.9563,12.8063,
0.626718,-0.9722,0.8942,-0.1853,0.1997,-0.3714,0.0459,40.5750,9.9563,12.8063,
0.631850,-0.9722,0.8942,-0.1853,0.1997,-0.3714,0.0459,41.4750,9.7313,11.1188,
0.645691,-0.9722,0.8942,-0.1853,0.1997,-0.3714,0.0459,41.4750,9.7313,11.1188,
0.646652,-0.8232,0.1714,-0.0262,0.1997,-0.3714,0.0459,41.4750,9.7313,11.1188,
0.654589,-0.8232,0.1714,-0.0262,-0.2305,-0.5424,0.1046,41.4750,9.7313,11.1188,
0.665945,-0.5957,-0.6578,0.0694,-0.2305,-0.5424,0.1046,41.4750,9.7313,11.1188,
0.685136,-0.4736,-1.2575,0.0234,-0.2305,-0.5424,0.1046,41.4750,9.7313,11.1188,
0.693002,-0.4736,-1.2575,0.0234,-0.2305,-0.5424,0.1046,41.6063,9.3938,9.9750,
0.704339,-0.4637,-1.2603,0.0234,-0.2305,-0.5424,0.1046,41.6063,9.3938,9.9750,
0.707693,-0.4637,-1.2603,0.0234,-0.2305,-0.5424,0.1046,41.6063,9.3938,9.9750,
0.716546,-0.4637,-1.2603,0.0234,-0.0019,-0.4972,0.0716,41.6063,9.3938,9.9750,
