
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.081020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.109316,0.0000,0.0000,0.0000,-0.0005,0.0015,0.0059,0.0000,0.0000,0.0000,
0.111112,0.0000,0.0000,0.0000,-0.0005,0.0015,0.0059,42.8342,11.6266,14.4204,
0.151600,0.0000,0.0000,0.0000,-0.0005,0.0015,0.0059,42.8342,11.6266,14.4204,
0.162571,0.0000,0.0000,0.0000,-0.0005,0.0015,0.0059,42.6756,11.4802,14.7742,
0.180055,0.0000,0.0000,0.0000,-0.0005,0.0015,0.0059,42.6756,11.4802,14.7742,
0.181292,0.0000,0.0000,0.0000,-0.0049,0.0136,-0.0007,42.6756,11.4802,14.7742,
0.211059,0.0000,0.0000,0.0000,-0.0049,0.0136,-0.0007,42.6024,11.5290,14.6888,
0.219568,0.0000,0.0000,0.0000,-0.0049,0.0136,-0.0007,42.6024,11.5290,14.6888,
0.249108,0.0000,0.0000,0.0000,-0.0230,0.0092,-0.0144,42.6024,11.5290,14.6888,
0.250556,0.0010,0.0204,-0.0541,-0.0230,0.0092,-0.0144,42.6024,11.5290,14.6888,
0.261155,0.0010,0.0204,-0.0541,-0.0230,0.0092,-0.0144,42.6268,11.6022,14.7742,
0.289306,0.0010,0.0204,-0.0541,-0.0230,0.0092,-0.0144,42.6268,11.6022,14.7742,
0.312843,0.0010,0.0204,-0.0541,-0.0230,0.0092,-0.0144,42.6512,11.6632,14.7376,
0.315747,0.0010,0.0204,-0.0541,-0.0230,0.0092,-0.0144,42.6634,11.6998,14.7132,
0.321042,0.0010,0.0204,-0.0541,-0.0081,-0.0345,-0.0081,42.6634,11.6998,14.7132,
0.322325,-0.0466,-0.0172,-0.0922,-0.0081,-0.0345,-0.0081,42.6634,11.6998,14.7132,
0.358640,-0.0466,-0.0172,-0.0922,-0.0081,-0.0345,-0.0081,42.6634,11.6998,14.7132,
0.376988,-0.0466,-0.0172,-0.0922,-0.0081,-0.0345,-0.0081,42.6756,11.6510,14.7620,
0.387814,-0.0466,-0.0172,-0.0922,0.0162,-0.0602,0.0128,42.6756,11.6510,14.7620,
0.388889,-0.0171,-0.0068,-0.0937,0.0162,-0.0602,0.0128,42.6756,11.6510,14.7620,
0.428816,-0.0171,-0.0068,-0.0937,0.0162,-0.0602,0.0128,42.6756,11.6510,14.7620,
0.438460,-0.0171,-0.0068,-0.0937,0.0162,-0.0602,0.0128,42.6756,11.6144,14.7620,
0.457894,-0.0171,-0.0068,-0.0937,0.0547,-0.1421,0.0442,42.6756,11.6144,14.7620,
0.459436,-0.0988,-0.0792,0.0578,0.0547,-0.1421,0.0442,42.6756,11.6144,14.7620,
0.499362,-0.0988,-0.0792,0.0578,0.0547,-0.1421,0.0442,42.6634,11.5900,14.7132,
0.500738,-0.0988,-0.0792,0.0578,0.0547,-0.1421,0.0442,42.6634,11.5900,14.7132,
0.530218,-0.0988,-0.0792,0.0578,0.0682,-0.1578,0.0377,42.6634,11.5900,14.7132,
0.532161,-0.0072,0.0399,0.0000,0.0682,-0.1578,0.0377,42.6634,11.5900,14.7132,
0.559056,-0.0072,0.0399,0.0000,0.0682,-0.1578,0.0377,42.7122,11.5778,14.5058,
0.568106,-0.0072,0.0399,0.0000,0.0682,-0.1578,0.0377,42.7122,11.5778,14.5058,
0.597785,-0.0072,0.0399,0.0000,0.0272,-0.1967,0.0344,42.7122,11.5778,14.5058,
0.599530,0.0247,-0.0200,-0.2165,0.0272,-0.1967,0.0344,42.7122,11.5778,14.5058,
0.617212,0.0247,-0.0200,-0.2165,0.0272,-0.1967,0.0344,42.8098,11.5290,14.3228,
0.640049,0.0247,-0.0200,-0.2165,0.0272,-0.1967,0.0344,42.8098,11.5290,14.3228,
0.667372,0.0247,-0.0200,-0.2165,0.0049,-0.3253,0.1180,42.8098,11.5290,14.3228,
0.668948,-0.0055,0.0403,-0.4137,0.0049,-0.3253,0.1180,42.8098,11.5290,14.3228,
0.677917,-0.0055,0.0403,-0.4137,0.0049,-0.3253,0.1180,42.8952,11.4314,13.9812,
0.709679,-0.0055,0.0403,-0.4137,0.0049,-0.3253,0.1180,42.8952,11.4314,13.9812,
0.739535,-0.0055,0.0403,-0.4137,0.0049,-0.3253,0.1180,43.0172,11.2850,13.5664,
0.741160,-0.0055,0.0403,-0.4137,0.3518,-0.2004,0.1190,43.0172,11.2850,13.5664,
0.742073,0.1404,-0.1496,-0.0275,0.3518,-0.2004,0.1190,43.0172,11.2850,13.5664,
0.778305,0.1404,-0.1496,-0.0275,0.3518,-0.2004,0.1190,43.0172,11.2850,13.5664,
0.797254,0.1404,-0.1496,-0.0275,0.3518,-0.2004,0.1190,43.1758,11.1020,13.1150,
0.807189,0.1404,-0.1496,-0.0275,0.4497,-0.1806,0.1843,43.1758,11.1020,13.1150,
0.808445,0.0032,-0.3565,0.8975,0.4497,-0.1806,0.1843,43.1758,11.1020,13.1150,
0.846973,0.0032,-0.3565,0.8975,0.4497,-0.1806,0.1843,43.1758,11.1020,13.1150,
0.856050,0.0032,-0.3565,0.8975,0.4497,-0.1806,0.1843,43.4564,10.9434,12.5782,
0.877842,0.0032,-0.3565,0.8975,0.4321,-0.0184,0.1497,43.4564,10.9434,12.5782,
0.879348,0.0727,0.3035,-0.0477,0.4321,-0.0184,0.1497,43.4564,10.9434,12.5782,
0.916355,0.0727,0.3035,-0.0477,0.4321,-0.0184,0.1497,43.7126,10.7116,12.0902,
0.917812,0.0727,0.3035,-0.0477,0.4321,-0.0184,0.1497,43.7126,10.7116,12.0902,
0.946063,0.0727,0.3035,-0.0477,0.2679,0.0180,0.1059,43.7126,10.7116,12.0902,
0.947180,0.2497,0.0651,-0.1876,0.2679,0.0180,0.1059,43.7126,10.7116,12.0902,
0.976909,0.2497,0.0651,-0.1876,0.2679,0.0180,0.1059,43.9200,10.5042,11.6388,
0.986506,0.2497,0.0651,-0.1876,0.2679,0.0180,0.1059,43.9200,10.5042,11.6388,
1.016287,0.4022,0.2067,-0.0871,0.2679,0.0180,0.1059,43.9200,10.5042,11.6388,
1.017424,0.4022,0.2067,-0.0871,0.0625,0.0714,-0.0138,43.9200,10.5042,11.6388,
1.036334,0.4022,0.2067,-0.0871,0.0625,0.0714,-0.0138,44.1030,10.3944,11.1874,
1.055662,0.4022,0.2067,-0.0871,0.0625,0.0714,-0.0138,44.1030,10.3944,11.1874,
1.086684,0.4022,0.2067,-0.0871,0.0976,0.1053,-0.0642,44.1030,10.3944,11.1874,
1.088257,0.1528,0.0062,-0.5421,0.0976,0.1053,-0.0642,44.1030,10.3944,11.1874,
1.096884,0.1528,0.0062,-0.5421,0.0976,0.1053,-0.0642,44.2006,10.2480,10.8458,
1.125313,0.1528,0.0062,-0.5421,0.0976,0.1053,-0.0642,44.2006,10.2480,10.8458,
1.155648,0.1528,0.0062,-0.5421,0.1900,0.0636,-0.0092,44.2006,10.2480,10.8458,
1.157191,0.1528,0.0062,-0.5421,0.1900,0.0636,-0.0092,44.2860,10.1260,10.6018,
1.158195,0.3088,-0.1858,-0.2646,0.1900,0.0636,-0.0092,44.2860,10.1260,10.6018,
1.196165,0.3088,-0.1858,-0.2646,0.1900,0.0636,-0.0092,44.2860,10.1260,10.6018,
1.214969,0.3088,-0.1858,-0.2646,0.1900,0.0636,-0.0092,44.3470,10.0772,10.4554,
1.225883,0.3088,-0.1858,-0.2646,0.2281,-0.1791,0.0774,44.3470,10.0772,10.4554,
1.227111,-0.0158,-0.0531,-0.1480,0.2281,-0.1791,0.0774,44.3470,10.0772,10.4554,
1.265128,-0.0158,-0.0531,-0.1480,0.2281,-0.1791,0.0774,44.3470,10.0772,10.4554,
1.274577,-0.0158,-0.0531,-0.1480,0.2281,-0.1791,0.0774,44.4568,9.9186,10.4432,
1.294698,-0.0158,-0.0531,-0.1480,0.3111,-0.3328,0.0932,44.4568,9.9186,10.4432,
1.295729,-0.3421,0.1273,-0.4217,0.3111,-0.3328,0.0932,44.4568,9.9186,10.4432,
1.335967,-0.3421,0.1273,-0.4217,0.3111,-0.3328,0.0932,44.4202,9.8698,10.1748,
1.337801,-0.3421,0.1273,-0.4217,0.3111,-0.3328,0.0932,44.4202,9.8698,10.1748,
1.366247,-0.3421,0.1273,-0.4217,0.1403,-0.4341,0.1252,44.4202,9.8698,10.1748,
1.368168,-0.1624,0.0353,-0.4611,0.1403,-0.4341,0.1252,44.4202,9.8698,10.1748,
1.397723,-0.1624,0.0353,-0.4611,0.1403,-0.4341,0.1252,44.4324,9.9064,9.6746,
1.407696,-0.1624,0.0353,-0.4611,0.1403,-0.4341,0.1252,44.4324,9.9064,9.6746,
1.435830,0.2927,0.1091,-0.6535,0.1403,-0.4341,0.1252,44.4324,9.9064,9.6746,
1.437375,0.2927,0.1091,-0.6535,0.1979,-0.1337,0.0891,44.4324,9.9064,9.6746,
1.456379,0.2927,0.1091,-0.6535,0.1979,-0.1337,0.0891,44.5178,9.8576,9.2110,
1.477734,0.2927,0.1091,-0.6535,0.1979,-0.1337,0.0891,44.5178,9.8576,9.2110,
1.504337,-0.0648,0.2346,-0.8749,0.1979,-0.1337,0.0891,44.5178,9.8576,9.2110,
1.505937,-0.0648,0.2346,-0.8749,0.0771,0.0137,-0.0261,44.5178,9.8576,9.2110,
1.515414,-0.0648,0.2346,-0.8749,0.0771,0.0137,-0.0261,44.5788,9.7478,8.8084,
1.544708,-0.0648,0.2346,-0.8749,0.0771,0.0137,-0.0261,44.5788,9.7478,8.8084,
