time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Unnamed: 13,time_diff,acc_mag,acc_mag_filtered,label
0.058298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.3883,100.7627,2.0763,,0.0,0.0,0.0013548928640803918,non_fall
0.060099,0.0168,-0.0578,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,101.3883,100.7627,2.0763,,0.001800999999999997,0.06028797558385917,0.016586981391349568,non_fall
0.07665,0.0168,-0.0578,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,109.4362,100.772,2.0174,,0.016550999999999996,0.06028797558385917,0.03186792303375995,non_fall
0.077758,0.0168,-0.0578,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,109.4362,100.772,2.0174,,0.0011079999999999979,0.06028797558385917,0.04719900799685593,non_fall
0.08579,0.0168,-0.0578,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,109.4362,100.772,2.0174,,0.008032000000000011,0.06028797558385917,0.06256928683919172,non_fall
0.093044,0.0168,-0.0578,0.0034,0.0,0.0,0.0,-36.2625,12.3188,-19.5188,109.4362,100.772,2.0174,,0.0072539999999999966,0.06028797558385917,0.0779520531955521,non_fall
0.095786,0.0168,-0.0578,0.0034,0.0,0.0,0.0,-36.2625,12.3188,-19.5188,115.0569,100.769,2.059,,0.0027419999999999944,0.06028797558385917,0.09330213040363212,non_fall
0.096666,0.0168,-0.0578,0.0034,0.0,0.0,0.0,-36.2625,12.3188,-19.5188,115.0569,100.769,2.059,,0.0008800000000000058,0.06028797558385917,0.10855425633395081,non_fall
0.100036,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,115.0569,100.769,2.059,,0.003369999999999998,0.06028797558385917,0.12362285275401609,non_fall
0.115338,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,118.7229,100.8413,2.2781,,0.015301999999999996,0.06028797558385917,0.1384034098811628,non_fall
0.116898,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,118.7229,100.8413,2.2781,,0.0015600000000000058,0.06028797558385917,0.1527756128151661,non_fall
0.135896,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,121.4353,100.8368,2.2806,,0.018997999999999987,0.06028797558385917,0.1666081846634209,non_fall
0.140232,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,121.4353,100.8368,2.2806,,0.0043360000000000065,0.26152095518332746,0.1797652244990415,non_fall
0.148566,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,121.4353,100.8368,2.2806,,0.008334000000000008,0.26152095518332746,0.19211359516665272,non_fall
0.153083,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.3375,12.2063,-21.0938,121.4353,100.8368,2.2806,,0.004516999999999993,0.26152095518332746,0.2035307173608216,non_fall
0.154477,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.3375,12.2063,-21.0938,122.8257,100.8348,2.28,,0.0013940000000000063,0.26152095518332746,0.21391202359853115,non_fall
0.155505,-0.0425,-0.2963,-0.0807,0.0129,0.0074,-0.0015,-36.3375,12.2063,-21.0938,122.8257,100.8348,2.28,,0.0010280000000000011,0.3100200477388519,0.22317735617940102,non_fall
0.162656,-0.0425,-0.2963,-0.0807,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,122.8257,100.8348,2.28,,0.007150999999999991,0.3100200477388519,0.23127572892058434,non_fall
0.174401,-0.0425,-0.2963,-0.0807,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.1079,100.8306,2.2769,,0.011745000000000005,0.3100200477388519,0.2381880586913291,non_fall
0.175847,-0.036,-0.265,-0.0382,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.1079,100.8306,2.2769,,0.0014460000000000028,0.27014855172663804,0.2439276793521416,non_fall
0.191809,-0.036,-0.265,-0.0382,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.7726,100.8206,2.2729,,0.015962000000000004,0.27014855172663804,0.2485386686127467,non_fall
0.193535,-0.0131,-0.2239,-0.0423,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.7726,100.8206,2.2729,,0.0017260000000000053,0.22823696019707237,0.2520922299298974,non_fall
0.210709,-0.0131,-0.2239,-0.0423,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.7726,100.8206,2.2729,,0.017173999999999995,0.22823696019707237,0.2546815463622986,non_fall
0.214404,-0.0131,-0.2239,-0.0423,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,125.3935,100.8202,2.2708,,0.003695000000000004,0.22823696019707237,0.2564156356928526,non_fall
0.218396,0.0043,-0.1976,-0.0823,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,125.3935,100.8202,2.2708,,0.0039919999999999956,0.21409703407567326,0.25741277764237647,non_fall
0.22009,0.0043,-0.1976,-0.0823,0.0044,-0.0048,0.0022,-37.3125,11.8125,-20.7563,125.3935,100.8202,2.2708,,0.001694000000000001,0.21409703407567326,0.2577940626222243,non_fall
0.224827,0.0043,-0.1976,-0.0823,-0.0188,0.0098,0.001,-37.3125,11.8125,-20.7563,125.3935,100.8202,2.2708,,0.004736999999999991,0.21409703407567326,0.25767754379418595,non_fall
0.236262,0.0043,-0.1976,-0.0823,-0.0188,0.0098,0.001,-37.3125,11.8125,-20.7563,125.9666,100.8406,2.2724,,0.011435,0.21409703407567326,0.25717337593723444,non_fall
0.237777,0.0184,-0.2033,-0.0945,-0.0188,0.0098,0.001,-37.3125,11.8125,-20.7563,125.9666,100.8406,2.2724,,0.0015149999999999886,0.22494377075171476,0.25638020660781613,non_fall
0.249764,0.0184,-0.2033,-0.0945,-0.0188,0.0098,0.001,-37.3125,11.8125,-20.7563,125.9666,100.8744,2.275,,0.011987000000000025,0.22494377075171476,0.25538295627776086,non_fall
0.251191,-0.0081,-0.2451,-0.0551,-0.0188,0.0098,0.001,-37.3125,11.8125,-20.7563,125.9666,100.8744,2.275,,0.0014269999999999838,0.25134762779863273,0.2542519945435632,non_fall
0.268829,-0.0081,-0.2451,-0.0551,-0.0188,0.0098,0.001,-37.3125,11.8125,-20.7563,125.9666,100.9074,2.2769,,0.017637999999999987,0.25134762779863273,0.2530435999006966,non_fall
