
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.037038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.057376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.2856,13.9812,-3.6722,
0.087695,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.2856,13.9812,-3.6722,
0.095762,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.2856,13.9812,-3.6722,
0.096749,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.2856,13.9812,-3.6722,
0.097522,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.2856,13.9812,-3.6722,
0.098294,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.2856,13.9812,-3.6722,
0.111397,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.5784,14.0422,-3.8430,
0.115982,0.0000,0.0000,0.0000,-0.0241,0.0103,-0.0031,-43.6638,14.0544,-3.9040,
0.158940,0.0000,0.0000,0.0000,0.0031,-0.0056,0.0060,-43.6638,14.0544,-3.9040,
0.164316,0.0000,0.0000,0.0000,0.0031,-0.0056,0.0060,-43.6638,14.0544,-3.9040,
0.165251,0.0000,0.0000,0.0000,0.0031,-0.0056,0.0060,-43.6638,14.0544,-3.9040,
0.165935,0.0000,0.0000,0.0000,0.0031,-0.0056,0.0060,-43.6638,14.0544,-3.9040,
0.166704,0.0009,0.0754,-0.0338,0.0031,-0.0056,0.0060,-43.6638,14.0544,-3.9040,
0.176711,0.0009,0.0754,-0.0338,0.0031,-0.0056,0.0060,-43.6638,14.1032,-3.8796,
0.228746,0.0009,0.0754,-0.0338,0.0100,-0.0004,-0.0052,-43.6638,14.1032,-3.8796,
0.230248,0.0009,0.0754,-0.0338,0.0100,-0.0004,-0.0052,-43.6638,14.1032,-3.8796,
0.231518,0.0009,0.0754,-0.0338,0.0100,-0.0004,-0.0052,-43.6638,14.1032,-3.8796,
0.232292,0.0009,0.0754,-0.0338,0.0100,-0.0004,-0.0052,-43.6638,14.1032,-3.8796,
0.233051,0.0009,0.0754,-0.0338,0.0100,-0.0004,-0.0052,-43.6638,14.1032,-3.8796,
0.236480,0.0009,0.0754,-0.0338,0.0100,-0.0004,-0.0052,-43.6638,14.1520,-3.9406,
0.237698,-0.0221,-0.0117,0.0067,0.0100,-0.0004,-0.0052,-43.6638,14.1520,-3.9406,
0.295869,-0.0221,-0.0117,0.0067,0.0100,-0.0004,-0.0052,-43.6882,14.1520,-3.9650,
0.297660,-0.0221,-0.0117,0.0067,0.0105,0.0060,-0.0057,-43.6882,14.1520,-3.9650,
0.298616,-0.0221,-0.0117,0.0067,0.0105,0.0060,-0.0057,-43.6882,14.1520,-3.9650,
0.299309,-0.0221,-0.0117,0.0067,0.0105,0.0060,-0.0057,-43.6882,14.1520,-3.9650,
0.299935,-0.0221,-0.0117,0.0067,0.0105,0.0060,-0.0057,-43.6882,14.1520,-3.9650,
0.306952,0.0452,0.0462,-0.0341,0.0105,0.0060,-0.0057,-43.6882,14.1520,-3.9650,
0.356821,0.0452,0.0462,-0.0341,0.0105,0.0060,-0.0057,-43.6638,14.1276,-3.8918,
0.364437,0.0452,0.0462,-0.0341,0.0451,0.0241,-0.0115,-43.6638,14.1276,-3.8918,
0.365567,0.0452,0.0462,-0.0341,0.0451,0.0241,-0.0115,-43.6638,14.1276,-3.8918,
0.366228,0.0452,0.0462,-0.0341,0.0451,0.0241,-0.0115,-43.6638,14.1276,-3.8918,
0.367131,0.0452,0.0462,-0.0341,0.0451,0.0241,-0.0115,-43.6638,14.1276,-3.8918,
0.375740,-0.0021,-0.0155,0.0027,0.0451,0.0241,-0.0115,-43.6638,14.1276,-3.8918,
0.416812,-0.0021,-0.0155,0.0027,0.0451,0.0241,-0.0115,-43.6272,14.1154,-3.9040,
0.430256,-0.0021,-0.0155,0.0027,0.0451,0.0241,-0.0115,-43.6272,14.1154,-3.9040,
0.431441,-0.0021,-0.0155,0.0027,0.0451,0.0241,-0.0115,-43.6272,14.1154,-3.9040,
0.432101,-0.0021,-0.0155,0.0027,0.0451,0.0241,-0.0115,-43.6272,14.1154,-3.9040,
0.432701,-0.0021,-0.0155,0.0027,0.0451,0.0241,-0.0115,-43.6272,14.1154,-3.9040,
0.435043,-0.0021,-0.0155,0.0027,0.0419,0.0222,-0.0020,-43.6272,14.1154,-3.9040,
0.444985,-0.0311,0.0273,-0.0351,0.0419,0.0222,-0.0020,-43.6272,14.1154,-3.9040,
0.476206,-0.0311,0.0273,-0.0351,0.0419,0.0222,-0.0020,-43.6394,14.1398,-3.9772,
0.497813,-0.0311,0.0273,-0.0351,0.0419,0.0222,-0.0020,-43.6394,14.1398,-3.9772,
0.499084,-0.0311,0.0273,-0.0351,0.0419,0.0222,-0.0020,-43.6394,14.1398,-3.9772,
0.499757,-0.0311,0.0273,-0.0351,0.0419,0.0222,-0.0020,-43.6394,14.1398,-3.9772,
0.505936,-0.0311,0.0273,-0.0351,0.0332,0.0140,-0.0041,-43.6394,14.1398,-3.9772,
0.517640,-0.0471,-0.0114,-0.0565,0.0332,0.0140,-0.0041,-43.6394,14.1398,-3.9772,
0.538148,-0.0471,-0.0114,-0.0565,0.0332,0.0140,-0.0041,-43.5906,14.0910,-3.9894,
0.565155,-0.0471,-0.0114,-0.0565,0.0332,0.0140,-0.0041,-43.5906,14.0910,-3.9894,
0.566424,-0.0471,-0.0114,-0.0565,0.0332,0.0140,-0.0041,-43.5906,14.0910,-3.9894,
0.567463,-0.0471,-0.0114,-0.0565,0.0332,0.0140,-0.0041,-43.5906,14.0910,-3.9894,
0.568110,-0.0471,-0.0114,-0.0565,0.0332,0.0140,-0.0041,-43.5906,14.0910,-3.9894,
0.574584,-0.0471,-0.0114,-0.0565,0.0354,0.0011,-0.0052,-43.5906,14.0910,-3.9894,
0.585158,-0.0172,0.0309,-0.0879,0.0354,0.0011,-0.0052,-43.5906,14.0910,-3.9894,
0.595779,-0.0172,0.0309,-0.0879,0.0354,0.0011,-0.0052,-43.5540,14.1032,-4.0626,
0.629963,-0.0172,0.0309,-0.0879,0.0354,0.0011,-0.0052,-43.5540,14.1032,-4.0626,
0.631246,-0.0172,0.0309,-0.0879,0.0354,0.0011,-0.0052,-43.5540,14.1032,-4.0626,
0.631923,-0.0172,0.0309,-0.0879,0.0354,0.0011,-0.0052,-43.5540,14.1032,-4.0626,
0.647317,-0.0172,0.0309,-0.0879,0.0012,-0.0314,0.0112,-43.5540,14.1032,-4.0626,
0.655465,-0.0172,0.0309,-0.0879,0.0012,-0.0314,0.0112,-43.5418,14.0788,-4.0870,
0.656490,-0.0524,0.0293,0.0185,0.0012,-0.0314,0.0112,-43.5418,14.0788,-4.0870,
0.697899,-0.0524,0.0293,0.0185,0.0012,-0.0314,0.0112,-43.5418,14.0788,-4.0870,
0.699506,-0.0524,0.0293,0.0185,0.0012,-0.0314,0.0112,-43.5418,14.0788,-4.0870,
0.700180,-0.0524,0.0293,0.0185,0.0012,-0.0314,0.0112,-43.5418,14.0788,-4.0870,
0.714773,-0.0524,0.0293,0.0185,0.0012,-0.0314,0.0112,-43.5662,14.0300,-4.0992,
0.718416,-0.0524,0.0293,0.0185,0.0001,-0.0495,0.0136,-43.5662,14.0300,-4.0992,
0.724426,-0.0367,-0.0531,-0.0046,0.0001,-0.0495,0.0136,-43.5662,14.0300,-4.0992,
0.757241,-0.0367,-0.0531,-0.0046,0.0001,-0.0495,0.0136,-43.5418,13.9812,-4.0382,
0.763408,-0.0367,-0.0531,-0.0046,0.0001,-0.0495,0.0136,-43.5418,13.9812,-4.0382,
0.764309,-0.0367,-0.0531,-0.0046,0.0001,-0.0495,0.0136,-43.5418,13.9812,-4.0382,
0.764951,-0.0367,-0.0531,-0.0046,0.0001,-0.0495,0.0136,-43.5418,13.9812,-4.0382,
0.765586,-0.0367,-0.0531,-0.0046,0.0001,-0.0495,0.0136,-43.5418,13.9812,-4.0382,
0.787059,-0.0367,-0.0531,-0.0046,0.0127,-0.0493,0.0124,-43.5418,13.9812,-4.0382,
0.795874,-0.0015,0.0309,-0.0719,0.0127,-0.0493,0.0124,-43.5418,13.9812,-4.0382,
0.805820,-0.0015,0.0309,-0.0719,0.0127,-0.0493,0.0124,-43.5174,13.9324,-4.0382,
0.831519,-0.0015,0.0309,-0.0719,0.0127,-0.0493,0.0124,-43.5174,13.9324,-4.0382,
0.832806,-0.0015,0.0309,-0.0719,0.0127,-0.0493,0.0124,-43.5174,13.9324,-4.0382,
0.833395,-0.0015,0.0309,-0.0719,0.0127,-0.0493,0.0124,-43.5174,13.9324,-4.0382,
0.853415,-0.0015,0.0309,-0.0719,-0.0310,-0.0679,0.0212,-43.5174,13.9324,-4.0382,
0.854760,-0.0015,0.0309,-0.0719,-0.0310,-0.0679,0.0212,-43.4686,13.8226,-3.8186,
0.865570,-0.0100,0.0247,-0.0870,-0.0310,-0.0679,0.0212,-43.4686,13.8226,-3.8186,
0.898618,-0.0100,0.0247,-0.0870,-0.0310,-0.0679,0.0212,-43.4686,13.8226,-3.8186,
0.900196,-0.0100,0.0247,-0.0870,-0.0310,-0.0679,0.0212,-43.4686,13.8226,-3.8186,
0.901026,-0.0100,0.0247,-0.0870,-0.0310,-0.0679,0.0212,-43.4686,13.8226,-3.8186,
0.906052,-0.0100,0.0247,-0.0870,-0.0310,-0.0679,0.0212,-43.5418,13.8104,-3.7332,
0.926336,-0.0100,0.0247,-0.0870,-0.0129,-0.0521,0.0296,-43.5418,13.8104,-3.7332,
0.934411,-0.0286,0.0069,-0.0562,-0.0129,-0.0521,0.0296,-43.5418,13.8104,-3.7332,
0.957126,-0.0286,0.0069,-0.0562,-0.0129,-0.0521,0.0296,-43.5418,13.8592,-3.5868,
0.963890,-0.0286,0.0069,-0.0562,-0.0129,-0.0521,0.0296,-43.5418,13.8592,-3.5868,
0.964885,-0.0286,0.0069,-0.0562,-0.0129,-0.0521,0.0296,-43.5418,13.8592,-3.5868,
0.965685,-0.0286,0.0069,-0.0562,-0.0129,-0.0521,0.0296,-43.5418,13.8592,-3.5868,
0.966701,-0.0286,0.0069,-0.0562,-0.0129,-0.0521,0.0296,-43.5418,13.8592,-3.5868,
0.996693,-0.0286,0.0069,-0.0562,-0.0205,-0.0501,-0.0112,-43.5418,13.8592,-3.5868,
1.009799,-0.0286,0.0069,-0.0562,-0.0205,-0.0501,-0.0112,-43.4930,13.8226,-3.3916,
1.011553,0.0020,-0.0540,-0.0532,-0.0205,-0.0501,-0.0112,-43.4930,13.8226,-3.3916,
1.012710,0.0020,-0.0540,-0.0532,-0.0205,-0.0501,-0.0112,-43.5296,13.8104,-3.3062,
1.030137,0.0020,-0.0540,-0.0532,-0.0205,-0.0501,-0.0112,-43.5296,13.8104,-3.3062,
1.031501,0.0020,-0.0540,-0.0532,-0.0205,-0.0501,-0.0112,-43.5296,13.8104,-3.3062,
1.032482,0.0020,-0.0540,-0.0532,-0.0205,-0.0501,-0.0112,-43.5296,13.8104,-3.3062,
1.045702,0.0020,-0.0540,-0.0532,-0.0205,-0.0501,-0.0112,-43.5296,13.8104,-3.3062,
1.064240,0.0020,-0.0540,-0.0532,-0.0041,-0.0521,0.0148,-43.5296,13.8104,-3.3062,
1.074823,0.0020,-0.0540,-0.0532,-0.0041,-0.0521,0.0148,-43.4930,13.8226,-3.1720,
1.077899,-0.0432,-0.0593,0.0135,-0.0041,-0.0521,0.0148,-43.4930,13.8226,-3.1720,
1.097306,-0.0432,-0.0593,0.0135,-0.0041,-0.0521,0.0148,-43.4930,13.8226,-3.1720,
1.099437,-0.0432,-0.0593,0.0135,-0.0041,-0.0521,0.0148,-43.4930,13.8226,-3.1720,
1.134319,-0.0432,-0.0593,0.0135,-0.0041,-0.0521,0.0148,-43.5174,13.8714,-3.1354,
1.138066,-0.0432,-0.0593,0.0135,-0.0115,-0.0430,-0.0021,-43.5174,13.8714,-3.1354,
1.149358,0.0274,0.0531,0.0302,-0.0115,-0.0430,-0.0021,-43.5174,13.8714,-3.1354,
1.164134,0.0274,0.0531,0.0302,-0.0115,-0.0430,-0.0021,-43.5174,13.8714,-3.1354,
1.166524,0.0274,0.0531,0.0302,-0.0115,-0.0430,-0.0021,-43.5174,13.8714,-3.1354,
1.168080,0.0274,0.0531,0.0302,-0.0115,-0.0430,-0.0021,-43.5174,13.8714,-3.1354,
