
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.052022,-0.0167,0.1479,0.3588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.068384,-0.0167,0.1479,0.3588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.077971,-0.0167,0.1479,0.3588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084210,-0.0167,0.1479,0.3588,0.0000,0.0000,0.0000,-40.9313,11.7563,-14.0813,
0.089092,-0.0167,0.1479,0.3588,0.0000,0.0000,0.0000,-40.9313,11.7563,-14.0813,
0.090984,-0.0167,0.1479,0.3588,-0.0190,0.0122,-0.0016,-40.9313,11.7563,-14.0813,
0.106842,-0.0167,0.1479,0.3588,-0.0190,0.0122,-0.0016,-40.9313,11.7563,-14.0813,
0.126262,-0.0546,-0.3090,0.0029,-0.0190,0.0122,-0.0016,-40.9313,11.7563,-14.0813,
0.140299,-0.0546,-0.3090,0.0029,-0.0190,0.0122,-0.0016,-40.9313,11.7563,-14.0813,
0.147697,-0.0255,-0.3475,0.0399,-0.0190,0.0122,-0.0016,-40.9313,11.7563,-14.0813,
0.151021,-0.0255,-0.3475,0.0399,-0.0190,0.0122,-0.0016,-41.1375,11.8500,-13.9688,
0.154231,-0.0255,-0.3475,0.0399,-0.0067,-0.0012,-0.0016,-41.1375,11.8500,-13.9688,
0.163962,0.0011,-0.3044,0.0014,-0.0067,-0.0012,-0.0016,-41.1375,11.8500,-13.9688,
0.183669,0.0393,-0.2446,-0.0079,-0.0067,-0.0012,-0.0016,-41.1375,11.8500,-13.9688,
0.201904,0.0393,-0.2446,-0.0079,-0.0067,-0.0012,-0.0016,-41.1375,11.8500,-13.9688,
0.203030,0.0125,-0.2303,-0.0241,-0.0067,-0.0012,-0.0016,-41.1375,11.8500,-13.9688,
0.205420,0.0125,-0.2303,-0.0241,-0.0067,-0.0012,-0.0016,-40.9313,11.5312,-13.7813,
0.215970,0.0125,-0.2303,-0.0241,-0.0067,-0.0000,-0.0029,-40.9313,11.5312,-13.7813,
0.221160,0.0097,-0.2401,-0.0351,-0.0067,-0.0000,-0.0029,-40.9313,11.5312,-13.7813,
0.241063,-0.0102,-0.2691,-0.0292,-0.0067,-0.0000,-0.0029,-40.9313,11.5312,-13.7813,
0.259012,0.0081,-0.2668,-0.0430,-0.0067,-0.0000,-0.0029,-40.9313,11.5312,-13.7813,
0.264682,0.0081,-0.2668,-0.0430,-0.0067,-0.0000,-0.0029,-40.9313,11.5312,-13.7813,
0.267202,0.0081,-0.2668,-0.0430,-0.0067,-0.0000,-0.0029,-41.3063,11.4000,-14.6063,
0.277601,0.0081,-0.2668,-0.0430,0.0030,0.0012,-0.0016,-41.3063,11.4000,-14.6063,
0.278569,0.0291,-0.3074,-0.0410,0.0030,0.0012,-0.0016,-41.3063,11.4000,-14.6063,
0.298208,0.0362,-0.2999,-0.0286,0.0030,0.0012,-0.0016,-41.3063,11.4000,-14.6063,
0.317812,0.0168,-0.2896,-0.0199,0.0030,0.0012,-0.0016,-41.3063,11.4000,-14.6063,
0.325114,0.0168,-0.2896,-0.0199,0.0030,0.0012,-0.0016,-40.8375,11.5688,-14.4000,
0.328208,0.0168,-0.2896,-0.0199,0.0030,0.0012,-0.0016,-40.8375,11.5688,-14.4000,
0.336366,-0.0024,-0.2554,-0.0306,0.0030,0.0012,-0.0016,-40.8375,11.5688,-14.4000,
0.340886,-0.0024,-0.2554,-0.0306,0.0177,0.0012,-0.0004,-40.8375,11.5688,-14.4000,
0.357510,0.0046,-0.2739,-0.0196,0.0177,0.0012,-0.0004,-40.8375,11.5688,-14.4000,
0.375190,-0.0052,-0.2444,-0.0019,0.0177,0.0012,-0.0004,-40.8375,11.5688,-14.4000,
0.384891,-0.0052,-0.2444,-0.0019,0.0177,0.0012,-0.0004,-40.8375,11.5875,-14.6063,
0.391175,-0.0052,-0.2444,-0.0019,0.0177,0.0012,-0.0004,-40.8375,11.5875,-14.6063,
0.393101,0.0015,-0.2747,-0.0106,0.0177,0.0012,-0.0004,-40.8375,11.5875,-14.6063,
0.402999,0.0015,-0.2747,-0.0106,0.0177,-0.0049,-0.0004,-40.8375,11.5875,-14.6063,
0.412655,0.0159,-0.2643,-0.0314,0.0177,-0.0049,-0.0004,-40.8375,11.5875,-14.6063,
0.432090,-0.0079,-0.2588,-0.0948,0.0177,-0.0049,-0.0004,-40.8375,11.5875,-14.6063,
0.445765,-0.0079,-0.2588,-0.0948,0.0177,-0.0049,-0.0004,-40.6313,11.4938,-14.9250,
0.450338,-0.0079,-0.2588,-0.0948,0.0177,-0.0049,-0.0004,-40.6313,11.4938,-14.9250,
0.451233,0.0065,-0.2657,-0.0870,0.0177,-0.0049,-0.0004,-40.6313,11.4938,-14.9250,
0.464814,0.0065,-0.2657,-0.0870,0.0103,-0.0037,-0.0029,-40.6313,11.4938,-14.9250,
0.470635,0.0464,-0.2414,-0.0695,0.0103,-0.0037,-0.0029,-40.6313,11.4938,-14.9250,
0.490502,0.0426,-0.2244,-0.0830,0.0103,-0.0037,-0.0029,-40.6313,11.4938,-14.9250,
0.504562,0.0426,-0.2244,-0.0830,0.0103,-0.0037,-0.0029,-40.9313,11.6063,-15.1313,
0.508932,0.0530,-0.2408,-0.0416,0.0103,-0.0037,-0.0029,-40.9313,11.6063,-15.1313,
0.514845,0.0530,-0.2408,-0.0416,0.0103,-0.0037,-0.0029,-40.9313,11.6063,-15.1313,
0.526772,0.0530,-0.2408,-0.0416,0.0103,-0.0012,-0.0004,-40.9313,11.6063,-15.1313,
0.527713,0.0353,-0.2859,-0.0531,0.0103,-0.0012,-0.0004,-40.9313,11.6063,-15.1313,
0.547204,0.0083,-0.2904,-0.0811,0.0103,-0.0012,-0.0004,-40.9313,11.6063,-15.1313,
0.565402,0.0083,-0.2904,-0.0811,0.0103,-0.0012,-0.0004,-40.8375,11.7750,-14.6063,
0.566727,0.0433,-0.2663,-0.0582,0.0103,-0.0012,-0.0004,-40.8375,11.7750,-14.6063,
0.575027,0.0433,-0.2663,-0.0582,0.0103,-0.0012,-0.0004,-40.8375,11.7750,-14.6063,
0.585034,0.0347,-0.2085,-0.0286,0.0103,-0.0012,-0.0004,-40.8375,11.7750,-14.6063,
0.590388,0.0347,-0.2085,-0.0286,0.0005,0.0060,-0.0065,-40.8375,11.7750,-14.6063,
0.604028,0.0404,-0.2177,-0.0593,0.0005,0.0060,-0.0065,-40.8375,11.7750,-14.6063,
0.623748,0.0320,-0.2630,-0.0725,0.0005,0.0060,-0.0065,-40.8375,11.7750,-14.6063,
0.627387,0.0320,-0.2630,-0.0725,0.0005,0.0060,-0.0065,-40.6313,11.5875,-14.8313,
0.636941,0.0320,-0.2630,-0.0725,0.0005,0.0060,-0.0065,-40.6313,11.5875,-14.8313,
0.642535,0.0265,-0.2914,-0.0453,0.0005,0.0060,-0.0065,-40.6313,11.5875,-14.8313,
