
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,
0.058298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101.3883,100.7627,2.0763,
0.060099,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101.3883,100.7627,2.0763,
0.076650,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.4362,100.7720,2.0174,
0.077758,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.4362,100.7720,2.0174,
0.085790,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,109.4362,100.7720,2.0174,
0.093044,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,-36.2625,12.3188,-19.5188,109.4362,100.7720,2.0174,
0.095786,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,-36.2625,12.3188,-19.5188,115.0569,100.7690,2.0590,
0.096666,0.0168,-0.0578,0.0034,0.0000,0.0000,0.0000,-36.2625,12.3188,-19.5188,115.0569,100.7690,2.0590,
0.100036,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,115.0569,100.7690,2.0590,
0.115338,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,118.7229,100.8413,2.2781,
0.116898,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,118.7229,100.8413,2.2781,
0.135896,0.0168,-0.0578,0.0034,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,121.4353,100.8368,2.2806,
0.140232,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,121.4353,100.8368,2.2806,
0.148566,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.2625,12.3188,-19.5188,121.4353,100.8368,2.2806,
0.153083,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.3375,12.2063,-21.0938,121.4353,100.8368,2.2806,
0.154477,-0.0221,-0.2532,-0.0616,0.0129,0.0074,-0.0015,-36.3375,12.2063,-21.0938,122.8257,100.8348,2.2800,
0.155505,-0.0425,-0.2963,-0.0807,0.0129,0.0074,-0.0015,-36.3375,12.2063,-21.0938,122.8257,100.8348,2.2800,
0.162656,-0.0425,-0.2963,-0.0807,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,122.8257,100.8348,2.2800,
0.174401,-0.0425,-0.2963,-0.0807,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.1079,100.8306,2.2769,
0.175847,-0.0360,-0.2650,-0.0382,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.1079,100.8306,2.2769,
0.191809,-0.0360,-0.2650,-0.0382,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.7726,100.8206,2.2729,
0.193535,-0.0131,-0.2239,-0.0423,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.7726,100.8206,2.2729,
0.210709,-0.0131,-0.2239,-0.0423,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,124.7726,100.8206,2.2729,
0.214404,-0.0131,-0.2239,-0.0423,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,125.3935,100.8202,2.2708,
0.218396,0.0043,-0.1976,-0.0823,0.0044,-0.0048,0.0022,-36.3375,12.2063,-21.0938,125.3935,100.8202,2.2708,
0.220090,0.0043,-0.1976,-0.0823,0.0044,-0.0048,0.0022,-37.3125,11.8125,-20.7563,125.3935,100.8202,2.2708,
0.224827,0.0043,-0.1976,-0.0823,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.3935,100.8202,2.2708,
0.236262,0.0043,-0.1976,-0.0823,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.8406,2.2724,
0.237777,0.0184,-0.2033,-0.0945,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.8406,2.2724,
0.249764,0.0184,-0.2033,-0.0945,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.8744,2.2750,
0.251191,-0.0081,-0.2451,-0.0551,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.8744,2.2750,
0.268829,-0.0081,-0.2451,-0.0551,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.9074,2.2769,
0.270109,-0.0367,-0.2534,-0.0635,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.9074,2.2769,
0.274681,-0.0367,-0.2534,-0.0635,-0.0188,0.0098,0.0010,-37.3125,11.8125,-20.7563,125.9666,100.9074,2.2769,
0.275826,-0.0367,-0.2534,-0.0635,-0.0188,0.0098,0.0010,-36.7500,12.5063,-20.9625,125.9666,100.9074,2.2769,
0.286986,-0.0367,-0.2534,-0.0635,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,125.9666,100.9074,2.2769,
0.288105,-0.0367,-0.2534,-0.0635,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,126.4831,100.9362,2.2758,
0.289569,-0.0404,-0.2639,-0.0560,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,126.4831,100.9362,2.2758,
0.306715,-0.0404,-0.2639,-0.0560,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,126.4831,100.9598,2.2739,
0.308078,-0.0628,-0.2599,-0.0873,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,126.4831,100.9598,2.2739,
0.326153,-0.0628,-0.2599,-0.0873,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,126.4831,100.9866,2.2727,
0.327533,-0.0139,-0.2275,-0.0983,-0.0238,0.0087,0.0034,-36.7500,12.5063,-20.9625,126.4831,100.9866,2.2727,
0.332973,-0.0139,-0.2275,-0.0983,-0.0238,0.0087,0.0034,-36.8250,12.0938,-20.7563,126.4831,100.9866,2.2727,
0.334390,-0.0139,-0.2275,-0.0983,-0.0238,0.0087,0.0034,-36.8250,12.0938,-20.7563,126.4831,100.9866,2.2727,
0.345498,-0.0139,-0.2275,-0.0983,-0.0238,0.0087,0.0034,-36.8250,12.0938,-20.7563,126.4831,101.0251,2.2720,
0.346854,0.0056,-0.2048,-0.0244,-0.0238,0.0087,0.0034,-36.8250,12.0938,-20.7563,126.4831,101.0251,2.2720,
0.349201,0.0056,-0.2048,-0.0244,-0.0408,0.0110,0.0022,-36.8250,12.0938,-20.7563,126.4831,101.0251,2.2720,
0.364675,0.0056,-0.2048,-0.0244,-0.0408,0.0110,0.0022,-36.8250,12.0938,-20.7563,126.4831,101.0725,2.2710,
0.368265,-0.0106,-0.2062,0.0308,-0.0408,0.0110,0.0022,-36.8250,12.0938,-20.7563,126.4831,101.0725,2.2710,
0.383091,-0.0106,-0.2062,0.0308,-0.0408,0.0110,0.0022,-36.8250,12.0938,-20.7563,126.4831,101.1218,2.2668,
0.384967,-0.0572,-0.2555,0.0047,-0.0408,0.0110,0.0022,-36.8250,12.0938,-20.7563,126.4831,101.1218,2.2668,
0.394190,-0.0572,-0.2555,0.0047,-0.0408,0.0110,0.0022,-37.1250,12.2813,-20.3250,126.4831,101.1218,2.2668,
0.397263,-0.0572,-0.2555,0.0047,-0.0408,0.0110,0.0022,-37.1250,12.2813,-20.3250,126.4831,101.1218,2.2668,
0.402846,-0.0572,-0.2555,0.0047,-0.0408,0.0110,0.0022,-37.1250,12.2813,-20.3250,126.4831,101.1763,2.2621,
0.403908,-0.0458,-0.2596,-0.0602,-0.0408,0.0110,0.0022,-37.1250,12.2813,-20.3250,126.4831,101.1763,2.2621,
0.411307,-0.0458,-0.2596,-0.0602,-0.0518,0.0037,0.0047,-37.1250,12.2813,-20.3250,126.4831,101.1763,2.2621,
0.422053,-0.0458,-0.2596,-0.0602,-0.0518,0.0037,0.0047,-37.1250,12.2813,-20.3250,126.4831,101.2338,2.2590,
0.423464,-0.0513,-0.2806,-0.0717,-0.0518,0.0037,0.0047,-37.1250,12.2813,-20.3250,126.4831,101.2338,2.2590,
0.440877,-0.0513,-0.2806,-0.0717,-0.0518,0.0037,0.0047,-37.1250,12.2813,-20.3250,126.4831,101.2870,2.2581,
0.444414,-0.0310,-0.3040,-0.0600,-0.0518,0.0037,0.0047,-37.1250,12.2813,-20.3250,126.4831,101.2870,2.2581,
0.452505,-0.0310,-0.3040,-0.0600,-0.0518,0.0037,0.0047,-36.6375,12.2063,-20.8688,126.4831,101.2870,2.2581,
0.459584,-0.0310,-0.3040,-0.0600,-0.0518,0.0037,0.0047,-36.6375,12.2063,-20.8688,126.4831,101.2870,2.2581,
0.460854,-0.0310,-0.3040,-0.0600,-0.0518,0.0037,0.0047,-36.6375,12.2063,-20.8688,126.4831,101.3338,2.2595,
0.461967,-0.0140,-0.2624,-0.0140,-0.0518,0.0037,0.0047,-36.6375,12.2063,-20.8688,126.4831,101.3338,2.2595,
0.473567,-0.0140,-0.2624,-0.0140,-0.0359,0.0012,-0.0003,-36.6375,12.2063,-20.8688,126.4831,101.3338,2.2595,
0.479293,-0.0140,-0.2624,-0.0140,-0.0359,0.0012,-0.0003,-36.6375,12.2063,-20.8688,126.4831,101.3747,2.2603,
0.482420,-0.0205,-0.2587,0.0112,-0.0359,0.0012,-0.0003,-36.6375,12.2063,-20.8688,126.4831,101.3747,2.2603,
0.497633,-0.0205,-0.2587,0.0112,-0.0359,0.0012,-0.0003,-36.6375,12.2063,-20.8688,126.4831,101.4146,2.2619,
0.499791,-0.0344,-0.2718,0.0383,-0.0359,0.0012,-0.0003,-36.6375,12.2063,-20.8688,126.4831,101.4146,2.2619,
0.513175,-0.0344,-0.2718,0.0383,-0.0359,0.0012,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4146,2.2619,
0.518614,-0.0344,-0.2718,0.0383,-0.0359,0.0012,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4546,2.2631,
0.519820,-0.0100,-0.2752,0.0291,-0.0359,0.0012,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4546,2.2631,
0.521204,-0.0100,-0.2752,0.0291,-0.0359,0.0012,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4546,2.2631,
0.536166,-0.0100,-0.2752,0.0291,-0.0336,-0.0048,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4546,2.2631,
0.537590,-0.0100,-0.2752,0.0291,-0.0336,-0.0048,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4931,2.2627,
0.538685,-0.0212,-0.2834,-0.0060,-0.0336,-0.0048,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.4931,2.2627,
0.555674,-0.0212,-0.2834,-0.0060,-0.0336,-0.0048,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.5309,2.2626,
0.557277,-0.0204,-0.3037,-0.0076,-0.0336,-0.0048,-0.0003,-36.8438,12.5063,-20.9625,126.4831,101.5309,2.2626,
0.574387,-0.0204,-0.3037,-0.0076,-0.0336,-0.0048,-0.0003,-36.7500,12.5625,-20.1375,126.4831,101.5309,2.2626,
0.578345,-0.0204,-0.3037,-0.0076,-0.0336,-0.0048,-0.0003,-36.7500,12.5625,-20.1375,126.4831,101.5617,2.2635,
0.581333,-0.0342,-0.2781,0.0060,-0.0336,-0.0048,-0.0003,-36.7500,12.5625,-20.1375,126.4831,101.5617,2.2635,
0.585019,-0.0342,-0.2781,0.0060,-0.0336,-0.0048,-0.0003,-36.7500,12.5625,-20.1375,126.4831,101.5617,2.2635,
0.593486,-0.0342,-0.2781,0.0060,-0.0336,-0.0048,-0.0003,-36.7500,12.5625,-20.1375,126.4831,101.5850,2.2652,
0.594531,-0.0150,-0.2740,-0.0099,-0.0336,-0.0048,-0.0003,-36.7500,12.5625,-20.1375,126.4831,101.5850,2.2652,
0.597528,-0.0150,-0.2740,-0.0099,-0.0164,-0.0036,-0.0040,-36.7500,12.5625,-20.1375,126.4831,101.5850,2.2652,
0.613469,-0.0150,-0.2740,-0.0099,-0.0164,-0.0036,-0.0040,-36.7500,12.5625,-20.1375,126.4831,101.6059,2.2688,
0.614797,-0.0080,-0.2697,0.0165,-0.0164,-0.0036,-0.0040,-36.7500,12.5625,-20.1375,126.4831,101.6059,2.2688,
0.632400,-0.0080,-0.2697,0.0165,-0.0164,-0.0036,-0.0040,-36.7500,12.5625,-20.1375,126.4831,101.6278,2.2703,
0.636440,-0.0268,-0.2845,0.0616,-0.0164,-0.0036,-0.0040,-36.7500,12.5625,-20.1375,126.4831,101.6278,2.2703,
0.639914,-0.0268,-0.2845,0.0616,-0.0164,-0.0036,-0.0040,-36.4500,12.4688,-20.5688,126.4831,101.6278,2.2703,
0.646191,-0.0268,-0.2845,0.0616,-0.0164,-0.0036,-0.0040,-36.4500,12.4688,-20.5688,126.4831,101.6278,2.2703,
0.651967,-0.0268,-0.2845,0.0616,-0.0164,-0.0036,-0.0040,-36.4500,12.4688,-20.5688,126.4831,101.6514,2.2693,
0.653649,-0.0613,-0.2537,0.0755,-0.0164,-0.0036,-0.0040,-36.4500,12.4688,-20.5688,126.4831,101.6514,2.2693,
0.660120,-0.0613,-0.2537,0.0755,-0.0213,-0.0073,0.0022,-36.4500,12.4688,-20.5688,126.4831,101.6514,2.2693,
0.670554,-0.0613,-0.2537,0.0755,-0.0213,-0.0073,0.0022,-36.4500,12.4688,-20.5688,126.4831,101.6605,2.2652,
0.671910,-0.0357,-0.2631,0.0656,-0.0213,-0.0073,0.0022,-36.4500,12.4688,-20.5688,126.4831,101.6605,2.2652,
0.689641,-0.0357,-0.2631,0.0656,-0.0213,-0.0073,0.0022,-36.4500,12.4688,-20.5688,126.4831,101.6614,2.2613,
0.693274,-0.0674,-0.2602,0.0897,-0.0213,-0.0073,0.0022,-36.4500,12.4688,-20.5688,126.4831,101.6614,2.2613,
0.696473,-0.0674,-0.2602,0.0897,-0.0213,-0.0073,0.0022,-36.8438,12.6000,-20.9625,126.4831,101.6614,2.2613,
0.707888,-0.0674,-0.2602,0.0897,-0.0213,-0.0073,0.0022,-36.8438,12.6000,-20.9625,126.4831,101.6614,2.2613,
0.709739,-0.0674,-0.2602,0.0897,-0.0213,-0.0073,0.0022,-36.8438,12.6000,-20.9625,126.4831,101.6524,2.2557,
0.710870,-0.0410,-0.2523,0.0076,-0.0213,-0.0073,0.0022,-36.8438,12.6000,-20.9625,126.4831,101.6524,2.2557,
0.722471,-0.0410,-0.2523,0.0076,-0.0164,-0.0048,0.0058,-36.8438,12.6000,-20.9625,126.4831,101.6524,2.2557,
